batch,record_range,selected_records,ris_records,bytes,sha256,filename
1,1-50,50,50,157299,dc5c86fb7ec944c82c764f0cf9384e8994b6c6dd2d0a26f66fe345d187c2dba8,CINAHL_TEAS_EA_2026-07-23_batch001.ris
2,51-100,50,50,150702,5e5a995cfe05b884d9479b4b4da39de922471cb668953ac82e2654a2882122b5,CINAHL_TEAS_EA_2026-07-23_batch002.ris
3,101-150,50,50,153058,81f088ed8097a04b69e9052f98ddae59131832fbcf30a7fe3110c744fcd5ba20,CINAHL_TEAS_EA_2026-07-23_batch003.ris
4,151-200,50,50,151117,8601d519fb93f3cf09948d23b1dadabc50c3fc662bf8e7674f863844a27805b3,CINAHL_TEAS_EA_2026-07-23_batch004.ris
5,201-250,50,50,149521,0b81214f6724ef9a2cb1050b039021e81e4c885e5d6d9d57f1f851908c05ae91,CINAHL_TEAS_EA_2026-07-23_batch005.ris
6,251-300,50,50,143147,f63a15b6dbbd123dbd26db1dd1eaa549863e55663870f92306521b0889a96d51,CINAHL_TEAS_EA_2026-07-23_batch006.ris
7,301-350,50,50,146701,b0dfb69fe3a3684135cc7d9982c6e16c183d37868b1d16fcbf3183b75d469a42,CINAHL_TEAS_EA_2026-07-23_batch007.ris
8,351-400,50,50,146484,df406996c21a8c9f8e69ca273b430d3336a93fb953b6c724c1d04c4552bddf59,CINAHL_TEAS_EA_2026-07-23_batch008.ris
9,401-450,50,50,148009,8250cd816c05aa13f0ebb0c3f4299f08d9c84a1542eed52ee1eafd6d515c292f,CINAHL_TEAS_EA_2026-07-23_batch009.ris
10,451-465,15,15,53916,bcfa12692f7fa673699a0993974eef1a255bdcc0491c08a7089b8e97ddfe149c,CINAHL_TEAS_EA_2026-07-23_batch010.ris
merged,1-465,465,465,1399954,92d4e9375696891a1818a24cacc322b5ca7b23266d424f83e3827e4a3c244e42,CINAHL_TEAS_EA_2026-07-23.ris
