screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,decision,primary_exclusion_reason,definitive_exclusion,needs_human_review,uncertainty_reason,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,vote_registered,post_vote_timestamp,interface_issue,notes
1,2,Preoperative Transcutaneous Electrical Acupoint Stimulation Alleviates Postoperative Pain and Improves Sleep Quality in Breast Cancer Patients with Preoperative Sleep Disturbance: A Partially Randomized Controlled Trial.,"Ma, Can",2026,10.2147/JPR.S619125,ChiCTR2200062959,INCLUDE,not_applicable,no,no,,primary participant-results report; partially randomized trial with eligible randomized Group S versus Group T comparison,yes,yes,Computer-generated random-number table for PSQI >= 6 participants randomized 1:1 to Group S or TEAS Group T; Group C was non-randomized and is not part of the eligible causal comparison.,"yes; ages 18-70 eligible, analyzed ages 37-70",35,33,China,"Breast-conserving surgery with sentinel lymph-node biopsy, simple mastectomy with sentinel lymph-node biopsy, or modified radical mastectomy",yes,yes,"Standardized GA: propofol, sufentanil and cis-atracurium induction; tracheal intubation; sevoflurane plus remifentanil maintenance.",TEAS,"Single 30-minute pre-induction TEAS session using HANS-200A surface electrodes, biphasic square waves, dense-disperse 2/100 Hz, 8-12 mA.",Bilateral LI4; left HT7; right PC6,2/100 Hz alternating dense-disperse,8-12 mA to visible local twitch without discomfort,30 minutes,yes,yes,Before anaesthesia induction,yes,1,No TEAS Group S within the randomized poor-sleep cohort; Group C is a non-randomized reference only,yes,yes,"Postoperative NRS pain at 4, 24, 48 and 72 h; postoperative sleep/AIS; PONV within 24 h; hospital length of stay; intervention adverse events",no,no,yes,yes,yes,no,ChiCTR2200062959,"[""PDF p.3 / printed p.3, Group Allocation and Randomization: PSQI >= 6 participants randomized 1:1 by computer-generated random-number table to Group S or TEAS Group T."",""PDF p.3 / printed p.3, Anesthesia Protocol: standardized general anaesthesia with tracheal intubation, sevoflurane and remifentanil."",""PDF pp.3-4 / printed pp.3-4, TEAS Intervention: surface-electrode TEAS at LI4, HT7 and PC6, 2/100 Hz, 8-12 mA, 30 min before induction; Group S received no TEAS."",""PDF p.4 / printed p.4, Outcome Measures: postoperative NRS pain, AIS sleep, PONV and length of stay."",""PDF pp.5,7-8 / printed pp.5,7-8, Results: 33 randomized participants analyzed in Groups S/T with pain, sleep, PONV and length-of-stay results.""]","Eligible randomized Group S versus TEAS Group T comparison in adults undergoing breast-cancer surgery under GA; therapeutic acupoint stimulation was pre-induction, independently separable, and clinical outcomes were reported.",yes,yes,2026-08-09T14:40:17+02:00,"Queue and awaiting-review badges remained unchanged immediately after voting, but the unique #2 report card disappeared from the active vote-required view, providing direct registration confirmation.",Non-randomized Group C is retained only as a reference; eligibility rests solely on the randomized S-versus-T comparison.
2,20,Effect of transcutaneous electrical acupoint stimulation on perioperative hypothermia in video-assisted thoracoscopic surgery: a randomized controlled trial.,"Zhao, Yajie",2026,10.3389/fmed.2026.1799152,ITMCTR2024000425,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SPSS-generated simple randomization by an independent staff member; sealed opaque envelopes; 1:1 TEAS versus sham.,yes; elective VATS age 18-65,92,88,China,Elective video-assisted thoracoscopic lobectomy or segmentectomy,yes,yes,"IV GA with midazolam, etomidate, sufentanil and cisatracurium; double-lumen tracheal intubation; propofol, remifentanil and dexmedetomidine maintenance.",TEAS,"Surface-electrode HANS-200A stimulation at GV14, GV4, CV4 and KI1; dense-disperse 2/100 Hz, 15-30 mA from 30 min before induction through surgery.","GV14, GV4, CV4 and operative-side KI1",2/100 Hz alternating dense-disperse,"15-30 mA, adjusted to sensory threshold",From 30 min before induction until end of surgery,yes,yes,30 min before anaesthesia induction,yes,1,Sham TEAS with identical electrode placement and no current,yes,yes,Perioperative hypothermia; postoperative shivering/complications; extubation time; length of stay; adverse events,no,no,no,no,yes,no,ITMCTR2024000425; PMCID PMC13171843,"[""PDF p.1, Abstract: adults undergoing elective VATS under general anaesthesia randomized to TEAS beginning 30 min before induction versus sham; clinical recovery and complication outcomes reported."",""PDF p.2, Methods sections 2.1-2.3: adult VATS population and SPSS simple randomization with sealed opaque envelopes."",""PDF p.3, Methods sections 2.4-2.5: surface-electrode TEAS at GV14/GV4/CV4/KI1, 2/100 Hz, 15-30 mA from 30 min before induction through surgery; double-lumen intubation and IV general anaesthesia."",""PDF pp.5-7, Results: 88 analyzed participants and clinical hypothermia, postoperative complication/shivering, extubation, stay and adverse-event results.""]",Eligible adult randomized TEAS-versus-sham VATS trial under general anaesthesia with pre-induction therapeutic acupoint stimulation and clinical perioperative outcomes.,yes; Covidence LibKey link opened a 10-page PDF and matching PMC full-text HTML,yes,2026-08-09T14:46:27+02:00,none,Thermal outcomes include clinically relevant perioperative hypothermia and postoperative shivering/complications.
3,25,Acupoint Stimulation After Anesthesia Induction Does Not Decrease Nausea and Vomiting After Hepatectomy: A Multi-Center Double-Blinded Clinical Trial.,"He, Shan",2026,10.1080/08941939.2026.2653912,NCT05396716,INCLUDE,not_applicable,no,no,,primary multicenter randomized participant-results report,yes,yes,Secure web-based system using permuted blocks stratified by center; 1:1 allocation.,yes; age >=18,161,159,China,Elective hepatectomy,yes,yes,"GA with midazolam, sufentanil, propofol and rocuronium induction; endotracheal intubation; sevoflurane, remifentanil and dexmedetomidine maintenance.",TEAS,"Surface electrodes bilaterally at PC6 using Hwato SDZ-V; alternating 2 and 10 Hz disperse-dense waves at maximum tolerable intensity, immediately after loss of consciousness through surgery.",Bilateral PC6 (Neiguan),Alternating 2 and 10 Hz,Individually titrated to maximum tolerable threshold with De Qi sensation,Immediately after anaesthesia induction until surgery completion,yes,yes,Immediately after anaesthesia induction,yes,1,"Identical electrodes and sham adjustment motions, stimulator inactive",yes,yes,"PONV through 48 h; postoperative pain; PCA attempts/deliveries; opioid consumption; QoR-15; ambulation, flatus, oral intake, length of stay, complications and mortality",yes,yes,yes,yes,unclear; major complications and mortality reported,no,NCT05396716,"[""PDF p.2, Abstract: multicenter randomized TEAS-versus-control hepatectomy trial with PONV, pain and recovery results."",""PDF p.3, Methods: adults undergoing hepatectomy under GA; web-based permuted-block randomization; bilateral PC6 surface-electrode stimulation beginning immediately after induction; inactive-electrode control; endotracheal GA regimen."",""PDF pp.4-5, Outcomes/Results: PONV, pain, PCA use, opioid consumption, QoR-15, gastrointestinal recovery, stay and complications; 159 participants in mITT analysis.""]","Eligible randomized surface-electrode PC6 TEAS trial in adult hepatectomy under GA, with therapeutic intraoperative stimulation, separable sham comparison, and multiple clinical perioperative outcomes.",yes; Covidence LibKey opened a 12-page publisher PDF and matching full-text HTML,yes,2026-08-09T14:49:35+02:00,none,"All participants received the same antiemetic and analgesic regimen, so the TEAS effect is separable."
4,35,Perioperative transcutaneous electrical acupoint stimulation at pericardium 6 reduces postoperative nausea and vomiting after tympanoplasty patients: a randomized controlled study.,"Luo, Lu",2026,10.1186/s12906-026-05357-8,Anonymized in the published report,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 randomization; sequentially numbered opaque sealed envelopes.,yes; ages 18-64,277,277,China,Tympanoplasty,yes,yes,"Sufentanil, propofol and rocuronium induction; supraglottic airway with controlled ventilation; sevoflurane and remifentanil maintenance.",TEAS,"Bilateral PC6 self-adhesive surface electrodes; 2 Hz stimulation, 2-20 mA to tolerable tingling, from induction to end of surgery.",Bilateral PC6 (Neiguan),2 Hz,Started at 1 mA and increased within 2-20 mA to tolerable tingling,From anaesthesia induction until end of surgery,yes,yes,At anaesthesia induction,yes,1,Identical electrode placement with stimulator off,yes,yes,PONV through 48 h; rescue antiemetic use; postoperative pain; perioperative opioid consumption; length of stay; recovery metrics; adverse events,yes,unclear,yes,yes,yes,no,,"[""PDF p.1, Abstract: randomized active-versus-sham TEAS trial with PONV, pain, rescue antiemetic and adverse-event outcomes."",""PDF p.2, Methods: adult tympanoplasty population, computer randomization with sealed envelopes, and standardized general anaesthesia."",""PDF p.3, Methods: supraglottic airway and sevoflurane/remifentanil GA; bilateral PC6 surface-electrode TEAS at 2 Hz and 2-20 mA from induction through surgery; inactive sham; clinical outcomes."",""PDF pp.3-5, Results: all 277 randomized participants analyzed with PONV, pain and adverse-event results.""]","Eligible randomized adult tympanoplasty trial under GA with therapeutic bilateral PC6 surface-electrode stimulation, inactive sham comparison, and clinical postoperative outcomes.",yes; Covidence LibKey opened matching 8-page publisher PDF,yes,2026-08-09T14:50:55+02:00,none,Registration identifier was masked as 'Anonymized' in the accessible full text.
5,41,Effects of electroacupuncture combined with flurbiprofen axetil on postoperative pain and early functional recovery after breast cancer surgery.,"He, Bi-Mei",2026,10.5306/wjco.v17.i2.114431,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,"Computerized random-length block randomization, 1:1, performed by investigators independent of anaesthesia and outcome recording.",yes; ages 18-75,130,130,China,Elective breast cancer surgery (mastectomy with sentinel-node biopsy or axillary dissection),yes,yes,"Uniform total intravenous GA induced with propofol and sufentanil, with vecuronium as needed and BIS-guided IV maintenance; no inhalational anaesthesia.",EA,Inserted 0.18 x 20 mm acupuncture needles at Zusanli and Sanyinjiao connected to Huatuo SDZ-V electrical stimulator; sparse-dense 2/10 Hz from 30 min pre-induction through wound closure.,ST36 (Zusanli) and SP6 (Sanyinjiao),2/10 Hz sparse-dense,Individual tolerance/soreness within a predefined safe range,30 min before anaesthesia induction until surgery end,yes,yes,30 min before anaesthesia induction,yes,1,Shallow needles 0.5 cm from true points connected to inactive stimulator,yes; both groups received postoperative flurbiprofen axetil,yes,"Postoperative pain at 24, 48 and 72 h; BADL at 24 h; PONV, appetite and other postoperative complications",no; rescue opioid consumption was not recorded or compared,no,yes,yes,yes; postoperative complications reported,no,Ethics approval BF2018-006-01,"[""PDF p.1, Abstract: 130 randomized adults received EA or sham from 30 min before induction to surgery end; both groups received flurbiprofen; pain, BADL and complications reported."",""PDF p.3, Methods: computerized block randomization; inserted needles at ST36/SP6 with 2/10 Hz electrical stimulation; shallow off-point inactive sham; total IV general anaesthesia; pain/BADL/complication outcomes."",""PDF pp.4-6, Results: all 130 participants analyzed with postoperative pain, function and PONV results.""]",Eligible randomized needle-based EA trial in adults undergoing breast cancer surgery under GA; EA versus inactive shallow-needle sham was separable because flurbiprofen background care was identical.,yes; Covidence LibKey opened a 9-page PDF and matching PMC full-text HTML,yes,2026-08-09T14:52:58+02:00,none,"Methods report 2/10 Hz; a later Discussion sentence says 2/100 Hz, so the audit uses the Methods value."
6,43,Effect of Continuous Perioperative Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients Undergoing Laparoscopic Gastrointestinal Surgery: A Randomized Controlled Trial.,"Gao, Lin",2026,10.2147/CIA.S581811,ChiCTR2300077309,INCLUDE,not_applicable,no,no,,primary three-arm randomized participant-results report,yes,yes,SPSS 25.0-generated 1:1:1 sequence with opaque-envelope concealment.,yes; age >=65,180,173,China,Elective laparoscopic gastrointestinal surgery,yes,yes,"Propofol, sufentanil and rocuronium induction; tracheal intubation and controlled ventilation; sevoflurane plus remifentanil maintenance.",TEAS,"Surface-electrode KWD-808I TEAS at EX-HN3 and bilateral HT7, PC6, ST36; 2/100 Hz, 5-30 mA, 30 min sessions. Both active groups treated 30 min pre-induction and pre-end of surgery; continuous group repeated every 8 h for 72 h.","EX-HN3 (Yintang), bilateral HT7, PC6 and ST36",2/100 Hz disperse-dense,5-30 mA to tingling but comfortable sensation,30 min per session; 2 sessions in Group B or 9 sessions through 72 h in Group A,yes,yes,30 min before anaesthesia induction,yes,"2 or 9, by active arm",Electrode patches without current,yes,yes,Postoperative delirium within 72 h; sleep; PONV; dizziness; time to flatus/defecation; skin injury,no; intraoperative doses tabulated but not an intervention endpoint,no,no,yes,yes,no,ChiCTR2300077309,"[""PDF p.3 / printed p.3, Methods: 180 adults randomized by SPSS with opaque envelopes to two active TEAS schedules or sham; 2/100 Hz surface-electrode stimulation at EX-HN3/HT7/PC6/ST36 beginning 30 min pre-induction."",""PDF p.4 / printed p.4, Anaesthesia and Evaluations: intubated general anaesthesia and clinical POD, PONV, sleep, gastrointestinal recovery and skin-injury outcomes."",""PDF pp.5-6 / printed pp.5-6, Results and Tables 1-2: 173 analyzed with POD, PONV, dizziness, GI recovery and adverse-event results.""]","Eligible three-arm randomized adult surgical TEAS trial under GA with pre-induction therapeutic acupoint stimulation, separable sham control and multiple clinical postoperative outcomes.",yes; Covidence-hosted 12-page PDF,yes,2026-08-09T14:54:09+02:00,none,Both active TEAS schedules are eligible; Group C is the common inactive-electrode comparator.
7,48,"Effect of transcutaneous electrical acupoint stimulation for preemptive analgesia on intraoperative opioid dosage in burn patients: a randomized, double-blind, controlled trial.","Liu, Qian",2026,10.1186/s13741-026-00656-7,ChiCTR2300078615,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 randomization with sequentially numbered opaque sealed envelopes.,yes; adult moderate-burn patients age <=60,102,86,China,Burn wound debridement,yes,yes,"Total IV GA with midazolam, sufentanil, etomidate and rocuronium induction; propofol, remifentanil and rocuronium maintenance with BIS/SPI guidance and endotracheal intubation.",TEAS,"HANS-200A surface-electrode stimulation at bilateral LI4, PC6, ST36 and SP6 for 30 min before induction; 2/100 Hz, <10 mA.","Bilateral LI4, PC6, ST36 and SP6",2/100 Hz,"<10 mA, increased to maximum acceptable intensity",30 minutes,yes,yes,30 min before anaesthesia induction,yes,1,Placebo-type HANS stimulator without therapeutic effect; both groups experienced acupoint numbness,yes,yes,"Intraoperative remifentanil consumption; perioperative pain; nausea/vomiting, constipation, drowsiness and dizziness through POD1; rescue analgesia; adverse events",yes,"yes; intraoperative remifentanil and POD1 rescue analgesia, but not total 24 h opioid consumption",yes,yes,yes,no,ChiCTR2300078615,"[""PDF p.1, Abstract: adult burn-debridement patients under GA randomized to 30-min pre-induction TEAS or false stimulation; remifentanil, pain and opioid-related adverse outcomes reported."",""PDF p.3, Methods: computer randomization with sealed envelopes; HANS surface-electrode TEAS at LI4/PC6/ST36/SP6, 2/100 Hz, <10 mA, 30 min before induction; total IV general anaesthesia; balanced PCIA."",""PDF p.4, Results: 86 analyzed participants; lower remifentanil dose, early pain and gastrointestinal adverse-event results.""]","Eligible randomized adult burn-debridement TEAS trial under GA, with pre-induction therapeutic acupoint stimulation, placebo stimulation control and clinical opioid/pain/adverse-event outcomes.",yes; Covidence LibKey opened matching 10-page publisher PDF,yes,2026-08-09T14:55:44+02:00,none,The Methods acupoint list repeats PC6 before 'Sanyinjiao'; the Abstract and clinical naming establish the fourth point as SP6.
8,71,"Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Acute Visceral, Incisional, and Low Back Pain and Recovery in Patients Undergoing Laparoscopic Hysterectomy: A Randomized Controlled Trial.",Zhang,2025,10.2147/JPR.S553932,ChiCTR2400093634,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Stata 15.0-generated 1:1 sequence with consecutively numbered sealed opaque envelopes.,yes; ages 18-65,108,93,China,Elective laparoscopic hysterectomy,yes,yes,"Sufentanil, propofol and rocuronium induction; tracheal intubation; propofol/remifentanil plus sevoflurane maintenance.",TEAS,"Bilateral LI4-PC6 and SP6-ST36 HANS-200F surface-electrode stimulation, 2/100 Hz, 1 mA below maximum tolerance, from 30 min pre-induction through surgery.","Bilateral LI4, PC6, SP6 and ST36",2/100 Hz dense-disperse,1 mA below maximum tolerance,30 min pre-induction through surgery,yes,yes,30 min before anaesthesia induction,yes,1,Identical electrodes with low-intensity sham 1 mA below sensory threshold,yes,yes,"Visceral, incisional and low-back pain on POD0-2; POD1 sufentanil and rescue analgesia; PONV and other adverse events; ambulation, oral intake, flatus, drain removal and discharge",yes,yes,yes,yes,yes,no,ChiCTR2400093634,"[""PDF p.2 / printed p.6478, Methods: adult laparoscopic-hysterectomy trial, Stata randomization and sealed envelopes."",""PDF p.3 / printed p.6479, Intervention: bilateral LI4/PC6/SP6/ST36 surface TEAS at 2/100 Hz beginning 30 min pre-induction versus low-intensity sham; pain outcomes."",""PDF p.4 / printed p.6480, Anaesthesia/Secondary outcomes: intubated GA, sufentanil consumption, rescue analgesia, PONV and recovery outcomes."",""PDF pp.5-10, Results: 93 analyzed participants and clinical outcome results.""]","Eligible randomized perioperative TEAS trial in adults undergoing laparoscopic hysterectomy under GA, with separable sham comparison and clinical pain/opioid/recovery outcomes.",yes; Covidence-hosted 13-page PDF,yes,2026-08-09T14:57:16+02:00,none,Minimally active sub-sensory sham retained as an eligible comparator.
9,72,"Effects of Transcutaneous Electrical Acupoint Stimulation on Recovery After Gynecological Laparoscopic Surgery: A Randomized, Single-Blind, Controlled Trial.",Zheng,2025,10.2147/JPR.S543574,ChiCTR2200058283,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer/SPSS-generated 1:1 sequence with sequentially numbered opaque sealed envelopes.,yes; ages 18-65,88,85,China,Gynecological laparoscopic surgery,yes,yes,"Sufentanil, rocuronium and propofol induction; tracheal intubation; propofol/remifentanil plus sevoflurane maintenance; bilateral TAP blocks balanced.",TEAS,"Bilateral PC6, ST36 and LI4 surface-electrode TEAS, 2/100 Hz, 6-15 mA, starting 30 min pre-induction and ending with anaesthesia.","Bilateral PC6, ST36 and LI4",2/100 Hz sparse-dense,"6 mA increasing to maximum tolerable, <=15 mA",30 min before induction until end of anaesthesia,yes,yes,30 min before anaesthesia induction,yes,1,Identical electrodes without current,yes,yes,24-h PONV; QoR-40; sleep; pain; PCIA use; GI recovery; adverse events; flatus and stay,yes,yes; PCIA usage,yes,yes,yes,no,ChiCTR2200058283,"[""PDF p.2 / printed p.6450, Methods: adult gynecologic laparoscopy under GA and trial registration."",""PDF p.3 / printed p.6451, Randomization/Intervention/Anaesthesia: computerized sequence with sealed envelopes; PC6/ST36/LI4 surface TEAS 2/100 Hz, 6-15 mA, starting 30 min pre-induction; no-current control; balanced GA/TAP block."",""PDF p.4 / printed p.6452, Outcomes: PONV, QoR-40, sleep, pain, PCIA, GI recovery and adverse events."",""PDF pp.5-8, Results: 85 analyzed participants with clinical outcome results.""]","Eligible randomized adult surgical TEAS trial under GA with pre-induction stimulation, inactive-electrode control and clinical recovery/PONV/pain outcomes.",yes; Covidence-hosted 14-page PDF,yes,2026-08-09T14:57:16+02:00,none,Bilateral TAP block and other perioperative care were identical in both arms.
10,75,Effects of electroacupuncture on the incidence of postoperative supraventricular arrhythmia and sleep quality in patients undergoing thoracoscopic surgery: a randomized controlled trial.,"Liu, Jie",2025,10.3389/fneur.2025.1580759,ChiCTR2300077984,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SPSS-generated 1:1 sequence with serially numbered sealed opaque envelopes.,yes; ages 20-80,80,77,China,Single-port thoracoscopic lung cancer surgery,yes,yes,"Sufentanil, propofol and vecuronium induction; double-lumen intubation and one-lung ventilation; remifentanil plus sevoflurane maintenance.",EA,"Inserted needles at operative-side PC6 and SP4 connected to SDZ-II; 2/100 Hz, 8-12 mA from 30 min pre-induction through surgery, repeated at postoperative hour 24.",Operative-side PC6 and SP4,2/100 Hz,"Maximum tolerated, usually 8-12 mA",30 min before induction through surgery; repeat 30 min at postoperative hour 24,yes,yes,30 min before anaesthesia induction,yes,2,Needles at non-specific nearby points with the same procedure (active non-acupoint electrical comparator),yes,yes; estimates acupoint-specific EA effect versus non-acupoint EA,24-h postoperative supraventricular tachyarrhythmia; sleep architecture/quality; beta-blocker use; postoperative pain; acupuncture-site adverse events,no,no,yes,no,yes,no,ChiCTR2300077984,"[""PDF p.2, Methods: adult thoracoscopic lung surgery, SPSS randomization; inserted PC6/SP4 needles with 2/100 Hz current beginning 30 min pre-induction versus non-acupoint needling/electrical procedure."",""PDF p.3, Anaesthesia/Outcomes: double-lumen intubated GA, arrhythmia, sleep, beta-blocker and pain outcomes."",""PDF pp.4-6, Results: 77 analyzed; postoperative arrhythmia, sleep, pain and acupuncture-site adverse-event results.""]",Eligible randomized needle-based EA trial in adults undergoing thoracoscopic surgery under GA; active non-acupoint electrical comparator retained separately under the protocol.,yes; Covidence-hosted 10-page PDF,yes,2026-08-09T14:57:16+02:00,none,Control is an active non-acupoint electrical comparator rather than inactive sham.
