screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,companion_identifiers,evidence_summary,notes
73,775,Electroacupuncture reduces duration of postoperative ileus after laparoscopic surgery for colorectal cancer.,"Ng, Simon S.M.",2012,10.1053/j.gastro.2012.10.050,NCT00464425,"NCT00464425; possible related interim/companion Covidence records #2470, #2625 and #4322",Randomized adult colorectal-surgery EA trial under general anaesthesia with separable sham/no-acupuncture comparators and clinical recovery outcomes; retained and flagged because postoperative day 1 does not resolve the <=24-hour timing threshold.,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Possible companion reports are recorded but not merged.
78,433,Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.,"Zhou, Xin",2021,10.2147/CMAR.S292325,ChiCTR1900022692,ChiCTR1900022692; PMCID PMC7886100; exact duplicate citation appears as Covidence #1141,Randomized adult gastrectomy trial under general anaesthesia with separable therapeutic TEAS and eligible clinical outcomes; retained and flagged because POD1 treatment timing does not resolve the <=24-hour threshold.,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Exact duplicate #1141 should not be screened independently.
80,765,The Effect of Acupuncture on Relieving Pain after Inguinal Surgeries.,"Taghavi, Rahim",2013,10.3344/kjp.2013.26.1.46,not reported,PMCID PMC3546210; exact duplicate citation appears as Covidence #1556,"Randomized inguinal-surgery EA trial under explicit general anaesthesia with eligible preoperative electrical needle stimulation, inactive-current control and pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",NEEDS_HUMAN_REVIEW - mixed adult/pediatric population. Exact duplicate #1556 should not be screened independently.
87,3795,Needleless transcutaneous electrical acustimulation accelerates post-surgical recovery mediated via autonomic mechanisms in patients with gastrointestinal cancers.,"Zhang, B.",2017,not reported,not reported,Possible related pilot/full reports Covidence #3690 and #556; 32 gastrointestinal-cancer surgery patients,"Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.
88,3690,Needleless transcutaneous electrical acustimulation: A pilot study evaluating improvement in post-operative recovery.,"Zhang, B.",2018,10.1111/1751-2980.12664,not reported,Possible related reports Covidence #3795 and #556; 42 gastrointestinal-cancer surgery patients,"Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.
94,4322,Electroacupuncture for postoperative ileus after laparoscopic colorectal surgery: An interim analysis of a randomized sham-controlled study.,"Ng, S.S.",2010,not reported,NCT00464425 (identified from companion full report),NCT00464425; interim companion to Covidence #775 and possible related #2470/#2625/#1970,"Results-bearing randomized interim report with operative colorectal surgery, inserted-needle EA, separable sham/no-acupuncture controls and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA and <=24-hour POD1 timing are unresolved in this report.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
95,2426,ELECTROACUPUNCTURE COMBINED WITH FAST-TRACK PERIOPERATIVE PROGRAM FOR REDUCING DURATION OF POSTOPERATIVE ILEUS AND HOSPITAL STAY AFTER LAPAROSCOPIC COLORECTAL SURGERY: a RANDOMIZED CONTROLLED TRIAL.,"Ng, S.S.",2021,10.1016/S0016-5085(21)02865-1,NCT04090073,NCT04090073; related Ng investigator group but distinct trial from NCT00464425,"Results-bearing randomized surgical conference report with a separable EA addition to shared fast-track care and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA, intervention detail and <=24-hour timing are unresolved.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
96,1485,A randomized double-blinded sham controlled study of electro-acupuncture for the management of postoperative pain after percutaneous nephrolithotomy.,"Chugh, R.",2016,10.1089/end.2016.29020.abstracts,not reported,Pilot/companion to Covidence #519 and related abstracts #1512/#1514,"Results-bearing randomized PCNL conference report with therapeutic preoperative EA, separable sham/no-EA controls and pain/opioid/PONV outcomes; retained and flagged because adult-only enrollment, GA and technical intervention details are unresolved.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
97,1512,Post-operative pain management after percutaneous nephrolithotomy: a randomized double-blind controlled study assessing electro-acupuncture,"Parkhomenko, E.",2017,10.1089/end.2017.29029.abstracts,not reported,Companion to Covidence #1485 and likely #1514/#519,"Results-bearing randomized PCNL conference report with therapeutic preoperative EA, separable sham/no-acupuncture controls and pain/opioid/PONV outcomes; retained and flagged because adult-only enrollment, GA and technical intervention details are unresolved.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
98,1514,A randomized double-blind controlled study assessing electro-acupuncture for the management of post-operative pain after percutaneous nephrolithotomy,"Parkhomenko, E.",2017,not reported,not reported,Companion to Covidence #1485/#1512 and likely #519,"Results-bearing randomized PCNL conference report with therapeutic preoperative EA, separable sham/no-acupuncture controls and pain/opioid/PONV outcomes; retained and flagged because adult-only enrollment, GA and technical intervention details are unresolved.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
