screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_local_path,pdf_attached_to_covidence,retrieval_timestamp,qc_incident_type,qc_incident_status,qc_full_article_local_path
73,775,Electroacupuncture reduces duration of postoperative ileus after laparoscopic surgery for colorectal cancer.,"Ng, Simon S.M.",2012,10.1053/j.gastro.2012.10.050,INCLUDE,not_applicable,yes,"UNCERTAIN_TIMING: the first session was on postoperative day 1, which does not establish whether treatment began within or beyond 24 hours.",,,,yes,2026-08-09T16:56:00+02:00,NCT00464425,no,primary randomized participant-results report,yes,yes,Computer-generated simple randomization in a 1:1:1 ratio with sealed envelope allocation.,yes,Laparoscopic colorectal-cancer resection,yes,yes,Full-text Methods explicitly state laparoscopic surgery was performed under general anesthesia.,EA,"Inserted needles at ST36, SP6, LI4 and TE6 with ES-160 electrical stimulation; sham needles were superficial and off-acupoint without effective electrical stimulation.","ST36, SP6, LI4 and TE6",yes,yes,Postoperative day 1,uncertain,Sham acupuncture and no-acupuncture arms,yes,yes,"Time to defecation, postoperative analgesic requirement, time to ambulation, postoperative ileus and hospital length of stay",yes; pethidine requirement,not explicitly 24-hour endpoint,yes; analgesic requirement,no,yes,yes,"NCT00464425; possible related interim/companion Covidence records #2470, #2625 and #4322","Publisher full-text HTML / journal pp.307-313.e1, Methods: laparoscopic colorectal surgery under general anesthesia; computer-generated randomization to EA, sham acupuncture or no acupuncture. | Publisher full-text HTML / journal Methods - Interventions: daily treatment from postoperative day 1 to 4; inserted-needle EA at ST36/SP6/LI4/TE6 with electrical stimulation; sham and no-acupuncture comparators described. | Publisher full-text HTML / journal Results: defecation, analgesic requirement, ambulation, postoperative ileus and hospital-stay outcomes reported by randomized group.",Randomized adult colorectal-surgery EA trial under general anaesthesia with separable sham/no-acupuncture comparators and clinical recovery outcomes; retained and flagged because postoperative day 1 does not resolve the <=24-hour timing threshold.,yes; complete Gastroenterology publisher HTML and downloadable PDF available,"The immediate post-click snapshot still contained the card during transition; after a short read-only wait the unique card count was zero, confirming registration without a second click.",NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Possible companion reports are recorded but not merged.,,,,,,,,,
78,433,Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.,"Zhou, Xin",2021,10.2147/CMAR.S292325,INCLUDE,not_applicable,yes,"UNCERTAIN_TIMING: the first treatment was at 08:00 on postoperative day 1, but the report does not establish whether this was within or beyond 24 hours of surgery.",,,,yes,2026-08-09T16:52:41+02:00,ChiCTR1900022692,no,primary unblinded randomized participant-results report,yes,yes,SPSS-generated random-number table allocated eligible patients 1:1 to TEAS or control.,yes; ages 18-75,Laparoscopic or robotic radical gastrectomy for gastric cancer,yes,yes,Eligibility required epidural-assisted general anaesthesia; the same anaesthesia team and ERAS protocol were used across groups.,TEAS,"Surface-pad TEAS at LI4, PC6, BL21, BL27, ST36 and ST37 with an SDZ-II device at alternating 20/100 Hz for 30 minutes twice daily on postoperative days 1-3.","LI4, PC6, BL21, BL27, ST36 and ST37",yes,yes,08:00 on postoperative day 1,uncertain,Same ERAS pathway without TEAS,yes,yes,"Pain through POD5, opioid and NSAID consumption, PONV, flatus/defecation, complications and length of stay",yes,"POD1 opioid-use data reported, not a clearly bounded 24-hour total",yes,yes,yes; no TEAS adverse event reported,yes,ChiCTR1900022692; PMCID PMC7886100; exact duplicate citation appears as Covidence #1141,"PMC full text, Trial Design, Participants and Randomization: adult radical-gastrectomy patients were randomized by SPSS random-number table; epidural-assisted general anaesthesia was required and a common ERAS pathway was used. | PMC full text, Intervention and Devices: surface-pad TEAS at LI4/PC6/BL21/BL27/ST36/ST37, alternating 20/100 Hz, began at 08:00 on POD1 and continued twice daily through POD3; no-TEAS control. | PMC full text, Outcomes and Results Tables 3-4: pain through POD5, opioid use, nausea, bowel recovery, complications and length of stay were reported by randomized group.",Randomized adult gastrectomy trial under general anaesthesia with separable therapeutic TEAS and eligible clinical outcomes; retained and flagged because POD1 treatment timing does not resolve the <=24-hour threshold.,yes; complete PMC full-text HTML readable in Chrome,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Exact duplicate #1141 should not be screened independently.,,,,,,,,,
80,765,The Effect of Acupuncture on Relieving Pain after Inguinal Surgeries.,"Taghavi, Rahim",2013,10.3344/kjp.2013.26.1.46,INCLUDE,not_applicable,yes,OTHER_SPECIFIED_UNCERTAINTY: the enrolled population ranged from age 12 to 55 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,,,,yes,2026-08-09T16:54:31+02:00,not reported,no,primary prospective randomized participant-results report,yes,yes,Ninety patients were randomly divided equally between true electroacupuncture and control groups.,"mixed adult/pediatric; ages 12-55, adult subgroup not separately extractable",Inguinal surgeries,yes,yes,"All participants received the same general anaesthesia with fentanyl, thiopental, atracurium and propofol maintenance.",EA,"Inserted needles at LI4, ST36 and peri-incisional points connected to an SDZ V stimulator, intermittent 2 Hz at 2-5 mA, 30 minutes before surgery and again 1 and 2 hours postoperatively.","LI4, ST36 and defined peri-incisional points",yes,yes,30 minutes before surgery,yes,Needles placed identically without electrical stimulation,yes,yes,"Pain VAS through 6 hours, time to rescue analgesia, PCA opioid use and opioid-related nausea, vomiting, dizziness and pruritus",yes,6-hour PCA opioid outcomes reported,yes,yes,yes; opioid-related adverse effects,yes,PMCID PMC3546210; exact duplicate citation appears as Covidence #1556,"PMC full text, Materials and Methods: prospective randomized double-blind placebo-controlled study of 90 inguinal-surgery patients; common general anaesthesia regimen is explicit. | PMC full text, Materials and Methods: needles at LI4/ST36/peri-incisional points delivered 2 Hz, 2-5 mA EA beginning 30 minutes preoperatively; control needles received no current. | PMC full text, Results and Table 1/Figure 1: pain scores, rescue timing, six-hour PCA opioid consumption and opioid-related adverse effects were reported by randomized group; ages ranged 12-55.","Randomized inguinal-surgery EA trial under explicit general anaesthesia with eligible preoperative electrical needle stimulation, inactive-current control and pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",yes; complete PMC full-text HTML readable in Chrome,none,NEEDS_HUMAN_REVIEW - mixed adult/pediatric population. Exact duplicate #1556 should not be screened independently.,,,,,,,,,
87,3795,Needleless transcutaneous electrical acustimulation accelerates post-surgical recovery mediated via autonomic mechanisms in patients with gastrointestinal cancers.,"Zhang, B.",2017,not reported,INCLUDE,not_applicable,yes,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,,,,yes,2026-08-09T17:04:45+02:00,not reported,no,results-bearing randomized conference report,yes,yes,Thirty-two adults were stated to be randomized equally to TEA or sham TEA.,yes; mean age 65.4 years,Major abdominal surgery for gastrointestinal cancers,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from abdominal surgery alone.,TEAS (described as needleless transcutaneous electroacupuncture),One-hour surface electrical stimulation at ST36 and PC6 twice daily on postoperative days 1-3.,ST36 and PC6,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,Identical stimulation protocol at non-acupoints,not described in detail,yes,"Time to defecation, flatus, ambulation, diet resumption, hospital stay and postoperative pain",no,no,yes,no,not reported,yes,Possible related pilot/full reports Covidence #3690 and #556; 32 gastrointestinal-cancer surgery patients,"Covidence conference-report abstract, Methods: 32 adults undergoing major GI-cancer surgery were randomized to ST36/PC6 TEA or non-acupoint sham, beginning POD1. | Covidence conference-report abstract, Results: flatus, defecation, diet, hospital stay and pain outcomes are reported numerically by randomized group. | Covidence conference-report abstract: anaesthesia type and exact POD1 treatment clock time are not reported.","Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.,,,,,,,,,
88,3690,Needleless transcutaneous electrical acustimulation: A pilot study evaluating improvement in post-operative recovery.,"Zhang, B.",2018,10.1111/1751-2980.12664,INCLUDE,not_applicable,yes,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,,,,yes,2026-08-09T17:05:36+02:00,not reported,no,results-bearing randomized conference report,yes,yes,Forty-two adults were stated to be randomized equally to TEA or sham TEA.,yes; mean age 69.5 years,Abdominal surgical removal of gastrointestinal cancers,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,TEAS (described as needleless transcutaneous electrical acustimulation),One-hour ST36 and PC6 surface electrical stimulation twice daily on postoperative days 1-3.,ST36 and PC6,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,Sham TEA at non-acupoints,not described in detail,yes,"Time to defecation, flatus, ambulation, diet resumption, hospital stay and pain",no,no,yes,no,not reported,yes,Possible related reports Covidence #3795 and #556; 42 gastrointestinal-cancer surgery patients,"Covidence conference-report abstract, Methods: 42 adults undergoing GI-cancer resection were randomized to ST36/PC6 TEA or non-acupoint sham, beginning POD1. | Covidence conference-report abstract, Results: defecation, flatus, ambulation, diet, hospital stay and pain effects are reported numerically by group. | Covidence conference-report abstract: anaesthesia type and exact POD1 treatment clock time are not reported.","Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.,,,,,,,,,
94,4322,Electroacupuncture for postoperative ileus after laparoscopic colorectal surgery: An interim analysis of a randomized sham-controlled study.,"Ng, S.S.",2010,not reported,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING; OTHER_SPECIFIED_UNCERTAINTY: the conference report does not state anaesthesia type, exact POD1 treatment clock time, or participant ages.",,,,yes,2026-08-09T17:10:41+02:00,NCT00464425 (identified from companion full report),no,results-bearing randomized interim conference report,yes,yes,"Consecutive laparoscopic colorectal-cancer patients were stated to be randomly allocated to EA, sham acupuncture or no acupuncture.",uncertain in this report; ages not reported,Elective laparoscopic colonic or upper-rectal cancer resection,yes,uncertain in this report,"Anaesthesia type is not reported in this conference report; the related full publication reports GA, but subgroup identity was not invented.",EA,"Daily 15-minute inserted-needle EA at ST36, SP6, LI4 and TE6 on postoperative days 1-4.","ST36, SP6, LI4 and TE6 (Zhigou)",yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,Sham acupuncture and no-acupuncture arms,not described in detail,yes,"Time to defecation, diet resumption, hospital stay and acupuncture adverse events",no,no,no,no,yes; no acupuncture-related adverse events,yes,NCT00464425; interim companion to Covidence #775 and possible related #2470/#2625/#1970,"Covidence conference-report abstract, Methods: patients undergoing elective laparoscopic colorectal-cancer resection were randomized to EA, sham or no acupuncture; daily POD1-POD4 EA points and duration are reported. | Covidence conference-report abstract, Results: 108 randomized patients and numerical defecation, diet and hospital-stay outcomes are reported by group. | Covidence conference-report abstract: participant ages, anaesthesia type and exact POD1 treatment clock time are not reported.","Results-bearing randomized interim report with operative colorectal surgery, inserted-needle EA, separable sham/no-acupuncture controls and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA and <=24-hour POD1 timing are unresolved in this report.",yes; the complete results-bearing conference report is the Covidence abstract,none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
95,2426,ELECTROACUPUNCTURE COMBINED WITH FAST-TRACK PERIOPERATIVE PROGRAM FOR REDUCING DURATION OF POSTOPERATIVE ILEUS AND HOSPITAL STAY AFTER LAPAROSCOPIC COLORECTAL SURGERY: a RANDOMIZED CONTROLLED TRIAL.,"Ng, S.S.",2021,10.1016/S0016-5085(21)02865-1,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING; OTHER_SPECIFIED_UNCERTAINTY: the results-bearing conference report does not state participant ages, anaesthesia type, or the first EA session timing/details.",,,,yes,2026-08-09T17:11:21+02:00,NCT04090073,no,results-bearing randomized conference report,yes,yes,Seventy-two consecutive laparoscopic colorectal-cancer patients were randomized equally to EA plus fast-track care or fast-track care alone.,uncertain in this report; ages not reported,Elective laparoscopic colonic or upper-rectal cancer resection,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,EA,"EA added to an otherwise shared fast-track perioperative programme; acupoints, current parameters and first-session timing are not stated in the conference report.",not reported in this conference report,yes by explicit electroacupuncture terminology,yes,not reported,uncertain,Identical fast-track programme without EA,yes; fast-track programme shared,yes,"Time to defecation and flatus, pain, hospital stay, morbidity, quality of life, costs and EA adverse events",no,no,yes,no,yes; no EA-related adverse events,yes,NCT04090073; related Ng investigator group but distinct trial from NCT00464425,"Covidence conference-report abstract, Methods: 72 laparoscopic colorectal-cancer patients were randomized to EA+fast-track or the same fast-track programme alone. | Covidence conference-report abstract, Results: defecation, flatus, pain, hospital stay, morbidity, quality-of-life, cost and adverse-event results are reported by randomized group. | Covidence conference-report abstract: participant ages, anaesthesia type, acupoints/current and first EA timing are not reported.","Results-bearing randomized surgical conference report with a separable EA addition to shared fast-track care and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA, intervention detail and <=24-hour timing are unresolved.","yes; the complete results-bearing conference report is the Covidence abstract, with an Open Access library route also displayed",none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
96,1485,A randomized double-blinded sham controlled study of electro-acupuncture for the management of postoperative pain after percutaneous nephrolithotomy.,"Chugh, R.",2016,10.1089/end.2016.29020.abstracts,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state participant ages, anaesthesia type, acupuncture points or electrical parameters.",,,,yes,2026-08-09T17:12:14+02:00,not reported,no,results-bearing randomized pilot conference report,yes,yes,"Thirty PCNL patients were randomized to true preoperative EA, sham EA or no EA in a double-blinded pilot study.",uncertain in this report; ages not reported,Percutaneous nephrolithotomy,yes,uncertain,"Anaesthesiologists were blinded, but anaesthesia type/airway/regimen is not stated; GA was not inferred from surgery type.",EA,True preoperative electroacupuncture compared with sham electroacupuncture and no acupuncture; technical points/current are not reported in the conference report.,not reported in this conference report,yes by explicit electroacupuncture terminology,yes,Preoperative,yes,Sham electroacupuncture and no electroacupuncture,standard PCNL protocol; no intraoperative nerve block,yes,"Pain VAS immediately through four hours and POD1, narcotic use, PONV and hospital stay",yes; morphine-milligram-equivalent narcotic use,not clearly reported,yes,yes,not central,yes,Pilot/companion to Covidence #519 and related abstracts #1512/#1514,"Covidence conference-report abstract, Materials and Methods: 30 PCNL patients were randomized double-blind to preoperative true EA, sham EA or no EA with standard surgery and no nerve block. | Covidence conference-report abstract, Results: pain scores and morphine-equivalent narcotic use are reported by group; PONV and stay were recorded. | Covidence conference-report abstract: participant ages, anaesthesia type, acupuncture points and current parameters are not reported.","Results-bearing randomized PCNL conference report with therapeutic preoperative EA, separable sham/no-EA controls and pain/opioid/PONV outcomes; retained and flagged because adult-only enrollment, GA and technical intervention details are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
97,1512,Post-operative pain management after percutaneous nephrolithotomy: a randomized double-blind controlled study assessing electro-acupuncture,"Parkhomenko, E.",2017,10.1089/end.2017.29029.abstracts,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state participant ages, anaesthesia type, acupuncture points or electrical parameters.",,,,yes,2026-08-09T17:14:00+02:00,not reported,no,results-bearing randomized conference report,yes,yes,"Fifty-one PCNL patients were randomized equally to true EA, sham EA or no acupuncture in a double-blind study.",uncertain in this report; ages not reported,Percutaneous nephrolithotomy,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,EA,Licensed acupuncturist delivered true EA one hour preoperatively; sham EA and no-acupuncture control arms were used. Points and current parameters are not reported in this conference abstract.,not reported in this conference report,yes by explicit electroacupuncture terminology,yes,One hour before surgery,yes,Sham electroacupuncture and no acupuncture,PCNL by one surgeon under standard protocol without intraoperative nerve block or local anaesthetic,yes,"Postoperative pain VAS, cumulative opioid use, nausea/vomiting and adverse effects",yes; morphine-equivalent narcotic use,not clearly reported,yes,yes; no group difference,yes; no EA adverse effects,yes,Companion to Covidence #1485 and likely #1514/#519,"Covidence conference-report abstract, Materials and Methods: 51 PCNL patients were randomized equally to true EA, sham EA or no acupuncture; EA was delivered one hour before surgery. | Covidence conference-report abstract, Results: pain scores and cumulative morphine-equivalent opioid use are reported by randomized group, with nausea/vomiting and adverse effects also reported. | Covidence conference-report abstract: participant ages, anaesthesia type, acupuncture points and electrical parameters are not reported.","Results-bearing randomized PCNL conference report with therapeutic preoperative EA, separable sham/no-acupuncture controls and pain/opioid/PONV outcomes; retained and flagged because adult-only enrollment, GA and technical intervention details are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
98,1514,A randomized double-blind controlled study assessing electro-acupuncture for the management of post-operative pain after percutaneous nephrolithotomy,"Parkhomenko, E.",2017,not reported,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state participant ages, anaesthesia type, acupuncture points or electrical parameters.",,,,yes,2026-08-09T17:14:39+02:00,not reported,no,results-bearing randomized conference report,yes,yes,"Fifty PCNL patients were randomized to true EA, sham EA or no acupuncture in a double-blind study.",uncertain in this report; ages not reported,Percutaneous nephrolithotomy,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,EA,Licensed acupuncturist delivered true EA one hour preoperatively; sham EA and no-acupuncture control arms were used. Points and current parameters are not reported in this conference abstract.,not reported in this conference report,yes by explicit electroacupuncture terminology,yes,One hour before surgery,yes,Sham electroacupuncture and no acupuncture,PCNL by one surgeon under standard protocol without intraoperative nerve block or local anaesthetic,yes,"Postoperative pain VAS, cumulative opioid use, nausea/vomiting and adverse effects",yes; morphine-equivalent narcotic use,not clearly reported,yes,yes; no group difference,yes; no EA adverse effects,yes,Companion to Covidence #1485/#1512 and likely #519,"Covidence conference-report abstract, Methods: 50 PCNL patients were randomized to true EA, sham EA or no acupuncture; EA was delivered one hour before surgery. | Covidence conference-report abstract, Results: pain scores and cumulative morphine-equivalent opioid use are reported by randomized group; nausea/vomiting and adverse effects are also reported. | Covidence conference-report abstract: participant ages, anaesthesia type, acupuncture points and electrical parameters are not reported.","Results-bearing randomized PCNL conference report with therapeutic preoperative EA, separable sham/no-acupuncture controls and pain/opioid/PONV outcomes; retained and flagged because adult-only enrollment, GA and technical intervention details are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
