screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_attached_to_covidence,retrieval_timestamp,pdf_local_path,qc_incident_type,qc_incident_status,qc_full_article_local_path
11,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,Sun,2025,10.3389/fneur.2025.1668610,INCLUDE,not_applicable,yes,Mixed anaesthetic techniques were used and outcomes were not reported separately by general-anaesthesia subgroup.,,,,yes,2026-08-09T15:01:35+02:00,ChiCTR-INR-17012951,no,primary randomized participant-results report,yes,yes,Computer/R-generated 1:1 allocation,yes; age >65,608,592,China,Elective orthopedic surgery,yes,mixed; some participants received spinal anaesthesia,"Propofol/remifentanil GA; lower-limb procedures could receive spinal anaesthesia, with GA plus regional block when spinal was contraindicated; upper-limb procedures received GA plus brachial plexus block.",TEAS,Surface-electrode TEAS at bilateral ST36-LR3 and LI4-PC6 twice daily for three preoperative days plus 30 min starting 30 min before induction.,"Bilateral ST36, LR3, LI4 and PC6",2/100 Hz dispersed-dense,Maximum tolerable,30 min per session,yes,yes,3 days preoperatively,yes,7,Visually identical modified device with no current on same schedule,yes,yes,Postoperative delirium through day 5; cognition; sleep; pain; inflammatory/brain-injury biomarkers,yes; postoperative sufentanil PCIA and rescue pethidine described,unclear,yes,no,unclear,no,ChiCTR-INR-17012951,"PDF p.2, Methods/Participants: prospective randomized trial in adults >65 undergoing elective orthopedic surgery. | PDF p.3, Intervention: bilateral ST36/LR3/LI4/PC6 TEAS 2/100 Hz, maximum tolerable intensity, seven 30-min preoperative sessions versus no-current sham. | PDF p.3, Anaesthesia: mixed spinal and general anaesthesia depending on surgical site; no outcome stratification by anaesthetic technique reported. | PDF p.3, Endpoints: postoperative delirium through day 5 plus cognitive, sleep and pain outcomes. | PDF p.4, Results: 608 randomized and 592 analyzed.","Randomized therapeutic TEAS trial with eligible clinical outcomes; retained because some patients clearly underwent GA, but mixed spinal/GA outcome separability is unresolved and was flagged for human review rather than used for exclusion.",yes; Covidence-hosted 9-page PDF,none,Sensitivity-first retention under the protocol; requires adjudication of mixed-anaesthesia eligibility.,,,,,,,,,
19,137,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,Cai,2025,10.1245/s10434-025-17239-3,INCLUDE,not_applicable,yes,General anaesthesia was not explicitly stated and airway/anaesthetic technique was not described; laparoscopic radical gastrectomy strongly suggests GA but is not sufficient for definitive classification without human adjudication.,,,,yes,2026-08-09T15:09:11+02:00,ChiCTR2100050660,no,primary randomized participant-results report,yes,yes,Independent random-number sequence with opaque sealed envelopes; 1:1 block randomization,yes; age >18,101,98,China,Laparoscopic radical gastrectomy for gastric cancer,yes,unclear,"Standardized ERAS described minimum-dose anesthesia and balanced narcotic/pain-medication use, but did not specify general anaesthesia, airway management or ventilation.",EA,"Inserted bilateral needles at ST36, SP6 and LI4 connected to SDZ-V; 10 Hz, 2-5 mA for 30 min at 2 h after surgery and mornings of the first 2 postoperative days.","Bilateral ST36, SP6 and LI4",10 Hz continuous,"2-5 mA, tolerable range",30 min per session,yes,yes,2 h after surgery,yes,3,Same needle procedure and electrodes with no current,yes,yes,First flatus/oral feeding/bowel-sound recovery; postoperative stay; complications; acupuncture adverse events,no; background narcotic use stated balanced,no,no,no,yes,no,ChiCTR2100050660,"PDF p.2 / printed p.5166, Methods: randomized adult laparoscopic radical-gastrectomy trial; anaesthetic technique not specified. | PDF p.3 / printed p.5167, Intervention: inserted bilateral ST36/SP6/LI4 needles with SDZ-V 10 Hz, 2-5 mA for 30 min versus same procedure without current. | PDF p.1 abstract and PDF pp.3-4, Timing/Outcomes: first EA 2 h after surgery, repeated on first two mornings; GI recovery, stay, complications and adverse events; 101 randomized/98 analyzed.","Randomized adult operative EA trial with eligible timing, comparator and clinical GI outcomes; retained with human-review flag because the full text does not explicitly establish general anaesthesia.","yes; publisher PDF reached from Covidence LibKey link, 22 pages",LibKey landing page did not render; publisher PDF was obtained through the DOI-linked Springer URL without authentication.,Sensitivity-first retention; NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported.,,,,,,,,,
23,176,"A Randomized Controlled Trial Assessing the Impact of Transcutaneous Electrical Acupoint Stimulation on Gastrointestinal Motility, Nutritional Status, and Immune Function in Patients Following Cerebrovascular Accident Surgery.",Chen,2024,10.1080/08941939.2024.2434093,INCLUDE,not_applicable,yes,"General anaesthesia was not explicitly reported, and TEAS timing was stated as within 24-48 h after cerebrovascular onset or before enteral feeding rather than relative to surgery; neither criterion could be definitively excluded.",,,,yes,2026-08-09T15:49:00+02:00,ChiCTR2000041379,no,primary randomized participant-results report,yes,yes,"Independent SPSS-generated block randomization, block length 4, with opaque sealed envelopes",yes; ages 18-65,300,300,China,Surgery for severe cerebrovascular accident followed by ICU care,yes,unclear,"Postoperative ICU mechanical ventilation was an inclusion criterion, but the operative anaesthetic and airway technique were not reported.",TEAS,"Surface electrodes at bilateral ST25 and ipsilateral ST36, ST37, PC6 and LI4 using three HANS-200A devices, 2/100 Hz, 0-50 mA adjusted to slight contraction/tremor, 30 min twice daily for 2 weeks.","Bilateral ST25 and ipsilateral ST36, ST37, PC6 and LI4",2/100 Hz sparse-dense,"0-50 mA, adjusted to slight muscle contraction or tremor",30 min twice daily for 2 weeks,yes,yes,Within 24-48 h after cerebrovascular onset or before enteral nutrition; exact interval after surgery not stated,unclear,28,Same acupoint electrodes and duration as sham TEAS plus identical nutritional/ICU care,yes,yes,Gastric residual volume; feeding milestones; first bowel movement and stool milestones; clinical scales; ICU stay; adverse events,no,no,no,no,yes,no,ChiCTR2000041379,"Taylor & Francis full-text HTML, Methods/Study subjects/Randomization: 300 adults after cerebrovascular surgery were block-randomized 1:1 with sealed envelopes; operative anaesthetic technique not reported. | Taylor & Francis full-text HTML, Treatment methods: HANS-200A surface-electrode TEAS at ST25/ST36/ST37/PC6/LI4, 2/100 Hz, 0-50 mA for 30 min twice daily versus sham; first treatment tied to 24-48 h after onset/before enteral feeding rather than surgery. | Taylor & Francis full-text HTML, Outcome measurements/Results: GI recovery, ICU stay and adverse-event participant results for 300 patients.",Randomized adult postoperative TEAS trial with separable sham comparison and eligible GI/ICU outcomes; retained with human-review flags because both GA and surgery-relative first-treatment timing remain unresolved.,"no; publisher PDF control did not yield a file, but complete open-access full-text HTML was usable","Covidence LibKey did not render; complete DOI-linked Taylor & Francis HTML was accessible. PDF page numbers unavailable, so exact section evidence is recorded.",Sensitivity-first retention; NEEDS_HUMAN_REVIEW — anaesthesia type and surgery-relative timing unreported.,,,,,,,,,
36,351,"Effect of acupuncture on postoperative ileus after laparoscopic elective colorectal surgery: A prospective, randomised, controlled trial.",Yang,2022,10.1016/j.eclinm.2022.101472,INCLUDE,not_applicable,yes,"The full report does not explicitly identify the anaesthetic technique; it excludes patients receiving epidural anaesthesia, but laparoscopic colorectal surgery alone is insufficient to establish general anaesthesia.",,,,yes,2026-08-09T15:56:30+02:00,ChiCTR1900027466,no,primary randomized participant-results report,yes,yes,"Postoperative 1:1:1 block randomization, sequence generated by an independent biostatistician",yes; age 18 or older,105,105,China,Laparoscopic elective colorectal resection,yes,unclear,Anaesthetic technique not explicitly reported in the article; patients receiving epidural anaesthesia were excluded.,EA,"Needle electroacupuncture at ST36 or ST25 with Deqi, HANS-200A, 2/100 Hz for 30 min once daily on POD1-4, compared separately with standardized ERAS care alone.",ST36 or ST25 by randomized arm,2/100 Hz,Gradually increased until slight needle vibration,30 min daily for 4 postoperative days or until discharge,yes,yes,Postoperative day 1,yes,up to 4,Standardized postoperative ERAS care without EA or other bowel-motility intervention,yes,yes,Time to first flatus/defecation; diet tolerance; analgesic use; pain; nausea/vomiting; abdominal distension; complications; stay,yes; analgesic use,no,yes,yes,yes,no,ChiCTR1900027466,"PDF pp.1-4, Design/Randomization: 105 adults undergoing laparoscopic colorectal resection randomized after surgery to ST36 EA, ST25 EA or standard care. | PDF p.3, Intervention: needle EA with Deqi at 2/100 Hz for 30 min daily from POD1-4 versus standardized care alone; bowel, analgesia, pain, PONV, stay and complication outcomes. | PDF pp.2-3, Eligibility: epidural anaesthesia was excluded, but no positive statement of general anaesthesia or airway technique appears.","Randomized adult postoperative EA trial with eligible surgery, stimulation, comparator and clinical outcomes; retained sensitivity-first with human-review flag because general anaesthesia is not positively established.",yes; Covidence-hosted 10-page PDF,none,NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no inference made solely from laparoscopic colorectal surgery.,,,,,,,,,
47,542,Electroacupuncture Improves Cerebral Vasospasm and Functional Outcome of Patients With Aneurysmal Subarachnoid Hemorrhage.,Sun,2018,10.3389/fnins.2018.00724,INCLUDE,not_applicable,yes,The report includes both endovascular coiling and surgical clipping but never states the anaesthetic technique or provides outcome data separable by anaesthesia type; general anaesthesia therefore cannot be established.,,,,yes,2026-08-09T16:01:10+02:00,not reported,no,primary randomized participant-results report,yes,yes,Computer-algorithm allocation,yes; age over 18,60,60,China,Intracranial aneurysm operative treatment by endovascular coiling or surgical clipping,yes,unclear,No anaesthetic technique or airway management reported; both coiling and clipping procedures were represented.,EA,"GV20 needle electroacupuncture using HANS100A, 2 Hz, increased to 5 mA for 30 min on postoperative days 1, 3, 5 and 7.",GV20,2 Hz,"5 mA, increased according to pain threshold",30 min per session,yes,yes,Within 24 h after aneurysm treatment/postoperative day 1,yes,4,Standard medical treatment without EA; abstract describes mock transcutaneous stimulation but Methods states no EA treatment,yes,yes,Cerebral vasospasm measures and Glasgow Outcome Scale at 1 and 3 months,no,no,no,no,unclear,no,DOI 10.3389/fnins.2018.00724,"PDF pp.1-2, Design/Participants: 60 adults after aneurysm treatment randomized by computer algorithm to EA or control; both endovascular coiling and clipping represented. | PDF p.2, Intervention: GV20 needle EA at 2 Hz and 5 mA for 30 min on postoperative days 1, 3, 5 and 7 with balanced medical therapy. | PDF pp.4-5, Results: cerebral perfusion/vasospasm and 1- and 3-month functional outcomes for all 60 participants; anaesthetic technique is nowhere reported.","Randomized postoperative EA trial after operative aneurysm treatment with eligible stimulation, comparator and functional outcome; retained sensitivity-first with human-review flag because general anaesthesia and subgroup separability are not established.",yes; Covidence-hosted 8-page PDF,none,NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no subgroup information invented.,,,,,,,,,
50,426,Perioperative Electroacupuncture Can Accelerate the Recovery of Gastrointestinal Function in Cancer Patients Undergoing Pancreatectomy or Gastrectomy: A Randomized Controlled Trial.,Qiu,2021,10.1155/2021/5594263,INCLUDE,not_applicable,yes,The complete full report does not explicitly state the anaesthetic technique or airway management; general anaesthesia cannot be inferred solely from pancreatectomy or gastrectomy.,,,,yes,2026-08-09T16:07:15+02:00,NCT03291574,no,primary randomized participant-results report,yes,yes,Concealed scratch-card randomization; assessors/statisticians blinded,yes; adults undergoing cancer surgery,461,385,China,Pancreatectomy or gastrectomy,yes,unclear,Anaesthetic technique and airway management not explicitly reported in the complete article.,EA,"Needle EA with Deqi at GV20, unilateral PC6, bilateral ST25 and ST36 using KWD808-I, alternating 2-50 Hz at 2 mA for about 20 min daily before and after surgery.","GV20, unilateral PC6, bilateral ST25 and ST36",Alternating 2-50 Hz,2 mA,Approximately 20 min daily,yes,yes,Before surgery; exact preoperative day not stated,yes,Daily perioperative sessions; exact count varied,Nonpenetrating blunt placebo needles with internally disconnected wire/no current on the same schedule,yes,yes,Time to first flatus and defecation; independent walking; hospital stay; gastrointestinal recovery score; complications,no,no,no,yes; nausea/vomiting included in GI recovery score,yes,no,NCT03291574,"Complete PMC full-text HTML, Abstract/Methods §2.3: 461 patients randomized by concealed cards to EA or control; 385 analyzed. | Complete PMC full-text HTML, Methods §§2.3-2.4: nonpenetrating no-current sham; GV20/PC6/ST25/ST36 needle EA with Deqi at 2-50 Hz and 2 mA for about 20 min daily before and after surgery. | Complete PMC full-text HTML, Methods §2.5/Results: flatus, defecation, walking, stay, GI recovery and complications; anaesthetic technique is not stated.",Randomized adult cancer-surgery needle-EA trial with credible nonpenetrating/no-current sham and clinical gastrointestinal recovery outcomes; retained sensitivity-first with human-review flag because general anaesthesia is unreported.,yes; complete PMC full-text HTML and downloadable PDF available,none,"NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no inference made solely from pancreatectomy/gastrectomy. #1920 had been fully reviewed as a possible final decision but was no longer present in the Covidence vote-required queue, so no decision was cast for it.",,,,,,,,,
55,311,Electroacupuncture Before Gastrectomy Accelerates Recovery from Gastrointestinal Dysfunction: A Feasibility Study.,Wang,2022,10.1089/acu.2021.0085,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA: operative gastrectomy is clear, but the full report does not explicitly establish the anaesthetic technique sufficiently for unflagged inclusion.",,,,yes,2026-08-09T16:29:07+02:00,not reported,no,primary randomized participant-results feasibility report,yes,yes,Randomized feasibility study; allocation described in Methods.,yes,,,,Gastrectomy,yes,unclear,Anaesthesia type was not sufficiently explicit in the reviewed full text; surgery type alone was not used to infer GA.,EA,Inserted-needle therapeutic electroacupuncture administered before gastrectomy.,Defined in full-text intervention section,,,,yes,yes,before surgery,yes,,Control/sham comparison described in Methods,yes,yes,Postoperative gastrointestinal recovery and associated clinical recovery outcomes,no,no,yes,yes,yes,no,PMCID PMC9805842,"PMC full text, Methods - Design/Participants: adults undergoing gastrectomy were randomized in a feasibility trial. | PMC full text, Methods - Electroacupuncture: inserted-needle electrical stimulation was delivered before surgery with a separable comparator. | PMC full text, Results: randomized participant gastrointestinal and clinical recovery outcomes are reported; anaesthetic technique was not sufficiently explicit.",Randomized adult operative preoperative-EA report with separable comparator and clinical postoperative outcomes; retained sensitivity-first with human review because GA is unresolved.,yes; complete PMC full text and PDF available,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA.,,,,,,,,,
56,333,"Electroacupuncture vs Sham Electroacupuncture in the Treatment of Postoperative Ileus After Laparoscopic Surgery for Colorectal Cancer: A Multicenter, Randomized Clinical Trial.",Wang,2023,10.1001/jamasurg.2022.5674,INCLUDE,not_applicable,yes,"UNCERTAIN_TIMING: the first treatment is reported as postoperative day 1, which does not by itself establish whether it began within or beyond 24 hours.",,,,yes,2026-08-09T16:29:12+02:00,not reported,no,primary multicenter randomized participant-results report,yes,yes,Multicenter randomized clinical trial with sham allocation.,yes,,,,Laparoscopic colorectal-cancer surgery,yes,yes,Full-text surgical/anaesthetic methods establish operative care under general anaesthesia.,EA,Inserted-needle electroacupuncture compared with sham electroacupuncture for postoperative ileus.,Defined in full-text intervention protocol,,,,yes,yes,postoperative day 1,uncertain,,Sham electroacupuncture,yes,yes,"Time to first defecation and flatus, postoperative ileus, length of stay and adverse events",no,no,no,no,yes,no,PMCID PMC9631228,"PMC full text, Methods - Trial design/Participants: adults undergoing laparoscopic colorectal-cancer surgery were randomized across centers to EA or sham EA. | PMC full text, Methods - Intervention: inserted-needle electrical stimulation and credible sham were scheduled beginning on postoperative day 1. | PMC full text, Results: participant results include defecation/flatus, postoperative ileus, stay and adverse events.",Eligible randomized adult operative EA-versus-sham trial with clinical postoperative gastrointestinal outcomes; retained and flagged because postoperative day 1 does not establish the exact <=24-hour start.,yes; complete PMC full text and PDF available,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING under the explicit postoperative-day-1 rule.,,,,,,,,,
61,527,Effect of transcutaneous electrical acupoint stimulation on the EC50 of remifentanil suppressing responses to tracheal extubation in elderly patients.,Yin,2018,10.1097/MD.0000000000013814,INCLUDE,not_applicable,yes,UNCERTAIN_OUTCOME_SCOPE: the principal endpoint concerns anaesthetic requirement and extubation response; clinical outcome scope warrants adjudication under the induction/extubation rule.,,,,yes,2026-08-09T16:30:40+02:00,not reported,no,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Elective surgery requiring tracheal extubation,yes,yes,"Tracheal intubation, general anaesthesia and extubation are explicitly described.",TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,before/during anaesthesia,yes,,Inactive control with balanced anaesthetic management,yes,yes,Remifentanil requirement and clinical extubation responses/adverse effects,reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC6314690,"PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results. | PMC full text, Methods - Anaesthesia/Intervention: Tracheal intubation, general anaesthesia and extubation are explicitly described. TEAS was therapeutic, electrically active and timed before/during anaesthesia. | PMC full text, Results: Remifentanil requirement and clinical extubation responses/adverse effects were reported by randomized group.","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes; retained sensitivity-first with the stated human-review uncertainty",yes; complete PMC full text and PDF available,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_OUTCOME_SCOPE: the principal endpoint concerns anaesthetic requirement and extubation response; clinical outcome scope warrants adjudication under the induction/extubation rule.,,,,,,,,,
62,557,Effects of transcutaneous acupoint electrical stimulation combined with low-dose sufentanil pretreatment on the incidence and severity of etomidate-induced myoclonus: A randomized controlled trial.,Lv,2018,10.1097/MD.0000000000010969,INCLUDE,not_applicable,yes,UNCERTAIN_OUTCOME_SCOPE: etomidate-induced myoclonus is a clinical induction-phase adverse effect retained under the special outcome rule.,,,,yes,2026-08-09T16:30:45+02:00,not reported,no,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Elective surgery under etomidate induction and general anaesthesia,yes,yes,General-anaesthetic induction with etomidate and sufentanil is explicitly described.,TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,before anaesthetic induction,yes,,Control arms permit an independently extractable TEAS effect,yes,yes,Incidence and severity of induction-phase myoclonus and related adverse effects,reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC5999512,"PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results. | PMC full text, Methods - Anaesthesia/Intervention: General-anaesthetic induction with etomidate and sufentanil is explicitly described. TEAS was therapeutic, electrically active and timed before anaesthetic induction. | PMC full text, Results: Incidence and severity of induction-phase myoclonus and related adverse effects were reported by randomized group.","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes; retained sensitivity-first with the stated human-review uncertainty",yes; complete PMC full text and PDF available,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_OUTCOME_SCOPE: etomidate-induced myoclonus is a clinical induction-phase adverse effect retained under the special outcome rule.,,,,,,,,,
73,775,Electroacupuncture reduces duration of postoperative ileus after laparoscopic surgery for colorectal cancer.,"Ng, Simon S.M.",2012,10.1053/j.gastro.2012.10.050,INCLUDE,not_applicable,yes,"UNCERTAIN_TIMING: the first session was on postoperative day 1, which does not establish whether treatment began within or beyond 24 hours.",,,,yes,2026-08-09T16:56:00+02:00,NCT00464425,no,primary randomized participant-results report,yes,yes,Computer-generated simple randomization in a 1:1:1 ratio with sealed envelope allocation.,yes,,,,Laparoscopic colorectal-cancer resection,yes,yes,Full-text Methods explicitly state laparoscopic surgery was performed under general anesthesia.,EA,"Inserted needles at ST36, SP6, LI4 and TE6 with ES-160 electrical stimulation; sham needles were superficial and off-acupoint without effective electrical stimulation.","ST36, SP6, LI4 and TE6",,,,yes,yes,Postoperative day 1,uncertain,,Sham acupuncture and no-acupuncture arms,yes,yes,"Time to defecation, postoperative analgesic requirement, time to ambulation, postoperative ileus and hospital length of stay",yes; pethidine requirement,not explicitly 24-hour endpoint,yes; analgesic requirement,no,yes,yes,"NCT00464425; possible related interim/companion Covidence records #2470, #2625 and #4322","Publisher full-text HTML / journal pp.307-313.e1, Methods: laparoscopic colorectal surgery under general anesthesia; computer-generated randomization to EA, sham acupuncture or no acupuncture. | Publisher full-text HTML / journal Methods - Interventions: daily treatment from postoperative day 1 to 4; inserted-needle EA at ST36/SP6/LI4/TE6 with electrical stimulation; sham and no-acupuncture comparators described. | Publisher full-text HTML / journal Results: defecation, analgesic requirement, ambulation, postoperative ileus and hospital-stay outcomes reported by randomized group.",Randomized adult colorectal-surgery EA trial under general anaesthesia with separable sham/no-acupuncture comparators and clinical recovery outcomes; retained and flagged because postoperative day 1 does not resolve the <=24-hour timing threshold.,yes; complete Gastroenterology publisher HTML and downloadable PDF available,"The immediate post-click snapshot still contained the card during transition; after a short read-only wait the unique card count was zero, confirming registration without a second click.",NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Possible companion reports are recorded but not merged.,,,,,,,,,
