covidence_number,title,full_text_retrieved,source_type,source_description,pdf_available,pdf_status,complete_html_used,identity_verified,eligibility_vote_cast,screening_sequence,retrieval_incident,notes,full_article_title,full_article_citation,full_article_local_path,human_readjudication_required
4,Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal function recovery in patients undergoing non-gastrointestinal laparoscopic surgery: a randomized controlled trial.,no,none,Covidence DOI only; ScienceDirect and PubMed blocked by robot checks before complete article retrieval.,unknown,none,no,citation metadata only; no full-text document to verify,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward sequences 101-200.,,,,
28,[Effect of electroacupuncture on intestinal function after laparoscopic colorectal cancer surgery].,no,none,"Correct CNKI citation identified, but complete article reader requires login.",listed by CNKI but not accessible without authentication,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
29,[Effects of electroacupuncture on gastrointestinal dysfunction and serum metabolites in postoperative patients with gastric cancer].,no,none,"Correct CNKI citation and 10-page article identified, but complete article access requires authentication.",listed by CNKI but inaccessible without authentication,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
40,[Transcutaneous electrical acupoint stimulation reduces perioperative arrhythmia risk and improves recovery quality in laparoscopic cholecystectomy: mechanisms involving suppression of repolarization abnormalities induced by CO2 pneumoperitoneum].,yes,publisher_pdf,"Complete seven-page SciOpen/Acupuncture Research PDF, matched by title, authors, journal, year and DOI.",yes,externally_viewed_not_saved,no,yes,yes,101,,Included after reviewing PDF pp.1-4 (journal pp.374-377); card left the vote-required queue and Undo appeared.,,,,
69,"Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Abdominal Pain after Endoscopic Submucosal Dissection: A Single-Center, Prospective, and Randomized Controlled Trial.",no,none,Springer subscription preview only; complete article requires institutional login.,not accessible in current unauthenticated session,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
128,Effectiveness of an immediate postoperative electroacupuncture session for the recovery of gastrointestinal function after laparoscopic cholecystectomy: a randomized controlled trial.,no,none,Sage article/PDF blocked by security verification; no complete repository manuscript exposed.,publisher PDF identified but inaccessible,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward sequences 101-200.,,,,
149,Electroacupuncture Reduces Duration of Postoperative Ileus After Laparoscopic Gastrectomy for Gastric Cancer: A Multicenter Randomized Trial.,yes,complete_publisher_html,"Complete open-access Gastroenterology HTML matched by title, authors, journal, year, DOI and trial registration.",yes on publisher site but HTML used,not_applicable_html,yes,yes,yes,102,,Included with human-review flag for unreported GA; card left queue and Undo appeared.,,,,
193,"Effect of Electroacupuncture Added to ERAS on Perioperative Parameters and Postoperative Quality of Life in Breast Cancer: A Single-Center, Randomized Controlled Trial.",no,none,Publisher full-text route redirected to abstract-only endpoint and became unresponsive.,not retrieved,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward sequences 101-200.,,,,
230,Electroacupuncture promotes gastrointestinal function recovery in patients undergoing laparoscopic gastrectomy : a randomized controlled trial.,no,none,Matching CNKI record exposed only abstract/metadata and contents; legitimate full-report reader requires authenticated access.,five-page CNKI report identified but inaccessible,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
117,[Effects of transcutaneous electrical acupoint stimulation at Neiguan (PC6) and Jianshi (PC5) on autonomic nervous function and inflammatory factors in frail elderly patients after surgery].,yes,publisher_pdf,"Complete seven-page SciOpen/Acupuncture Research PDF matched by title, authors, journal, year and DOI.",yes,externally_viewed_not_saved,no,yes,yes,103,,Included; active card disappeared and Undo appeared.,,,,
121,[Application of transcutaneous electrical acupoint stimulation in preoperative analgesia for intertrochanteric fracture of femur in elderly patients].,yes,publisher_pdf,"Complete six-page SciOpen/Acupuncture Research PDF matched by title, authors, journal, year and DOI.",yes,externally_viewed_not_saved,no,yes,yes,104,,Included with human-review flag for unreported GA; card left queue and Undo appeared.,,,,
406,Effects of Transcutaneous Electrical Acupoint Stimulation on Systemic Inflammatory Response Syndrome of Patients after Percutaneous Nephrolithotomy: A Randomized Controlled Trial.,yes,complete_repository_html,"Complete PubMed Central article matched by title, authors, journal, year, DOI, PMID and PMCID.",yes from PMC but complete HTML used,not_applicable_html,yes,yes,yes,105,,Included; active card disappeared and Undo appeared.,,,,
228,"Effect of transcutaneous electrical acupoint stimulation based on the theory of ""qi ascending and descending movement"" on autonomic nervous system and gastrointestinal function in patients after general anesthesia laparoscopic cholecystectomy.",yes,publisher_pdf,"Complete six-page SciOpen/Acupuncture Research PDF matched by title, authors, journal, year and DOI.",yes,externally_viewed_not_saved,no,yes,yes,106,,Included; active card disappeared and Undo appeared.,,,,
344,Effect of electroacupuncture on gastrointestinal function of patients after laparoscopic cholecystectomy under general anesthesia.,yes,publisher_pdf_and_publisher_html,"After the initial failed SciOpen/legacy-host attempt, the current official Acupuncture Research article page resolved and supplied a complete five-page publisher PDF, which was downloaded and visually verified.",yes,downloaded_local_only,no,yes,yes,124,RESOLVED_FULL_TEXT_RETRIEVED,"Initial retrieval incident resolved. Complete report verified random-number-table allocation, adult laparoscopic cholecystectomy under general anaesthesia, eligible EA beginning 1 hour after surgery, separable routine-care comparator, and clinical gastrointestinal/pain outcomes. Covidence Include registered and verified.",,,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_344_full_article.pdf,
106,Effect of electroacupuncture intervention before and after operation on perioperative neurocognitive disorders in elderly patients with hip fractures: A randomized controlled trial.,no,none,Matching Elsevier article identified; complete article route blocked by robot-confirmation challenge.,publisher full text identified but inaccessible,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward sequences 101-200.,,,,
546,Needleless Transcutaneous Neuromodulation Accelerates Postoperative Recovery Mediated via Autonomic and Immuno-Cytokine Mechanisms in Patients With Cholecystolithiasis.,no,none,Matching publisher record exposed abstract/citation only and required subscriber or institutional access.,publisher PDF identified but inaccessible,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
556,Needleless Transcutaneous Electrical Acustimulation: A Pilot Study Evaluating Improvement in Post-Operative Recovery.,no,none,Matching publisher record exposed abstract/citation only and required subscriber or institutional access.,publisher PDF identified but inaccessible,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
711,"The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: a prospective, randomised controlled trial.",yes,publisher_pdf,"Complete eight-page Wiley/Anaesthesia publisher PDF matched by title, authors, journal, year and DOI.",yes,externally_viewed_not_saved,no,yes,yes,107,,Included; active card disappeared and Undo appeared.,,,,
458,Impact of Electroacupuncture Stimulation on Postoperative Constipation for Patients Undergoing Brain Tumor Surgery.,yes,repository_pdf,"Complete six-page author-shared ResearchGate PDF matched by title, authors, journal, year and DOI.",yes,externally_viewed_not_saved,no,yes,yes,108,,Included with human-review flags for unreported GA and exact first-session timing; card left queue and Undo appeared.,,,,
355,The Preventive Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients with Time Factors: A Randomized Trial.,no,none,Matching Sage publisher route was blocked by a security interstitial and no legitimate complete repository copy was found.,not retrieved,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward sequences 101-200.,,,,
152,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Nutrition and Promotes Early Recovery of Gastrointestinal Function in Patients with Colorectal Cancer.,no,none,Matching Bentham Science page exposed abstract only and offered paid PDF access.,publisher PDF requires institutional or paid access,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; no purchase attempted; does not count toward sequences 101-200.,,,,
589,Effects of Transcutaneous Electrical Acupoint Stimulation on the Stress Response During Extubation After General Anesthesia in Elderly Patients Undergoing Elective Supratentorial Craniotomy: A Prospective Randomized Controlled Trial.,no,none,Matching LWW/Ovid page exposed abstract/citation content only and required subscriber or institutional login.,publisher PDF identified but inaccessible,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
666,"Effects of transcutaneous electrical acupoint stimulation at different frequencies on perioperative anesthetic dosage, recovery, complications, and prognosis in video-assisted thoracic surgical lobectomy: a randomized, double-blinded, placebo-controlled trial.",no,none,Matching ProQuest open-view page exposed only a short preview; complete text required institutional authentication.,complete article requires authenticated access,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
677,Postoperative analgesia after low-frequency electroacupuncture as adjunctive treatment in inguinal hernia surgery with abdominal wall mesh reconstruction.,no,none,"Matching Academia document preview identified, but complete PDF access required account sign-up.",preview only; complete PDF requires authentication,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward sequences 101-200.,,,,
600,Effects of Electroacupuncture Administered 24hours Prior to Surgery on Postoperative Nausea and Vomiting and Pain in Patients Undergoing Gynecologic Laparoscopic Surgery: A Feasibility Study.,no,none,Matching RMIT repository record explicitly stated that its files were not publicly available; other routes exposed abstract/citation content only.,repository file not public,externally_viewed_not_saved,no,yes for citation metadata; complete document unavailable,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward sequences 101-200.,,,,
682,"Single-blinded, randomised preliminary study evaluating the effects of 2 Hz electroacupuncture for postoperative pain in patients with total knee arthroplasty.",yes,complete_pmc_html,"Complete PubMed Central article with Methods, Results and tables, matched by title, authors, journal, year and DOI.",yes; matching PMC PDF,not_applicable_html,yes,yes,yes,109,,Excluded for spinal anaesthesia only; Covidence card left the vote-required queue after Wrong setting was confirmed.,,,,
673,Transcutaneous electric acupoint stimulation alleviates remifentanil-induced hyperalgesia in patients undergoing thyroidectomy: a randomized controlled trial.,yes,complete_pmc_html,"Complete PubMed Central article with Methods, Results, figures and tables, matched by title, authors, journal, year and PMID.",yes; matching PMC PDF,not_applicable_html,yes,yes,yes,110,,Included; exact active card left the vote-required queue after registration.,,,,
839,Postoperative pain and respiratory function in patients treated with electroacupuncture following coronary surgery.,yes,publisher_pdf,"Complete four-page open-access Neurosciences Journal publisher PDF matched by title, authors, journal, year and pages.",yes,downloaded_local_only,no,yes,yes,111,,"Included; PDF text and rendered pages were verified, and the exact active card left the vote-required queue after registration.",,,,
