"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"2301","24","1","2654","Clinical study on improvement of pelvic floor function after PPH for mixed hemorrhoids with electroacupuncture at Baliao point","ChiCTR2100043519","2021","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:23.549Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2302","24","2","2656","Clinical observation on electroacupuncture to improve breast shape","ChiCTR2100047030","2021","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:24.393Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2303","24","3","2660","The Clinical Benefits of the Combination Use of Acupuncture and Antihistamine on Trigeminal Neuralgia","NCT04384224","2020","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:25.108Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2304","24","4","2661","Research on the Prevention of LARS Syndrome after Rectal Cancer Surgery Using Electroacupuncture Based on the Theory of ""Regulating the Viscera Acupuncture Method""","ITMCTR2024000620","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:25.831Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2305","24","5","2666","Effectiveness and safety of acupotomy on lumbar spinal stenosis: a pragmatic randomized, controlled, pilot clinical trial","KCT0006234","2021","English","yes","No","EXCLUDE_NON_SURGICAL","Population or treatment context is not perioperative surgery under general anesthesia.","Non-surgical or non-perioperative setting.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:26.805Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2306","24","6","2668","Transcutaneous electroacupuncture (TEA) at BL21 in alleviating cisplatin associated dyspepsia symptom","ChiCTR1900022162","2019","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:27.481Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2307","24","7","2674","Effect of electroacupuncture on acute stroke after interventional surgery for intracranial aneurysms: a randomized-controlled clincial trial","ChiCTR2300076960","2023","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:28.187Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2308","24","8","2675","Based on the idea of ""staged acupuncture"" to explore the dose-effect relationship between different acupuncture stimulation amounts and peripheral facial paralysis and the mechanism of action by regulating TLR2/NF-?B signaling pathway","ITMCTR2025002360","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:28.904Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2309","24","9","2677","Clinical efficacy evaluation and mechanism study of ""Tongluo Fujin"" acupuncture treatment for chemotherapy related peripheral neuropathy in malignant tumors","ITMCTR2025002196","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:29.601Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2310","24","10","2679","Electroacupuncture for pain relief in patients with osteonecrosis of the femoral head: a randomized controlled trial","ISRCTN15751942","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:30.325Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
