"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"701","8","1","1755","Determination of inhibiting neurotransmitters in liquor after acupuncture or the administration of morphine","Sittl","1994","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The title and abstract clearly establish an ineligible population, setting, intervention, design, or timing.","Patients underwent prostate resection under spinal anesthesia; general anesthesia was not used.","high","primary_results","yes","0","0","","not_applicable","not_applicable","not_applicable","morphine or no pretreatment","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:42:03.663Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"702","8","2","1756","Acupuncture for the Treatment of Postoperative Ileus After Gastrointestinal Surgery","NCT04713241","2021","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial registration without participant results.","high","trial_registration","no","0","0","","not_applicable","not_applicable","not_applicable","usual care","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:42:26.978Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"703","8","3","1757","Chinese herbal medicine evodia hot compress therapy improves the recovery of gastrointestinal function after abdominal surgery","Chen","2018","English","yes","MAYBE","UNCERTAIN_TIMING","Prospective multicenter randomized abdominal-surgery trial includes both evodia hot compress alone and evodia hot compress plus EA, allowing the incremental EA effect to be separated; initiation within 24 hours is not stated.","Eligible randomized postoperative EA comparison appears separable, but exact initiation within the first 24 postoperative hours is not reported.","moderate","primary_results","yes","7","1","timing","likely","yes","EA","evodia hot compress alone","yes","yes","yes","postoperative; exact initiation time not reported","yes","no","no","yes","2026-07-27T12:43:05.642Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"704","8","4","1758","Clinical observation on external application and enema of herbal medicine combined with acupuncture for adhesive intestinal obstruction","Li","2007","English","yes","NO","EXCLUDE_NON_PERIOPERATIVE_TREATMENT","The title and abstract clearly establish an ineligible population, setting, intervention, design, or timing.","Randomized treatment study for established adhesive intestinal obstruction; participants were managed medically rather than receiving eligible perioperative treatment for a current operation.","high","primary_results","yes","0","0","","not_applicable","not_applicable","not_applicable","medical care or EA plus herbal treatment","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:43:22.024Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"705","8","5","1759","An Integrative Medical Approach of Electroacupuncture with Usual care for Patients with Pain after Back surgery : a Multicenter, Randomized Controlled Clinical Trial, Qualitative and Cost-Effectiveness Research","KCT0001939","2016","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial registration without participant results; EA is delivered twice weekly for four weeks as later postoperative pain treatment, outside the acute 24-hour window.","high","trial_registration","no","0","0","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:43:48.600Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"706","8","6","1760","Electro acupuncture therapy on Carpal tunnel syndrome","CTRI/2020/08/027238","2020","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial registration without participant results; nonsurgical carpal-tunnel treatment combining corticosteroid injection with EA.","high","trial_registration","no","0","0","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:44:11.313Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"707","8","7","1762","2034MO EAGER: a randomized, controlled, multicenter trial of electro-acupuncture in gastric cancer patients undergoing adjuvant chemotherapy","Zhang","2023","English","yes","NO","EXCLUDE_TIMING","The title and abstract clearly establish an ineligible population, setting, intervention, design, or timing.","EA is delivered during adjuvant chemotherapy cycles following gastrectomy, well beyond the acute perioperative 24-hour window.","high","primary_results","yes","0","0","","not_applicable","not_applicable","not_applicable","dose comparison and control","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:44:32.969Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"708","8","8","1763","Electro-acupuncture as a peroperative analgesic method and its effects on implantation rate and neuropeptide Y concentrations in follicular fluid","Stener-Victorin","2004","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The title and abstract clearly establish an ineligible population, setting, intervention, design, or timing.","Oocyte aspiration IVF analgesia study used electroacupuncture with paracervical block rather than general anesthesia.","high","primary_results","yes","0","0","","not_applicable","not_applicable","not_applicable","alfentanil plus paracervical block","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:44:52.400Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"709","8","9","1764","A REVIEW OF PERIOPERATIVE ACUPUNCTURE OUTCOMES IN PRE-SURGERY, O.R. ACUPUNCTURE ASSISTED ANESTHESIA, AND POST-SURGERY","Yurasek","2019","English","yes","NO","EXCLUDE_NOT_ORIGINAL_REPORT","The title and abstract clearly establish an ineligible population, setting, intervention, design, or timing.","Narrative review and patient-satisfaction survey, not a randomized participant-results report.","high","primary_results","yes","0","0","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:45:08.727Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"710","8","10","1767","Auriculotherapy and Acupuncture's Treatment for Chemotherapy-induced Nausea and Vomiting (CINV)","NCT02767791","2016","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial registration without participant results; nonsurgical chemotherapy setting and auricular acupuncture are outside scope.","high","trial_registration","no","0","0","","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-27T12:45:32.074Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
