"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1","2","Preoperative Transcutaneous Electrical Acupoint Stimulation Alleviates Postoperative Pain and Improves Sleep Quality in Breast Cancer Patients with Preoperative Sleep Disturbance: A Partially Randomized Controlled Trial.","Ma","2026","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","Adult breast cancer surgical patients; sleep-disturbed participants were randomly allocated to pre-anaesthesia TEAS or concurrent no-TEAS control; recognized acupoints LI4, HT7, and PC6; postoperative pain and sleep outcomes reported. The abstract says pre-anaesthesia but does not explicitly identify general anaesthesia.","All core criteria are supported except the anaesthetic technique, which is the sole genuine uncertainty.","high","journal article; primary participant-results report","yes","8","1","general_anaesthesia","uncertain","yes; eligible randomized subgroup","TEAS","concurrent no-TEAS control among patients with sleep disturbance","yes","yes","yes; pre-anaesthesia","yes; postoperative pain and sleep","no","no","yes","2026-07-27T07:16:38.296Z","none; queue counter required page refresh to update","Covidence #2 left the active queue after one click. Refreshed Screen references decreased from 2941 to 2940; Resolve conflicts remained 0. No other reviewer decision was viewed."
"2","3","Transcutaneous electrical acupoint stimulation for intercostobrachial nerve syndrome after breast cancer surgery: a randomized controlled trial protocol.","Xia","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a randomized controlled trial protocol and the abstract uses future tense, states that 200 participants will be recruited, and reports no participant results.","Protocol without participant results.","high","trial protocol","no","5","0","","uncertain","planned randomized trial only","planned TEAS","planned sham TEAS","uncertain","planned separable comparison","uncertain; first postoperative day","planned only","no","no","yes","2026-07-27T07:19:37.690Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"3","4","Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal function recovery in patients undergoing non-gastrointestinal laparoscopic surgery: a randomized controlled trial.","Jiang","2026","English","yes","YES","INCLUDE_ELIGIBLE","Randomized sham-controlled trial in adult elective laparoscopic surgical patients. TEAS at ST36, PC6, and LI4 began 30 minutes before anaesthesia induction and continued through surgery. Laparoscopic surgery with anaesthesia induction makes general anaesthesia highly evident. Gastrointestinal recovery, PONV, pain, length of stay, and complications were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from laparoscopic surgery with anaesthesia induction","yes","TEAS","sham TEAS","yes","yes","yes; 30 minutes before induction through surgery","yes","no","no","yes","2026-07-27T07:19:38.371Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"4","5","Transcutaneous Electrical Nerve Stimulation","Dua","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","StatPearls narrative overview describing TENS techniques, indications, and prior evidence; it is not an original randomized participant-results report.","Narrative reference article, not an eligible primary randomized trial.","high","narrative reference review","no","0","0","","no eligible study population","no","ordinary TENS overview","none","not applicable","not applicable","not applicable","no original participant outcomes","no","no","yes","2026-07-27T07:19:42.100Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"5","6","Intraoperative electroacupuncture alleviates angina and attenuates periprocedural myocardial injury in patients undergoing percutaneous coronary intervention.","Liang","2026","English","yes","NO","EXCLUDE_NON_SURGICAL","Randomized EA versus sham-EA study conducted during percutaneous coronary intervention. PCI is a percutaneous treatment rather than operative surgery and the abstract provides no general-anaesthesia evidence.","Non-operative percutaneous procedure outside the eligible surgical population.","high","journal article; primary participant-results report","yes","5","0","","not supported; PCI commonly performed without general anaesthesia","yes","needle electroacupuncture at PC6 and PC4","sham EA at non-acupoints","yes","yes","yes; intra-procedural","yes; angina and adverse events","no","no","yes","2026-07-27T07:19:42.772Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"6","8","[Electroacupuncture at ""Zusanli"" (ST36) suppresses food intake in high-fat diet-fed mice by improving vagal afferent desensitization].","Lu","2026","English","yes","NO","EXCLUDE_ANIMAL","The abstract describes randomized experiments in C57BL/6J mice fed a high-fat diet.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in mice","animal control groups","not applicable","not applicable","not applicable","no human clinical outcome","no","no","yes","2026-07-27T07:19:46.253Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"7","9","Effect of electroacupuncture on motor and sensory functions of lower limbs and GABA receptor in spinal cord of rats with neuropathic pain.","Wang","2026","English","yes","NO","EXCLUDE_ANIMAL","The abstract explicitly identifies an animal experimental study of 56 Sprague-Dawley rats with spinal nerve ligation.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in rats","animal sham EA group","not applicable","not applicable","no; began postoperative day 7","no human clinical outcome","no","no","yes","2026-07-27T07:19:46.909Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"8","10","Electroacupuncture as an adjunctive therapy for drug-refractory primary open-angle glaucoma: a CARE-compliant case report.","Zhang","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The title and abstract explicitly describe a single-patient CARE-compliant case report for non-operative glaucoma management.","Case report without randomized surgical participant results.","high","case report","yes","1","0","","no","no","electroacupuncture","none","no","no comparative effect","not perioperative","non-perioperative glaucoma outcomes","no","no","yes","2026-07-27T07:19:50.388Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"9","13","Effect of a multimodal bundled intervention on quality of recovery after laparoscopic colorectal cancer surgery: a single-center, single-blind, pragmatic randomized controlled trial.","Ren","2026","English","yes","NO","EXCLUDE_INSEPARABLE_INTERVENTION","The intervention combined electroacupuncture, structured breathing training, abdominal massage, and supervised ambulation, while the control received standard care alone. The independent effect of electroacupuncture cannot be isolated.","EA is embedded in an inseparable multimodal bundle.","high","journal article; primary participant-results report","yes","7","0","","highly evident from laparoscopic colorectal surgery","yes","EA plus breathing training, massage, and supervised ambulation","standard care alone","no; multiple therapeutic components differ","no","uncertain; postoperative day 1","yes; quality of recovery and pain","no","no","yes","2026-07-27T07:19:53.719Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"10","14","Comparing 2-Hz and 100-Hz Electroacupuncture for Postoperative Musculoskeletal Pain: Protocol for a 2 × 2 Prospective Randomized Crossover Trial.","Park","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify a protocol; recruitment is ongoing and no participant results are reported.","Protocol without participant results.","high","trial protocol","no","4","0","","uncertain","planned randomized crossover trial only","planned needle electroacupuncture at ST36 to SP9","active 2-Hz versus 100-Hz EA only","uncertain","frequency comparison only","uncertain; postoperative pain population","planned only","no","no","yes","2026-07-27T07:20:47.909Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
