"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"901","10","1","2495","A Prospective Randomized Controlled Study on the Effects of Electroacupuncture at the ""Shenmen-Neiguan"" Acupoints on Postoperative Sleep Disorders in Patients Undergoing Elective Laparoscopic Abdominal Major SurgeryElective Laparoscopic Major Abdominal S","ITMCTR2026001061","2026","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","A Prospective Randomized Controlled Study on the Effects of Electroacupuncture at the ""Shenmen-Neiguan"" Acupoints on Postoperative Sleep Disorders in Patients Undergoing Elective Laparoscopic Abdominal Major SurgeryElective Laparoscopic Major Abdominal S.","not_applicable","not_applicable","no","no","yes","2026-07-26T15:12:27.502Z","none","INTERVENTION: Electroacupuncture group:Seven days after surgery, the patient was treated with electroacupuncture at the bilateral Shenmen and Neiguan acupoints. The electroacupuncture frequency was 2Hz/100Hz, the intensity was 1mA, and the duration was 30 minutes per session for seven consecutive days;control group:Do not perform electroacupuncture intervention; CONDITION: Postoperative Sleep Disorders PRIMARY OUTCOME: Athens Insomnia Scale Score; SECONDARY OUTCOME: Hospital anxiety and depression scale;Visual Analogue Scale; INCLUSION CRITERIA: 1) Elective laparoscopic abdominal surgery (laparoscopic radical resection of colorectal cancer, laparoscopic liver resection) 2) Age: 18‐65 years old 3) ASA: Level I‐III 4)BMI:18.5‐30 kg/m2 5) No history of related medication or electroacupuncture allergy 6) Clear consciousness and normal communication 7) Agree to participate in this study and sign the informed consent form for this study"
"902","10","2","2498","[Observations on the Efficacy of Electroacupuncture plus Mild Moxibustion for Treating Anorectal Postoperative Uroschesis] (in Chinese)","Zhu","2005","uncertain","no","No","EXCLUDE_INSEPARABLE_INTERVENTION","[Observations on the Efficacy of Electroacupuncture plus Mild Moxibustion for Treating Anorectal Postoperative Uroschesis] (in Chinese).","Eligible electrical acupuncture is embedded in an inseparable multimodal intervention.","high","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","no","unclear","[Observations on the Efficacy of Electroacupuncture plus Mild Moxibustion for Treating Anorectal Postoperative Uroschesis] (in Chinese).","unclear","no","yes","no","yes","2026-07-26T15:12:28.129Z","none",""
"903","10","3","2499","Treatment by electroacupuncture at the lower he-sea points for 40 Cases of early postoperative inflammatory small bowel obstruction","Xu","2013","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Treatment by electroacupuncture at the lower he-sea points for 40 Cases of early postoperative inflammatory small bowel obstruction.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","Treatment by electroacupuncture at the lower he-sea points for 40 Cases of early postoperative inflammatory small bowel obstruction.","yes","no","no","no","yes","2026-07-26T15:12:28.746Z","none","Objective: To evaluate the effect of treat patients with early postoperative inflammatory small bowel obstruction (EPISBO) by electroacupuncture at the lower he‐sea points. Methods: 80 patients with EPISBO were divided into the combination therapy group (40 cases) and Western medicine treatment group (40 cases). The results of the two groups were compared. Results: In the therapy group, there were 36 cases cured (90.0%). There were 27 cases cured (67.5%) in the Western treatment group with statistically significant differences between the two groups (P<0.05). Conclusion: The effect of using electroacupuncture at the lower he‐sea points to treat EPISBO is definite."
"904","10","4","2500","Therapeutic efficacy of modified Dachengqi decoction combined with electroacupuncture in treatment of early postoperative inflammatory ileus: a report of 30 cases","Xu","2013","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Therapeutic efficacy of modified Dachengqi decoction combined with electroacupuncture in treatment of early postoperative inflammatory ileus: a report of 30 cases.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","Therapeutic efficacy of modified Dachengqi decoction combined with electroacupuncture in treatment of early postoperative inflammatory ileus: a report of 30 cases.","unclear","no","no","no","yes","2026-07-26T15:12:29.336Z","none","Objective: To observe the therapeutic efficacy of modified Dachengqi decoction combined with electroacupuncture in the treatment of early postoperative inflammatory ileus ( EPII). Methods: Ninety EPII patients were randomly divided into first control group, second control group, and treatment group. The first control group received modified Dachengqi decoction, the second control group received acupuncture, and the treatment group received modified Dachengqi decoction combined with electroacupuncture. The treatment outcomes of the three groups were observed. Results: The total effective rates were 96. 67% in the first control group, 96. 67% in the second control group, and 100% in the treatment group, without significant differences among the three groups ( P<0. 05). However, the treatment group had significantly shorter mean time to recovery of bowel sound, mean time to recovery of passage of gas by anus, and time to disappearance of nausea and vomiting than the first and second control groups. Conclusion: Modified Dachengqi decoction combined with electroacupuncture has good therapeutic efficacy in the treatment of EPII."
"905","10","5","2501","Synergistic effects of Nianlian Huanjie Tang combined with electroacupuncture on early postoperative inflammatory small bowel obstruction","Xie","2011","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Synergistic effects of Nianlian Huanjie Tang combined with electroacupuncture on early postoperative inflammatory small bowel obstruction.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","Synergistic effects of Nianlian Huanjie Tang combined with electroacupuncture on early postoperative inflammatory small bowel obstruction.","yes","no","no","no","yes","2026-07-26T15:12:30.261Z","none","Objective: To research the synergistic effects of Nianlian Huanjie Tang combined with electroacupuncture on early postoperative inflammatory small bowel obstruction(EPISBO). Method: 44 patients with EPISBO were randomly divided into control group(21 people) and traditional Chinese medicine combined with electroacupuncture group(23 people). The former took routine treatments and the latter took comprehensive treatment of self‐prepared Nianlian Huanjie Tang combined with electroacupuncture beside toutine treatments. The relief time of clinical symptoms(abdominal pain, abdominal distension, nausea and vomiting ), the anal exsufflation time and the length of stay have been compared and analyzed. Result: Patients in two groups were both cured. The relief time of clinical symptoms, the anal exsufflation time and the length of stay of traditional Chinese medicine combined with electroacupuncture group were less than their counterparts in the control group. There is a statistically significant difference(P<0.05). Conclusion: There are obvious synergistic effects of Nianlian Huanjie Tang combined with electroacupuncture on early postoperative inflammatory small bowel obstruction."
"906","10","6","2502","Clinical observation of electroacupuncture for treating gastrointestinal dysfunction after cholelithotomy","Meng","2011","English","yes","No","EXCLUDE_NON_SURGICAL","Clinical observation of electroacupuncture for treating gastrointestinal dysfunction after cholelithotomy.","Non-operative or non-surgical population.","high","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T15:12:37.535Z","none","Objective: To observe the clinical effect of “Tongfu Jiangqi” acupuncture prescriptions for recovering the gastrointestinal function after cholelithotomy. Methods: 60 after‐cholelithotomy patients determined with stratified sampling method of statistics were randomly divided into two groups, each group had 30 patients. Patients of control group were given postoperative routine treatment. The treatment group was given postoperative routine treatment combined with “Tongfu Jiangqi” acupuncture prescriptions. “Tongfu Jiangqi” acupuncture prescriptions used those points including Tianshu, Yanglingquan, Zusanli,Shangjuxu. After the acupuncture till arrival of qi, an electronic acupuncture was performed with dilatational wave. The course of both two groups was two days. Results: The gastrointestinal recovery time was shorter in treatment group comparing with control group, the difference had statistical significance (p<0.05). Conclusion: “Tongfu Jiangqi” acupuncture prescriptions can promote the recovery of gastrointestinal function after cholelithotomy."
"907","10","7","2503","Observation on Electroacupuncture plus Ginger-separated Moxibustion for Treatment of Cervical Carcinoma Radical Postoperative Uroschesis","Peng","2009","English","no","No","EXCLUDE_INSEPARABLE_INTERVENTION","Observation on Electroacupuncture plus Ginger-separated Moxibustion for Treatment of Cervical Carcinoma Radical Postoperative Uroschesis.","Eligible electrical acupuncture is embedded in an inseparable multimodal intervention.","high","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","no","unclear","Observation on Electroacupuncture plus Ginger-separated Moxibustion for Treatment of Cervical Carcinoma Radical Postoperative Uroschesis.","unclear","no","no","no","yes","2026-07-26T15:12:38.131Z","none",""
"908","10","8","2504","Clinical Effect of Electroacupuncture on Postoperative Analgesia After Cesarean Sectionanalgesia After Cesarean Section","NCT04879212","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","Clinical Effect of Electroacupuncture on Postoperative Analgesia After Cesarean Sectionanalgesia After Cesarean Section.","not_applicable","not_applicable","no","no","yes","2026-07-26T15:12:38.723Z","none","Electroacupuncture is an ideal choice for PCIA analgesia after cesarean section because of its low price, rapid onset, long duration and no adverse drug reactions. ""Zusanli"" belongs to the stomach meridian of Foot Yangming. It is the meridian of multi Qi and multi blood. It has the effect of regulating meridians and collaterals, dredging Qi and blood, and treating various kinds of abdominal pain. Sanyinjiao belongs to the spleen meridian of foot Taiyin, which is the meeting of foot Taiyin, Jueyin and Shaoyin. Since ancient times, Sanyinjiao has been a commonly used acupoint to relieve labor pain. Modern studies have also shown that Sanyinjiao can relieve uterine contraction pain by relieving uterine smooth muscle spasm, improving the state of uterine ischemia and hypoxia, releasing a variety of central analgesic substances and so on Spleen and blood, liver tonifying and kidney tonifying. Therefore, on the basis of conventional PCIA analgesia combined with electroacupuncture at Zusanli and Sanyinjiao, we may play an auxiliary role in analgesia for puerpera after cesarean section."
"909","10","9","2505","Acupuncture for pain","Kelly","2009","English","yes","No","EXCLUDE_NON_SURGICAL","Acupuncture for pain.","Non-operative or non-surgical population.","high","primary_results","no","unclear","unclear","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T15:12:39.140Z","none","Acupuncture is increasingly used as an alternative or complementary therapy for the treatment of pain. It is well tolerated, with a low risk of serious adverse effects. Traditional and modern acupuncture techniques may result in reported improvement in pain patterns. Research on acupuncture has had a number of limitations, including: incomplete understanding of the physiologic effects of acupuncture; ineffective blinding of participants; unclear adequacy of acupuncture ""dose;"" difficulty in identification of suitable sham or placebo treatments; and the use of standardized treatment regimens rather than the individualized approach that characterizes most acupuncture practice. Controlled trials have been published regarding acupuncture for lumbar, shoulder, and neck pain; headache; arthritis; fibromyalgia; temporomandibular joint pain; and other pain syndromes. Enough data are available for some conditions to allow systematic evaluations or meta‐analyses. Based on published evidence, acupuncture is most likely to benefit patients with low back pain, neck pain, chronic idiopathic or tension headache, migraine, and knee osteoarthritis. Promising but less definitive data exist for shoulder pain, fibromyalgia, temporomandibular joint pain, and postoperative pain. Acupuncture has not been proven to improve pain from rheumatoid arthritis. For other pain conditions, there is not enough evidence to draw conclusions."
"910","10","10","2506","Observations on electroacupuncture plus ginger-separated moxibustion for treatment of cervical carcinoma radical postoperative uroschesis","Peng","2009","English","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","Observations on electroacupuncture plus ginger-separated moxibustion for treatment of cervical carcinoma radical postoperative uroschesis.","Eligible electrical acupuncture is embedded in an inseparable multimodal intervention.","high","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","no","unclear","Observations on electroacupuncture plus ginger-separated moxibustion for treatment of cervical carcinoma radical postoperative uroschesis.","unclear","no","no","no","yes","2026-07-26T15:12:39.556Z","none","Objective: To investigate the efficacy of electroacupuncture plus ginger‐separated moxibustion in treating cervical carcinoma radical postoperative uroschesis. Methods: Forty‐six patients with cervical carcinoma radical postoperative uroschesis were randomly allocated to the treatment and control groups, 23 cases each. The treatment group received electroacupuncture plus ginger‐separated moxibustion and the control group, intramuscular injection of neostigmine 1 mg plus bladder training. Both were treated once daily, 5 days as a course. The therapeutic effects were evaluated in the two groups after one course of treatment. Results: The efficacy rate was 100.0% in the treatment group and 73.9% in the control group; there was a statistically significant difference between the two groups (P<0.05). Conclusion: Electroacupuncture plus ginger‐separated moxibustion is a better way to treat cervical carcinoma radical postoperative uroschesis."
