previous_covidence_number,next_covidence_number,missing_number_or_range,checkpoint,previous_vote_registered_yes_no,queue_order_confirmed_yes_no,visible_record_bypassed_yes_no,status,action_taken,timestamp,notes
276,278,277,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T14:27:04.862Z,Covidence displayed no reason for the absent number.
283,285,284,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T14:31:27.287Z,Covidence displayed no reason for the absent number.
287,289,288,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T14:33:52.977Z,Covidence displayed no reason for the absent number.
291,295,292-294,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T14:36:19.256Z,Covidence displayed no reason for the absent numbers.
295,297,296,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T14:37:11.381Z,Covidence displayed no reason for the absent number.
302,304,303,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:05:56.221Z,Covidence displayed no reason for the absent number.
305,307,306,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:07:10.320Z,Covidence displayed no reason for the absent number.
311,313,312,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:09:52.046Z,Covidence displayed no reason for the absent number.
317,320,318-319,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:12:23.622Z,Covidence displayed no reason for the absent numbers.
320,322,321,050,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:13:06.799Z,Covidence displayed no reason for the absent number.
338,340,339,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:26:05.149Z,Covidence displayed no reason for the absent number.
341,343,342,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:27:04.563Z,Covidence displayed no reason for the absent number.
344,347,345-346,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:28:03.582Z,Covidence displayed no reason for the absent numbers.
352,354,353,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:30:34.548Z,Covidence displayed no reason for the absent number.
355,357,356,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:31:31.577Z,Covidence displayed no reason for the absent number.
360,362,361,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:33:15.257Z,Covidence displayed no reason for the absent number.
362,364,363,075,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:33:42.891Z,Covidence displayed no reason for the absent number.
364,367,365-366,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap at the combined-75 quality-control boundary; the next distinct citation remains unvoted.,2026-07-23T15:33:52.712Z,Covidence displayed no reason for the absent numbers.
368,370,369,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:35:41.799Z,Covidence displayed no reason for the absent number.
376,378,377,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:38:44.520Z,Covidence displayed no reason for the absent number.
378,380,379,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:39:16.026Z,Covidence displayed no reason for the absent number.
382,385,383-384,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:40:41.375Z,Covidence displayed no reason for the absent numbers.
385,387,386,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:41:16.761Z,Covidence displayed no reason for the absent number.
388,391,389-390,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:42:22.273Z,Covidence displayed no reason for the absent numbers.
391,393,392,100,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:42:49.641Z,Covidence displayed no reason for the absent number.
407,410,408-409,125,yes,yes,no,UNEXPLAINED_NUMBERING_GAP,Logged the stable gap and continued with the next distinct ascending citation.,2026-07-23T15:53:56.862Z,Covidence displayed no reason for the absent numbers.
