"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1","415","[Electroacupuncture at Dong's Sanqixue combined with auricular point sticking in treatment of post-operative complications of complex anal fistula: a real world research].","Wang","2021","Chinese","yes","No","EXCLUDE_NON_RANDOMIZED","The abstract explicitly states that 318 surgical patients were analyzed retrospectively and groups were formed according to whether combined EA plus auricular point sticking had been accepted; nearest-neighbor matching was then used.","Retrospective matched real-world comparison, not a randomized controlled trial.","high","other","yes","unclear","no","EA at Dong Sanqixue combined with auricular point sticking","No combined treatment; retrospectively matched control","unclear","not_applicable","no","unclear","Postoperative treatment; exact first-treatment time not reported.","yes","no","yes","no","yes","2026-07-26T10:37:04.859Z","none","DOI 10.13703/j.0255-2930.20200711-k0003; Ref ID 34259403. Primary exclusion is explicit retrospective allocation; intervention is also inseparable from auricular point sticking."
"2","419","Evaluation of electroacupuncture for symptom modification in a rodent model of spontaneous osteoarthritis.","Spittler","2021","English","yes","No","EXCLUDE_ANIMAL","The title identifies a rodent model and the abstract reports ten 12-month-old male Hartley guinea pigs, euthanasia, joint histology, and gene expression.","Animal electroacupuncture experiment in guinea pigs, not an adult human perioperative trial.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:38:09.528Z","none","DOI 10.1177/09645284211020755; Ref ID 34105396."
"3","420","Prospective, Single-Center Comparison of Transcranial Direct Current Stimulation Plus Electroacupuncture and Standard Analgesia in Patients After Total Knee Arthroplasty: Effect on Rehabilitation and Functional Recovery.","Li","2021","English","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","The experimental group received both transcranial direct current stimulation and electroacupuncture in addition to multimodal analgesia, while the control group received multimodal analgesia alone.","EA is embedded in an inseparable tDCS-plus-EA intervention bundle, so its independent effect cannot be extracted.","high","primary_results","yes","unclear","no","Transcranial direct current stimulation plus electroacupuncture","Standard multimodal postoperative analgesia","no","not_applicable","no","unclear","Postoperative analgesia method; exact EA initiation time not reported.","yes","no","no","no","yes","2026-07-26T10:38:28.499Z","none","DOI 10.12659/MSM.930363; Ref ID 34103464. Allocation was also described as division according to postoperative analgesia method rather than randomization."
"4","421","[Effect of electroacupuncture at Neiguan (PC 6) on pulmonary function during one-lung ventilation in patients with lobectomy].","Ding","2021","Chinese","yes","Yes","INCLUDE_CLEAR","Sixty lobectomy patients were randomly allocated; all received general anaesthesia and one-lung ventilation, while the intervention group received needle EA at PC6 from 30 minutes before induction through surgery. Clinical outcomes included complications, PCA use, and hospital stay.","Clear randomized perioperative needle-EA trial under general anaesthesia with separable usual-care comparison and eligible clinical outcomes.","high","primary_results","yes","yes","yes","Needle electroacupuncture at bilateral Neiguan (PC6)","Identical general anaesthesia and surgery without EA","yes","not_applicable","yes","yes","EA began 30 minutes before anaesthesia induction and continued until the end of surgery.","yes","no","yes","no","yes","2026-07-26T10:38:40.250Z","none","DOI 10.13703/j.0255-2930.20201125-0004; Ref ID 34085474."
"5","422","[Electroacupuncture combined with acupoint catgut embedding for postoperative pain after fistulotomy].","Huang","2021","Chinese","yes","No","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","The randomized arms were EA alone, acupoint catgut embedding alone, and their combination; there was no sham EA, usual-care, no-stimulation, attention-control, or other balanced eligible comparator.","The only separable EA comparison is against another active acupuncture-related intervention, with no eligible control arm.","high","primary_results","yes","unclear","yes","Needle electroacupuncture alone or combined with acupoint catgut embedding","Acupoint catgut embedding or combination therapy","unclear","not_applicable","yes","yes","All interventions were performed 30 minutes before fistulotomy.","yes","no","yes","no","yes","2026-07-26T10:38:56.805Z","none","DOI 10.13702/j.1000-0607.200603; Ref ID 34085467."
"6","423","Opposing and Operated Side Electroacupuncture Generates Similar Analgesic Effects on Pain after Knee Surgery.","Huang","2021","English","yes","No","EXCLUDE_ANIMAL","The abstract explicitly describes knee surgery and electroacupuncture experiments in Sprague Dawley rats.","Animal postoperative electroacupuncture experiment, not an adult human trial.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:39:09.282Z","none","DOI 10.1155/2021/6616886; Ref ID 33976704."
"7","424","Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Cognitive Decline in Elderly Patients: A Pilot Study.","Liu","2021","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The randomized TEAS trial involved elderly patients undergoing laparoscopic radical colon cancer surgery and stimulation from 30 minutes before anaesthesia induction through surgery, but the abstract does not explicitly identify the anaesthetic technique as general anaesthesia.","Otherwise eligible perioperative TEAS RCT; general anaesthesia remains the single realistic full-text uncertainty.","medium","primary_results","yes","unclear","yes","TEAS at bilateral Hegu, Neiguan, and Zusanli","Control without TEAS","unclear","not_applicable","yes","yes","From 30 minutes before anaesthesia induction until the end of surgery.","yes","no","no","no","yes","2026-07-26T10:39:36.487Z","none","DOI 10.2147/CIA.S309082; Ref ID 33976542. Laparoscopic surgery alone was not treated as proof of general anaesthesia."
"8","425","Smartphone-controlled patch electro-acupuncture versus conventional pain relief during colonoscopy: a randomized controlled trial.","Joan Gan","2021","English","yes","No","EXCLUDE_NON_SURGICAL","The randomized patch electro-acupuncture intervention was used during colonoscopy, with rescue sedation as needed; no operative surgery was performed.","Colonoscopy is a non-operative endoscopic procedure and does not meet the operative-surgery population criterion.","high","primary_results","yes","no","yes","Smartphone-controlled patch electro-acupuncture","Placebo patch","yes","not_applicable","yes","yes","During colonoscopy.","yes","no","no","no","yes","2026-07-26T10:39:48.884Z","none","DOI 10.1111/ans.16870; Ref ID 33876547."
"9","426","Perioperative Electroacupuncture Can Accelerate the Recovery of Gastrointestinal Function in Cancer Patients Undergoing Pancreatectomy or Gastrectomy: A Randomized Controlled Trial.","Qiu","2021","English","yes","Maybe","UNCERTAIN_TIMING","This is a randomized sham-controlled transcutaneous acupoint-stimulation trial in pancreatectomy or gastrectomy patients, but the abstract states only that stimulation was given once daily in the afternoon and does not identify when the first session began relative to surgery.","Otherwise eligible perioperative TEAS trial; exact first-session timing must be verified at full text.","medium","primary_results","yes","yes","yes","Transcutaneous electrical stimulation at GV20, PC6, ST25, and ST36","Sham transcutaneous stimulation","yes","not_applicable","yes","unclear","Once daily in the afternoon; first session relative to surgery not stated.","yes","no","no","no","yes","2026-07-26T10:40:09.659Z","none","DOI 10.1155/2021/5594263; Ref ID 33859707; NCT03291574. Major pancreatectomy/gastrectomy procedures make general anaesthesia highly evident."
"10","427","[Electroacupuncture in the prevention and treatment of sore throat and nausea and vomiting after gastrointestinal surgery: a randomized controlled trial].","Yue","2021","Chinese","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","The intervention group received manual acupuncture at LU11 before general anaesthesia plus EA at LU5 and LI4 through surgery, while the control group did not receive these components.","EA is combined with an additional manual-acupuncture component that is absent from the control and cannot be separated.","high","primary_results","yes","yes","yes","Manual acupuncture at LU11 plus needle EA at LU5 and LI4","Control without acupuncture or EA","no","not_applicable","no","yes","Manual acupuncture began 30 minutes before general anaesthesia; EA continued until surgery ended.","yes","no","yes","no","yes","2026-07-26T10:40:29.344Z","none","DOI 10.13702/j.1000-0607.200464; Ref ID 33788439."
