screening_sequence,covidence_number,title,first_author,publication_year,language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,protocol_or_results,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,cointerventions_balanced_yes_no_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,timestamp,interface_issue,notes
1,129,Acupoint injection and electrical stimulation for postoperative nausea and vomiting: A randomized clinical trial.,Zhou,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized four-arm gynecologic laparoscopy trial includes a TEAS-only arm and a non-stimulation control with clinical PONV outcomes.,The independent TEAS effect is estimable and perioperative general anaesthesia is strongly supported by the operation.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
2,131,"Electroacupuncture for recovery of gastrointestinal function after laparoscopic hysterectomy surgery: a prospective, randomized, controlled trial.",Huang,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized EA versus control beginning 3–5 hours after laparoscopic hysterectomy with gastrointestinal recovery and pain outcomes.,"Eligible needle EA, timing, comparison, and clinical perioperative outcomes are clearly supported.",high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
3,132,"A Randomized, Sham-Controlled Trial on the Efficacy and Safety of Electroacupuncture for Lumbar Disc Herniation with Radiculopathy: Rationale and Study Protocol.",Yang,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title and abstract identify a randomized trial protocol for lumbar disc herniation and describe planned methods without results.,Protocol without participant outcome results.,high,protocol,no,yes,unclear,unclear,no,no,no,2026-07-23T12:11:27.698Z,,NCT06611332
4,133,Clinical Study on the Application of Acupuncture in the Postoperative Rehabilitation of Dogs Affected by Acute Thoracolumbar Disc Herniation.,Antonucci,2025,English,yes,No,EXCLUDE_ANIMAL,The study population is dogs undergoing surgery and postoperative rehabilitation.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
5,134,Electroacupuncture in the treatment of gastrointestinal dysfunction after laparoscopic nephrectomy: a retrospective analysis.,Zhenjie,2025,English,yes,No,EXCLUDE_NON_RANDOMIZED,The abstract explicitly describes a retrospective medical-record analysis after laparoscopic nephrectomy.,Retrospective observational study rather than an RCT.,high,results,yes,no,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
6,135,Efficacy and safety of transcutaneous electrical acupoint stimulation for preoperative anxiety in thoracoscopic surgery: a randomized controlled trial.,Zhang,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized TEAS versus sham beginning before surgery in video-assisted thoracic surgery with clinical postoperative outcomes.,Eligible perioperative TEAS and sham comparison; general anaesthesia is strongly supported by VATS.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,NCT04887090
7,136,Effectiveness of P6 Stimulation and Transdermal Scopolamine Patch for the Reduction of Nausea and Vomiting During Caesarean Section Under Combined Spinal-Epidural Anesthesia: A Randomized Clinical Trial.,Levin,2025,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,Cesarean delivery is explicitly performed under combined spinal-epidural anesthesia.,The operative anaesthetic is neuraxial without general anaesthesia.,high,results,no,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
8,137,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,Cai,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized EA versus sham delivered two hours after gastric cancer surgery with gastrointestinal recovery outcomes.,"Eligible needle EA, sham comparison, timing, and clinical outcomes are supported; general anaesthesia is highly plausible.",high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
9,138,Risk of Postoperative Nausea and Vomiting After Total Hip or Knee Arthroplasty Under Spinal Anesthesia: Randomized Trial Comparing Conventional Antiemetics with or without the EmeTerm Bracelet.,Yang,2025,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,Total hip or knee arthroplasty is explicitly conducted under spinal anesthesia.,The operative anaesthetic is spinal without general anaesthesia.,high,results,no,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
10,139,Electroacupuncture for acute postoperative pain during coughing after video-assisted thoracoscopic surgery: study protocol for a pilot randomized controlled trial.,Zhang,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report is a pilot-study protocol for perioperative EA in video-assisted thoracic surgery.,Protocol without participant outcome results.,high,protocol,yes,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,ITMCTR2024000170
