screening_sequence,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,protocol_or_results,actual_clinical_results_reported_yes_no_unclear,outcomes_planned_only_yes_no_not_applicable,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,vote_registered_yes_no,post_vote_timestamp,interface_issue,notes
27,231,A commentary on ''transcutaneous electrical acupoint stimulation for preventing postoperative nausea and vomiting after general anesthesia: a meta-analysis of randomized controlled trials''.,Wang,2024,English,no,No,EXCLUDE_PUBLICATION_TYPE,The title explicitly identifies a commentary on a meta-analysis.,Commentary without original participant results.,high,results,no,not_applicable,unclear,no,not applicable,unclear,not_applicable,unclear,unclear,unclear,no,no,yes,2026-07-23T13:34:24.944Z,,This row completes the previously assessed but unregistered record.
28,234,Efficacy of Transcutaneous Electrical Acupoint Stimulation on Chronic Postsurgical Pain After Video-Assisted Thoracoscopic Lobectomy: Study Protocol for a Prospective Randomized Controlled Trial.,Chen,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title says study protocol and the abstract describes future enrollment and planned outcomes.,Protocol without participant outcome results.,high,protocol,no,yes,yes,yes,sham TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:35:00.162Z,,ChiCTR2300069458
29,235,Transcutaneous electrical acupoint stimulation benefits postoperative pain relief of oocyte retrieval: A randomized controlled trial.,Liu,2024,English,yes,No,EXCLUDE_NON_SURGICAL,The intervention follows transvaginal oocyte retrieval rather than operative surgery.,Percutaneous reproductive procedure is outside the operative-surgery population.,high,results,yes,not_applicable,no,yes,mock TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:35:26.800Z,,
30,236,Effects of conventional nursing in the operating room combined with transcutaneous electrical acupoint stimulation on postoperative cognitive dysfunction after total knee arthroplasty in elderly patients.,Wang,2024,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized TKA patients received the same conventional operating-room nursing with or without TEAS; anaesthetic technique is not reported.,The intervention and clinical outcomes are eligible but TKA could be performed under general or neuraxial anaesthesia.,medium,results,yes,not_applicable,unclear,yes,conventional nursing alone,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:35:57.544Z,,
31,238,Transcutaneous electric acupoint stimulation reduced consumption of profopol in patients undergoing laparoscopic surgery: A randomized clinical trial.,Zhang,2024,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing laparoscopic surgery under explicit general anaesthesia were randomized to TEAS; non-acupoint stimulation; or no stimulation with anaesthetic and clinical outcomes.,Eligible TEAS with independently estimable comparator arms and intraoperative timing.,high,results,yes,not_applicable,yes,yes,non-acupoint stimulation and no stimulation,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:36:32.270Z,,
32,239,Application of electroacupuncture in the prevention of low anterior resection syndrome after rectal cancer surgery.,Xu,2023,English,yes,No,EXCLUDE_TIMING,EA was delivered over four weeks to patients with established low anterior resection syndrome after prior rectal cancer surgery.,Treatment targets a chronic postoperative condition after acute recovery.,high,results,yes,not_applicable,unclear,no,defecation training alone,yes,not_applicable,yes,no,no,no,no,yes,2026-07-23T13:37:03.938Z,,
33,241,Electroacupuncture combined with continuous adductor canal block for postoperative analgesia in patients undergoing total knee arthroplasty.,Xiang,2024,Chinese,yes,Yes,INCLUDE_CLEAR,Randomized TKA patients all received continuous adductor-canal block after extubation; the intervention group additionally received EA beginning postoperative day 1.,General anaesthesia is supported by endotracheal extubation and the independently estimable EA contrast has eligible timing and clinical outcomes.,high,results,yes,not_applicable,yes,yes,continuous adductor canal block alone,yes,not_applicable,yes,yes,no,yes,no,yes,2026-07-23T13:37:34.907Z,,
34,243,Acupuncture and Electroacupuncture Effects of ST-36 (Zusanli) and SP-9 (Yinlingquan) on Motor Behavior in Ischemic Gerbils.,Zhang,2023,English,yes,No,EXCLUDE_ANIMAL,The experiment was conducted in gerbils with induced global cerebral ischemia.,Non-human study.,high,results,yes,not_applicable,unclear,unclear,animal control groups,yes,not_applicable,yes,unclear,no,no,no,yes,2026-07-23T13:38:11.245Z,,
35,244,Transcutaneous electrical acupoint stimulation for postoperative nausea and vomiting in patients undergoing craniotomy: A randomized controlled trial.,Tu,2023,English,yes,Maybe,UNCERTAIN_TIMING,Randomized craniotomy trial compares P6 TEAS with sham and reports clinical PONV and pain outcomes; the abstract does not state when TEAS was administered.,The surgical population and comparison are otherwise eligible but the 24-hour intervention-timing threshold requires full-text confirmation.,medium,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,unclear,no,no,no,yes,2026-07-23T13:38:44.332Z,,
36,245,Effects of contralateral versus ipsilateral electroacupuncture for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized controlled trial.,Huang,2023,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized TKA trial compares contralateral and ipsilateral EA with sham beginning postoperative day 1; anaesthetic technique is not reported.,All other criteria are supported but TKA could be performed under general or neuraxial anaesthesia.,medium,results,yes,not_applicable,unclear,yes,sham electroacupuncture,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:39:18.802Z,,ChiCTR1800020297
