screening_sequence,covidence_number,title,first_author,publication_year,language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,concise_private_rationale,confidence_high_medium_low,translation_required_yes_no,possible_companion_report_yes_no,timestamp,interface_issue,notes
1,2,Preoperative Transcutaneous Electrical Acupoint Stimulation Alleviates Postoperative Pain and Improves Sleep Quality in Breast Cancer Patients with Preoperative Sleep Disturbance: A Partially Randomized Controlled Trial.,Ma,2026,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"Eligible randomized TEAS comparison is plausible, but general anaesthesia is not stated.",medium,no,no,2026-07-23T10:10:12.488Z,Header count required a page reload to refresh; vote confirmed by removal from queue and reloaded count.,
2,3,Transcutaneous electrical acupoint stimulation for intercostobrachial nerve syndrome after breast cancer surgery: a randomized controlled trial protocol.,Xia,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Randomized TEAS protocol without outcome results.,high,no,no,2026-07-23T10:11:07.582Z,,
3,4,Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal function recovery in patients undergoing non-gastrointestinal laparoscopic surgery: a randomized controlled trial.,Jiang,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized perioperative TEAS versus sham with eligible timing and clinical postoperative outcomes.,high,no,no,2026-07-23T10:11:23.496Z,,
4,5,Transcutaneous Electrical Nerve Stimulation,Dua,2026,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Narrative clinical reference rather than a randomized surgical trial report.,high,no,no,2026-07-23T10:11:24.207Z,,
5,6,Intraoperative electroacupuncture alleviates angina and attenuates periprocedural myocardial injury in patients undergoing percutaneous coronary intervention.,Liang,2026,English,yes,No,EXCLUDE_NON_SURGICAL,Percutaneous coronary intervention is not operative surgery under general anaesthesia.,high,no,no,2026-07-23T10:11:24.925Z,,
6,8,"[Electroacupuncture at ""Zusanli"" (ST36) suppresses food intake in high-fat diet-fed mice by improving vagal afferent desensitization].",Lu,2026,English,yes,No,EXCLUDE_ANIMAL,Mouse experiment.,high,no,no,2026-07-23T10:11:25.833Z,,
7,9,Effect of electroacupuncture on motor and sensory functions of lower limbs and GABA receptor in spinal cord of rats with neuropathic pain.,Wang,2026,English,yes,No,EXCLUDE_ANIMAL,Rat experiment.,high,no,no,2026-07-23T10:11:26.282Z,,
8,10,Electroacupuncture as an adjunctive therapy for drug-refractory primary open-angle glaucoma: a CARE-compliant case report.,Zhang,2026,English,yes,No,EXCLUDE_NON_SURGICAL,Non-surgical glaucoma case report.,high,no,no,2026-07-23T10:11:26.731Z,,
9,13,"Effect of a multimodal bundled intervention on quality of recovery after laparoscopic colorectal cancer surgery: a single-center, single-blind, pragmatic randomized controlled trial.",Ren,2026,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,Electroacupuncture is embedded in an inseparable multimodal intervention bundle.,high,no,no,2026-07-23T10:11:27.180Z,,
10,14,Comparing 2-Hz and 100-Hz Electroacupuncture for Postoperative Musculoskeletal Pain: Protocol for a 2 × 2 Prospective Randomized Crossover Trial.,Park,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Postoperative electroacupuncture protocol without outcome results.,high,no,no,2026-07-23T10:11:27.614Z,,
11,15,"Efficacy and Safety of Electroacupuncture for Postoperative Insomnia in Patients With Spinal Metastasis: Protocol of a Prospective, Multicenter, Randomized Controlled Study.",Jiang,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Electroacupuncture protocol without outcome results.,high,no,no,2026-07-23T10:12:31.401Z,,
12,18,Evaluation of postoperative analgesia with perioperative electroacupuncture in clinical dog patients undergoing surgery for cranial cruciate ligament rupture (Tibial Tuberosity Advancement).,Lienert,2026,English,yes,No,EXCLUDE_ANIMAL,Veterinary canine surgical study.,high,no,no,2026-07-23T10:12:32.246Z,,
13,19,Effect of transcutaneous electrical acupoint stimulation on major complications after cerebral endovascular procedures (ASSET): study protocol for a randomized controlled trial.,Qu,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,TEAS trial protocol without outcome results.,high,no,no,2026-07-23T10:12:32.695Z,,
14,20,Effect of transcutaneous electrical acupoint stimulation on perioperative hypothermia in video-assisted thoracoscopic surgery: a randomized controlled trial.,Zhao,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized perioperative TEAS versus sham under general anaesthesia with clinical outcomes.,high,no,no,2026-07-23T10:12:33.634Z,,
15,21,Preventive effect of transcutaneous electrical acupoint stimulation pretreatment on lymphedema in patients undergoing axillary lymph node dissection for breast cancer: a randomized controlled trial protocol.,Wu,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,TEAS trial protocol without outcome results.,high,no,no,2026-07-23T10:12:34.571Z,,
16,22,Effect of Transcutaneous Auricular Vagus Nerve Stimulation on Postoperative Cognitive Dysfunction in Older Patients: A Randomized Controlled Clinical Trial.,Li,2026,English,yes,No,EXCLUDE_WRONG_INTERVENTION,Transauricular vagus nerve stimulation is an excluded auricular intervention.,high,no,no,2026-07-23T10:12:35.014Z,,
17,24,Effect of transcutaneous electrical acupoint stimulation at Zusanli (ST36) on postoperative pain following mixed hemorrhoidectomy: a retrospective study.,Ma,2026,English,yes,No,EXCLUDE_NON_RANDOMIZED,Retrospective postoperative TEAS study.,high,no,no,2026-07-23T10:12:35.591Z,,
18,25,Acupoint Stimulation After Anesthesia Induction Does Not Decrease Nausea and Vomiting After Hepatectomy: A Multi-Center Double-Blinded Clinical Trial.,He,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized intraoperative TEAS at an acupuncture point with eligible timing and clinical outcomes.,high,no,no,2026-07-23T10:12:36.495Z,,
19,26,Effect of electroacupuncture on postoperative delirium in elderly patients undergoing laparoscopic radical prostatectomy: study protocol for a double-center randomized controlled trial.,Wei,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Electroacupuncture trial protocol without outcome results.,high,no,no,2026-07-23T10:12:37.212Z,,
20,28,[Effect of electroacupuncture on intestinal function after laparoscopic colorectal cancer surgery].,Zhang,2026,English,yes,Maybe,UNCERTAIN_TIMING,"Randomized perioperative electroacupuncture is plausible, but initiation by postoperative hour 24 is unclear.",medium,no,no,2026-07-23T10:12:38.136Z,,
21,29,[Effects of electroacupuncture on gastrointestinal dysfunction and serum metabolites in postoperative patients with gastric cancer].,Li,2026,English,yes,Yes,INCLUDE_CLEAR,Randomized postoperative electroacupuncture begins within 24 hours and reports eligible clinical outcomes.,high,no,no,2026-07-23T10:13:24.677Z,,
22,30,[Effect of auricular electroacupuncture on tracheal extubation success rate in patients with post-stroke tracheotomy: a randomized controlled trial].,Huang,2026,English,yes,No,EXCLUDE_WRONG_INTERVENTION,Auricular electroacupuncture is explicitly excluded.,high,no,no,2026-07-23T10:13:25.379Z,,
23,31,Electroacupuncture-augmented breaststroke vs. breaststroke alone for mild AIS: superior correction in a retrospective cohort.,Ma,2026,English,yes,No,EXCLUDE_NON_SURGICAL,Adolescent scoliosis treatment is non-operative and outside the perioperative surgical context.,high,no,no,2026-07-23T10:13:25.825Z,,
24,32,Impact of transcutaneous electrical acupoint stimulation combined with aromatherapy on postoperative nausea and vomiting in patients undergoing microvascular decompression surgery: A prospective randomized study.,Luo,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"A separable TEAS arm is present, but general anaesthesia is not stated.",medium,no,no,2026-07-23T10:13:26.547Z,,
25,33,Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Urinary Retention After Radical Hysterectomy for Cervical Cancer: Study Protocol for A Pilot Randomized Controlled Trial.,Li,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,TEAS trial protocol without outcome results.,high,no,no,2026-07-23T10:13:27.463Z,,
26,34,Electroacupuncture for slow flow/no-reflow in patients with acute myocardial infarction undergoing percutaneous coronary intervention: a pilot randomized controlled trial.,Wei,2026,English,yes,No,EXCLUDE_NON_SURGICAL,Percutaneous coronary intervention is not operative surgery under general anaesthesia.,high,no,no,2026-07-23T10:13:27.910Z,,
27,35,Perioperative transcutaneous electrical acupoint stimulation at pericardium 6 reduces postoperative nausea and vomiting after tympanoplasty patients: a randomized controlled study.,Luo,2026,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"Randomized perioperative TEAS is plausible, but anaesthesia type for tympanoplasty is not stated.",medium,no,no,2026-07-23T10:13:28.831Z,,
28,36,Effect of Electroacupuncture on Postoperative Urinary Retention After Radical Hysterectomy for Cervical Cancer: Study Protocol for A Randomized Controlled Trial.,Lu,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Electroacupuncture trial protocol without outcome results.,high,no,no,2026-07-23T10:13:29.769Z,,
29,37,The efficacy of transcutaneous electrical acupoint stimulation on postoperative nausea and vomiting after laparoscopic surgery: a meta-analysis of randomized controlled trials.,Qin,2026,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Systematic review/meta-analysis rather than a primary randomized trial report.,high,no,no,2026-07-23T10:13:30.338Z,,
30,38,[Study on the rules of clinical application of acupuncture for prevention and treatment of perioperative neurocognitive disorder in elderly patients based on data mining].,Wu,2026,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Evidence-mapping/data-mining review rather than a primary randomized trial report.,high,no,no,2026-07-23T10:13:30.774Z,,
31,39,[Effect of preoperative percutaneous auricular electroacupuncture stimulation on anxiety and postoperative recovery quality in patients with breast cancer].,Li,2026,English,yes,No,EXCLUDE_WRONG_INTERVENTION,Percutaneous auricular point electrical stimulation is an excluded auricular intervention.,high,no,no,2026-07-23T10:14:11.542Z,,
32,40,[Transcutaneous electrical acupoint stimulation reduces perioperative arrhythmia risk and improves recovery quality in laparoscopic cholecystectomy: mechanisms involving suppression of repolarization abnormalities induced by CO2 pneumoperitoneum].,Tian,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized perioperative TEAS with eligible timing and clinical recovery outcomes.,high,no,no,2026-07-23T10:14:12.256Z,,
33,41,Effects of electroacupuncture combined with flurbiprofen axetil on postoperative pain and early functional recovery after breast cancer surgery.,He,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized perioperative needle electroacupuncture versus sham with eligible timing and clinical outcomes.,high,no,no,2026-07-23T10:14:12.978Z,,
34,42,Efficacy of transcutaneous electrical acupoint stimulation on early mobilisation in patients undergoing unilateral biportal endoscopic discectomy: a study protocol for a randomised controlled trial.,Luo,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,TEAS trial protocol without outcome results.,high,no,no,2026-07-23T10:14:13.706Z,,
35,43,Effect of Continuous Perioperative Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients Undergoing Laparoscopic Gastrointestinal Surgery: A Randomized Controlled Trial.,Gao,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized perioperative TEAS versus sham with eligible timing and clinical postoperative outcomes.,high,no,no,2026-07-23T10:14:14.648Z,,
36,45,[Effects of TEAS and acupoint pressing on the quality of life of breast cancer patients during perioperative chemotherapy: a randomized controlled trial].,Han,2025,English,yes,No,EXCLUDE_NON_SURGICAL,TEAS during chemotherapy is not an operative surgical intervention context.,high,no,no,2026-07-23T10:14:15.579Z,,
37,48,"Effect of transcutaneous electrical acupoint stimulation for preemptive analgesia on intraoperative opioid dosage in burn patients: a randomized, double-blind, controlled trial.",Liu,2026,English,yes,Yes,INCLUDE_CLEAR,Adult randomized TEAS versus sham during surgery under general anaesthesia with eligible outcomes.,high,no,no,2026-07-23T10:14:16.388Z,,
38,49,Preventive effect of transcutaneous acupoint electrical stimulation on emergence agitation after general anesthesia in pediatric patients undergoing tonsillectomy: A randomized clinical trial.,Li,2026,English,yes,No,EXCLUDE_POPULATION,Children-only tonsillectomy population.,high,no,no,2026-07-23T10:14:17.305Z,,
39,50,Effect of transcutaneous electrical acupoint stimulation on post-anesthetic shivering: a meta-analysis and trial sequential analysis.,Miao,2025,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Systematic review/meta-analysis rather than a primary randomized trial report.,high,no,no,2026-07-23T10:14:17.896Z,,
40,53,Integrative acupoint stimulation within enhanced recovery after endoscopic procedures: Harnessing the neuroimmune axis for enhanced gastrointestinal recovery.,Wang,2026,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Critical appraisal/commentary rather than a primary randomized trial report.,high,no,no,2026-07-23T10:14:18.465Z,,
