"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1001","11","1","2619","Study on the therapeutic effect of electroacupuncture at Tianshu Point on acute lung injury of sepsis","ITMCTR2025000064","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:33.567Z","",""
"1002","11","2","2620","Clinical study on electroacupuncture treatment of knee osteoarthritis","ChiCTR2500097373","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:44.754Z","",""
"1003","11","3","2621","A randomized controlled study of risk factors associated with residual numbness after lumbar disc herniation and the therapeutic effect of umbilical acupuncture combined with warm acupuncture","ITMCTR2024000328","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","INTERVENTION: Experimental group:Umbilical acupuncture combined with warm acupuncture and moxibustion treatment group;Control group:Routine electroacupuncture for the waist and affected limb ; CONDITION: Residual numbness after surgery for lumbar disk herniation PRIMARY OUTCOME: Numbness VAS score; SECONDARY OUTCOME: VAS score;Lower limb electromyography;Nylon rope experiment;S‐F36 (Quality of Life Assessment Form);Acupuncture experiment;Traditional Chinese Medicine Syndrome Score;JOA score; INCLUSION CRITERIA: 1) Conform to the diagnosis; 2) Age 22‐60 years old; 3) Received PELD; 4) Sign the ","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:45.792Z","",""
"1004","11","4","2622","A pilot randomized controlled clinical trial of the combination of acupuncture and medicine treatment for patients with sudden deafness associated with tinnitus","ChiCTR2400086802","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:49.309Z","",""
"1005","11","5","2623","Electroacupuncture vs Acupotomy in treatment of Adhesive capsulitis","Mokhtari","2024","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T15:25:50.089Z","","DOI: 10.18502/tim.v9is1.16695; DOI: 10.18502/tim.v9is1.16695"
"1006","11","6","2624","Clinical efficacy of electroacupuncture in the treatment of pediatric lower motor neuron neurogenic bladder based on the combination of disease-disease-position and the thought of electroacupuncture","ITMCTR2025000344","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:51.110Z","",""
"1007","11","7","2625","Electroacupuncture for ileus after laparoscopic colorectal surgery: a randomised sham-controlled study","Ng","2013","English","no","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","no","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","unclear","","unclear","no","no","no","yes","2026-07-26T15:25:52.132Z","",""
"1008","11","8","2626","Clinical Efficacy Evaluation of Electroacupuncture as Adjuvant Therapy for Female Patients With Overactive Bladder","NCT05997992","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:53.139Z","",""
"1009","11","9","2627","Fu''s subcutaneous needling approach versus electroacupuncture for knee osteoarthritis: protocol for comparative effectiveness and safety randomized controlled trial","Liu","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a protocol/design report without participant results.","Protocol or registration without results.","high","protocol","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:53.919Z","","DOI: 10.3389/fmed.2025.1510326; DOI: 10.3389/fmed.2025.1510326"
"1010","11","10","2628","Ultrasonographic Observation of Electroacupuncture for Gastric Motility Improvement in Critically Ill Patients: a Randomized Controlled Trial Study Protocol","ITMCTR2025001017","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:25:54.965Z","",""
