"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1601","17","1","3849","The sedation effect of electro-acupuncture on bilateral Zusanli (ST 36) and neiguan (PC 6) in general anesthesia may not be mediated by the benzodiazepines-GABA pathway","Zhu","2016","English","yes","Maybe","UNCERTAIN_TIMING","The perioperative study is otherwise eligible, but the first stimulation time cannot be placed confidently at or before 24 postoperative hours.","Eligible timing is the principal unresolved criterion.","moderate","primary_results","yes","yes","yes","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T15:53:35.143Z","",""
"1602","17","2","3851","Perioperative Transcutaneous Electrical Acupoint Stimulation for Enhanced Recovery After Laparoscopic Colon Surgery:a Multi-center Randomized Controlled Clinical Trial","#3851","2016","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","no","unclear","yes","TEAS","sham/usual-care/control","unclear","not_applicable","yes","unclear","Interventions were given 30min before anesthesia and 1, 2 , 3 day after surgery, lasted 30min each time .","yes","no","no","no","yes","2026-07-26T15:53:35.966Z","",""
"1603","17","3","3853","Auricular Percutaneous Electrical Nerve Field Stimulation for Postoperative Pain Control in Adults","#3853","2016","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Auricular Percutaneous Electrical Nerve Field Stimulation for Postoperative Pain Control in Adults.","Wrong intervention.","high","primary_results","no","unclear","yes","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","unclear","unclear","Auricular Percutaneous Electrical Nerve Field Stimulation for Postoperative Pain Control in Adults.","yes","no","no","no","yes","2026-07-26T15:53:37.052Z","",""
"1604","17","4","3854","Non-invasive treatment to grade 1 essential hypertension by percutaneous laser and electric pulse to acupoint with music: A randomized controlled trial","Zhan","2016","English","yes","No","EXCLUDE_NON_SURGICAL","Non-invasive treatment to grade 1 essential hypertension by percutaneous laser and electric pulse to acupoint with music: A randomized controlled trial.","Non-operative or non-surgical population.","high","primary_results","yes","unclear","yes","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T15:53:38.429Z","","DOI: 10.1007/s11655-016-2502-5; DOI: 10.1007/s11655-016-2502-5"
"1605","17","5","3857","Assessment of the Effectiveness of Ultrasound-guided Acupuncture in the Management of Carpal Tunnel Syndrome","#3857","2016","English","yes","No","EXCLUDE_NON_SURGICAL","Assessment of the Effectiveness of Ultrasound-guided Acupuncture in the Management of Carpal Tunnel Syndrome.","Non-operative or non-surgical population.","high","primary_results","no","no","yes","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T15:53:39.490Z","",""
"1606","17","6","3859","Electroacupuncture protects against articular cartilage erosion by inhibiting mitogen-activated protein kinases in a rat model of osteoarthritis","Liao","2016","English","yes","No","EXCLUDE_ANIMAL","Electroacupuncture protects against articular cartilage erosion by inhibiting mitogen-activated protein kinases in a rat model of osteoarthritis.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:53:40.262Z","","DOI: 10.1136/acupmed-2015-010949; DOI: 10.1136/acupmed-2015-010949"
"1607","17","7","3861","Effectiveness Specific Manual Therapy in a Multimodal Physical Therapy Treatment in Patients With Tinnitus and Temporomandibular Joint Disorder.","#3861","2016","English","yes","No","EXCLUDE_NON_SURGICAL","Effectiveness Specific Manual Therapy in a Multimodal Physical Therapy Treatment in Patients With Tinnitus and Temporomandibular Joint Disorder..","Non-operative or non-surgical population.","high","primary_results","no","unclear","yes","ordinary TENS","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T15:53:41.324Z","",""
"1608","17","8","3863","Combined Electroacupuncture and Auricular Acupuncture for Postoperative Pain After Abdominal Surgery for Gynecological Diseases: A Randomized Sham-controlled Trial","#3863","2016","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Combined Electroacupuncture and Auricular Acupuncture for Postoperative Pain After Abdominal Surgery for Gynecological Diseases: A Randomized Sham-controlled Trial.","The electrical intervention is auricular stimulation or a nerve-localization device rather than eligible body-point TEAS or needle-based electroacupuncture.","high","primary_results","no","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","no","yes","Intervention: Subjects in the treatment group will receive EA combined with AA within two hours before operation, post-operation upon arrival to the ward and once a day for the subsequent 5 days.","yes","no","no","no","yes","2026-07-26T15:53:42.087Z","",""
"1609","17","9","3864","Does Site-specific Trigger Point Dry Needling Evoke Segmental Neuromodulation in the Lower Extremity and if so, do These Changes Make an Impact on the Subject''s Disability?","#3864","2016","English","yes","No","EXCLUDE_NON_SURGICAL","Does Site-specific Trigger Point Dry Needling Evoke Segmental Neuromodulation in the Lower Extremity and if so, do These Changes Make an Impact on the Subject''s Disability?.","Non-operative or non-surgical population.","high","secondary_report","no","unclear","unclear","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","yes","no","no","yes","yes","2026-07-26T15:53:42.932Z","",""
"1610","17","10","3866","Effect of Electroacupuncture at Distal and Proximal Acupoints on Expression of Spinal p 38 Mitogen-activated Protein Kinase and Cyclic Adenosine 3'',5''-monophosphate in Rats with Lumbago","Long","2016","English","yes","No","EXCLUDE_ANIMAL","Effect of Electroacupuncture at Distal and Proximal Acupoints on Expression of Spinal p 38 Mitogen-activated Protein Kinase and Cyclic Adenosine 3'',5''-monophosphate in Rats with Lumbago.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:53:43.958Z","",""
"1611","17","11","3867","Effect of Electroacupuncture Intervention on β-endorphin Levels of Hypothalamus and Spinal Cord Tissues in Rats with Pelmatic Incisional Pain","Jia","2016","English","yes","No","EXCLUDE_ANIMAL","Effect of Electroacupuncture Intervention on β-endorphin Levels of Hypothalamus and Spinal Cord Tissues in Rats with Pelmatic Incisional Pain.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:53:45.110Z","",""
"1612","17","12","3869","A Prospective Cohort Study of Electroacupuncture Deep Needling Protrusion of Lumbar Intervertebral Disc the Five Acupoints in the Treatment of Lumbar Disc Herniation","#3869","2016","English","yes","No","EXCLUDE_NON_RANDOMIZED","At the same time, a large number of clinical cases of the subject group will be used to establish a database of patients with lumbar disc herniation, which is convenient for the retrospective study in the future.","Non-randomized study.","high","secondary_report","no","unclear","no","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","yes","yes","2026-07-26T15:53:46.103Z","",""
"1613","17","13","3872","Translating neuromodulation into molecular medicine","Ulloa","2016","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Translating neuromodulation into molecular medicine.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","no","yes","unclear","EA","sham/usual-care/control","unclear","not_applicable","yes","yes","Translating neuromodulation into molecular medicine.","yes","no","no","no","yes","2026-07-26T15:53:47.164Z","","DOI: 10.1097/SHK.0000000000000630; DOI: 10.1097/SHK.0000000000000630"
"1614","17","14","3874","Effect of Acupuncture on Inflammation and Immune Function After Craniotomy","#3874","2016","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Effect of Acupuncture on Inflammation and Immune Function After Craniotomy.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","no","unclear","unclear","EA","sham/usual-care/control","unclear","not_applicable","yes","unclear","","unclear","no","no","no","yes","2026-07-26T15:53:48.995Z","",""
