target,analysis_id,outcome,stratum,k,effect_measure,estimate,ci_low,ci_high,p_value,tau2,i2,q_stat,model,notes
Primary 24-h Opioid,OP24_PRIM_COMB,24-h Cumulative Postoperative Opioid,Combined Strict Primary (TEAS + EA),7,MD (mg IV MME),-9.9070034,-20.079363,.2653563,.054538377,113.91055,98.569153,254.60857,REML + Hartung-Knapp,"SUPERSEDED by V33_S0_TEAS_SHAM. This row pools TEAS-vs-sham and EA-vs-usual-care trials in one model; v33 reports the two comparator strata separately and does not treat their combination as the primary result. Retained for transparency, not as a headline estimate."
Primary 24-h Opioid,OP24_TEAS_SHAM,24-h Cumulative Postoperative Opioid,TEAS vs Sham,4,MD (mg IV MME),-13.995275,-34.180843,6.1902914,.11447614,156.88229,98.590675,232.89413,REML + Hartung-Knapp,
Primary 24-h Opioid,OP24_EA_CTRL,24-h Cumulative Postoperative Opioid,EA vs Usual Care,3,MD (mg IV MME),-3.9358339,-19.773222,11.901554,.39689466,28.471277,77.152611,7.6678648,REML + Hartung-Knapp,
Primary 24-h Opioid,OP24_LOWROB_ONLY,24-h Cumulative Postoperative Opioid,Sensitivity: Low/Some Concerns RoB only,6,MD (mg IV MME),-11.272961,-23.181637,.63571644,.059135512,123.59916,98.866768,254.51317,REML + Hartung-Knapp,
Primary 24-h Opioid,OP24_PRIM_SMD,24-h Cumulative Postoperative Opioid,Standardized Mean Difference (Hedges g),7,Hedges g (SMD),-.96674985,-2.0861762,.15267643,.079024479,1.3659765,96.496735,100.08619,REML + Hartung-Knapp,
Target A (0-48h Opioid),TA_STRICT,0-48 h Cumulative Postoperative Opioid,"Strict Target A (Chen, Zhang, An)",3,MD (mg IV MME),-10.267846,-34.834663,14.298971,.21394686,94.559998,97.07373,71.078476,REML + Hartung-Knapp,
Target A (0-48h Opioid),TA_EXCL_AN,0-48 h Cumulative Postoperative Opioid,Mandatory Sensitivity: Exclude An 2014,2,MD (mg IV MME),-12.395357,-128.63075,103.84003,.40475306,165.02835,98.59272,71.058952,REML + Hartung-Knapp,
Target A (0-48h Opioid),TA_EXCL_ZHANG,0-48 h Cumulative Postoperative Opioid,Sensitivity: Exclude Converted (Zhang 2023),2,MD (mg IV MME),-13.86749,-113.16422,85.429245,.3266978,117.39323,96.107048,25.687456,REML + Hartung-Knapp,
Target A (0-48h Opioid),TA_INCL_XIE,0-48 h Cumulative Postoperative Opioid,Sensitivity: Broader Window (Include Xie 2014),4,MD (mg IV MME),-12.301891,-26.735401,2.131619,.07301347,79.154221,96.455132,101.82667,REML + Hartung-Knapp,
Target B (0-72h Opioid),TB_STRICT_EXACT,0-72 h Cumulative Postoperative Opioid,Strict Exact 0-72h (Yang 2024 alone),1,MD (mg IV Morphine),-0.5,-4.078,3.078,0.784,,,,Single study (Not pooled),
Target B (0-72h Opioid),TB_BROADER_SENS,0-72 h Cumulative Postoperative Opioid,Sensitivity: Exact + First 3 Days (Yang + Wong),2,MD (mg IV Morphine),-1.4706,-34.4228,31.4816,0.6716,4.3317,13.88,1.16,REML + Hartung-Knapp,
Target C (Pain ~24h),TC_REST_PAIN24,Pain at rest ~24 h (VAS 0-10),"Strict Pain at Rest ~24h (Xing 2022, Liu 2021)",2,MD (VAS 0-10),-0.1765,-0.6828,0.3298,0.14135,0.0,0.0,0.23,REML + Hartung-Knapp,Strict at rest ~24h
Target D (PONV),TD_PONV_0_24H,Postoperative Nausea & Vomiting (PONV),"Composite PONV 0-24h (Zheng 2025, Lu 2021)",2,Risk Ratio (RR),0.5604,.13772711,2.3201532,.12249336,0.0,0.0,.67732525,REML + Hartung-Knapp,
Target D (PONV),TD_PONV_0_48H,Postoperative Nausea & Vomiting (PONV),"Composite PONV 0-48h (Xiong 2021, Xing 2022)",2,Risk Ratio (RR),0.5234,.25854653,1.1078347,.058148503,0.0,0.0,.078801736,REML + Hartung-Knapp,
Target D (PONV),TD_NAUSEA_0_24H,Postoperative Nausea & Vomiting (PONV),"Nausea 0-24h (Yang 2024, Ma 2026, Szmit 2021)",3,Risk Ratio (RR),0.6035,.30662391,1.2207664,.092244975,0.0,0.0,1.5365642,REML + Hartung-Knapp,
Target D (PONV),TD_NAUSEA_0_48H,Postoperative Nausea & Vomiting (PONV),Nausea 0-48h (Luo 2026 alone),1,Risk Ratio (RR),0.4561,.30409741,.69958156,,,,,Single study (Not pooled),
Target D (PONV),TD_VOMIT_0_24H,Postoperative Nausea & Vomiting (PONV),"Vomiting 0-24h (Yang 2024, Ma 2026)",2,Risk Ratio (RR),0.5755,.025851341,13.446533,.27751815,0.0,0.0,.97338724,REML + Hartung-Knapp,
Target D (PONV),TD_VOMIT_0_48H,Postoperative Nausea & Vomiting (PONV),Vomiting 0-48h (Luo 2026 alone),1,Risk Ratio (RR),0.3357,.17290582,.70016229,,,,,Single study (Not pooled),
Target E (Flatus),TE_FLATUS_MD_REML_KH,Time to first flatus,MD Hours (REML + KH),6,MD (Hours),-2.0039,-3.1419,-0.8659,0.00624,0.0,0.0,6.53,MD Hours (REML + KH),"Primary analysis (k=6, Ng 2013 converted from days)"
Target E (Flatus),TE_FLATUS_SMD_REML_KH,Time to first flatus,SMD Hedges g (REML + KH),6,Hedges g (SMD),-0.4557,-0.5758,-0.3356,0.00019,0.0,0.0,1.58,SMD Hedges g (REML + KH),Standardized Mean Difference (Hedges g)
Target E (Flatus),TE_FLATUS_EXCL_NG,Time to first flatus,MD Hours excl. Ng 2013 (REML + KH),5,MD (Hours),-1.9668,-3.2027,-0.7309,0.01153,0.0,0.0,5.24,MD Hours excl. Ng 2013 (REML + KH),Excluding Ng 2013 (originally reported in days)
Target E (Flatus),TE_FLATUS_EXCL_HIGH_ROB,Time to first flatus,MD Hours excl. High RoB (REML + KH),5,MD (Hours),-3.0761,-5.3534,-0.7989,0.01994,1.0945,28.06,5.12,MD Hours excl. High RoB (REML + KH),Sensitivity excluding High RoB
Target E (Flatus),TE_FLATUS_DL_WALD,Time to first flatus,MD Hours (DL Wald unadjusted),6,MD (Hours),-2.2667,-3.3241,-1.2093,3e-05,0.3924,23.42,6.53,MD Hours (DL Wald unadjusted),Unadjusted DerSimonian-Laird model
Target F (Exploratory),TF_INTRA_REMI_UG,Intraoperative titrated remifentanil,"Titrated remifentanil mass (µg) (Wu, Xing, Lu, Zheng, Guo, Liang, Pan)",7,MD (µg),-114.21,-213.7164,-14.7036,0.03082,8288.4814,80.69,22.9,"MD µg, REML + Hartung-Knapp",Intraoperative remifentanil requirement
Target F (Exploratory),TF_POSTOP_DELIVERED_MORPH,Postoperative delivered morphine,"Strict delivered IV morphine (Seevaunnamtum 2016, Lee 2011 High)",2,MD (mg),-7.2671,-67.226,52.6919,0.36664,31.0188,68.74,3.2,"MD mg, REML + Hartung-Knapp",Strict delivered morphine mass
