Study,Comparison ID,Intervention,Comparator,Outcome,Timepoint,Data type,n I,n C,Mean/Median I,SD/IQR I,Mean/Median C,SD/IQR C,Unit,Exact 0-24 h?,Primary eligibility,Analysis readiness,Reason,Duplicate hold,Source-QC issue,Source URL
Seevaunnamtum 2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Mean/SD,32,32,21.38,14.38,33.94,20.24,mg morphine,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,No allocation-concealment method reported,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk
Chen 1998,CHEN98_NONACU_vs_SHAM,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,10.5,6.2,10.7,5,mg hydromorphone,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,Four-arm RCT; shared sham control must be handled correctly,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 1998,CHEN98_DERM_vs_SHAM,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,6.8,4.2,10.7,5,mg hydromorphone,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,Four-arm RCT; shared sham control must be handled correctly,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,6.5,3.5,10.7,5,mg hydromorphone,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,Four-arm RCT; shared sham control must be handled correctly,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 2020,CHEN20_TEAS_vs_SHAM,Perioperative TEAS,Sham low/zero-current protocol,Cumulative sufentanil,24 h postoperatively,Mean/SD,40,40,72.43,4.78,100.62,10.2,µg sufentanil,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk
Coura 2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,Cumulative fentanyl,First 24 h postoperatively,Mean/SD,13,9,13.1,2.2,16.3,1.6,µg/kg fentanyl,Yes,Conditional,CONDITIONAL,24-h opioid endpoint exists but requires a prespecified route/unit/time-window or derived-value rule.,,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk
Ao 2021,AO21_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,Cumulative postoperative sufentanil,Exact 0-24 h,Not reported,32,33,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,PCA followed for 48 h; no extractable cumulative 0-24-h total,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk
Zhou 2025,ZHOU25_TEAS_vs_SHAM_OPIOID24,PACU TEAS,Sham/no current,Exact cumulative postoperative opioid dose,0-24 h,Not reported,48,49,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Standard perioperative sufentanil plus PRN tramadol; exact 0-24-h cumulative dose not reported,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk
Zhou 2021,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Postoperative TEAS + ERAS,ERAS/usual care,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,Events/total,41,40,,,,,participants,No,No,CONDITIONAL,Published postoperative opioid endpoint is relevant but does not meet the strict primary 0-24-h definition without an explicit protocol rule.,,Exact postoperative time window is not clearly stated,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk
Zheng 2025,ZHENG25_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham/no current,Exact cumulative postoperative sufentanil mass,0-24 h,Not reported,42,43,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Final PCIA volume/concentration and exact cumulative sufentanil mass are not reported,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk
Zhan 2020,ZHAN20_TAPTEAS_vs_TAP_OPIOID24,TAP block + postoperative TEAS,TAP block,Actual cumulative postoperative sufentanil consumption,0-24 h,Not reported,30,30,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Only programmed PCIA reservoir/basal settings are reported; actual group-specific delivered opioid is NR,https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk
Zhang 2025,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Perioperative TEAS,Sub-sensory sham,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,Mean/SD,45,48,50.53,4.46,53.79,5.14,µg sufentanil,Conditional,Conditional,CONDITIONAL,24-h opioid endpoint exists but requires a prespecified route/unit/time-window or derived-value rule.,,"Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk
Zhang 2023,ZHANG23_TEAS_vs_SHAM_MME48,TEAS,Sham/no current,Postoperative IV morphine-equivalent consumption,Within 48 h,Median/IQR,922,916,110,80–110,110,90–110,mg IV morphine-equivalent,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk
