Assessment_File,Study_Citation,Source_PDF,Trial_Registration,Assessed_Outcome,Timepoint,Domain_1_Randomization,Domain_2_Deviations,Domain_3_Missing_Data,Domain_4_Measurement,Domain_5_Selection,Overall_RoB,Structured_Extraction_JSON
RoB2_An_2014_MorphineConsumption_24h.md,"An L, Zhou J, Wang Z, et al. Electro-Acupuncture Decreases Postoperative Pain and Improves Recovery in Patients Undergoing a Supratentorial Craniotomy. The American Journal of Chinese Medicine. 2014;42(5):1099–1109.",covidence_698_full_article.pdf,None reported,Cumulative Postoperative Morphine Consumption,24 hours postoperatively,Low,Low,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""An_2014"",   ""source_file"": ""covidence_698_full_article.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Cumulative morphine consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""ea"": 30,     ""sham"": 30,     ""control"": 30,     ""total"": 90   },   ""result"": {     ""ea_mean"": 12.4,     ""ea_sd"": 3.8,     ""sham_mean"": 24.6,     ""sham_sd"": 5.2,     ""control_mean"": 26.2,     ""control_sd"": 5.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Ao_2021_PainIntensity_24h.md,"Ao X, Liu L, Yang Y, et al. Efficacy of transcutaneous electrical acupoint stimulation on postoperative pain and cellular immune function in patients undergoing radical mastectomy: A randomized controlled trial. Experimental and Therapeutic Medicine. 2021;21(3):184.",download.pdf,Chinese Clinical Trial Registry ChiCTR1800017768,Postoperative Pain Intensity at Rest (VAS 0–10),24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Ao_2021"",   ""source_file"": ""download.pdf"",   ""trial_registration"": ""ChiCTR1800017768"",   ""outcome"": ""Pain intensity at rest (VAS)"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 45,     ""sham"": 45,     ""total"": 90   },   ""result"": {     ""teas_mean"": 2.1,     ""teas_sd"": 0.6,     ""sham_mean"": 3.4,     ""sham_sd"": 0.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Chen_1998_MorphineConsumption_24h.md,"Chen L, Tang J, White PF, et al. The effect of location of transcutaneous electrical acupoint stimulation on postoperative opioid sparing. Anesthesia & Analgesia. 1998;87(5):1129–1134.",covidence_969_chen_1998.pdf,None reported,Cumulative Patient-Controlled Morphine Consumption,24 hours postoperatively,Low,Low,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Chen_1998"",   ""source_file"": ""covidence_969_chen_1998.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Cumulative morphine consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas_true"": 25,     ""teas_dermatomal"": 25,     ""sham_active"": 25,     ""sham_inactive"": 25,     ""total"": 100   },   ""result"": {     ""teas_true_mean"": 32,     ""teas_true_sd"": 11,     ""sham_inactive_mean"": 51,     ""sham_inactive_sd"": 14,     ""p_value"": ""<0.05""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Chen_2015_Hyperalgesia_MechanicalPainThreshold_24h.md,"Chen Y, Bian W, Yao Y, et al. Effect of transcutaneous electrical acupoint stimulation on remifentanil-induced hyperalgesia: A randomized controlled trial. International Journal of Clinical and Experimental Medicine. 2015;8(4):5781–5787.",040_chen_2015_hyperalgesia_lund.pdf,None reported,Mechanical Pain Threshold Surrounding the Incision,24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Chen_2015_Hyperalgesia"",   ""source_file"": ""040_chen_2015_hyperalgesia_lund.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Mechanical pain threshold surrounding incision"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 30,     ""sham"": 30,     ""total"": 60   },   ""result"": {     ""teas_mean"": 4.62,     ""teas_sd"": 0.58,     ""sham_mean"": 3.24,     ""sham_sd"": 0.51,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Chen_2015_Thyroidectomy_SufentanilConsumption_24h.md,"Chen Y, Bian W, Yao Y, et al. Transcutaneous electrical acupoint stimulation improves postoperative recovery after thyroidectomy: A randomized controlled trial. International Journal of Clinical and Experimental Medicine. 2015;8(8):13622–13627.",037_chen_2015_thyroidectomy_lund.pdf,ClinicalTrials.gov NCT02333747,Cumulative Postoperative Sufentanil Consumption,24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Chen_2015_Thyroidectomy"",   ""source_file"": ""037_chen_2015_thyroidectomy_lund.pdf"",   ""trial_registration"": ""NCT02333747"",   ""outcome"": ""Cumulative sufentanil consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 42,     ""sham"": 42,     ""total"": 84   },   ""result"": {     ""teas_mean"": 14.8,     ""teas_sd"": 3.2,     ""sham_mean"": 22.6,     ""sham_sd"": 4.5,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Chen_2020_SufentanilConsumption_24h.md,"Chen Y, Bian W, Yao Y, et al. Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia for sedation and recovery in lung cancer surgery: A randomized controlled trial. Thoracic Cancer. 2020;11(4):928–934.",Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,Chinese Clinical Trial Registry ChiCTR1800016067,Cumulative Postoperative Sufentanil Consumption,24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Chen_2020"",   ""source_file"": ""Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf"",   ""trial_registration"": ""ChiCTR1800016067"",   ""outcome"": ""Cumulative sufentanil consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 40,     ""sham"": 40,     ""total"": 80   },   ""result"": {     ""teas_mean"": 36.4,     ""teas_sd"": 6.2,     ""sham_mean"": 49.8,     ""sham_sd"": 7.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Coura_2011_MorphineConsumption_24h.md,"Coura LE, Manoel CH, Moyses AM, et al. Electroacupuncture in postoperative pain: a randomized, double-blind, sham-controlled clinical trial. Acupuncture in Medicine. 2011;29(1):16–20.",covidence_819_full_article.pdf,None reported,Postoperative Morphine Consumption,24 hours postoperatively,Some concerns,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Coura_2011"",   ""source_file"": ""covidence_819_full_article.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Morphine consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""ea"": 30,     ""sham"": 30,     ""control"": 30,     ""total"": 90   },   ""result"": {     ""ea_mean"": 4.2,     ""ea_sd"": 3.1,     ""sham_mean"": 11.5,     ""sham_sd"": 5.2,     ""control_mean"": 13.8,     ""control_sd"": 6.0,     ""p_value"": ""<0.01""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_ElRakshy_2009_MorphineConsumption_24h.md,"El-Rakshy M, Clark SC, Thompson J, Thant M. Effect of intraoperative electroacupuncture on postoperative pain, analgesic requirements, nausea and sedation: a randomised controlled trial. *Acupuncture in Medicine*. 2009;27(1):9–12.",covidence_868_full_article.pdf,Not reported / omitted in text,Total Postoperative PCA Morphine Consumption,24 hours postoperatively,Some Concerns,Some Concerns,Some Concerns,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""ElRakshy_2009"",   ""source_file"": ""covidence_868_full_article.pdf"",   ""outcome"": ""Total Postoperative PCA Morphine Consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""control_randomized"": 56, ""control_analyzed"": 53, ""ea_randomized"": 56, ""ea_analyzed"": 42},   ""result"": {""control_mean"": 36.9, ""control_sd"": 18.0, ""ea_mean"": 35.3, ""ea_sd"": 18.0, ""p_value"": 0.961},   ""overall_rob"": ""Some concerns"" }"
RoB2_Gao_2021_ParalyticIleus_POD5.md,"Gao Y, Wang H, Sun M, et al. Transcutaneous electrical acupoint stimulation applied in lower limbs decreases the incidence of paralytic ileus after colorectal surgery: A multicenter randomized controlled trial. Surgery. 2021;170(6):1618–1626.",covidence_400_full_article.pdf,ClinicalTrials.gov NCT03086304,Cumulative Incidence of Postoperative Paralytic Ileus (POI),Within 5 days postoperatively (POD 1 to POD 5),Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Gao_2021"",   ""source_file"": ""covidence_400_full_article.pdf"",   ""trial_registration"": ""NCT03086304"",   ""outcome"": ""Incidence of paralytic ileus"",   ""timepoint"": ""Within 5 days postoperative"",   ""sample_size"": {     ""teas"": 200,     ""sham"": 200,     ""total"": 400   },   ""result"": {     ""teas_events"": 21,     ""sham_events"": 41,     ""teas_pct"": 10.5,     ""sham_pct"": 20.5,     ""rr"": 0.51,     ""p_value"": 0.005   },   ""overall_rob"": ""Low"" }"
RoB2_Grech_2016_MorphineConsumption_24h.md,"Grech D, Li S, Stensson S, et al. Intraoperative Low-frequency Electroacupuncture under General Anesthesia: A Randomized Clinical Trial. Journal of Acupuncture and Meridian Studies. 2016;9(5):234–241.",030_grech_2016_lund.pdf,ClinicalTrials.gov NCT01937520,Cumulative Postoperative Morphine Consumption,24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Grech_2016"",   ""source_file"": ""030_grech_2016_lund.pdf"",   ""trial_registration"": ""NCT01937520"",   ""outcome"": ""Cumulative morphine consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""ea"": 20,     ""sham"": 20,     ""total"": 40   },   ""result"": {     ""ea_mean"": 28.5,     ""ea_sd"": 14.8,     ""sham_mean"": 32.1,     ""sham_sd"": 16.2,     ""p_value"": 0.47   },   ""overall_rob"": ""Low"" }"
