analysis,study,needed_result,existing_assessed_result,existing_overall
Binary rescue opioid use (0-24h/POD1),Tu 2024,Binary rescue opioid use (0-24h/POD1),Vomiting incidence,High
Binary rescue opioid use (0-24h/POD1),Liu 2026 (burn),Binary rescue opioid use (0-24h/POD1),Intraoperative remifentanil consumption,Some concerns
Binary rescue opioid use (0-24h/POD1),Yu 2020,Binary rescue opioid use (0-24h/POD1),Global QoR-40,High
Intraoperative remifentanil,Zheng 2025,Intraoperative remifentanil,Any PONV,Some concerns
Intraoperative remifentanil,Wu 2022,Intraoperative remifentanil,VAS pain intensity,High
Intraoperative remifentanil,Wu 2025,Intraoperative remifentanil,VAS pain intensity,High
Intraoperative remifentanil,Ntritsou 2014,Intraoperative remifentanil,Total tramadol exposure,High
Intraoperative remifentanil,Lu 2021,Intraoperative remifentanil,Post-mastectomy chronic pain incidence,High
Intraoperative remifentanil,Guo 2023,Intraoperative remifentanil,Postoperative cognitive dysfunction,High
Intraoperative remifentanil,Zhu 2022,Intraoperative remifentanil,Postoperative vomiting,Some concerns
Intraoperative remifentanil,Pan 2023,Intraoperative remifentanil,Time to first postoperative flatus,High
Intraoperative sufentanil,Wu 2025,Intraoperative sufentanil,VAS pain intensity,High
Intraoperative sufentanil,Wang 2024,Intraoperative sufentanil,PONV incidence,High
Intraoperative sufentanil,Song 2020,Intraoperative sufentanil,PCA pump press number,Some concerns
Intraoperative sufentanil,Zhu 2022,Intraoperative sufentanil,Postoperative vomiting,Some concerns
Global QoR-40 at ~24h,Liang 2021,Global QoR-40 at ~24h,CRBD incidence,High
Time to first defecation,Yang 2024,Time to first defecation,Morphine use via IV PCA,Some concerns
Time to first defecation,Lu 2022,Time to first defecation,Time to meet discharge criteria,High
