model_id,phase,measure,k,estimate,ci_low,ci_high,p_value,tau2,i2,estimator,master
gi_first_flatus_TEAS_Sham,NEW,MD,7,-6.261477100631422,-9.505491440979547,-3.017462760283298,.0032481275938452,9.094369483572313,81.95567927264574,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
gi_first_flatus_EA_Usual_care,NEW,MD,2,-3.363329013005063,-7.426014735189321,.699356709179193,.1046807386431674,7.140093299720727,80.95343233874293,REML normal CI,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
gi_first_bowel_sounds_TEAS_Sham,NEW,MD,2,-6.086398848276676,-8.282459541912672,-3.89033815464068,5.57087358466e-08,3.21292098382e-07,.0000116584942085,REML normal CI,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
pain_vas_24h_TEAS_Sham,NEW,MD,2,-1.50597906111707,-3.034503904649562,.0225457824154229,.0534763175276074,1.183272563207622,97.24462935667202,REML normal CI,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
ponv_24h_TEAS_Sham,NEW,logRR,3,-.6095005863937183,-1.818852245318859,.59985107253142,.1623858098153834,.1490632659037509,57.44224354736007,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_intraop_remifentanil_TEAS_Sham,REPRODUCED,MD,6,-117.7771252634045,-242.5055793719464,6.951328845137397,.0595772273874773,10748.9226077577,83.85842342712216,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_intraop_sufentanil_TEAS_Sham,REPRODUCED,MD,2,-9.435567813534453,-32.39529882689917,13.52416319983026,.4205485479522038,254.1209904294991,92.03113904752112,REML normal CI,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_qor40_24h_TEAS_Sham,REPRODUCED,MD,2,6.716283377959146,-2.160944951348622,15.59351170726691,.138112008061293,36.37674988058702,87.85593682656476,REML normal CI,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_gi_first_defecation_TEAS_Sham,REPRODUCED,MD,3,-10.39820470921882,-23.12487137635768,2.328461957920014,.0722564538049564,6.446362178059716,20.81359282219331,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_gi_first_defecation_EA_Usual_care,REPRODUCED,MD,3,-4.081050795980021,-6.06708656525938,-2.095015026700666,.0125522070421815,4.21632304444e-08,1.68081446194e-06,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_primary_24h_mme_TEAS_Sham,REPRODUCED,MD,4,-13.99527470276522,-34.18084071886819,6.190291313337747,.1144761362330204,156.8822817670505,98.59067722827419,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_primary_24h_mme_EA_Usual_care,REPRODUCED,MD,3,-3.935834094322342,-19.77322385887222,11.90155567022751,.3968946950095942,28.47128330690678,77.15261368034402,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
v34_primary_24h_mme_ALL_AUDIT,REPRODUCED,MD,7,-9.907002486039646,-20.07936147308629,.2653565010069983,.0545383795798817,113.9105337843258,98.56915272688788,REML + Hartung-Knapp,TEAS_EA_RECONCILED_MASTER_DATA_v34_FINAL_LOCK_READY.xlsx
