study,outcome,timepoint,outcome_family,intervention,comparator,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,d1_randomisation,d2_deviations,d3_missing,d4_measurement,d5_reporting,overall,rationale,flags,source_pdf,status,adopted_by,adopted_date,provenance_note
Chen 2015,PONV incidence,0-24 h,PONV,Preoperative TEAS,Electrodes/device with no stimulation,41,42,42,42,Low,Low,Low,Low,Low,Low,"D1: 'assigned ... by a table of computer-generated random numbers', 1:1, 'sealed in sequentially numbered opaque envelopes'; baseline comparable (Table 1). D2: 'The patients, attending anesthesiologist, surgeons and data collector were blinded to group assignment'; placebo-controlled with a no-stimulation device. D3: 1 of 84 excluded for protocol breach (1.2%), 83 analysed. D4: PONV recorded by the blinded data collector; no measurement difference between arms. D5: registered NCT02333747; PONV named as a pre-specified secondary outcome in Methods.",,037_chen_2015_thyroidectomy_lund.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Chen 2015 (Hyperalgesia),PONV incidence,0-24 h,PONV,Preoperative TEAS,Electrodes/no-current sham,29,30,30,30,Low,Low,Low,Low,Some concerns,Some concerns,"D1: 'randomization was performed in a 1:1 ratio according to a computer-generated list'; 'Group assignments were concealed in sealed envelopes'. D2: 'All study personnel including the patients, investigator, attending anesthetist, surgeons, recovery ward nurses, and the person who performed the statistical analysis were blinded'. D3: 1 of 60 excluded for protocol breach (1.7%). D4: PONV recorded within a blinded 24-h follow-up. D5 SOME CONCERNS: no trial registration or protocol identified in the report — only IRB approval (Ref: K2014-07-003) — so the paper's own statement that PONV was a pre-specified secondary outcome cannot be verified against an external record.",no trial registration identified,040_chen_2015_hyperalgesia_lund.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Gao 2021,Time to first bowel sounds,Postoperative,GI recovery,Postoperative TEAS,Sham/no-current TEAS,303.0,307.0,303.0,307.0,Low,Some concerns,Low,Low,Low,Some concerns,"D1: 'SPSS software was used for block randomization in a 1:1 ratio with block size of 4'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 SOME CONCERNS: participant blinding was not achieved — 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'Intention-to-treat analysis was used for all enrolled patients' (all 610). D3: ITT, all 610 randomised analysed. D5: registered NCT03086304 with the protocol available as Appendix 1; the GI recovery times are named pre-specified secondary outcomes. D4 LOW for THIS result: bowel sounds are established by auscultation by study personnel who 'were blinded to the patient's group allocation', so the measurement does not depend on the unblinded participant.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Gao 2021,Time to first defecation,Postoperative,GI recovery,Postoperative TEAS,Sham/no-current TEAS,303,307,303,307,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1: 'SPSS software was used for block randomization in a 1:1 ratio with block size of 4'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 SOME CONCERNS: participant blinding was not achieved — 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'Intention-to-treat analysis was used for all enrolled patients' (all 610). D3: ITT, all 610 randomised analysed. D5: registered NCT03086304 with the protocol available as Appendix 1; the GI recovery times are named pre-specified secondary outcomes. D4 SOME CONCERNS for THIS result: the timing of first defecation is established from the participant's own report, and participants were not successfully blinded, so knowledge of assignment could influence when the event is reported.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Gao 2021,Time to first flatus,Postoperative,GI recovery,Postoperative TEAS,Sham/no-current TEAS,303,307,303,307,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1: 'SPSS software was used for block randomization in a 1:1 ratio with block size of 4'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 SOME CONCERNS: participant blinding was not achieved — 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'Intention-to-treat analysis was used for all enrolled patients' (all 610). D3: ITT, all 610 randomised analysed. D5: registered NCT03086304 with the protocol available as Appendix 1; the GI recovery times are named pre-specified secondary outcomes. D4 SOME CONCERNS for THIS result: first flatus is entirely self-reported and participants were not successfully blinded; this is the outcome most exposed to reporting influenced by awareness of assignment.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Gu 2019,Time to first bowel sounds,Postoperative,GI recovery,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 SOME CONCERNS: 'randomized according to a computer-generated random numbers table', but no allocation-concealment mechanism is described anywhere in the report. D2: 'All patients were unaware of the group allocations'; interventionist, data collector and statistician separated and blinded; placebo C-TEAS comparator. D3: 117 of 120 completed (2.5% missing). D5 SOME CONCERNS: no trial registration and no protocol are reported — only ethics approval (RMYY-YWLL-2017-0120) — and the report never names its primary outcome, referring only to 'the primary outcome from a pilot study', so pre-specification of any reported result cannot be verified. D4 LOW for THIS result: 'Bowel sounds were blindly noted every hour postoperatively by a surgical ICU nurse', with four-quadrant auscultation for over four minutes — assessor-measured, not self-reported.",no trial registration identified,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Gu 2019,Time to first defecation,Postoperative,GI recovery,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,"D1 SOME CONCERNS: 'randomized according to a computer-generated random numbers table', but no allocation-concealment mechanism is described anywhere in the report. D2: 'All patients were unaware of the group allocations'; interventionist, data collector and statistician separated and blinded; placebo C-TEAS comparator. D3: 117 of 120 completed (2.5% missing). D5 SOME CONCERNS: no trial registration and no protocol are reported — only ethics approval (RMYY-YWLL-2017-0120) — and the report never names its primary outcome, referring only to 'the primary outcome from a pilot study', so pre-specification of any reported result cannot be verified. D4 SOME CONCERNS for THIS result: 'The patients were instructed to self-record the first postoperative flatus and defecation' — self-reported timing, although participants were blinded to allocation.",no trial registration identified,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Gu 2019,VAS pain intensity,24 h,Pain,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 SOME CONCERNS: 'randomized according to a computer-generated random numbers table', but no allocation-concealment mechanism is described anywhere in the report. D2: 'All patients were unaware of the group allocations'; interventionist, data collector and statistician separated and blinded; placebo C-TEAS comparator. D3: 117 of 120 completed (2.5% missing). D5 SOME CONCERNS: no trial registration and no protocol are reported — only ethics approval (RMYY-YWLL-2017-0120) — and the report never names its primary outcome, referring only to 'the primary outcome from a pilot study', so pre-specification of any reported result cannot be verified. D4 LOW for THIS result: VAS is self-reported but participants were blinded to allocation and scores were collected by a blinded investigator at fixed timepoints; all pre-specified timepoints (4, 8, 16, 24, 36 h) are reported, so no within-outcome selection is evident.",no trial registration identified,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Guo 2023,Remifentanil consumption,Intraoperative,Intraoperative opioid,Perioperative TEAS,Sham/no-current TEAS,55,55,64,64,Low,Low,Some concerns,Low,Some concerns,Some concerns,"D1: 'A randomization sequence was generated by ... SPSS 25.0 ... and the allocation code was performed by an independent technician'; baseline well matched (Table 1). D2: 'The patients, anesthesiologists, surgeons, and observers were blinded to group assignment'; 'a standardized anesthetic protocol was elaborated and performed throughout the surgery'. D3 SOME CONCERNS: 18 of 128 randomised (14%) dropped out and only completers (55/55) were analysed, even though intraoperative remifentanil would have been recorded for every randomised patient; mitigated by the reported finding of 'No significant difference in baseline characteristics ... between the dropped patients and the completed patients'. D4: remifentanil was titrated to BIS 40-60 by a blinded anaesthetist and taken from records. D5 SOME CONCERNS: intraoperative remifentanil is not among the registered primary outcome (POCD by MoCA) or the listed secondary outcomes (MMSE, NRS pain and sleep, EORTC-QLQ-C30, chronic pain); it is reported as a perioperative anaesthetic characteristic.",result not among pre-specified outcomes,006_guo_2023.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
He 2026 (hepatectomy/JIS),PONV incidence,0-24 h,PONV,Intraoperative PC6 TEAS,No-current PC6 control,80,79,81,80,Low,Low,Low,Low,Low,Low,"D1: allocation 1:1 'through a secure web-based randomization system'; 'The randomization sequence was generated using permuted blocks, stratified by treatment center'; the assignment was revealed by 'an independent investigator (uninvolved in anesthesia administration or outcome assessment)'. D2: genuine double-blinding — 'the beginning of the intervention after anesthesia induction ... ascertained the blinding of the participants', 'The stimulator was then placed inside an opaque box', and 'The patients, anesthesiologists, outcome assessors, and ward staff remained unaware of treatment assignments'; analysed as mITT. D3: 2 of 161 excluded (one cancelled surgery, one withdrew consent); PP sensitivity analysis agreed with mITT. D4: PONV ascertained by blinded assessors and ward staff on a defined scale. D5: registered NCT05396716; this is the pre-specified PRIMARY outcome, reported with predefined subgroups and a PP sensitivity analysis.",,covidence_25_verified.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
