study,outcome,timepoint,outcome_family,intervention,comparator,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,d1_randomisation,d2_deviations,d3_missing,d4_measurement,d5_reporting,overall,rationale,flags,source_pdf,status,adopted_by,adopted_date,provenance_note
Gao 2021,30-day postoperative complications,0–30 days,Adverse events,TEAS,Sham,,,,,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Some concerns: not itself named among the trial's stated outcomes (which focus on POI-specific symptoms during the index admission). D4 Some concerns for THIS result: the report does not confirm blinded ascertainment of complications over this extended follow-up window.",result not among the pre-specified outcomes,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Abdominal pain score,Postoperative 72 h,Pain,Postoperative TEAS,Sham/no-current TEAS,303.0,307.0,303.0,307.0,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Low: explicitly named among the secondary outcomes -- 'various POI symptoms, including the time to first postoperative flatus, defecation, bowel sound recovery, normal diet recovery, and the incidence of abdominal pain, distention, nausea, and vomiting'. D4 Some concerns for THIS result: this is a patient-reported symptom severity score, and participants were not blinded.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Distention score,Postoperative 72 h,GI symptoms,Postoperative TEAS,Sham/no-current TEAS,303.0,307.0,303.0,307.0,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Low: explicitly named among the secondary outcomes -- 'various POI symptoms, including the time to first postoperative flatus, defecation, bowel sound recovery, normal diet recovery, and the incidence of abdominal pain, distention, nausea, and vomiting'. D4 Some concerns for THIS result: this is a patient-reported symptom severity score, and participants were not blinded.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Exact cumulative postoperative opioid consumption,0-24 h,Opioid consumption,Postoperative TEAS,Sham/no-current TEAS,303,307,303,307,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Some concerns: not itself named among the trial's stated primary or secondary outcomes. D4 Some concerns for THIS result: opioid administration decisions can be influenced by unblinded participants' own pain reports.",result not among the pre-specified outcomes,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Nausea score,Postoperative 72 h,PONV,Postoperative TEAS,Sham/no-current TEAS,303.0,307.0,303.0,307.0,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Low: explicitly named among the secondary outcomes -- 'various POI symptoms, including the time to first postoperative flatus, defecation, bowel sound recovery, normal diet recovery, and the incidence of abdominal pain, distention, nausea, and vomiting'. D4 Some concerns for THIS result: this is a patient-reported symptom severity score, and participants were not blinded.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Number of vomiting episodes,Postoperative 72 h,PONV,Postoperative TEAS,Sham/no-current TEAS,303.0,307.0,303.0,307.0,Low,Some concerns,Low,Low,Low,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Low: explicitly named among the secondary outcomes -- 'various POI symptoms, including the time to first postoperative flatus, defecation, bowel sound recovery, normal diet recovery, and the incidence of abdominal pain, distention, nausea, and vomiting'. D4 Low for THIS result: unlike the other POI symptom scores, vomiting episodes are objectively observable events, not dependent on the unblinded participant's own account of an internal sensation.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Postoperative paralytic ileus: no flatus >72 h,Postoperative,GI recovery,Postoperative TEAS,Sham/no-current TEAS,303,307,303,307,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Low: 'The primary outcome was the incidence of POI, defined as no flatus for >72 hours'. D4 Some concerns for THIS result: this incidence is a threshold applied to the same self-reported flatus timing already assessed as Some concerns for D4 in this trial's priority-1 result -- participants were not blinded and the underlying event still depends on their own report.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Time to resume normal diet,Postoperative,GI recovery,Postoperative TEAS,Sham/no-current TEAS,303,307,303,307,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Low: explicitly named among the secondary outcomes -- 'various POI symptoms, including the time to first postoperative flatus, defecation, bowel sound recovery, normal diet recovery, and the incidence of abdominal pain, distention, nausea, and vomiting'. D4 Some concerns for THIS result: as with the other GI-recovery timings in this review, tolerating a normal diet depends in part on the unblinded participant's own report of readiness.",,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2021,Total hospital length of stay,Total admission,Length of stay,TEAS,Sham,,,,,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,"D1 Low: 'SPSS software was used for block randomization'; 'the central randomization administrator opened the sealed envelope and made the group allocation'. D2 Some concerns: 'patients could not be blinded to the treatment due to the nature of the intervention, because they can sense the acupoint stimuli in the TEAS group compared to no treatment in the sham group'; 'researchers who collected data and anesthesiologists and surgeons who cared for patients, were blinded'. D3 Low: exclusions were documented and occurred during pre-randomisation screening. D5 Some concerns: not itself named among the trial's stated outcomes. D4 Some concerns for THIS result: hospital discharge timing more often reflects a treating clinician's overall judgement than a fixed criterion.",result not among the pre-specified outcomes,covidence_400_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2022,24 h postoperative pain VAS score,0-24 h / 24 h assessment,Pain,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,827,828,827,828,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,"D1 Low: 'The eligible patients were randomly divided into the Sham and TEAS groups in a 1:1 ratio (with a block size of 4) by [an electronic randomization] system'. D2 Some concerns: 'All patients, anesthesiologists, surgeons, and evaluators were blinded for group allocation, screening, intervention treatment, and statistical analysis'; 'Designated evaluators who were totally blinded took charge for follow-up data collections' -- but the authors themselves acknowledge 'the unavoidable limitation in our study was that patients cannot be blinded to the intervention totally as they can sense the acupoint stimuli in the TEAS group'. D3 Low: intention-to-treat analysis included all 1,655 enrolled patients. D5 Some concerns: this trial's own outcomes heading centres on PONV; pain VAS is not itself named among the reported primary/secondary PONV-related outcomes. D4 Some concerns for THIS result: this measure has a subjective, internal-sensation component that only the participant can report, and participants were not successfully blinded, even though the evaluator recording the score was blinded.",result not among the trial's named PONV-focused outcomes,pdf-2.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
