model_id,outcome,window,modality,comparator,unit,measure,k,n,estimate,ci_low,ci_high,p_value,i2,rob_downgrade,rob_reason,inconsistency_downgrade,inconsistency_reason,imprecision_downgrade,imprecision_reason,indirectness_downgrade,indirectness_reason,publication_bias_downgrade,publication_bias_reason,raw_downgrade_total,grade,status,adopted_by,adopted_date
gi_first_bowel_sounds_TEAS_Sham,Time to first bowel sounds,Postoperative,TEAS,Sham,hours,MD,2,727,-6.0864,-8.2825,-3.8903,5.57087358466e-08,0.0,0,no downgrade: 0 of 2 contributing results at High risk of bias,0,"no downgrade: I2 = 0.0% (I2 at k=2 is statistically unstable; treat this as indicative, not precise)",-1,"-1 (serious): 95% CI [-8.28, -3.89] excludes the null but only k=2 studies inform it (REML normal CI, not Hartung-Knapp)",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=2 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-1,Moderate,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08
gi_first_flatus_EA_Usual_care,Time to first flatus,Postoperative,EA,Usual care,hours,MD,2,268,-3.3633,-7.426,0.6994,.1046807386431674,81.0,-2,-2 (very serious): 2 of 2 contributing results (a majority) are High risk of bias,-1,"-1 (serious): I2 = 81.0%, at or above the 50% substantial-heterogeneity band (I2 at k=2 is statistically unstable; treat this as indicative, not precise)",-2,"-2 (very serious): 95% CI [-7.43, 0.70] crosses the null and only k=2 studies inform it",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=2 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-5,Very Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08
gi_first_flatus_TEAS_Sham,Time to first flatus,Postoperative,TEAS,Sham,hours,MD,7,1144,-6.2615,-9.5055,-3.0175,.0032481275938452,82.0,0,no downgrade: 0 of 7 contributing results at High risk of bias,-1,"-1 (serious): I2 = 82.0%, at or above the 50% substantial-heterogeneity band",0,"no downgrade: 95% CI [-9.51, -3.02] excludes the null, k=7",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=7 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-1,Moderate,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08
pain_vas_24h_TEAS_Sham,VAS pain intensity,24 h,TEAS,Sham,VAS 0-10,MD,3,239,-1.4488,-3.477,0.5794,.0915561538613634,92.1,-2,-2 (very serious): 2 of 3 contributing results (a majority) are High risk of bias,-1,"-1 (serious): I2 = 92.1%, at or above the 50% substantial-heterogeneity band",-1,"-1 (serious): 95% CI [-3.48, 0.58] crosses the null, k=3",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=3 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-4,Very Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08
ponv_24h_TEAS_Sham,PONV incidence,0-24 h,TEAS,Sham,participants,logRR,3,301,-0.6095,-1.8189,0.5999,.1623858098153834,57.4,0,no downgrade: 0 of 3 contributing results at High risk of bias,-1,"-1 (serious): I2 = 57.4%, at or above the 50% substantial-heterogeneity band",-1,"-1 (serious): 95% CI [-1.82, 0.60] crosses the null, k=3",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=3 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-2,Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08
v34_gi_first_defecation_EA_Usual_care,Time to first defecation,Postoperative,EA,Usual care,hours,MD,3,325,-4.0811,-6.0671,-2.095,.0125522070421815,0.0,-2,-2 (very serious): 2 of 3 contributing results (a majority) are High risk of bias,0,no downgrade: I2 = 0.0%,0,"no downgrade: 95% CI [-6.07, -2.10] excludes the null, k=3",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=3 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-2,Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-09
v34_gi_first_defecation_TEAS_Sham,Time to first defecation,Postoperative,TEAS,Sham,hours,MD,3,821,-10.3982,-23.1249,2.3285,.0722564538049564,20.8,0,no downgrade: 0 of 3 contributing results at High risk of bias,0,no downgrade: I2 = 20.8%,-1,"-1 (serious): 95% CI [-23.12, 2.33] crosses the null, k=3",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=3 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-1,Moderate,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-09
v34_intraop_remifentanil_TEAS_Sham,Intraoperative remifentanil,Intraoperative,TEAS,Sham,ug,MD,6,785,-117.7771,-242.5056,6.9513,.0595772273874773,83.9,-1,-1 (serious): 1 of 6 contributing results are High risk of bias,-1,"-1 (serious): I2 = 83.9%, at or above the 50% substantial-heterogeneity band",-1,"-1 (serious): 95% CI [-242.51, 6.95] crosses the null, k=6",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=6 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-3,Very Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-09
v34_intraop_sufentanil_TEAS_Sham,Intraoperative sufentanil,Intraoperative,TEAS,Sham,ug,MD,2,158,-9.4356,-32.3953,13.5242,.4205485479522038,92.0,0,no downgrade: 0 of 2 contributing results at High risk of bias,-1,"-1 (serious): I2 = 92.0%, at or above the 50% substantial-heterogeneity band (I2 at k=2 is statistically unstable; treat this as indicative, not precise)",-2,"-2 (very serious): 95% CI [-32.40, 13.52] crosses the null and only k=2 studies inform it",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=2 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-3,Very Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-09
v34_qor40_24h_TEAS_Sham,Global QoR-40,24 h,TEAS,Sham,QoR-40 points,MD,2,141,6.7163,-2.1609,15.5935,.138112008061293,87.9,-2,-2 (very serious): 1 of 2 contributing results (a majority) are High risk of bias,-1,"-1 (serious): I2 = 87.9%, at or above the 50% substantial-heterogeneity band (I2 at k=2 is statistically unstable; treat this as indicative, not precise)",-2,"-2 (very serious): 95% CI [-2.16, 15.59] crosses the null and only k=2 studies inform it",0,"no downgrade: direct comparison within this stratified model; surgical-population variation across contributing trials was judged not to threaten applicability, a judgement call rather than a numeric fact",0,not assessed: k=2 is below the review's own k=10 threshold for interpretable small-study-effect testing; absence of a test is not evidence of absence of bias,-5,Very Low,GRADE_RULE_BASED_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-09
