model_id,phase,role,measure,model_k,model_estimate,model_ci_low,model_ci_high,model_p_value,model_tau2,model_i2,study,study_outcome,study_timepoint,modality,comparator,n_i,n_c,study_n,study_effect,rob2_overall,grade,note
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Zhou 2025,Time to first flatus,Postoperative,TEAS,Sham,48,49,97.0,-1.78,Low,Moderate,
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Xing 2022,Time to first flatus,Postoperative,TEAS,Sham,29,29,58.0,-4.26,Some concerns,Moderate,
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Wang 2023,Time to first flatus,Postoperative,TEAS,Sham,40,43,83.0,-6.13,Some concerns,Moderate,
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Lu 2022,Time to first flatus,Postoperative,TEAS,Sham,47,47,94.0,-7.9,Some concerns,Moderate,
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Gu 2019,Time to first flatus,Postoperative,TEAS,Sham,58,59,117.0,-6.98,Some concerns,Moderate,
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Gao 2021,Time to first flatus,Postoperative,TEAS,Sham,303,307,610.0,-12.9,Some concerns,Moderate,
gi_first_flatus_TEAS_Sham,NEW,secondary,MD,7,-6.2615,-9.5055,-3.0175,0.00325,9.0944,81.96,Zheng 2025,Time to first flatus,Postoperative,TEAS,Sham,42,43,85.0,-7.4,Some concerns,Moderate,
gi_first_flatus_EA_Usual_care,NEW,secondary,MD,2,-3.3633,-7.426,0.6994,0.10468,7.1401,80.95,Yang 2024,Time to first flatus,Postoperative,EA,Usual care,90,90,180.0,-1.6,High,Very Low,
gi_first_flatus_EA_Usual_care,NEW,secondary,MD,2,-3.3633,-7.426,0.6994,0.10468,7.1401,80.95,Huang 2025,Time to first flatus,Postoperative,EA,Usual care,43,45,88.0,-5.8,High,Very Low,
gi_first_bowel_sounds_TEAS_Sham,NEW,secondary,MD,2,-6.0864,-8.2825,-3.8903,0.0,0.0,0.0,Gu 2019,Time to first bowel sounds,Postoperative,TEAS,Sham,58,59,117.0,-6.89,Some concerns,Moderate,
gi_first_bowel_sounds_TEAS_Sham,NEW,secondary,MD,2,-6.0864,-8.2825,-3.8903,0.0,0.0,0.0,Gao 2021,Time to first bowel sounds,Postoperative,TEAS,Sham,303,307,610.0,-4.6,Some concerns,Moderate,
pain_vas_24h_TEAS_Sham,NEW,secondary,MD,3,-1.4488,-3.477,0.5794,0.09156,0.6341,92.12,Wu 2025,VAS pain intensity,24 h,TEAS,Sham,50,50,100.0,-2.3,High,Very Low,
pain_vas_24h_TEAS_Sham,NEW,secondary,MD,3,-1.4488,-3.477,0.5794,0.09156,0.6341,92.12,Lee 2011,VAS pain intensity,24 h,TEAS,Sham,10,12,22.0,-1.33,High,Very Low,
pain_vas_24h_TEAS_Sham,NEW,secondary,MD,3,-1.4488,-3.477,0.5794,0.09156,0.6341,92.12,Gu 2019,VAS pain intensity,24 h,TEAS,Sham,58,59,117.0,-0.74,Some concerns,Very Low,
ponv_24h_TEAS_Sham,NEW,secondary,logRR,3,-0.6095,-1.8189,0.5999,0.16239,0.1491,57.44,He 2026 (hepatectomy/JIS),PONV incidence,0-24 h,TEAS,Sham,80,79,159.0,-0.112662,Low,Low,
ponv_24h_TEAS_Sham,NEW,secondary,logRR,3,-0.6095,-1.8189,0.5999,0.16239,0.1491,57.44,Chen 2015,PONV incidence,0-24 h,TEAS,Sham,41,42,83.0,-0.931414,Low,Low,
ponv_24h_TEAS_Sham,NEW,secondary,logRR,3,-0.6095,-1.8189,0.5999,0.16239,0.1491,57.44,Chen 2015 (Hyperalgesia),PONV incidence,0-24 h,TEAS,Sham,29,30,59.0,-0.92161,Some concerns,Low,
