family,outcome,window,unit,statistic,modality,comparator,rows,include_rows,usable_contrasts,independent_studies,verdict,studies
gi_recovery,Time to first bowel sounds,Postoperative,hours,Mean/SD,TEAS,Sham,2,2,2,2,CANDIDATE - k=2 independent studies,Gao 2021; Gu 2019
gi_recovery,Time to first defecation,Postoperative,hours,Mean/SD,EA,Usual care,3,3,3,3,CANDIDATE - k=3 independent studies,Huang 2025; Yang 2020; Yang 2024
gi_recovery,Time to first defecation,Postoperative,hours,Mean/SD,TEAS,Sham,3,3,3,3,CANDIDATE - k=3 independent studies,Gao 2021; Gu 2019; Lu 2022
gi_recovery,Time to first flatus,Postoperative,hours,Mean/SD,EA,Usual care,2,2,2,2,CANDIDATE - k=2 independent studies,Huang 2025; Yang 2024
gi_recovery,Time to first flatus,Postoperative,hours,Mean/SD,TEAS,Sham,7,7,7,7,CANDIDATE - k=7 independent studies,Gao 2021; Gu 2019; Lu 2022; Wang 2023; Xing 2022; Zheng 2025; Zhou 2025
pain,VAS pain intensity,24 h,VAS 0-10,Mean/SD,TEAS,Sham,2,2,2,2,CANDIDATE - k=2 independent studies,Gu 2019; Wu 2025
ponv,PONV incidence,0-24 h,participants,Events/total,TEAS,Sham,3,3,3,3,CANDIDATE - k=3 independent studies,Chen 2015; Chen 2015 (Hyperalgesia); He 2026 (hepatectomy/JIS)
adverse_events_and_cognition,30-day postoperative complications,0–30 days,,Source not accessed,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Any postoperative complication/adverse event,Study follow-up,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Jiang 2026
adverse_events_and_cognition,Bradycardia,0-24 h,participants with bradycardia,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
adverse_events_and_cognition,CRBD incidence,24 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
adverse_events_and_cognition,CRBD incidence,48 h,participants,Events/total,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,CRBD incidence,End of surgery,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
adverse_events_and_cognition,CRBD incidence,PACU discharge,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
adverse_events_and_cognition,Delayed urinary recovery (>12 h without spontaneous void),Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2023
adverse_events_and_cognition,Delirious agitation,Postoperative,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
adverse_events_and_cognition,Dizziness,0-24 h,participants with dizziness,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
adverse_events_and_cognition,Dizziness,Within 72 h after surgery,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wang 2023
adverse_events_and_cognition,Dizziness and headache,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
adverse_events_and_cognition,Drowsiness,Postoperative,participants,Events/total,TEAS,Sham,1,1,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Fever,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
adverse_events_and_cognition,Headache and vertigo,Postoperative,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
adverse_events_and_cognition,Hydroderma,Study follow-up,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Jiang 2026
adverse_events_and_cognition,Hypoxemia,Postoperative,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
adverse_events_and_cognition,MMSE score,24 h (T11),MMSE 0–30,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
adverse_events_and_cognition,MMSE score,48 h (T12),MMSE 0–30,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
adverse_events_and_cognition,MMSE score,PACU discharge (T9),MMSE 0–30,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
adverse_events_and_cognition,MMSE score,Postoperative day 1 (~24 h),MMSE 0–30,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Yu 2020
adverse_events_and_cognition,MMSE score,Postoperative day 2 (~48 h),MMSE 0–30,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Yu 2020
adverse_events_and_cognition,New-onset supraventricular tachycardia (SVT),First 24 h,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2025
adverse_events_and_cognition,Perioperative neurocognitive disorder (PND),POD1,Active: 7 cases (25.0%); Control: 14 cases (56.0%),Published event count + percentage; denominator inconsistent,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Perioperative neurocognitive disorder (PND),POD3,Active: 4 cases (14.3%); Control: 12 cases (48.0%),Published event count + percentage; denominator inconsistent,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Perioperative neurocognitive disorder (PND),POD7,participants,Published event count + percentage; denominator inconsistent,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2021
adverse_events_and_cognition,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD1,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Guo 2023
adverse_events_and_cognition,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD30,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Guo 2023
adverse_events_and_cognition,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD7,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Guo 2023
adverse_events_and_cognition,Postoperative hypertension,Postoperative,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
adverse_events_and_cognition,Postoperative hypotension,Postoperative,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
adverse_events_and_cognition,Postoperative pulmonary complications,Within 72 h after surgery,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wang 2023
adverse_events_and_cognition,Postoperative urinary retention,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2023
adverse_events_and_cognition,Respiratory depression,0-24 h,participants with respiratory depression,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,0,0,HOLD - comparator type needs adjudication,
adverse_events_and_cognition,Rubefaction,Study follow-up,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Jiang 2026
adverse_events_and_cognition,Serious adverse events or fatalities,Study follow-up,participants,Events/total,EA,Usual care,1,1,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Severe adverse events,Study follow-up,participants,Events/total,TEAS,Sham,1,1,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Subcutaneous hematoma,Study follow-up,participants,Events/total,TEAS,Sham,1,1,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,TEAS-related adverse events,0–24 h testing period,participants,Events/total,TEAS,Sham,1,1,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,TEAS-related side effects,0–48 h postoperative,participants,Events/total,TEAS,Sham,3,3,0,0,NOT POOLED - only 0 independent study,
adverse_events_and_cognition,Tachycardia/bradycardia,Postoperative,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
adverse_events_and_cognition,Time to first spontaneous void,Postoperative,hours,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Any rescue analgesia,POD1-POD3,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhou 2025
analgesic_proxies_and_nonopioid_rescue,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2025
analgesic_proxies_and_nonopioid_rescue,Any rescue flurbiprofen use,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Hou 2023
