priority,study,outcome,timepoint,outcome_family,rows,data_type,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,intervention,comparator,source_location,source_qc,eligibility,status
1 - inside a fitted model,Chen 2015,PONV incidence,0-24 h,PONV,1,Events/total,41,42,42,42,Preoperative TEAS,Electrodes/device with no stimulation,Table 3 / PONV,Use analyzed denominators 41 and 42.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Chen 2015 (Hyperalgesia),PONV incidence,0-24 h,PONV,1,Events/total,29,30,30,30,Preoperative TEAS,Electrodes/no-current sham,Table 2 / PONV,Use 29 analyzed TEAS and 30 control; one TEAS protocol-breach exclusion.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Gao 2021,Time to first bowel sounds,Postoperative,GI recovery,1,Mean/SD,303.0,307.0,303.0,307.0,Postoperative TEAS,Sham/no-current TEAS,p. 1623; Table III,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Gao 2021,Time to first defecation,Postoperative,GI recovery,1,Mean/SD,303,307,303,307,Postoperative TEAS,Sham/no-current TEAS,GI recovery outcomes,Full randomized sample retained; participant awareness may influence self-reported GI milestones,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Gao 2021,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,303,307,303,307,Postoperative TEAS,Sham/no-current TEAS,GI recovery outcomes,Full randomized sample retained; participant awareness may influence self-reported GI milestones,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Gu 2019,Time to first bowel sounds,Postoperative,GI recovery,1,Mean/SD,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,GI recovery table,First flatus/defecation were patient self-recorded; bowel sounds were nurse-assessed,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Gu 2019,Time to first defecation,Postoperative,GI recovery,1,Mean/SD,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,GI recovery table,First flatus/defecation were patient self-recorded; bowel sounds were nurse-assessed,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Gu 2019,VAS pain intensity,24 h,Pain,1,Mean/SD,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,Figure 3 / 24-h VAS,Three randomized patients excluded; active 5-30 mA stimulation vs sham no current with no blinding-success assessment,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Guo 2023,Remifentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,55,55,64,64,Perioperative TEAS,Sham/no-current TEAS,Perioperative anesthetic table,Complete-case n=55/group,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,He 2026 (hepatectomy/JIS),PONV incidence,0-24 h,PONV,1,Events/total,80,79,81,80,Intraoperative PC6 TEAS,No-current PC6 control,Primary PONV outcome / mITT,Primary trial outcome; no meaningful between-group difference,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
