report_id,trial_id,registry_ids,identity_excerpts,source_text,decision
Zhou 2025,Zhou_2025,ChiCTR2200055338,"ng Yang, Xu Zhang Department of Anesthesiology, The Second Affiliated Hospital of Guilin Medical University, Guilin, People’s Republic of China *These authors contributed equally to this work Correspondence: Xu Zhang, Department of Anesthesiology, The Secon | ndence: Xu Zhang, Department of Anesthesiology, The Second Affiliated Hospital of Guilin Medical University, No. 212, Renmin Road, Lingui District, Guilin, Guangxi, 541199, People’s Republic of China, Tel +86 189 3477 9973, Email zhangxu@glmc.edu.cn Purpose | times to first flatus and ambulation. Adverse events were comparable between the groups, with no local skin irritation noted in the TEAS group. Conclusion: TEAS applied during the post-anesthesia recovery period significantly improves early postoperative r | ethods Study Design This study was conducted at the Second Affiliated Hospital of Guilin Medical University in accordance with the Declaration of Helsinki. Patient recruitment took place from February 1, 2022 to June 20, 2022. The Ethics Committee of the S | l University in accordance with the Declaration of Helsinki. Patient recruitment took place from February 1, 2022 to June 20, 2022. The Ethics Committee of the Second Affiliated Hospital of Guilin Medical University approved the study protocol (NO. ZYYJ_ | nt recruitment took place from February 1, 2022 to June 20, 2022. The Ethics Committee of the Second Affiliated Hospital of Guilin Medical University approved the study protocol (NO. ZYYJ_2021001) and the study was prospectively registered in the Chines | 2022 to June 20, 2022. The Ethics Committee of the Second Affiliated Hospital of Guilin Medical University approved the study protocol (NO. ZYYJ_2021001) and the study was prospectively registered in the Chinese Clinical Trial Registry (ChiCTR2200055338)  | he study protocol (NO. ZYYJ_2021001) and the study was prospectively registered in the Chinese Clinical Trial Registry (ChiCTR2200055338) on January 7, 2022. The manuscript adheres to the CONSORT reporting guidelines. Participants Eligibility screening was c | envelopes. An inde­ pendent research assistant, uninvolved in patient recruitment, intervention, or outcome assessment, opened these envelopes sequentially in the PACU just before the intervention to reveal group assignment. Patients, anesthesiologists, s | as performed. Mechanical ventilation was adjusted to maintain PetCO2 between 35–45 mmHg. Anesthesia was maintained with continuous infusion of propofol (4–10mg/kg/h) and remifentanil (0.1–0.4μg/kg/min), supplemented with intermittent sevoflurane inhalatio",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,No additional cohort merge justified by available identity evidence
An 2014,An_2014,,"-Jun Ren‡ and Hai-Feng Wu§ *Department of Anesthesia, Beijing Tiantan Hospital Capital Medical University, Beijing 100050, China †Department of Anesthesia, Beijing Jishuitan Hospital Beijing 100035, China ‡Department of Acupuncture Beijing University of Trad | y, Beijing 100050, China †Department of Anesthesia, Beijing Jishuitan Hospital Beijing 100035, China ‡Department of Acupuncture Beijing University of Traditional Chinese Medicine Beijing 100029, China §Department of Epidemiology and Biostatistics Capital Med | pondence to: Dr. Li-Xin An, Department of Anesthesia, Beijing Tiantan Hospital, Capital Medical Uni- versity, No. 6, Tiantan Xili, Dongcheng District, Beijing 100050, China. Tel: (þ86) 10-6709-6658, Fax: (þ86) 10-6709-1947, E-mail: anlixin8120@163.com The Am | llowing approval from the Human Research Committee of Beijing Tiantan Hospital, Capital Medical University and the receipt of informed consent, 88 ASA I–II adult patients aged 18–60 years who were undergoing supratentorial tumor resections under general 1100 | cteristics are shown in Table 1. There were no signiﬁcant differences between the 2 groups regarding age, weight, gender or type and duration of surgery. Fluid administration, urine output and estimated blood loss were also similar between the 2 groups. Eff | ministration, urine output and estimated blood loss were also similar between the 2 groups. Effects of EA on Postoperative Pain Figure 1 indicates that the pain level tended to decrease in both groups. However, during the ﬁrst 6 hours, the VAS score of the  | olus administration and the effective number of bolus administrations between the 2 groups. There was no difference in the total fentanyl dose between the EA and control groups (0:67  0:09 mg vs. 0:73  0:12 mg, respectively). Table 1. Patient and Surgical | ween the 2 groups. There was no difference in the total fentanyl dose between the EA and control groups (0:67  0:09 mg vs. 0:73  0:12 mg, respectively). Table 1. Patient and Surgical Characteristics Group A (n ¼ 41) (Electro-Acupuncture Group) Group C (n  | D or numbers. No statistically signiﬁcant dif- ferences were observed between the two groups. Figure 1. Changes in pain intensity (VAS values) over time. The data are presented as the mean visual analog score and the error bars represent SD. *p < 0:05 vs. t | he EA and control groups, respectively, with no signiﬁcant difference between the groups (2 ¼ 3:599, p ¼ 0:058). On the second postoperative day, the rate of PONV greatly decreased to 4.9% and 10.0% in the EA and control groups, respectively (2 ¼ 0:744, p",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/An_2014.txt,No additional cohort merge justified by available identity evidence
Ao 2021,Ao_2021,ChiCTR1800017768,"on depression in patients with breast cancer. The current trial was registered prior to participant enrollment at www.chictr.org.cn (Clinical Trial no. ChiCTR1800017768). Introduction Breast cancer is the most frequently diagnosed malignancy and ranks as t | Department of Anesthesiology, Tangshan Maternity and Child Healthcare Hospital; 2Department of Anesthesiology, Tangshan People's Hospital and Tangshan Cancer Hospital, North China University of Science and Technology, Tangshan, Hebei 063000; 3Department of | ealthcare Hospital; 2Department of Anesthesiology, Tangshan People's Hospital and Tangshan Cancer Hospital, North China University of Science and Technology, Tangshan, Hebei 063000; 3Department of Anesthesiology, Second Hospital of Hebei Medical Universit | ent of Anesthesiology, Tangshan People's Hospital and Tangshan Cancer Hospital, North China University of Science and Technology, Tangshan, Hebei 063000; 3Department of Anesthesiology, Second Hospital of Hebei Medical University, Shijiazhuang, Hebei 050000 | ology, Tangshan, Hebei 063000; 3Department of Anesthesiology, Second Hospital of Hebei Medical University, Shijiazhuang, Hebei 050000, P.R. China Received February 29, 2020; Accepted November 26, 2020 DOI: 10.3892/etm.2021.9615 Correspondence to: Dr Jian |  Dr Jianhui Gan, Department of Anesthesiology, Tangshan People's Hospital and Tangshan Cancer Hospital, North China University of Science and Technology, 65 Shengli Road, Tangshan, Hebei 063000, P.R. China E‑mail: ganjianhui666@163.com *Contributed eq |  of Anesthesiology, Tangshan People's Hospital and Tangshan Cancer Hospital, North China University of Science and Technology, 65 Shengli Road, Tangshan, Hebei 063000, P.R. China E‑mail: ganjianhui666@163.com *Contributed equally Abbreviations: BIS, bisp | s conducive to the recovery of patients and shortening the length of hospital stay. Currently, opioids providing high anal­ gesic efficacy are commonly used as effective postoperative analgesics (10). However, opioid‑induced immunosuppressive effects and  | n Good Clinical Practice (24). The present study was approved by the Ethics Committee of Human Research of Tangshan People's Hospital (approval no. RMYY‑YWLL‑2017‑1110; Tangshan, China). The trial was also registered prior to participant enrollment at | roved by the Ethics Committee of Human Research of Tangshan People's Hospital (approval no. RMYY‑YWLL‑2017‑1110; Tangshan, China). The trial was also registered prior to participant enrollment at www. chictr.org.cn (clinical trial no. ChiCTR1800017768). W",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ao_2021.txt,No additional cohort merge justified by available identity evidence
Chen 1998,Chen_1998,," of the PACU stay, the duration of TENS usage, and the length of hospital- ization among the four groups (Table 3). The incidences of nausea and dizziness during the first 24 h after surgery, as well as the incidence of === PDF PAGE 4  | py (h) 38 -+ 9 Duration of TENS therapy (h) 35 t 8 Days in the hospital (d) 4i2 Values are means + sm. PACU = postanesthesia care unit, PCA = patient-controlled analgesia. * P < 0.05 versus Group I. t P < 0.05 versus Group II. Group",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_1998.txt,No additional cohort merge justified by available identity evidence
Chen 2015,Chen_2015,NCT02333747,"cal Medicial College of Fujian Medical University, Fujian Provincial Hospital, Fuzhou 350001, China; 2Department of Anesthesiology, People’s Hospital Affiliated to Fujian University of Traditional Chinese Medicine, Fuzhou 350122, China. *Equal contributors | spital, Fuzhou 350001, China; 2Department of Anesthesiology, People’s Hospital Affiliated to Fujian University of Traditional Chinese Medicine, Fuzhou 350122, China. *Equal contributors and co-first authors. Received June 1, 2015; Accepted July 21, 2015; Ep |  antiemetics [2]. These complications delay patient’s resuscitation, hospital discharge and increase overall healthcare costs [3, 4]. Thus, various complementary and alternative analge- sic techniques have been encouraged to com- bine with pharmacological | after thyroidec- tomy surgery. Materials and methods After obtaining ethical approval from Fujian Provincial Hospital (Ref: K2014-12-003), this prospective randomized, double-blind, place- bo-controlled trial was conducted at Fujian Provincial Hospita |  and methods After obtaining ethical approval from Fujian Provincial Hospital (Ref: K2014-12-003), this prospective randomized, double-blind, place- bo-controlled trial was conducted at Fujian Provincial Hospital from January 2015 to May === PDF PAGE 2 | blind, place- bo-controlled trial was conducted at Fujian Provincial Hospital from January 2015 to May === PDF PAGE 2 === TEAS improves QoR-40 13623 Int J Clin Exp Med 2015;8(8):13622-13627 2015. Our study protocol was registered at www.clinicaltrials. | Int J Clin Exp Med 2015;8(8):13622-13627 2015. Our study protocol was registered at www.clinicaltrials.gov (ID: NCT02333747), whi- ch was in line with the principles of the Declaration of Helsinki. Eighty-four female patients aged 18 to 60 with ASA physica | r II, undergoing elective thyroidectomy with general anesthesia were recruited in our study. The exclusion criteria included potential- ly difficult airway, a history of chronic pain, drug or alcohol abuse, mental disorder, intake of any analgesic drug  | s. Patients’ demo- graphic and clinical characteristics were similar between the two groups (Table 1). The QoR-40 score at 24 h after surgery are shown in Table 2. The median global QoR-40 score (IQR) was 183 (172-190) in the TEAS was prolonged, the amo | e dehiscence and bleeding, which may delay discharge or result in a hospital admission. The potential benefits for patients, especially in outpatient thyroidectomy, are faster recovery and rapid discharge after procedure. Judging from pain intensity and",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015.txt,No additional cohort merge justified by available identity evidence
Chen 2015 (Hyperalgesia),Chen_2015_Hyperalgesia,,"al Medical College of Fujian Medical University & Fujian Provin­ cial Hospital, Fuzhou 350001, China. *Equal contributors. Received January 31, 2015; Accepted April 3, 2015; Epub April 15, 2015; Published April 30, 2015 Abstract: Background: In this prospec | eratively. Results: Baseline mechanical pain thresholds were similar between the groups. The analysis revealed the decrease in mechanical threshold was greater in the sham group than the TEAS group (P < 0.001). Postoperative pain scores and cumulative num | d oversighted by the Institutional Review Board of Fujian Provincial Hospital (Ref: K2014-07-003). We enrolled 60 ASA I-II con­ secutive female subjects, aged 18 to 60 years, scheduled for elective thyroidectomy under general anesthesia from August 2014  | al anesthesia from August 2014 to December 2014 at Fujian Provincial Hospital. The exclusion criteria were as follows: a history of chronic pain, drug or alcohol abuse, intake of any analgesic drug within 48 h before surgery, mental disorder, bradycardi |  durations of procedures and remifentanil con­ sumption were similar between two groups (Table 1). As shown in Figure 3, comparing with the base­ line, the postoperative mechanical pain thresh­ olds both on the peri-incisional area and fore­ arm were dec | ignificant differences in mechanical pain thresholds on the forearm between two groups (P = 0.328; Figure 3A). However, the reduction in mechanical pain threshold on the peri-incisional area was great­ er in the control group (P < 0.001; Figure 3B). As | 03) and shivering (P = 0.033). There were no significant differences between two groups in the incidence of dizziness (P = 0.436). Table 1. Patient characteristics and operation details Group TEAS (n = 29) Group C (n = 30) P-value Age (year) 41.9 (9.9) | Dr. Engyu Gu in the department of General Surgery, Fujian Provincial Hospital, Fuzhou, China, for their support and cooperation. Disclosure of conflict of interest None. Address correspondence to: Dr. Yanqing Chen, Department of Anesthesiology, The  | al Medical College of Fujian Medical University & Fujian Provincial Hospital, No. 134, Dongjie, Fuzhou 350001, China. E-mail: fjslyys@gmail.com References [1] Burkle H, Dunbar S and Van Aken H. Remifent­ anil: a novel, short-acting, mu-opioid. Anesth An",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015_Hyperalgesia.txt,No additional cohort merge justified by available identity evidence
Chen 2020,Chen_2020,ChiCTR1800016067,"ion, Beijing), Department of Anesthesiology, Peking University Cancer Hospital and Institute, Beijing, China 2 Neuroscience Research Institute and Department of Neurobiology, Peking University and Key Laboratory of Neuroscience of the Ministry of Education a | g), Department of Medical Record Statistics, Peking University Cancer Hospital & Institute, Beijing, China 4 Key Laboratory of Carcinogenesis and Translational Research (Ministry of Education, Beijing), The First Department of Thoracic Surgery, Peking Univer | ), The First Department of Thoracic Surgery, Peking University Cancer Hospital and Institute, Beijing, China Keywords Analgesia; general anesthesia; sedation; transcutaneous acupoint electrical stimulation; video-assisted thoracoscopic surgery. Correspondenc | ion, Beijing), Department of Anesthesiology, Peking University Cancer Hospital & Institute, 52 Fucheng Road, Haidian District, Beijing 100142, China. Tel: +86 10 8819 6343 Fax: +86 10 8819 2437 Email: 13911114196@163.com Received: 4 November 2019; Accepted:  |  after surgery (P < 0.05). The postoperative OAAS scores were similar between the groups. Conclusions: TEAS could be a feasible approach for sedation and postoperative analgesia in thoracoscopic pulmonary resection. 928 Thoracic Cancer 11 (2020) 928–934 © 2 | care unit, or patients were aware of the alloca- tion. This study was registered with the Chinese Clinical Trial Registry (http://www.chictr.org.cn) under the acces- sion number ChiCTR1800016067. Participants Patients undergoing VATS pulmonary resection for ea | ents undergoing VATS pulmonary resection for early- stage lung cancer between 5 May 2015 and 1 March 2017 by a single surgeon-anesthesiologist team (Ke-Neng Chen and Jiheng Chen) at the First Department of Thoracic Sur- gery, Peking University Cancer Hospit |  the First Department of Thoracic Sur- gery, Peking University Cancer Hospital and Institute were consecutively screened and enrolled. Inclusion criteria were as follows: patients aged 18–64 years, American Society of Anesthesiologists status I or II, patien | pioid or alcohol abuse. The present study was approved by the Medical Ethics Committee of Peking University Cancer Hospital (approval No. 2013KT30). Informed consent was obtained from each patient. TEAS protocol All patients were informed by a designated  |  approved by the Medical Ethics Committee of Peking University Cancer Hospital (approval No. 2013KT30). Informed consent was obtained from each patient. TEAS protocol All patients were informed by a designated anesthesiolo- gist about the methods of TEAS and",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2020.txt,No additional cohort merge justified by available identity evidence
Coura 2011,Coura_2011,," === PDF PAGE 1 === Original paper 'Centro Hospitalar Unimed, Joinville, Brazil 'Centro de Estudos de Acupuntura do Parana, Curitiba, Brazil Correspondence to Dr Luiz Eduardo Fana Coura, Intensivist and Acupuncturist Member of Inte | ensivist and Acupuncturist Member of Intensive Care Therapy at Centro Hospitalar Unimed Joinville, Rua Blumenau 314, Joinville-SC 89204-250, Brazil: ludoterapia@bol.com.br Accepted 12 January 2011 Randomised, controlled study of preoperative eletroacupunctur |  prospective, randomised and controlled study was conducted at Unimed Hospital Centre in Joinville, SC, Brazil. The day before the surgery, 32 patients undergoing cardiac surgery were randomised into two groups: patients from the treatment group received pre | .9±7.0 vs control 24.8±7.0, p< 0,002). Pain intensity scores differed between the groups (treatment 2.5±1.1 vs control 4.0±2.0, p<0.04). One patient from the control group experienced drowsiness that justified a change in fentanyl infusion, as decided by th |  time and acupuncturists' reality (most acupuncturists do not work at hospitals and very few hospitals have a structured acupuncture department), which hinders the use of this technique immediately before surgical procedure. This study aims to evaluate the e | s' reality (most acupuncturists do not work at hospitals and very few hospitals have a structured acupuncture department), which hinders the use of this technique immediately before surgical procedure. This study aims to evaluate the effect of preoperative E |  prospective, randomised and controlled study conducted in the Unimed Hospital Centre, Joinville-SC, Brazil, from April 2009 to June 2010. All patients were informed of the purpose of the study and received instructions regarding the pain scale and the cor-  |  day before the surgery. The study was approved by the local research ethics council (number 08042) and all patients involved signed a 'Free and Clarified Consent Term'. Patients undergoing elective heart conventional surgery were participants in the stud | /kg bolus (0.03 ml/kg of the solution) with a minimum 15 min interval between each bolus as well as a total limit of 30 ml in the 4 h period. Neither non-hormonal anti-inflammatory drugs nor local anaes- thetic were used. The anaesthetic procedures were not |  under the anaesthesiologist responsibility. Due to minimum intervals between addi- tional bolus for safety reasons, patient-administered sup- plementary doses of morphine or fentanyl were allowed according to the criteria of the ICU specialist on duty. The",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Coura_2011.txt,No additional cohort merge justified by available identity evidence
El-Rakshy 2009,El_Rakshy_2009,," El-Rakshy, Sue C Clark, James Thompson, Moe Thant Scunthorpe General Hospital, North Lincolnshire, UK Correspondence to: M El-Rakshy, Scunthorpe General Hospital, North Lincolnshire, UK; elrakshy@ btinternet.com ABSTRACT Background: Acupuncture has potentia | h Lincolnshire, UK Correspondence to: M El-Rakshy, Scunthorpe General Hospital, North Lincolnshire, UK; elrakshy@ btinternet.com ABSTRACT Background: Acupuncture has potential value in produ- cing analgesia in the postoperative period, but previous trials ha | ot statistically significant. There were no significant differ- ences between the groups for the requirement for patient-controlled analgesia or total time in recovery. Pain scores were marginally lower in the acupuncture group, but not significantly, and t | upuncture group, but not significantly, and there were no differences between the groups in nausea or sedation scores. Conclusion: Electroacupuncture at 10 Hz given under general anaesthetic has no effect on postoperative nausea or analgesic requirement. Fu | , double-blind, comparative study was conducted in Scunthorpe & Goole Hospitals. Patients all received patient-controlled analgesia (PCA), either with acupuncture (PCA + acupunc- ture) or without acupuncture (PCA alone). Double blinding was achieved by placi |  or abdom- inal hysterectomy were approached by the researchers to be recruited into the study. Patients were given full information about the study, including the method of acupuncture. All consenting patients were aware that they might or might not have a | ndations at the end of the study. The study was approved by the local ethics committee. Patients were informed that they had the right to withdraw from the study at any time for any reason, without prejudice to their treatment. A patient could also be wit |  was not significant (table 2). There were no significant differences between the groups for use of PCA at different periods, or for total requirement for analgesic medication. The PCA + acupuncture group did not spend less time in recovery, and required PC |  in the PCA + acupuncture group scored greater than 1, the difference between the groups was not significant (chi square = 5.360, degrees of freedom (df) = 3, p = 0.147). For PONV scores, 87.5% of the PCA group had no symptoms compared with 89.1% in the PCA",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/El_Rakshy_2009.txt,No additional cohort merge justified by available identity evidence
Gao 2021,Gao_2021,NCT03086304,"t of Anesthesiology and Center for Brain Science, the First Afﬁliated Hospital of Xi’an Jiaotong University, Xi’an, China b Department of Anesthesiology, Weinan Central Hospital, Weinan, China c Department of Anesthesiology, Xi’an Central Hospital, Xi’an, Ch | iversity, Xi’an, China b Department of Anesthesiology, Weinan Central Hospital, Weinan, China c Department of Anesthesiology, Xi’an Central Hospital, Xi’an, China d Department of Anesthesiology, Shaanxi Provincial People’s Hospital, Xi’an, China e Department | Hospital, Weinan, China c Department of Anesthesiology, Xi’an Central Hospital, Xi’an, China d Department of Anesthesiology, Shaanxi Provincial People’s Hospital, Xi’an, China e Department of Anesthesiology, Afﬁliated Hospital of Shaanxi University of Chines | an, China d Department of Anesthesiology, Shaanxi Provincial People’s Hospital, Xi’an, China e Department of Anesthesiology, Afﬁliated Hospital of Shaanxi University of Chinese Medicine, China f Department of Anesthesiology, Xi’an Hospital of Traditional Chi | le’s Hospital, Xi’an, China e Department of Anesthesiology, Afﬁliated Hospital of Shaanxi University of Chinese Medicine, China f Department of Anesthesiology, Xi’an Hospital of Traditional Chinese Medicine, Xi’an, China g Department of Anesthesiology, Afﬁli | sity of Chinese Medicine, China f Department of Anesthesiology, Xi’an Hospital of Traditional Chinese Medicine, Xi’an, China g Department of Anesthesiology, Afﬁliated Hospital of Yan’an University, Yan’an, China h Department of Anesthesiology, Ankang Hospita | nese Medicine, Xi’an, China g Department of Anesthesiology, Afﬁliated Hospital of Yan’an University, Yan’an, China h Department of Anesthesiology, Ankang Hospital of Traditional Chinese Medicine, Ankang, China i Department of Anesthesiology, Ankang Central H | n’an University, Yan’an, China h Department of Anesthesiology, Ankang Hospital of Traditional Chinese Medicine, Ankang, China i Department of Anesthesiology, Ankang Central Hospital, Ankang, China j Department of Anesthesiology, Central Railway Group of Xi’a | edicine, Ankang, China i Department of Anesthesiology, Ankang Central Hospital, Ankang, China j Department of Anesthesiology, Central Railway Group of Xi’an Central Hospital, Xi’an, Shaanxi, China k Clinical Research Center, First Afﬁliated Hospital of Xi’an |  Department of Anesthesiology, Central Railway Group of Xi’an Central Hospital, Xi’an, Shaanxi, China k Clinical Research Center, First Afﬁliated Hospital of Xi’an Jiaotong University, Xi’an, China l Division of Anaesthetics, Pain Medicine, and Intensive Car",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2021.txt,No additional cohort merge justified by available identity evidence
