covidence_id,covidence_study_id,covidence_decision,exclusion_reason,excluded_on,doi,title,registry_report,match_rule,rejected_matches
1879897069,An 2014,INCLUDED,,,10.1142/s0192415x14500682,Electro-acupuncture decreases postoperative pain and improves recovery in patients undergoing a supratentorial craniotomy.,An 2014,TITLE FOUND IN SOURCE TEXT,
1879896620,Ao 2021,INCLUDED,,,10.3892/etm.2021.9615,Effects of transcutaneous electrical acupoint stimulation on perioperative immune function and postoperative analgesia in patients undergoing radical mastectomy: A randomized controlled trial.,Ao 2021,TITLE FOUND IN SOURCE TEXT,
1879896688,Chen 2020,INCLUDED,,,10.1111/1759-7714.13343,"Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia for sedation and postoperative analgesia in minimally invasive lung cancer surgery: A randomized, double-blind, placebo-controlled trial.",Chen 2020,MANUAL: exported title/year label differs from PDF text,
1879897506,Chen 1998,INCLUDED,,,,The effect of location of transcutaneous electrical nerve stimulation on postoperative opioid analgesic requirement: acupoint versus nonacupoint stimulation.,Chen 1998,TITLE FOUND IN SOURCE TEXT,
1879897004,Chen 2015,INCLUDED,,,,Does transcutaneous electric acupoint stimulation improve the quality of recovery after thyroidectomy? A prospective randomized controlled trial.,Chen 2015,TITLE FOUND IN SOURCE TEXT,
1879897029,Chen 2015,INCLUDED,,,,Transcutaneous electric acupoint stimulation alleviates remifentanil-induced hyperalgesia in patients undergoing thyroidectomy: a randomized controlled trial.,Chen 2015 (Hyperalgesia),TITLE FOUND IN SOURCE TEXT,
1879897266,Coura 2011,INCLUDED,,,10.1136/aim.2010.003251,"Randomised, controlled study of preoperative eletroacupuncture for postoperative pain control after cardiac surgery.",Coura 2011,TITLE FOUND IN SOURCE TEXT,
1879897344,El-Rakshy 2009,INCLUDED,,,10.1136/aim.2008.000075,"Effect of intraoperative electroacupuncture on postoperative pain, analgesic requirements, nausea and sedation: a randomised controlled trial.",El-Rakshy 2009,TITLE FOUND IN SOURCE TEXT,
1879896559,Gao 2021,INCLUDED,,,10.1016/j.surg.2021.08.007,Transcutaneous electrical acupoint stimulation applied in lower limbs decreases the incidence of paralytic ileus after colorectal surgery: A multicenter randomized controlled trial.,Gao 2021,TITLE FOUND IN SOURCE TEXT,
1879896952,Grech 2016,INCLUDED,,,10.1016/j.jams.2016.03.009,Intraoperative Low-frequency Electroacupuncture under General Anesthesia Improves Postoperative Recovery in a Randomized Trial.,Grech 2016,TITLE FOUND IN SOURCE TEXT,
1879896335,Guo 2023,INCLUDED,,,10.1016/j.heliyon.2023.e19386,"Effect of transcutaneous electrical acupoint stimulation on postoperative cognitive function in older patients with lung cancer: A randomized, double-blind, placebo-controlled trial.",Guo 2023,TITLE FOUND IN SOURCE TEXT,
1881841223,Gu 2019,INCLUDED,,, 10.1016/j.eujim.2019.01.001, Effect of transcutaneous electrical acupoint stimulation on gastrointestinal function recovery after laparoscopic radical gastrectomy – A randomized controlled trial,Gu 2019,MANUAL: exported title/year label differs from PDF text,
1879895945,He 2026,INCLUDED,,,10.5306/wjco.v17.i2.114431,Effects of electroacupuncture combined with flurbiprofen axetil on postoperative pain and early functional recovery after breast cancer surgery.,He 2026 (breast/WJCO),TITLE FOUND IN SOURCE TEXT,
1879895909,He 2026,INCLUDED,,,10.1080/08941939.2026.2653912,Acupoint Stimulation After Anesthesia Induction Does Not Decrease Nausea and Vomiting After Hepatectomy: A Multi-Center Double-Blinded Clinical Trial.,He 2026 (hepatectomy/JIS),TITLE FOUND IN SOURCE TEXT,
1879896391,Hou 2023,INCLUDED,,,10.1016/j.heliyon.2023.e14423,"Perioperative transcutaneous electrical acupoint stimulations as part of an enhanced recovery after surgery protocol for living donors undergoing nephrectomy: A randomized, controlled clinical trial.",Hou 2023,TITLE FOUND IN SOURCE TEXT,
1879896311,Huang 2023,INCLUDED,,, 10.1177/09645284231211601;10.1177/09645284231211601,Effects of contralateral versus ipsilateral electroacupuncture for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized controlled trial.,Huang 2024,TITLE FOUND IN SOURCE TEXT,
1882881457,Huang 2017,INCLUDED,,, 10.1007/s00540-015-2057-1;10.1007/s00540-015-2057-1,"Effects of transcutaneous electrical acupoint stimulation at different frequencies on perioperative anesthetic dosage, recovery, complications, and prognosis in video-assisted thoracic surgical lobectomy: a randomized, double-blinded, placebo-controlled t",Huang 2017,TITLE FOUND IN SOURCE TEXT,
1879896131,Huang 2025,INCLUDED,,,10.62347/wnto7078,"Electroacupuncture for recovery of gastrointestinal function after laparoscopic hysterectomy surgery: a prospective, randomized, controlled trial.",Huang 2025,TITLE FOUND IN SOURCE TEXT,
1879895860,Jiang 2026,INCLUDED,,,10.1016/j.ctcp.2026.102076,Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal function recovery in patients undergoing non-gastrointestinal laparoscopic surgery: a randomized controlled trial.,Jiang 2026,TITLE FOUND IN SOURCE TEXT,
1879896440,Jin 2022,INCLUDED,,, 10.1016/j.ajogmf.2022.100826;10.1016/j.ajogmf.2022.100826,Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean delivery: a randomized clinical trial.,Jin 2023,MANUAL: exported title/year label differs from PDF text,
1879897255,Lee 2011,INCLUDED,,,10.1155/2011/696754,Needle-free electroacupuncture for postoperative pain management.,Lee 2011,TITLE FOUND IN SOURCE TEXT,
1879896610,Liang 2021,INCLUDED,,,10.1155/2021/6691459,The Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Catheter-Related Bladder Discomfort in Patients Undergoing Transurethral Resection of the Prostate.,Liang 2021,TITLE FOUND IN SOURCE TEXT,
1879897477,Lin 2002,INCLUDED,,,10.1016/s0304-3959(02)00261-0,The effect of high and low frequency electroacupuncture in pain after lower abdominal surgery.,Lin 2002,TITLE FOUND IN SOURCE TEXT,
1879896493,Li 2022,INCLUDED,,,10.2147/jpr.s365587,Effects of Preoperative Electroacupuncture on Remifentanil-Induced Post-Infusion Hyperalgesia in Patients Undergoing Thyroidectomy: A Double-Blind Randomized Controlled Trial.,Li 2022,TITLE FOUND IN SOURCE TEXT,
1879896021,Liu 2025,INCLUDED,,,10.3389/fneur.2025.1580759,Effects of electroacupuncture on the incidence of postoperative supraventricular arrhythmia and sleep quality in patients undergoing thoracoscopic surgery: a randomized controlled trial.,Liu 2025,TITLE FOUND IN SOURCE TEXT,
