covidence_id,study_id,title,journal,exclusion_reason,excluded_on,evidence_basis,full_text_sha256,non_english_signal,term_intervention,term_randomized,term_general_anaesthesia,term_opioid,term_pain,term_ponv,term_recovery_quality,term_gi_recovery,term_rescue_analgesia,term_hospital_stay,term_adverse_events,registered_outcome_terms,triage,status
1879897288,An 2010,[Effect of electroacupuncture on Sevoflurane anesthesia in patients undergoing resection of supratentorial tumor].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2010;30(8):669-73,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,False,False,True,False,False,False,False,False,ponv,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881841646,An 2011, The application of electro-Acupuncture combined with sevoflurane anesthesia in neurosurgery,  2011; 23( 4): 441‐442,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),ec3026a23d0c92a78ebc2bbb8a4357e0a9c391a15d04aa82aa265d4d65070329,False,True,True,True,True,False,True,False,False,False,True,True,opioid;ponv;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896874,Bai 2018,Effects of Transcutaneous Electrical Acupoint Stimulation on the Stress Response During Extubation After General Anesthesia in Elderly Patients Undergoing Elective Supratentorial Craniotomy: A Prospective Randomized Controlled Trial.,Journal of neurosurgical anesthesiology  2018;30(4):337-346,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),772b7c0b4715195bf73eaab7fe526dec5a88c0c62969d3b24ac9021c7e333820,False,True,True,True,True,True,True,True,False,False,False,True,opioid;pain;ponv;recovery_quality;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896140,Cai 2025,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,Annals of surgical oncology  2025;32(7):5165-5172,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),137b5d5cdd3351e7842f96ab2a4c8929f9daffeb91fe26e7aba39e2167146bcc,False,True,True,False,True,False,True,False,True,False,True,True,opioid;ponv;gi_recovery;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896749,Capodice 2019,"A Randomized, Double-Blind, Sham-Controlled Study Assessing Electroacupuncture for the Management of Postoperative Pain after Percutaneous Nephrolithotomy.",Journal of endourology  2019;33(3):194-200,Wrong intervention,20/08/26,FULL TEXT (retrieved PDF),7bf7c626429099f45396dc53257b8aacdbcd8bbc16f98096fa50deff9e6f370d,False,True,True,False,True,True,True,False,False,False,False,True,opioid;pain;ponv;adverse_events,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881842368,Chang 2020, To investigate the meridian through electroacupuncture for postoperative pain relief in patients with arthroscopic repair for triangular fibrocartilage complex (TFCC) tears,  2020; 9():,Wrong comparator,20/08/26,FULL TEXT (retrieved PDF),cc0ce4b9895620af0ddf6bca68db5890f1da9d2d7f473db7df3a44710efdbb7f,False,True,True,False,True,False,False,False,False,False,False,False,opioid,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896095,Cheng 2025,[Effect of perioperative transcutaneous electrical acupoint stimulation on postoperative fatigue syndrome in elderly patients].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2025;45(8):1071-1077,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),a989d69aa72f6837fcbf9769c2b7d5be5e53aaa78403c4d8daaac0bd783acfc5,True,True,True,False,True,True,True,False,False,False,False,False,opioid;pain;ponv,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896823,Chen 2018,Transcutaneous electroacupuncture alleviates postoperative ileus after gastrectomy: A randomized clinical trial.,World journal of gastrointestinal surgery  2018;10(2):13-20,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,False,False,False,False,True,False,True,True,gi_recovery;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896981,Chen 2016,Electroacupuncture Reduces Postoperative Pain and Analgesic Consumption in Patients Undergoing Thoracic Surgery: A Randomized Study.,Evidence-based complementary and alternative medicine : eCAM  2016;2016():2126416,Wrong outcomes,01/09/26,FULL TEXT (retrieved PDF),d3385874fdbea9d0505cc2c57f9833194d1bab4df8bfd02083b58c39329cfd18,False,True,True,True,True,True,True,False,True,False,False,True,opioid;pain;ponv;gi_recovery;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896987,Chen 2015,[Electroacupuncture Intervention Combined with Anesthetics for Analgesia and Post-surgical Gastrointestinal Recovery in Pneumectomy Patients].,Zhen ci yan jiu = Acupuncture research  2015;40(6):461-4,Publication language,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,True,True,True,False,True,False,False,False,opioid;pain;ponv;gi_recovery,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896203,Chen 2024,"A Randomized Controlled Trial Assessing the Impact of Transcutaneous Electrical Acupoint Stimulation on Gastrointestinal Motility, Nutritional Status, and Immune Function in Patients Following Cerebrovascular Accident Surgery.",Journal of investigative surgery : the official journal of the Academy of Surgical Research  2024;37(1):2434093,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,False,False,False,False,True,False,False,True,gi_recovery;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897504,Chiu 1999,"Effect of transcutaneous electrical nerve stimulation for pain relief on patients undergoing hemorrhoidectomy: prospective, randomized, controlled trial.",Diseases of the colon and rectum  1999;42(2):180-5,Wrong intervention,01/09/26,FULL TEXT (retrieved PDF),c225787a028c8329670e18bda5c429bf607328bf63366f6b8c669d637191e620,False,True,True,False,True,True,True,False,False,True,False,True,opioid;pain;ponv;rescue_analgesia;adverse_events,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897531,Christensen 1993,Electroacupuncture in anaesthesia for hysterectomy.,British journal of anaesthesia  1993;71(6):835-8,Wrong outcomes,01/09/26,FULL TEXT (retrieved PDF),0aad850df3d170d2178bebb25c75e999adc79ff2e10791d28e2bb936a81bfb8a,False,True,True,True,True,True,False,False,False,True,True,False,opioid;pain;rescue_analgesia;hospital_stay,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881841248,Chugh 2016, A randomized double-blinded sham controlled study of electro-acupuncture for the management of postoperative pain after percutaneous nephrolithotomy,  2016; 30(): A257‐A258,Study not retrieved,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,True,True,True,False,False,False,True,False,opioid;pain;ponv;hospital_stay,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881842467,Chung 2014, Acupoint stimulation to improve analgesia quality for lumbar spine surgical patients,  2014; 15( 4): 738‐747,Wrong intervention,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,True,True,True,False,False,False,False,False,opioid;pain;ponv,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897141,Chung 2013,Acupoint stimulation to improve analgesia quality for lumbar spine surgical patients.,Pain management nursing : official journal of the American Society of Pain Management Nurses  2013;15(4):738-47,Wrong intervention,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,True,True,True,False,False,False,False,False,opioid;pain;ponv,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897298,Colak 2010,Postoperative pain and respiratory function in patients treated with electroacupuncture following coronary surgery.,"Neurosciences (Riyadh, Saudi Arabia)  2010;15(1):7-10",Wrong outcomes,01/09/26,FULL TEXT (retrieved PDF),9d70a0d84c5764593377fd4467f70cd64bc622427c2be99512c604b406e6b47d,False,True,True,True,True,True,True,False,False,False,True,True,opioid;pain;ponv;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897035,Dalamagka 2015,Postoperative analgesia after low-frequency electroacupuncture as adjunctive treatment in inguinal hernia surgery with abdominal wall mesh reconstruction.,Acupuncture in medicine : journal of the British Medical Acupuncture Society  2015;33(5):360-7,Wrong intervention,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,True,False,True,False,False,False,False,False,False,pain,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896487,Ding 2022,The Preventive Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients with Time Factors: A Randomized Trial.,Journal of integrative and complementary medicine  2022;28(8):689-696,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),f8be2b9be2c670007ec31a55a37c5408104c37ec81d4351038a54f029b948b8e,False,True,True,False,True,False,False,False,False,False,False,False,opioid,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896683,Ding 2020,[Effect of electroacupuncture on rehabilitation of knee joint movement after anterior cruciate ligament reconstruction].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2020;40(2):142-6,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,False,True,False,False,False,False,False,True,pain;adverse_events,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897256,Ding 2011,[Effects of laparoscopic cholecystectomy under different anesthetic methods on T-lymphocyte immune function and postoperative analgesia].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2011;31(5):447-50,Wrong intervention,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,False,False,False,False,False,False,False,False,,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897149,Ding 2013,[Effects of acupuncture combined general anesthesia on endorphin and hemodynamics of laparoscopic cholecystectomy patients in the perioperative phase].,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine  2013;33(6):761-5,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,True,True,False,False,False,False,False,False,opioid;pain,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896592,Ding 2021,[Effect of electroacupuncture at Neiguan (PC 6) on pulmonary function during one-lung ventilation in patients with lobectomy].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2021;41(6):598-602,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,False,False,False,False,False,False,True,True,hospital_stay;adverse_events,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
