report_id,registry_path,covidence_records
Zhou 2025,COVIDENCE FULL-TEXT INCLUDED,1879896105 INCLUDED
An 2014,COVIDENCE FULL-TEXT INCLUDED,1879897069 INCLUDED
Ao 2021,COVIDENCE FULL-TEXT INCLUDED,1879896620 INCLUDED
Chen 1998,COVIDENCE FULL-TEXT INCLUDED,1879897506 INCLUDED
Chen 2015,COVIDENCE FULL-TEXT INCLUDED,1879897004 INCLUDED
Chen 2015 (Hyperalgesia),COVIDENCE FULL-TEXT INCLUDED,1879897029 INCLUDED
Chen 2020,COVIDENCE FULL-TEXT INCLUDED,1879896688 INCLUDED
Coura 2011,COVIDENCE FULL-TEXT INCLUDED,1879897266 INCLUDED
El-Rakshy 2009,COVIDENCE FULL-TEXT INCLUDED,1879897344 INCLUDED
Gao 2021,COVIDENCE FULL-TEXT INCLUDED,1879896559 INCLUDED
Gao 2022,COVIDENCE EXCLUDED; IN REGISTRY (post-exclusion re-inclusion not recorded in Covidence export),1879896511 EXCLUDED Wrong outcomes 20/08/26
Grech 2016,COVIDENCE FULL-TEXT INCLUDED,1879896952 INCLUDED
Gu 2019,COVIDENCE FULL-TEXT INCLUDED,1881841223 INCLUDED
Guo 2023,COVIDENCE FULL-TEXT INCLUDED,1879896335 INCLUDED
He 2026 (breast/WJCO),COVIDENCE FULL-TEXT INCLUDED,1879895945 INCLUDED
He 2026 (hepatectomy/JIS),COVIDENCE FULL-TEXT INCLUDED,1879895909 INCLUDED
Hou 2023,COVIDENCE FULL-TEXT INCLUDED,1879896391 INCLUDED
Huang 2017,COVIDENCE FULL-TEXT INCLUDED,1882881457 INCLUDED
Huang 2024,COVIDENCE FULL-TEXT INCLUDED,1879896311 INCLUDED
Huang 2025,COVIDENCE FULL-TEXT INCLUDED,1879896131 INCLUDED
Jiang 2026,COVIDENCE FULL-TEXT INCLUDED,1879895860 INCLUDED
Jin 2023,COVIDENCE FULL-TEXT INCLUDED,1879896440 INCLUDED
Lee 2011,COVIDENCE FULL-TEXT INCLUDED,1879897255 INCLUDED
Li 2021,COVIDENCE FULL-TEXT INCLUDED,1879896618 INCLUDED
Li 2022,COVIDENCE FULL-TEXT INCLUDED,1879896493 INCLUDED
Liang 2021,COVIDENCE FULL-TEXT INCLUDED,1879896610 INCLUDED
Lin 2002,COVIDENCE FULL-TEXT INCLUDED,1879897477 INCLUDED
Liu 2015,COVIDENCE EXCLUDED; IN REGISTRY (post-exclusion re-inclusion not recorded in Covidence export),1879897042 EXCLUDED Wrong outcomes 20/08/26
Liu 2021,COVIDENCE FULL-TEXT INCLUDED,1879896597 INCLUDED
Liu 2025,COVIDENCE FULL-TEXT INCLUDED,1879896021 INCLUDED
Liu 2026 (ESD),COVIDENCE FULL-TEXT INCLUDED,1879896009 INCLUDED
