id	study	contrast	family	outcome	time	type	ni	nc	mi	sdi	mc	sdc	ei	ec	unit	eligibility	QC
V33-OD-0002	Yang 2020	YANG20_EA_vs_UC	GI recovery	Time to first postoperative flatus	From surgery to first flatus	Mean/SD	29	28	20.8	4.6	24.1	6.2			hours	INCLUDE	Open-label; 2/59 excluded after randomization; participant-report contribution unclear
V33-OD-0003	Seevaunnamtum 2016	SEEVA16_EA_vs_UC	Opioid consumption	Cumulative IV PCA morphine requirement	First 24 h postoperatively	Mean/SD	32	32	21.38	14.38	33.94	20.24			mg morphine	INCLUDE	No allocation-concealment method reported
V33-OD-0004	Lin 2002	LIN02_HIGH_vs_CONTROL	Opioid consumption	Cumulative IV PCA morphine delivered during postoperative test period	Postoperative hour 1 through next 23 h (published as 24-h test-period value)	Mean/SD	25	25	15	10.7	38.1	16			mg morphine	INCLUDE	First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported
V33-OD-0005	Lin 2002	LIN02_LOW_vs_CONTROL	Opioid consumption	Cumulative IV PCA morphine delivered during postoperative test period	Postoperative hour 1 through next 23 h (published as 24-h test-period value)	Mean/SD	25	25	21.8	14.7	38.1	16			mg morphine	INCLUDE	First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported
V33-OD-0006	Lin 2002	LIN02_HIGH_vs_SHAM	Opioid consumption	Cumulative IV PCA morphine delivered during postoperative test period	Postoperative hour 1 through next 23 h (published as 24-h test-period value)	Mean/SD	25	25	15	10.7	30.2	14.4			mg morphine	INCLUDE	First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported
V33-OD-0007	Lin 2002	LIN02_LOW_vs_SHAM	Opioid consumption	Cumulative IV PCA morphine delivered during postoperative test period	Postoperative hour 1 through next 23 h (published as 24-h test-period value)	Mean/SD	25	25	21.8	14.7	30.2	14.4			mg morphine	INCLUDE	First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported
V33-OD-0008	Yao 2015	YAO15_TEAS_vs_CONTROL	Quality of recovery	Global QoR-40	24 h postoperatively	Mean/SD	35	36	176.5	10.2	164.8	14.7			QoR-40 points	INCLUDE	3 post-randomization exclusions; active sensory stimulation vs zero-current control
V33-OD-0009	Yu 2020	YU20_TEAS_vs_CONTROL	Quality of recovery	Global QoR-40	Postoperative day 1 (~24 h)	Mean/SD	30	30	175.33	9.66	166.07	8.44			QoR-40 points	INCLUDE	Retrospective registration; article has internal intervention-parameter discrepancy
V33-OD-0010	Pan 2023	PAN23_TEAS_vs_CONTROL	GI recovery	Time to first postoperative flatus	Postoperative recovery endpoint	Median/IQR	52	53							minutes	NARRATIVE ONLY	15/120 excluded after randomization; do not relabel median/IQR as mean/SD
V33-OD-0011	Chen 1998	CHEN98_NONACU_vs_SHAM	Opioid consumption	Cumulative IV PCA hydromorphone	First 24 h postoperatively	Mean/SD	25	25	10.5	6.2	10.7	5			mg hydromorphone	INCLUDE	Four-arm RCT; shared sham control must be handled correctly
V33-OD-0012	Chen 1998	CHEN98_DERM_vs_SHAM	Opioid consumption	Cumulative IV PCA hydromorphone	First 24 h postoperatively	Mean/SD	25	25	6.8	4.2	10.7	5			mg hydromorphone	INCLUDE	Four-arm RCT; shared sham control must be handled correctly
V33-OD-0013	Chen 1998	CHEN98_ACU_vs_SHAM	Opioid consumption	Cumulative IV PCA hydromorphone	First 24 h postoperatively	Mean/SD	25	25	6.5	3.5	10.7	5			mg hydromorphone	INCLUDE	Four-arm RCT; shared sham control must be handled correctly
V33-OD-0014	Chen 2020	CHEN20_TEAS_vs_SHAM	Opioid consumption	Cumulative sufentanil	24 h postoperatively	Mean/SD	40	40	72.43	4.78	100.62	10.2			µg sufentanil	INCLUDE	Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance
V33-OD-0015	Chen 2020	CHEN20_TEAS_vs_SHAM_VAS	Pain	VAS pain intensity	24 h postoperatively	Mean/SD	40	40	2.91	0.2	5.97	0.56			VAS 0-10	INCLUDE	Patient blinding adequacy depends on sensory contrast of sham protocol
V33-OD-0016	Coura 2011	COURA11_EA_vs_SHAM	Opioid consumption	Cumulative fentanyl	First 24 h postoperatively	Mean/SD	13	9	13.1	2.2	16.3	1.6			µg/kg fentanyl	INCLUDE	10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear
V33-OD-0017	Ao 2021	AO21_TEAS_vs_SHAM_VAS	Pain	VAS pain intensity	24 h postoperatively	Graph-digitized mean/SD	32	33	2.51	0.49	2.95	0.53			VAS 0-10	CONDITIONAL	Exact values are graph-digitized, not numerically tabulated by authors
V33-OD-0018	Ao 2021	AO21_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Cumulative postoperative sufentanil	Exact 0-24 h	Not reported	32	33							µg sufentanil	NOT REPORTED	PCA followed for 48 h; no extractable cumulative 0-24-h total
V33-OD-0019	Zhu 2022	ZHU22_PRE_vs_USUAL_PON	PONV	Postoperative nausea	6-24 h postoperatively	Events/total	101	101					11	27	participants with nausea	INCLUDE	Four-arm RCT; no sham; analysis denominators differ from randomized denominators
V33-OD-0020	Zhu 2022	ZHU22_PRE_vs_USUAL_POV	PONV	Postoperative vomiting	6-24 h postoperatively	Events/total	101	101					5	22	participants with vomiting	INCLUDE	Four-arm RCT; no sham; use exact arm-specific analyzed denominators
V33-OD-0021	Zhu 2022	ZHU22_30_vs_USUAL_PON	PONV	Postoperative nausea	6-24 h postoperatively	Events/total	98	101					18	27	participants with nausea	INCLUDE	Four-arm RCT; no sham; analysis denominators differ from randomized denominators
V33-OD-0022	Zhu 2022	ZHU22_30_vs_USUAL_POV	PONV	Postoperative vomiting	6-24 h postoperatively	Events/total	98	101					8	22	participants with vomiting	INCLUDE	Four-arm RCT; no sham; use exact arm-specific analyzed denominators
V33-OD-0023	Zhu 2022	ZHU22_COMB_vs_USUAL_PON	PONV	Postoperative nausea	6-24 h postoperatively	Events/total	100	101					11	27	participants with nausea	INCLUDE	Four-arm RCT; no sham; analysis denominators differ from randomized denominators
V33-OD-0024	Zhu 2022	ZHU22_COMB_vs_USUAL_POV	PONV	Postoperative vomiting	6-24 h postoperatively	Events/total	100	101					9	22	participants with vomiting	INCLUDE	Four-arm RCT; no sham; use exact arm-specific analyzed denominators
