result_id,study,trial_id,comparison_id,intervention,comparator,modality,comparator_class,family,outcome,window,population,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,unit,data_type,source_location,source_quote,source_pdf,source_sha256,source_qc,legacy_eligibility,decision,rationale,models,factor,comparator_class_v34,comparator_adjudication
V33-OD-0002,Yang 2020,Yang_2020,YANG20_EA_vs_UC,EA + usual care,Usual care,EA,Usual care,GI recovery,Time to first postoperative flatus,From surgery to first flatus,Outcome-specific analyzed population,29.0,28.0,20.8,4.6,24.1,6.2,,,hours,Mean/SD,GI recovery results/table,,TEAS EA Verification/Source PDFs/covidence_464_verified.pdf,74195fd297db01dd46bc70ce30960d6ada974359a832f17219120a2cb8491d14,Open-label; 2/59 excluded after randomization; participant-report contribution unclear,INCLUDE,INCLUDE,Same construct and membership as hours MD; no selection by I² or P.,;flatus_EA_usual;flatus_EA_usual_SMD_sensitivity,1,,
V33-OD-0003,Seevaunnamtum 2016,Seevaunnamtum_2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,EA,Usual care,Opioid consumption,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Outcome-specific analyzed population,32.0,32.0,21.38,14.38,33.94,20.24,,,mg morphine,Mean/SD,Table 2 / 24-h PCA morphine,,TEAS EA Verification/Source PDFs/covidence_596_verified.pdf,7c25e5c670ee6ebcd32888161b0b53f2ac88a1eb1061a51def0b529c6320d6a3,No allocation-concealment method reported,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;opioid24_EA_usual;opioid24_EA_usual_without_ElRakshy;opioid24_EA_usual_expanded,1,,
V33-OD-0004,Lin 2002,Lin_2002,LIN02_HIGH_vs_CONTROL,100-Hz EA,Untreated control,EA,Usual care,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Outcome-specific analyzed population,25.0,25.0,15.0,10.7,38.1,16.0,,,mg morphine,Mean/SD,Table 2,,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid_partial_EA_usual,1,CONTROL_TYPE_REVIEW_REQUIRED,"Lin 2002: ""Group I received neither needle insertion nor electric stimulation (control)."""
V33-OD-0005,Lin 2002,Lin_2002,LIN02_LOW_vs_CONTROL,2-Hz EA,Untreated control,EA,Usual care,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Outcome-specific analyzed population,25.0,25.0,21.8,14.7,38.1,16.0,,,mg morphine,Mean/SD,Table 2,,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid_partial_EA_usual,1,CONTROL_TYPE_REVIEW_REQUIRED,"Lin 2002: ""Group I received neither needle insertion nor electric stimulation (control)."""
V33-OD-0006,Lin 2002,Lin_2002,LIN02_HIGH_vs_SHAM,100-Hz EA,Sham EA,EA,Sham,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Outcome-specific analyzed population,25.0,25.0,15.0,10.7,30.2,14.4,,,mg morphine,Mean/SD,Table 2,,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid_partial_EA_sham,1,,
V33-OD-0007,Lin 2002,Lin_2002,LIN02_LOW_vs_SHAM,2-Hz EA,Sham EA,EA,Sham,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Outcome-specific analyzed population,25.0,25.0,21.8,14.7,30.2,14.4,,,mg morphine,Mean/SD,Table 2,,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid_partial_EA_sham,1,,
V33-OD-0008,Yao 2015,Yao_2015,YAO15_TEAS_vs_CONTROL,Preoperative TEAS,Control/no current,TEAS,Sham,Quality of recovery,Global QoR-40,24 h postoperatively,Outcome-specific analyzed population,35.0,36.0,176.5,10.2,164.8,14.7,,,QoR-40 points,Mean/SD,24-h QoR-40 result,,retrieved_pdfs/039_yao_2015.pdf,769574c60b55724c5f5d1bb988ebb6cbd252be9b95734e3b11bf61bf5ae9272f,3 post-randomization exclusions; active sensory stimulation vs zero-current control,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0009,Yu 2020,Yu_2020,YU20_TEAS_vs_CONTROL,Preoperative TEAS,Control/no current,TEAS,Sham,Quality of recovery,Global QoR-40,Postoperative day 1 (~24 h),Outcome-specific analyzed population,30.0,30.0,175.33,9.66,166.07,8.44,,,QoR-40 points,Mean/SD,POD1 QoR-40 result,,TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,12fbd503870f7f12216ff5f2544b159c66fecd557d4838bcabceec1aa151fb69,Retrospective registration; article has internal intervention-parameter discrepancy,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0010,Pan 2023,Pan_2023,PAN23_TEAS_vs_CONTROL,TEAS,Control/usual care,TEAS,Usual care,GI recovery,Time to first postoperative flatus,Postoperative recovery endpoint,Outcome-specific analyzed population,52.0,53.0,,,,,,,minutes,Median/IQR,Postoperative recovery table,,TEAS EA Verification/Source PDFs/getfile.php-4.pdf,7f51a98abb60112923a7996495bc8d143af74aa710175a70c29894b62a64479d,15/120 excluded after randomization; do not relabel median/IQR as mean/SD,NARRATIVE ONLY,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0011,Chen 1998,Chen_1998,CHEN98_NONACU_vs_SHAM,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),TEAS,Sham,Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Outcome-specific analyzed population,25.0,25.0,10.5,6.2,10.7,5.0,,,mg hydromorphone,Mean/SD,Table 2 / first-24-h hydromorphone,,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,Four-arm RCT; shared sham control must be handled correctly,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
