model_id,old_k,new_k,old_N,new_N,old_effect,new_effect,old_ci_low,new_ci_low,old_ci_high,new_ci_high,changed_fields,status
bowelsounds_TEAS_sham,3,3,812,812,-7.190782053283836,-7.190782053283836,-11.61807355210826,-11.61807355210826,-2.763490554459411,-2.763490554459411,,UNCHANGED
bowelsounds_TEAS_sham_without_Zheng2025,2,2,727,727,-6.086399155810704,-6.086399155810704,-20.323190371265927,-20.323190371265927,8.150392059644517,8.150392059644517,,UNCHANGED
defecation_EA_sham,1,1,110,110,-21.599999999999994,-21.599999999999994,-37.0952138739437,-37.0952138739437,-6.1047861260562915,-6.1047861260562915,,UNCHANGED
defecation_EA_usual,4,4,435,435,-10.105891783757349,-10.105891783757349,-32.89027908472029,-32.89027908472029,12.678495517205596,12.678495517205596,,UNCHANGED
defecation_TEAS_sham,4,4,1182,1182,-7.769201853841989,-7.769201853841989,-17.468498903068642,-17.468498903068642,1.9300951953846637,1.9300951953846637,,UNCHANGED
flatus_EA_sham,1,1,110,110,-7.199999999999996,-7.199999999999996,-16.21474969859147,-16.21474969859147,1.8147496985914788,1.8147496985914788,,UNCHANGED
flatus_EA_sham_SMD_sensitivity,1,1,110,110,-0.29643254795551516,-0.29643254795551516,-0.6722300527641636,-0.6722300527641636,0.07936495685313333,0.07936495685313333,,UNCHANGED
flatus_EA_usual,4,4,725,725,-2.887636773277873,-2.887636773277873,-5.386843778448147,-5.386843778448147,-0.3884297681075992,-0.3884297681075992,,UNCHANGED
flatus_EA_usual_SMD_sensitivity,4,4,725,725,-0.48711874385508164,-0.48711874385508164,-0.7448720679248819,-0.7448720679248819,-0.2293654197852814,-0.2293654197852814,,UNCHANGED
flatus_TEAS_sham,8,8,1505,1505,-5.33482085980253,-5.33482085980253,-9.091500767291889,-9.091500767291889,-1.5781409523131722,-1.5781409523131722,,UNCHANGED
flatus_TEAS_sham_SMD_sensitivity,8,8,1505,1505,-0.5835279620445861,-0.5835279620445861,-1.099406695955487,-1.099406695955487,-0.06764922813368535,-0.06764922813368535,,UNCHANGED
flatus_TEAS_sham_without_Zheng2025,7,7,1420,1420,-4.983317505222142,-4.983317505222142,-9.507183448526703,-9.507183448526703,-0.4594515619175814,-0.4594515619175814,,UNCHANGED
flatus_TEAS_usual,0,0,0,0,,,,,,,,UNCHANGED
flatus_TEAS_usual_SMD_sensitivity,0,0,0,0,,,,,,,,UNCHANGED
intraop_remifentanil_EA_sham,1,1,70,70,-38.30000000000007,-38.30000000000007,-309.9841975390644,-309.9841975390644,233.38419753906425,233.38419753906425,,UNCHANGED
intraop_remifentanil_EA_usual,1,1,400,400,-16.755852842809418,-16.755852842809418,-74.24963639776908,-74.24963639776908,40.73793071215025,40.73793071215025,,UNCHANGED
intraop_remifentanil_TEAS_sham,6,6,1013,1013,-114.81171008142734,-114.81171008142734,-199.68648281851054,-199.68648281851054,-29.93693734434413,-29.93693734434413,,UNCHANGED
intraop_remifentanil_TEAS_sham_without_Zheng2025,5,5,928,928,-141.16187122020128,-141.16187122020128,-247.76332121722675,-247.76332121722675,-34.56042122317581,-34.56042122317581,,UNCHANGED
intraop_remifentanil_TEAS_usual,2,2,175,175,-25.27865396767271,-25.27865396767271,-1108.956344600597,-1108.956344600597,1058.3990366652517,1058.3990366652517,,UNCHANGED
nausea24_EA_usual,2,2,237,237,0.6601942348063465,0.6601942348063465,0.058572980742594365,0.058572980742594365,7.4412540073205085,7.4412540073205085,,UNCHANGED
nausea24_TEAS_sham,3,3,735,735,0.6681115511451108,0.6681115511451108,0.28736863599027485,0.28736863599027485,1.5533116313661737,1.5533116313661737,,UNCHANGED
nausea48_TEAS_sham,1,1,277,277,0.45611156685808035,0.45611156685808035,0.29944862111391346,0.29944862111391346,0.6947360807602228,0.6947360807602228,,UNCHANGED
nausea6to24_EA_usual,1,1,400,400,0.5004335439118047,0.5004335439118047,0.3245832442229887,0.3245832442229887,0.7715547130956651,0.7715547130956651,,UNCHANGED
opioid24_EA_sham,0,0,0,0,,,,,,,,UNCHANGED
opioid24_EA_sham_fentanyl_per_kg,1,1,22,22,-3.200000000000001,-3.200000000000001,-4.788359621979926,-4.788359621979926,-1.611640378020076,-1.611640378020076,,UNCHANGED
opioid24_EA_sham_weight_normalized,1,1,90,90,-0.13,-0.13,-0.27825317638016644,-0.27825317638016644,0.018253176380166436,0.018253176380166436,,UNCHANGED
opioid24_EA_usual,2,2,159,159,-6.831992733060185,-6.831992733060185,-76.39065081844696,-76.39065081844696,62.726665352326584,62.726665352326584,,UNCHANGED
opioid24_EA_usual_expanded,3,3,339,339,-3.9358338798840333,-3.9358338798840333,-19.77322298046189,-19.77322298046189,11.901555220693826,11.901555220693826,,UNCHANGED
opioid24_EA_usual_without_ElRakshy,1,1,64,64,-12.559999999999999,-12.559999999999999,-21.162391670246286,-21.162391670246286,-3.9576083297537092,-3.9576083297537092,,UNCHANGED
opioid24_TEAS_sham,1,1,48,48,-7.699999999999999,-7.699999999999999,-10.622954073275604,-10.622954073275604,-4.777045926724394,-4.777045926724394,,UNCHANGED
opioid24_TEAS_sham_expanded_suf0.25,4,4,337,337,-7.356085539645688,-7.356085539645688,-18.971867801321736,-18.971867801321736,4.259696722030357,4.259696722030357,,UNCHANGED
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,3,3,257,257,-8.409139976491769,-8.409139976491769,-32.66507517569147,-32.66507517569147,15.846795222707929,15.846795222707929,,UNCHANGED
opioid24_TEAS_sham_expanded_suf0.5,4,4,337,337,-9.763694016283118,-9.763694016283118,-22.946285711716115,-22.946285711716115,3.418897679149877,3.418897679149877,,UNCHANGED
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,3,3,257,257,-8.409139976491769,-8.409139976491769,-32.66507517569147,-32.66507517569147,15.846795222707929,15.846795222707929,,UNCHANGED
opioid24_TEAS_sham_expanded_suf1,4,4,337,337,-13.995274618644093,-13.995274618644093,-34.51875206756655,-34.51875206756655,6.528202830278364,6.528202830278364,,UNCHANGED
opioid24_TEAS_sham_expanded_suf1_without_Chen2020,3,3,257,257,-8.409139976491769,-8.409139976491769,-32.66507517569147,-32.66507517569147,15.846795222707929,15.846795222707929,,UNCHANGED
opioid24_TEAS_usual,1,1,47,47,-8.0,-8.0,-10.919946920043666,-10.919946920043666,-5.080053079956334,-5.080053079956334,,UNCHANGED
opioid48_EA_usual_PCA,1,1,81,81,-6.0,-6.0,-10.628009861518144,-10.628009861518144,-1.3719901384818556,-1.3719901384818556,,UNCHANGED
opioid48_TEAS_sham_uncertain_suf0.25,2,2,239,239,-3.2194382643248862,-3.2194382643248862,-31.843881195112207,-31.843881195112207,25.405004666462435,25.405004666462435,,UNCHANGED
opioid48_TEAS_sham_uncertain_suf0.5,2,2,239,239,-5.850158346839758,-5.850158346839758,-68.84109968773008,-68.84109968773008,57.14078299405056,57.14078299405056,,UNCHANGED
opioid48_TEAS_sham_uncertain_suf1,2,2,239,239,-11.19031008835016,-11.19031008835016,-142.88670280896582,-142.88670280896582,120.50608263226552,120.50608263226552,,UNCHANGED
opioid72_EA_sham_PCA,1,1,25,25,-8.399999999999999,-8.399999999999999,-22.31582392017927,-22.31582392017927,5.5158239201792725,5.5158239201792725,,UNCHANGED
opioid72_EA_usual_PCA,1,1,180,180,-0.5,-0.5,-4.079878972059454,-4.079878972059454,3.0798789720594546,3.0798789720594546,,UNCHANGED
opioid_partial_EA_sham,1,1,75,75,-11.8,-11.8,-18.523748664973265,-18.523748664973265,-5.076251335026737,-5.076251335026737,,UNCHANGED
opioid_partial_EA_usual,1,1,75,75,-19.700000000000003,-19.700000000000003,-26.958287566035963,-26.958287566035963,-12.441712433964042,-12.441712433964042,,UNCHANGED
opioid_partial_TEAS_sham,1,1,34,34,-3.9009090909090958,-3.9009090909090958,-8.926531590365482,-8.926531590365482,1.12471340854729,1.12471340854729,,UNCHANGED
pain24_Lee_low_arm_only,1,1,22,22,-1.33,-1.33,-2.2765699446958125,-2.2765699446958125,-0.3834300553041876,-0.3834300553041876,,UNCHANGED
pain24_Ng_unspecified,1,1,110,110,-0.20000000000000018,-0.20000000000000018,-0.9290529551221952,-0.9290529551221952,0.5290529551221949,0.5290529551221949,,UNCHANGED
pain24_TEAS_active_unspecified,1,1,85,85,-0.4700000000000002,-0.4700000000000002,-0.9377258426123072,-0.9377258426123072,-0.0022741573876932653,-0.0022741573876932653,,UNCHANGED
pain24_movement_EA_sham,1,1,114,114,-0.3380000000000001,-0.3380000000000001,-0.7276331517808177,-0.7276331517808177,0.05163315178081751,0.05163315178081751,,UNCHANGED
pain24_movement_EA_sham_with_He,2,2,244,244,-0.7400991044932704,-0.7400991044932704,-5.519710499669599,-5.519710499669599,4.039512290683057,4.039512290683057,,UNCHANGED
pain24_movement_TEAS_sham,1,1,100,100,0.040000000000000036,0.040000000000000036,-0.20633277733593883,-0.20633277733593883,0.28633277733593887,0.28633277733593887,,UNCHANGED
pain24_rest_EA_sham,0,0,0,0,,,,,,,,UNCHANGED
pain24_rest_EA_sham_He_reported_SD,1,1,130,130,-0.9030000000000002,-0.9030000000000002,-0.9628212741307449,-0.9628212741307449,-0.8431787258692556,-0.8431787258692556,,UNCHANGED
pain24_rest_TEAS_sham,3,3,218,218,-0.21331777218990347,-0.21331777218990347,-0.7539370255093347,-0.7539370255093347,0.32730148112952784,0.32730148112952784,,UNCHANGED
pain24_rest_TEAS_usual,0,0,0,0,,,,,,,,UNCHANGED
pain24_unclassified_TEAS_sham,7,7,863,863,-1.2875932187452237,-1.2875932187452237,-2.276962012570455,-2.276962012570455,-0.29822442491999235,-0.29822442491999235,,UNCHANGED
pain6to24_movement_EA_usual,1,1,400,400,-0.2931438127090302,-0.2931438127090302,-0.5742988084648368,-0.5742988084648368,-0.011988816953223624,-0.011988816953223624,,UNCHANGED
