study,trial_family,modality,qor,satisfaction,other_prom,intervention_harms,persistent_opioid_beyond_30d,qor_discovery_hits,satisfaction_discovery_hits,quality_of_life_discovery_hits,harms_discovery_hits,long_term_opioid_discovery_hits,source_pdf,source_text,source_text_sha256
Zhou 2025,Zhou_2025,TEAS,QoR-15,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero local skin irritation,No eligible result located; NOT zero users,31,2,0,15,0,TEAS EA Verification/Source PDFs/105119.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,38b208d76d539a13ff08f8d64b3f562ae95f71a58076aa61464983f48af82af4
An 2014,An_2014,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,0,7,0,TEAS EA Verification/Source PDFs/covidence_698_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/An_2014.txt,74c99381afbe04a1ba6821ef2edab15b4fb6e9d49809ac81cab4bed8f3a91af0
Ao 2021,Ao_2021,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,1,0,0,18,0,TEAS EA Verification/Source PDFs/download.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ao_2021.txt,53f5e7a4ca927992e2b218cef4b7331b8f8ffbbc9509c1c9d7dcde96bed36ed6
Chen 1998,Chen_1998,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,0,19,0,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_1998.txt,edd43cdaf1ddc7835f7a8d727d9c432cccfd164a17ac6b55017d2e1689d40424
Chen 2015,Chen_2015,TEAS,QoR-40,10-point numerical scale,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,39,8,0,9,0,037_chen_2015_thyroidectomy_lund.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015.txt,37b87d059f4b25bb9ece8af035f6c340ce347d8c1739a2e4ce558214300f104a
Chen 2015 (Hyperalgesia),Chen_2015_Hyperalgesia,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,6,0,040_chen_2015_hyperalgesia_lund.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015_Hyperalgesia.txt,acc3bf82bb78807d91e913cd4285fa8351dbc086f25fd53961c5f6a992119758
Chen 2020,Chen_2020,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,1,0,0,7,0,TEAS EA Verification/Source PDFs/Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2020.txt,ff3f0ddba8e7a89fa4954e9db02c6625a82c49b6429b3b7bce9df44b900da794
Coura 2011,Coura_2011,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Limited anaesthetic/opioid side-effect report,No eligible result located; NOT zero users,0,0,0,10,0,TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Coura_2011.txt,ab457355ac7da7e12d0e633e71ed1f94dc4b70f752bbf4d99de3f58181be3b31
El-Rakshy 2009,El_Rakshy_2009,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,0,4,0,TEAS EA Verification/Source PDFs/covidence_868_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/El_Rakshy_2009.txt,faedbf42fd4aca5a6d253add0cd44f15ead56d69461bc4c45d45b5a5a7e086ab
Gao 2021,Gao_2021,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero intervention-related events,No eligible result located; NOT zero users,1,0,2,10,0,TEAS EA Verification/Source PDFs/covidence_400_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2021.txt,ade5a8cfcc5a4b68283b5d3fa30ef539b6b6156d6206a728afbda928573fb241
