"model_id","k","N","effect","se","ci_low","ci_high","p","tau2","I2","max_effect_input_difference","max_variance_input_difference"
"QOR40_SHAM_24H",2,131,10.1855389698787,1.84510632824669,-13.2587597968353,33.6298377365927,0.114086234593116,0,0,0,0
"QOR40_SHAM_24H_WITHOUT_YAO_2015",1,60,9.26000000000002,2.34200199259807,4.66976044278676,13.8502395572133,7.68932765787606e-05,0,NA,0,0
"QOR40_SHAM_24H_WITHOUT_YU_2020",1,71,11.7,2.99584235709615,5.82825687673195,17.571743123268,9.40648152379228e-05,0,NA,0,0
"QOR40_USUAL_24H",2,175,4.34388102336214,1.84695391463818,-19.12389355431,27.8116556010342,0.25593865660051,5.37093121501136,78.4650287072519,0,0
"QOR40_USUAL_24H_WITHOUT_LIANG_2021",1,105,6.29999999999998,1.36627559392262,3.62214904295557,8.9778509570444,4.00590884150534e-06,0,NA,0,0
"QOR40_USUAL_24H_WITHOUT_PAN_2023",1,70,2.59999999999999,1.03991757915162,0.561798997972733,4.63820100202726,0.0124123861606837,0,NA,0,0
"QOR15_SHAM_24H",4,327,7.4850233972772,2.5742950823769,-0.707532476343194,15.6775792708976,0.0621174509500466,20.9860991285689,80.0787965373342,0,1.77635683940025e-15
"QOR15_SHAM_24H_WITHOUT_HOU_2023",3,255,8.18738095601257,3.50927250032061,-6.91179994692663,23.2865618589518,0.144839749862282,30.8797157247707,84.2584489189533,0,1.77635683940025e-15
"QOR15_SHAM_24H_WITHOUT_WU_2025",3,227,4.90848398175562,1.3268966373853,-0.800691457185627,10.6176594206969,0.0659317840324674,0,0,0,1.77635683940025e-15
"QOR15_SHAM_24H_WITHOUT_XING_2022",3,269,8.2109727844012,3.34426527404177,-6.17823932596094,22.6001848947633,0.133467708467581,29.0269438904251,86.7968553339302,0,0
"QOR15_SHAM_24H_WITHOUT_ZHOU_2025",3,230,8.54459782541833,3.3134347455209,-5.71196122724388,22.8011568780805,0.123194390586181,27.029049878515,82.8548232562043,0,1.77635683940025e-15
"QOR15_WU_DENOMINATOR_STRESS",4,324,7.47584529572571,2.56842528284836,-0.698030256072329,15.6497208475238,0.0619628040755867,20.8319298929706,79.8416593222552,0,1.77635683940025e-15
