model_id,label,parent_model_id,role,measure,unit,k,N,studies,effect,se,ci_low,ci_high,p,tau2,I2,Q,hk_scale,status,pi_low,pi_high,note
QOR40_SHAM_24H,"QoR-40: TEAS versus sham, ~24 h",,ADDITIONAL,MD,QoR-40 points,2,131,Yao 2015;Yu 2020,10.185538969878714,1.8451063282466926,-13.258759796835314,33.62983773659274,0.11408623459311612,0.0,0.0,0.4117276327999144,0.4117276327999144,REML + safeguarded Hartung-Knapp,,,"Positive MD favors TEAS. Endpoint scores; no median conversions. N is result-specific reported analysis N, not necessarily complete observed follow-up."
QOR40_SHAM_24H_WITHOUT_YAO_2015,"QoR-40: TEAS versus sham, ~24 h; omit Yao 2015",QOR40_SHAM_24H,SENSITIVITY,MD,QoR-40 points,1,60,Yu 2020,9.26000000000002,2.3420019925980706,4.6697604427867585,13.85023955721328,7.689327657876039e-05,0.0,,0.0,,"Single study, normal 95% CI; not pooled",,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
QOR40_SHAM_24H_WITHOUT_YU_2020,"QoR-40: TEAS versus sham, ~24 h; omit Yu 2020",QOR40_SHAM_24H,SENSITIVITY,MD,QoR-40 points,1,71,Yao 2015,11.699999999999989,2.9958423570961523,5.828256876731946,17.571743123268032,9.406481523792267e-05,0.0,,0.0,,"Single study, normal 95% CI; not pooled",,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
QOR40_USUAL_24H,"QoR-40: TEAS versus usual care, 24 h",,ADDITIONAL,MD,QoR-40 points,2,175,Liang 2021;Pan 2023,4.343881022128452,1.8469539145673015,-19.123893554642983,27.81165559889989,0.25593865665681775,5.370931135434444,78.46502845689595,4.643609626434706,1.000000011625554,REML + safeguarded Hartung-Knapp,,,"Positive MD favors TEAS. Endpoint scores; no median conversions. N is result-specific reported analysis N, not necessarily complete observed follow-up."
QOR40_USUAL_24H_WITHOUT_LIANG_2021,"QoR-40: TEAS versus usual care, 24 h; omit Liang 2021",QOR40_USUAL_24H,SENSITIVITY,MD,QoR-40 points,1,105,Pan 2023,6.299999999999983,1.3662755939226248,3.6221490429555665,8.9778509570444,4.005908841505307e-06,0.0,,0.0,,"Single study, normal 95% CI; not pooled",,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
QOR40_USUAL_24H_WITHOUT_PAN_2023,"QoR-40: TEAS versus usual care, 24 h; omit Pan 2023",QOR40_USUAL_24H,SENSITIVITY,MD,QoR-40 points,1,70,Liang 2021,2.5999999999999943,1.0399175791516226,0.5617989979727329,4.638201002027255,0.012412386160683686,0.0,,0.0,,"Single study, normal 95% CI; not pooled",,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
QOR15_SHAM_24H,"QoR-15: TEAS versus sham, ~24 h",,ADDITIONAL,MD,QoR-15 points,4,327,Hou 2023;Wu 2025;Xing 2022;Zhou 2025,7.4850233974090985,2.5742950802731315,-0.7075324695161553,15.677579264334351,0.06211745082763947,20.986099085489172,80.07879650458703,15.82302466037875,0.9736873073154045,REML + safeguarded Hartung-Knapp,,,"Positive MD favors TEAS. Endpoint scores; no median conversions. N is result-specific reported analysis N, not necessarily complete observed follow-up."
QOR15_SHAM_24H_WITHOUT_HOU_2023,"QoR-15: TEAS versus sham, ~24 h; omit Hou 2023",QOR15_SHAM_24H,SENSITIVITY,MD,QoR-15 points,3,255,Wu 2025;Xing 2022;Zhou 2025,8.187380957528802,3.5092724788258742,-6.911799852926006,23.28656176798361,0.14483974841228264,30.879715273811584,84.25844872525548,14.01614915741453,0.9744341205011476,REML + safeguarded Hartung-Knapp,,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
QOR15_SHAM_24H_WITHOUT_WU_2025,"QoR-15: TEAS versus sham, ~24 h; omit Wu 2025",QOR15_SHAM_24H,SENSITIVITY,MD,QoR-15 points,3,227,Hou 2023;Xing 2022;Zhou 2025,4.908483981755616,1.3268966373852995,-0.800691457185625,10.617659420696857,0.06593178403246744,0.0,0.0,0.12013769243944859,0.060068846219724296,REML + safeguarded Hartung-Knapp,,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
QOR15_SHAM_24H_WITHOUT_XING_2022,"QoR-15: TEAS versus sham, ~24 h; omit Xing 2022",QOR15_SHAM_24H,SENSITIVITY,MD,QoR-15 points,3,269,Hou 2023;Wu 2025;Zhou 2025,8.210972784796011,3.3442652741775407,-6.178239326150317,22.600184895742338,0.13346770846596556,29.026944730927323,86.79685566576269,14.879123434461244,1.0031867078751502,REML + safeguarded Hartung-Knapp,,,Leave-one-out diagnostic; not a new independent evidence body or certainty rating.
