model_id,study,trial_id,result_id,factor,n_i,mean_i,sd_i,n_c,mean_c,sd_c,yi,vi
E2_opioid24_TEAS_sham,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_opioid24_TEAS_sham,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_opioid24_TEAS_sham,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_opioid24_TEAS_sham,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_opioid24_TEAS_sham,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_opioid24_TEAS_sham,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_opioid24_TEAS_sham,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_suf0.25,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_suf0.25,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_suf0.25,Chen 2020,Chen_2020,V33-OD-0014,0.25,40.0,18.1075,1.195,40.0,25.155,2.55,-7.047499999999999,0.19826312499999998
E2_TEAS_sham_suf0.25,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_suf0.25,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_suf0.25,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.25,45,12.6325,1.115,48,13.4475,1.285,-0.8149999999999995,0.062027743055555556
E2_TEAS_sham_suf0.25,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.25,58,13.9275,1.9825,59,14.71,1.8525,-0.7825000000000006,0.1259292610315605
E2_TEAS_sham_suf1.0,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_suf1.0,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_suf1.0,Chen 2020,Chen_2020,V33-OD-0014,1.0,40.0,72.43,4.78,40.0,100.62,10.2,-28.189999999999998,3.1722099999999998
