analysis,body,opioid_model_id,study,trial_id,opioid_result_id,opioid_n_i,opioid_n_c,opioid_md,opioid_ci_low,opioid_ci_high,pain_result_id,pain_outcome,pain_window,pain_unit,pain_n_i,pain_n_c,pain_md,pain_ci_low,pain_ci_high,pain_decision,arm_match,pairing_status,reason
E1,TEAS vs sham,opioid24_TEAS_sham,Szmit 2021,Szmit_2021,V33-OD-0350,24.0,24.0,-7.699999999999999,-10.622954073275604,-4.777045926724394,V33-OD-0354,VAS pain at discharge,At discharge; exact postoperative clock time not reported,VAS 0–10,24.0,24.0,-1.5999999999999999,-2.321247217419702,-0.878752782580298,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction.
E1,TEAS vs usual care,opioid24_TEAS_usual,Szmit 2021,Szmit_2021,V33-OD-0351,24.0,23.0,-8.0,-10.919946920043666,-5.080053079956334,V33-OD-0355,VAS pain at discharge,At discharge; exact postoperative clock time not reported,VAS 0–10,24.0,23.0,-1.8,-2.465074805974669,-1.1349251940253309,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction.
E1,EA vs usual care,opioid24_EA_usual,El-Rakshy 2009,El_Rakshy_2009,V33-OD-0252,42.0,53.0,-1.6000000000000014,-8.888192228344895,5.688192228344892,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E1,EA vs usual care,opioid24_EA_usual,Seevaunnamtum 2016,Seevaunnamtum_2016,V33-OD-0003,32.0,32.0,-12.559999999999999,-21.162391670246286,-3.9576083297537092,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Szmit 2021,Szmit_2021,V33-OD-0350,24.0,24.0,-7.699999999999999,-10.622954073275604,-4.777045926724394,V33-OD-0354,VAS pain at discharge,At discharge; exact postoperative clock time not reported,VAS 0–10,24.0,24.0,-1.5999999999999999,-2.321247217419702,-0.878752782580298,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Chen 1998,Chen_1998,V33-OD-0013,25.0,25.0,-21.0,-32.9622046910616,-9.0377953089384,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Chen 2020,Chen_2020,V33-OD-0014,40.0,40.0,-14.094999999999999,-15.840416432086773,-12.349583567913225,V33-OD-0015,VAS pain intensity,24 h postoperatively,VAS 0-10,40.0,40.0,-3.0599999999999996,-3.2442783111897215,-2.8757216888102777,SENSITIVITY,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,SENSITIVITY: Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,80.0,79.0,-0.6000000000000014,-1.7334865266296664,0.5334865266296636,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,22.0,12.0,-3.9009090909090958,-8.926531590365482,1.12471340854729,V33-OD-0187,VAS pain intensity,24 h,VAS 0-10,10.0,12.0,-1.33,-2.2765699446958125,-0.3834300553041876,SENSITIVITY,ONE OF COMBINED ARMS,NOT USABLE FOR REGISTERED CRITERION,SENSITIVITY: Available low-frequency arm only; not admitted as a complete multiarm evidence body.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,45,48,-1.629999999999999,-2.606272545324331,-0.6537274546756666,V33-OD-0041,Moderate-to-severe visceral pain,POD1,participants,45.0,48.0,,,,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction. (not a continuous score)
