study_id,canonical_name,author,year,modality,comparator,comparator_type,stratum,native_drug,native_unit,mme_factor,arm1_n,arm1_mean_mme,arm1_sd_mme,arm2_n,arm2_mean_mme,arm2_sd_mme,md_mme,se_mme,ci_low_mme,ci_upp_mme,arm1_mean_native,arm1_sd_native,arm2_mean_native,arm2_sd_native,md_native,se_native,hedges_g,hedges_se,rob2_overall,is_high_rob,opioid_status
1879897506,Chen 1998,Chen L,1998,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV hydromorphone,mg,5.0,25,32.5,17.5,25,53.5,25.0,-21.0,6.103,-32.962,-9.038,6.5,3.5,10.7,5.0,-4.2,1.221,-0.9579,0.2986,Some concerns,0,Primary Direct
1879897344,El-Rakshy 2009,El-Rakshy,2009,EA,Control,No Stimulation / Control,EA vs Control,IV morphine,mg,1.0,42,35.3,18.0,53,36.9,18.0,-1.6,3.719,-8.889,5.689,35.3,18.0,36.9,18.0,-1.6,3.719,-0.0882,0.2067,High,1,Primary Direct
1879896891,Seevaunnamtum 2016,Seevaunnamtum,2016,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV morphine,mg,1.0,32,21.38,14.38,32,33.94,20.24,-12.56,4.389,-21.162,-3.958,21.38,14.38,33.94,20.24,-12.56,4.389,-0.7067,0.2577,Some concerns,0,Primary Direct
1879896688,Chen 2020,Chen J,2020,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV sufentanil,µg,0.1,40,7.243,0.478,40,10.062,1.02,-2.819,0.178,-3.168,-2.47,72.43,4.78,100.62,10.2,-28.19,1.781,-3.505,0.3561,Some concerns,0,Primary Direct
1879896323,Yang 2024,Yang,2024,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV sufentanil,µg,0.1,90,43.7,4.7,90,44.0,4.9,-0.3,0.716,-1.703,1.103,43.7,4.7,44.0,4.9,-0.3,0.716,-0.0622,0.1491,Some concerns,0,Primary Direct
1879895909,He 2026 (hepatectomy/JIS),He,2026,TEAS,Sham,Sham-Controlled,TEAS vs Sham,MME,mg MME,1.0,80,20.0,2.5,79,20.6,4.5,-0.6,0.578,-1.733,0.533,20.0,2.5,20.6,4.5,-0.6,0.578,-0.1643,0.1589,Some concerns,0,Primary Direct
1879897479,Sim 2002,Sim,2002,EA,Sham,Sham-Controlled,EA vs Sham,IV morphine,mg/kg,1.0,30,31.2,12.67,30,40.12,23.49,-8.92,4.87,-18.47,0.63,0.52,0.19,0.68,0.38,-0.16,0.078,-0.4665,0.2617,Some concerns,0,Derived Conditional
1879897266,Coura 2011,Coura,2011,EA,Sham,Sham-Controlled,EA vs Sham,IV fentanyl,µg/kg,0.1,13,91.7,15.4,9,114.1,11.2,-22.4,5.67,-33.52,-11.28,13.1,2.2,16.3,1.6,-3.2,0.81,-1.5533,0.4928,Some concerns,0,Derived Conditional
1879897029,Chen 2015 (Hyperalgesia),Chen Y,2015,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV sufentanil bolus,bolus (0.05 µg/kg),0.1,29,0.866,0.454,30,1.988,0.524,-1.122,0.128,-1.372,-0.872,8.655,4.544,19.88,5.235,-11.225,1.275,-2.2556,0.3331,Some concerns,0,Derived Conditional
1879897004,Chen 2015 (Thyroidectomy),Chen Y,2015,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV morphine bolus,bolus (2 mg),1.0,41,3.333,2.965,42,8.333,7.413,-5.0,1.234,-7.419,-2.581,3.333,2.965,8.333,7.413,-5.0,1.234,-0.8735,0.2298,Some concerns,0,Derived Conditional
1879896013,Zhang 2025,Zhang,2025,TEAS,Sham,Sham-Controlled,TEAS vs Sham,IV sufentanil,µg,0.1,45,5.053,0.446,48,5.379,0.514,-0.326,0.1,-0.521,-0.131,50.53,4.46,53.79,5.14,-3.26,0.996,-0.6703,0.2132,Low,0,Derived Conditional
