study_id,canonical_name,outcome_domain,modality,comparator,arm1_events,arm1_n,arm2_events,arm2_n,effect,se,rob2_overall,arm1_mean,arm1_sd,arm2_mean,arm2_sd
1879896528,Zhu 2022,PONV,EA,Usual Care,9.0,100,22.0,101,0.413,0.37,Some concerns,,,,
1879896105,Zhou 2025,PONV,EA,Usual Care,10.0,48,19.0,49,0.537,0.334,High,,,,
1879896105,Zhou 2025,Flatus_Time,EA,Usual Care,,48,,49,-1.78,0.71,High,14.1,3.19,15.88,3.78
1879896611,Zhou 2021,Pain_24h,TEAS,Usual Care,,41,,40,-0.55,0.074,High,2.55,0.21,3.1,0.42
1879896014,Zheng 2025,PONV,TEAS,Sham,18.0,42,29.0,43,0.635,0.207,Some concerns,,,,
1879897091,Zhang 2014,PONV,TEAS,Sham,4.0,33,11.0,32,0.353,0.529,Some concerns,,,,
1879896661,Yang 2020,Flatus_Time,EA,Usual Care,,29,,28,-3.3,1.45,Some concerns,20.8,4.6,24.1,6.2
1879896323,Yang 2024,PONV,EA,Usual Care,12.0,90,25.0,90,0.48,0.318,Some concerns,,,,
1879896323,Yang 2024,Flatus_Time,EA,Usual Care,,90,,90,-1.6,0.516,Some concerns,15.4,3.2,17.0,3.7
1879896608,Xiong 2021,PONV,TEAS,Sham,5.0,31,15.0,31,0.333,0.45,Some concerns,,,,
1879896460,Xing 2022,Pain_24h,TEAS,Sham,,29,,29,-0.22,0.124,Some concerns,1.18,0.42,1.4,0.52
1879896460,Xing 2022,PONV,TEAS,Sham,5.0,29,11.0,29,0.455,0.471,Some concerns,,,,
1879896460,Xing 2022,Flatus_Time,TEAS,Sham,,29,,29,-4.26,1.727,Some concerns,32.57,6.94,36.83,6.19
1879896450,Wu 2022,Pain_24h,TEAS,Sham,,44,,40,-0.48,0.177,High,1.77,0.91,2.25,0.71
1879896116,Wu 2025,Pain_24h,TEAS,Sham,,50,,50,-2.3,0.235,High,1.7,0.9,4.0,1.4
1879896394,Wang 2023,Flatus_Time,TEAS,Sham,,40,,43,-6.13,3.923,High,54.57,16.62,60.7,19.1
1879896259,Wang 2024,PONV,TEAS,Sham,5.0,35,10.0,35,0.5,0.493,High,,,,
1879897195,Ng 2013,Pain_24h,EA,Sham,,55,,55,-0.2,0.372,Some concerns,5.6,2.0,5.8,1.9
1879897195,Ng 2013,Flatus_Time,EA,Sham,,55,,55,-0.3,0.192,Some concerns,2.0,0.9,2.3,1.1
1879895855,Ma 2026,PONV,TEAS,Sham,6.0,17,7.0,16,0.807,0.434,High,,,,
1879896580,Lu 2021,PONV,TEAS,Sham,59.0,198,68.0,188,0.824,0.146,High,,,,
1879896426,Lu 2022,Flatus_Time,TEAS,Sham,,47,,47,-7.9,4.134,High,34.5,16.7,42.4,22.9
1879895932,Luo 2026,Pain_24h,TEAS,Sham,,138,,139,-0.35,0.112,Some concerns,1.3,0.92,1.65,0.95
1879895932,Luo 2026,PONV,TEAS,Sham,112.0,138,83.0,139,1.359,0.081,Some concerns,,,,
1879896090,Long 2025,Pain_24h,TEAS,Sham,,27,,26,-1.18,0.265,High,2.78,0.97,3.96,0.96
1879896090,Long 2025,PONV,TEAS,Sham,1.0,27,8.0,26,0.12,1.024,High,,,,
1879896009,Liu 2026 (ESD),Pain_24h,TEAS,Sham,,58,,62,-1.6,0.296,High,1.2,1.3,2.8,1.9
1879896009,Liu 2026 (ESD),PONV,TEAS,Sham,4.0,58,14.0,62,0.305,0.537,High,,,,
1879896597,Liu 2021,Pain_24h,TEAS,Usual Care,,50,,50,0.04,0.126,Some concerns,3.2,0.571,3.16,0.681
1879895960,Liu 2026 (burn),PONV,TEAS,Sham,7.0,43,16.0,43,0.438,0.399,Some concerns,,,,
1879897255,Lee 2011,Pain_24h,TEAS,Sham,,10,,12,-1.33,0.483,Some concerns,1.21,1.31,2.54,0.86
1879895860,Jiang 2026,PONV,TEAS,Sham,44.0,294,67.0,293,0.654,0.176,Some concerns,,,,
1879896131,Huang 2025,Flatus_Time,EA,Sham,,43,,45,-5.8,1.759,High,36.4,8.0,42.2,8.5
1879896311,Huang 2024,Pain_24h,EA,Sham,,38,,38,-3.21,2.369,Some concerns,53.5,10.79,56.71,9.84
1879896391,Hou 2023,PONV,TEAS,Sham,4.0,36,12.0,36,0.333,0.527,Some concerns,,,,
1879895909,He 2026 (hepatectomy/JIS),PONV,TEAS,Sham,19.0,80,21.0,79,0.893,0.274,Some concerns,,,,
1879895945,He 2026 (breast/WJCO),Pain_24h,EA,Sham,,65,,65,-0.903,0.031,Some concerns,1.789,0.174,2.692,0.174
1881841223,Gu 2019,Pain_24h,TEAS,Sham,,58,,59,-0.74,0.108,Some concerns,1.98,0.39,2.72,0.73
1881841223,Gu 2019,Flatus_Time,TEAS,Sham,,58,,59,-6.98,1.883,Some concerns,36.58,10.75,43.56,9.57
1879896559,Gao 2021,Flatus_Time,TEAS,Sham,,303,,307,-12.9,2.73,Some concerns,63.4,29.0,76.3,37.9
1879896688,Chen 2020,Pain_24h,TEAS,Sham,,40,,40,-3.06,0.094,Some concerns,2.91,0.2,5.97,0.56
1879896620,Ao 2021,Pain_24h,TEAS,Sham,,32,,33,-0.44,0.127,Some concerns,2.51,0.49,2.95,0.53
1879897004,Chen 2015,PONV,TEAS,Sham,10.0,41,26.0,42,0.394,0.3,High,,,,
1879897029,Chen 2015 (Hyperalgesia),PONV,TEAS,Sham,5.0,29,13.0,30,0.398,0.457,Some concerns,,,,
