trial_id,report_id,year,country,surgery,modality,comparator,randomized_n_report,randomized_n_counted,analyzed_n,age_i_c,sex_i_c,bmi_i_c,asa_i_c,anesthesia,rob2,language,source_pdf,source_sha256,source_text,n_source_page,n_source_excerpt,decision,notes
Zhou_2025,Zhou 2025,2025,NOT VERIFIED,NOT VERIFIED,TEAS,See source-defined result contrast,100,100,48 vs 49,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED in registry; see source methods,High,English full text,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,5,"ly, 127 patients were assessed for study eligibility. Out of these, 18 patients did not meet the inclusion criteria and 9 declined participation. Consequently, 100 patients were successfully enrolled and subsequently randomized into two distinct groups: the TEAS group (n=50) and the Sham group (n=50). Each participant received the intervention assigned to their respective group. During the postoperative assessment period, two patients from the TEAS group and ",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
An_2014,An 2014,2014,China,Adults undergoing supratentorial tumor resection / supratentorial craniotomy under general anesthesia,EA,Usual Care (Open-Label Control),88,88,41 vs 40,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,General anesthesia,High,English full text,TEAS EA Verification/Source PDFs/covidence_698_full_article.pdf,56f30fc7755720d3fe7611252f8c3700faa6c6ab57cddc112fef729cc913c645,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/An_2014.txt,2,"hods Patients Following approval from the Human Research Committee of Beijing Tiantan Hospital, Capital Medical University and the receipt of informed consent, 88 ASA I–II adult patients aged 18–60 years who were undergoing supratentorial tumor resections under general 1100 L.-X. AN et al. Am. J. Chin. Med. 2014.42:1099-1109. Downloaded from www.worldscientific.com by LUND UNIVERSITY on 08/09/26. Re-use and distribution is strictly not permitted, except for ",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
Ao_2021,Ao 2021,2021,China,Elective radical mastectomy for breast cancer,TEAS,Sham-Controlled (Placebo Double-Blind),70,70,32 vs 33,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,General anesthesia,Some concerns,English full text,TEAS EA Verification/Source PDFs/download.pdf,023be0cdbc3241bf59fa7725d3149866a3e4066f696415c969ee99adfce8cfda,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ao_2021.txt,2,"C‑reactive protein or leukocytosis (>10,000/ml) prior to surgery; and vi) puncture site infection or systemic infection. Randomization and blinding. A total of 70 patients were enrolled and randomly allocated to the TEAS group or the sham TEAS group using sequentially‑numbered sealed envelopes and a random number generator. The allocation ratio between the two groups was 1:1. The envelopes were prepared and distributed by an assistant who was not involved in",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
Chen_1998,Chen 1998,1998,USA,Elective total abdominal hysterectomy or myomectomy,TEAS,Sham-Controlled (Placebo Double-Blind),100,100,25 vs 25,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,General anaesthesia,Some concerns,English full text,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_1998.txt,2,"and the recovery profiles in the early postoperative period were compared with a sham (control) treatment. Methods After we obtained written, informed consent, 100 ASA physical status I or II female patients scheduled for elective abdominal hysterectomy or myomectomy procedures were enrolled in this study. The study protocol was approved by the institutional review board at Cedars Sinai Medical Center. The patients were randomly assigned to one of four treatm",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
Chen_2015,Chen 2015,2015,China,Elective thyroidectomy,TEAS,Sham-Controlled (Placebo Double-Blind),84,84,41 vs 42,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED in registry; see source methods,High,English full text,037_chen_2015_thyroidectomy_lund.pdf,60361dc28f099a330d13fe98c9e96d8f94334920f0eaffd65c450ffd6dc87bfc,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015.txt,3,"1 patients for eligibility to participate in this study. Of these, 3 patients did not meet the inclusion criteria, 4 declined to participate, and the remaining 84 patients enrolled to the study. One patient from the TEAS group was later Figure 2. Consolidated Standards of Reporting Trials (CONSORT) flow diagram TEAS, transcutaneous electric acu- point stimulation. ",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
Chen_2015_Hyperalgesia,Chen 2015 (Hyperalgesia),2015,China,Elective thyroidectomy,TEAS,Sham-Controlled (Placebo Double-Blind),60,60,29 vs 30,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED in registry; see source methods,Some concerns,English full text,040_chen_2015_hyperalgesia_lund.pdf,88719bd172fa29650c9503944c2e6f7cf083d1dac34c978d8f0d2ddf12b7d2ba,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015_Hyperalgesia.txt,4,"alyzed with the inde­ ticipate in this study (Figure 2). Of these, 7 patients did not meet the inclusion criteria, 6 declined to participate, and the remaining 60 patients enrolled to the study. One patient from the TEAS group was later excluded because of protocol breach. A total of 59 patients random­ ized to treatment allocation completed the study and their data were included in the analy­ sis. Patients demographic characteristics, durations of procedure",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
Chen_2020,Chen 2020,2020,China,Video-assisted thoracoscopic surgery (VATS) pulmonary resection,TEAS,Sham-Controlled (Placebo Double-Blind),80,80,40 vs 40,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,General anaesthesia,Some concerns,English full text,TEAS EA Verification/Source PDFs/Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,debc925a549725290efc12e4fde6fbbb63880cb0bbd6425faac2e22b1e5c3663,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2020.txt,4,ered to ana- lyze the primary endpoint (difference in the intensity of Figure 1 Study ﬂow chart. Table 1 Characteristics of patients enrolled in the study (n = 80) Characteristics TEAS group (n = 40) Sham-TEAS group (n = 40) P- value Age (years) 56.0  3.7 55.8  3.2 0.85 Gender (female/male) 17/23 18/22 0.82 BMI (kg/m2) 23.5  0.9 23.4  1.0 0.71 Histology type (ADC/SQCC) 23/17 25/15 0.65 Type of procedure (single/bilobectomy) 19/1 19/1 1.00 Duration of sur,RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
Coura_2011,Coura 2011,2011,Brazil,Adults undergoing elective conventional cardiac surgery,EA,Sham-Controlled (Placebo Double-Blind),32,32,13 vs 9,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,"General anesthesia implied by conventional cardiac surgery, but the anesthetic procedure was not standardized",High,English full text,TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,4e6e6512dd139c7b914b56c3b22b6c05eb6c884675c03db02a924eec5a6f7be6,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Coura_2011.txt,3, Original paper Randomised-32 Excluded-10 lnstability(4) Late extubation(3) Preoperative heat attack(i) Analgesia by epidural catheter(i) Mental confusion(i) Included - 22 Control-9 Treatment-13 Figure 1 Flow of participants through the study. Q. ñ e Extuti 2 6 8 10 12 14 16 18 20 22 Unw (hours altar extubation) Figure 2 Pain s,RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
El_Rakshy_2009,El-Rakshy 2009,2009,UK,Elective abdominal hysterectomy or laparoscopic cholecystectomy,EA,Usual Care (Open-Label Control),107,107,42 EA vs 53 control for this outcome,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,General anaesthesia,High,English full text,TEAS EA Verification/Source PDFs/covidence_868_full_article.pdf,afb7b0095736da9d64b2c771296a6b74cb30c9287b7aa3e2644a14b5e0307529,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/El_Rakshy_2009.txt,3,"into SPSS V.15.0 and Mann–Whitney U tests for non-parametric data were con- ducted to compare all outcomes. RESULTS The trial was conducted in 1999. A total of 107 patients were included (see fig 1). Five patients were withdrawn: two patients in the PCA + acupuncture group scheduled for laparoscopic cholecystectomy withdrew their consent because they did not want to have acupuncture. Three patients, all in the PCA alone group (one with abdominal hysterectomy,",RESOLVED — SOURCE DETERMINATIVE,"107 randomized in flow; allocation labels conflict across flow, baseline and abstract. Outcome Table 2: EA42/control53, not trial total."
Gao_2021,Gao 2021,2021,China,Patients undergoing colorectal cancer surgery,TEAS,Sham-Controlled (Placebo Double-Blind),610,610,303 vs 307,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,General anesthesia required,Some concerns,English full text,TEAS EA Verification/Source PDFs/covidence_400_full_article.pdf,9dccc7912cf6c84c466abdf8e09b879b53113bafa6d3d72306ad087bdc48e18a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2021.txt,3,"ntraoperative enterostomy, 18 patients whose surgeries were canceled, 4 patients who withdrew from the study, and 13 pa- tients with other reasons). A total of 610 patients were enrolled and randomly divided into 2 groups: 307 patients allocated to the sham group and 303 patients to the TEAS group. All 610 patients were included in the intention-to-treat analysis (Fig 1). No TEAS- related adverse events (eg, skin allergy) occurred in the study. Patients had g",RESOLVED — SOURCE DETERMINATIVE,Randomized trial total; analyzed populations remain outcome-specific.
