change_id,study,source_audit_batch,change_type,sheet,old_value_or_status,new_value_or_status,outcome_family,outcome_result,timepoint,intervention,comparator,source_pdf,drive_link,page,table_or_figure,reason,analysis_impact,primary_model_impact,rob2_action,resolved_or_hold
V34-00001,,,UPDATED_EXISTING,Outcome_Data,"{""excel_row"":1,""cells"":{""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""50"":null,""51"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":1,""cells"":{""39"":""V34 record ID"",""40"":""V34 audit row"",""41"":""V34 disposition"",""42"":""Raw statistic intervention"",""43"":""Raw dispersion intervention"",""44"":""Raw statistic comparator"",""45"":""Raw dispersion comparator"",""46"":""Minimum intervention"",""47"":""Maximum intervention"",""48"":""Minimum comparator"",""49"":""Maximum comparator"",""50"":""IQR width intervention"",""51"":""IQR width comparator"",""52"":""Analysis population"",""53"":""V34 source filename"",""54"":""V34 source quote"",""55"":""V34 eligibility"",""56"":""V34 eligibility reason"",""57"":""V34 RoB2 status"",""58"":""V34 endpoint class"",""59"":""V34 modality"",""60"":""V34 comparator class"",""61"":""V34 time class""}}",,,,,,,,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-00002,Yang 2020,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":2,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":2,""cells"":{""39"":""V33-OD-0002"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""58"":""GI — first flatus"",""59"":""EA"",""60"":""Usual care"",""61"":""from surgery to first flatus""}}",GI recovery,Time to first postoperative flatus,From surgery to first flatus,EA + usual care,Usual care,covidence_464_verified.pdf,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,GI recovery results/table,GI recovery results/table,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00003,Seevaunnamtum 2016,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":3,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":3,""cells"":{""39"":""V33-OD-0003"",""55"":""INCLUDE"",""56"":""Locked strict primary result; prespecified source adjudication and conversions retained."",""57"":""EXISTING_LOCKED_PRIMARY: Some concerns"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""EA"",""60"":""Usual care"",""61"":""cumulative 0–24 h (locked primary source adjudication)""}}",Opioid consumption,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Intraoperative EA,Standard care,,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk,Table 2 / 24-h PCA morphine,Table 2 / 24-h PCA morphine,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.",Locked strict primary result; prespecified source adjudication and conversions retained.,None — strict primary k=7 and numerical results unchanged,EXISTING_LOCKED_PRIMARY: Some concerns,INCLUDE
V34-00004,Lin 2002,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":4,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":4,""cells"":{""39"":""V33-OD-0004"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""EA"",""60"":""CONTROL_TYPE_REVIEW_REQUIRED"",""61"":""postoperative hour 1 through next 23h (published as 24-h test-period value)""}}",Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),100-Hz EA,Untreated control,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,Table 2,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00005,Lin 2002,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":5,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":5,""cells"":{""39"":""V33-OD-0005"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""EA"",""60"":""CONTROL_TYPE_REVIEW_REQUIRED"",""61"":""postoperative hour 1 through next 23h (published as 24-h test-period value)""}}",Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),2-Hz EA,Untreated control,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,Table 2,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00006,Lin 2002,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":6,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":6,""cells"":{""39"":""V33-OD-0006"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""EA"",""60"":""Sham"",""61"":""postoperative hour 1 through next 23h (published as 24-h test-period value)""}}",Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),100-Hz EA,Sham EA,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,Table 2,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00007,Lin 2002,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":7,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":7,""cells"":{""39"":""V33-OD-0007"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""EA"",""60"":""Sham"",""61"":""postoperative hour 1 through next 23h (published as 24-h test-period value)""}}",Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),2-Hz EA,Sham EA,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,Table 2,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00008,Yao 2015,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":8,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":8,""cells"":{""39"":""V33-OD-0008"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: High"",""58"":""QoR-40"",""59"":""TEAS"",""60"":""Sham"",""61"":""24 h point""}}",Quality of recovery,Global QoR-40,24 h postoperatively,Preoperative TEAS,Control/no current,,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,24-h QoR-40 result,24-h QoR-40 result,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: High,INCLUDE
V34-00009,Yu 2020,4,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":9,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":9,""cells"":{""39"":""V33-OD-0009"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: High"",""58"":""QoR-40"",""59"":""TEAS"",""60"":""Sham"",""61"":""postoperative day 1 (~24h)""}}",Quality of recovery,Global QoR-40,Postoperative day 1 (~24 h),Preoperative TEAS,Control/no current,s13063-019-3892-4.pdf,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,POD1 QoR-40 result,POD1 QoR-40 result,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: High,INCLUDE
V34-00010,Pan 2023,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":10,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":10,""cells"":{""39"":""V33-OD-0010"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""EXISTING_RESULT_SPECIFIC: High"",""58"":""GI — first flatus"",""59"":""TEAS"",""60"":""Usual care"",""61"":""postoperative recovery endpoint""}}",GI recovery,Time to first postoperative flatus,Postoperative recovery endpoint,TEAS,Control/usual care,getfile.php-4.pdf,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,Postoperative recovery table,Postoperative recovery table,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.",Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: High,NARRATIVE ONLY
