batch,batch_row,study,outcome_family,outcome_result,timepoint_window,intervention_arm,comparator_arm,randomized_n_int,randomized_n_comp,analyzed_n_int,analyzed_n_comp,statistic_type,value_int,dispersion_int,value_comp,dispersion_comp,events_int,events_comp,unit_scale,reported_p,effect_estimate_as_printed,analysis_population,page,table_or_figure,verbatim_quote,ambiguity_notes,v34_audit_row,v34_disposition,v34_v34_record_id,v34_v33_excel_row,v34_outcome,v34_window
1,1,Zhu 2022,Pain,Pain on movement (NRS),6–24 h,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,1.15,1.02,1.44,1.3,NOT REPORTED,NOT REPORTED,NRS 0-10,0.179,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 6–24 h (mean±SD): Pre 1.15±1.02; 30 1.12±1.03; Comb 1.17±1.17; Usual 1.44±1.3; p=0.179,"Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods call the primary pain outcome 'pain on movement at 24h', while Table 3 labels the row 'Pain at 6–24 h'.",2,ADDED,AUDIT-0002,,Pain on movement (NRS),6–24 h
1,2,Zhu 2022,Pain,Pain on movement (NRS),6–24 h,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,1.12,1.03,1.44,1.3,NOT REPORTED,NOT REPORTED,NRS 0-10,0.179,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 6–24 h (mean±SD): Pre 1.15±1.02; 30 1.12±1.03; Comb 1.17±1.17; Usual 1.44±1.3; p=0.179,"Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods call the primary pain outcome 'pain on movement at 24h', while Table 3 labels the row 'Pain at 6–24 h'.",3,ADDED,AUDIT-0003,,Pain on movement (NRS),6–24 h
1,3,Zhu 2022,Pain,Pain on movement (NRS),6–24 h,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,1.17,1.17,1.44,1.3,NOT REPORTED,NOT REPORTED,NRS 0-10,0.179,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 6–24 h (mean±SD): Pre 1.15±1.02; 30 1.12±1.03; Comb 1.17±1.17; Usual 1.44±1.3; p=0.179,"Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods call the primary pain outcome 'pain on movement at 24h', while Table 3 labels the row 'Pain at 6–24 h'.",4,ADDED,AUDIT-0004,,Pain on movement (NRS),6–24 h
1,4,Zhu 2022,Pain,Pain on movement (NRS),0–6 h,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,1.89,1.47,2.45,1.6,NOT REPORTED,NOT REPORTED,NRS 0-10,0.024*,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 0–6 h (mean±SD): Pre 1.89±1.47; 30 2.01±1.25; Comb 1.97±1.25; Usual 2.45±1.6; p=0.024*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,5,ADDED,AUDIT-0005,,Pain on movement (NRS),0–6 h
1,5,Zhu 2022,Pain,Pain on movement (NRS),0–6 h,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,2.01,1.25,2.45,1.6,NOT REPORTED,NOT REPORTED,NRS 0-10,0.024*,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 0–6 h (mean±SD): Pre 1.89±1.47; 30 2.01±1.25; Comb 1.97±1.25; Usual 2.45±1.6; p=0.024*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,6,ADDED,AUDIT-0006,,Pain on movement (NRS),0–6 h
1,6,Zhu 2022,Pain,Pain on movement (NRS),0–6 h,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,1.97,1.25,2.45,1.6,NOT REPORTED,NOT REPORTED,NRS 0-10,0.024*,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 0–6 h (mean±SD): Pre 1.89±1.47; 30 2.01±1.25; Comb 1.97±1.25; Usual 2.45±1.6; p=0.024*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,7,ADDED,AUDIT-0007,,Pain on movement (NRS),0–6 h
1,7,Zhu 2022,Pain,Pain on movement (NRS),24–48 h,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,0.4,0.76,0.73,0.97,NOT REPORTED,NOT REPORTED,NRS 0-10,0.058,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 24–48 h (mean±SD): Pre 0.4±0.76; 30 0.54±0.86; Comb 0.5±0.96; Usual 0.73±0.97; p=0.058,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,8,ADDED,AUDIT-0008,,Pain on movement (NRS),24–48 h
1,8,Zhu 2022,Pain,Pain on movement (NRS),24–48 h,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,0.54,0.86,0.73,0.97,NOT REPORTED,NOT REPORTED,NRS 0-10,0.058,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 24–48 h (mean±SD): Pre 0.4±0.76; 30 0.54±0.86; Comb 0.5±0.96; Usual 0.73±0.97; p=0.058,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,9,ADDED,AUDIT-0009,,Pain on movement (NRS),24–48 h
1,9,Zhu 2022,Pain,Pain on movement (NRS),24–48 h,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,0.5,0.96,0.73,0.97,NOT REPORTED,NOT REPORTED,NRS 0-10,0.058,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 24–48 h (mean±SD): Pre 0.4±0.76; 30 0.54±0.86; Comb 0.5±0.96; Usual 0.73±0.97; p=0.058,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,10,ADDED,AUDIT-0010,,Pain on movement (NRS),24–48 h
1,10,Zhu 2022,Pain,Pain on movement (NRS),48–72 h,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,0.19,0.56,0.31,0.7,NOT REPORTED,NOT REPORTED,NRS 0-10,0.469,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 48–72 h (mean±SD): Pre 0.19±0.56; 30 0.23±0.59; Comb 0.19±0.56; Usual 0.31±0.7; p=0.469,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,11,ADDED,AUDIT-0011,,Pain on movement (NRS),48–72 h
