record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0042,ZHANG23_TEAS_vs_SHAM_VOID,Zhang 2023,Urinary recovery,Time to first spontaneous void,Postoperative,postoperative,Median/IQR,TEAS,Sham,TEAS,Sham/no current,hours,922,916,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,Table 2 / primary spontaneous-void outcome,,,,,,1,,
V33-OD-0043,ZHANG23_TEAS_vs_SHAM_DELAYED,Zhang 2023,Urinary recovery,Delayed urinary recovery (>12 h without spontaneous void),Postoperative,postoperative,Events/total,TEAS,Sham,TEAS,Sham/no current,participants,922,916,,,,,103,173,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,Table 2 / delayed urinary recovery,,-0.525091,0.115381,logRR,Uncorrected log risk ratio,1,,
V33-OD-0044,ZHANG23_TEAS_vs_SHAM_POUR,Zhang 2023,Urinary recovery,Postoperative urinary retention,Postoperative,postoperative,Events/total,TEAS,Sham,TEAS,Sham/no current,participants,922,916,,,,,75,104,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,Table 2 / POUR result,,-0.333432,0.144126,logRR,Uncorrected log risk ratio,1,,
V33-OD-0145,LONG25_TEAS_vs_CTRL_PND1,Long 2025,Neurocognitive,Perioperative neurocognitive disorder (PND),POD1,pod1,Published event count + percentage; denominator inconsistent,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,Active: 7 cases (25.0%); Control: 14 cases (56.0%),27,26,,,,,7,14,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,PND incidence table / POD1,,,,,,1,,
V33-OD-0146,LONG25_TEAS_vs_CTRL_PND3,Long 2025,Neurocognitive,Perioperative neurocognitive disorder (PND),POD3,pod3,Published event count + percentage; denominator inconsistent,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,Active: 4 cases (14.3%); Control: 12 cases (48.0%),27,26,,,,,4,12,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,PND incidence table / POD3,,,,,,1,,
V33-OD-0162,LIU21_TEAS_vs_CTRL_POCD1,Liu 2021,Neurocognitive,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,pod1,Events/total,TEAS,Sham,Perioperative TEAS,Electrodes/no current,participants,50,50,,,,,5,11,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,POCD incidence table / POD1,,-0.788457,0.500908,logRR,Uncorrected log risk ratio,1,,
V33-OD-0172,LIU25_EA_vs_CTRL_SVT24,Liu 2025,Cardiac rhythm,New-onset supraventricular tachycardia (SVT),First 24 h,first 24h,Events/total,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,participants,38,39,,,,,4,13,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Primary outcome / first-24-h SVT,,-1.15268,0.524372,logRR,Uncorrected log risk ratio,1,,
V33-OD-0179,LIANG21_TEAS_vs_CTRL_CRBD_END,Liang 2021,Catheter-related bladder discomfort,CRBD incidence,End of surgery,end of surgery,Events/total,TEAS,Sham,Preoperative TEAS,Control/no stimulation,participants,35,35,,,,,9,28,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,CRBD incidence table,,-1.13498,0.29947,logRR,Uncorrected log risk ratio,1,,
V33-OD-0180,LIANG21_TEAS_vs_CTRL_CRBD_PACU,Liang 2021,Catheter-related bladder discomfort,CRBD incidence,PACU discharge,pacu discharge,Events/total,TEAS,Sham,Preoperative TEAS,Control/no stimulation,participants,35,35,,,,,20,28,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,CRBD incidence table,,-0.336472,0.169031,logRR,Uncorrected log risk ratio,1,,
V33-OD-0181,LIANG21_TEAS_vs_CTRL_CRBD24,Liang 2021,Catheter-related bladder discomfort,CRBD incidence,24 h,24 h point,Events/total,TEAS,Sham,Preoperative TEAS,Control/no stimulation,participants,35,35,,,,,7,31,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,CRBD incidence table,,-1.488077,0.343471,logRR,Uncorrected log risk ratio,1,,
V33-OD-0182,LIANG21_TEAS_vs_CTRL_CRBD48,Liang 2021,Catheter-related bladder discomfort,CRBD incidence,48 h,48h,Events/total,TEAS,Sham,Preoperative TEAS,Control/no stimulation,participants,35,35,,,,,4,19,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,CRBD incidence table,,,,,,1,,
V33-OD-0229,GUO23_TEAS_vs_SHAM_POCD1,Guo 2023,Neurocognitive,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD1,pod1,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,55,55,,,,,11,36,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,Primary POCD result,,-1.185624,0.28692,logRR,Uncorrected log risk ratio,1,,
V33-OD-0230,GUO23_TEAS_vs_SHAM_POCD7,Guo 2023,Neurocognitive,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD7,pod7,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,55,55,,,,,4,24,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,Primary POCD result,,-1.791759,0.505275,logRR,Uncorrected log risk ratio,1,,
V33-OD-0231,GUO23_TEAS_vs_SHAM_POCD30,Guo 2023,Neurocognitive,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD30,pod30,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,55,55,,,,,2,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,Primary POCD result,,-2.397895,0.713506,logRR,Uncorrected log risk ratio,1,,
V33-OD-0332,SONG20_TEAS_vs_SHAM_DIZZY24,Song 2020,Other adverse events,Dizziness,0-24 h,0-24h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,participants with dizziness,42,43,,,,,3,12,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,Table 3,,-1.362764,0.607948,logRR,Uncorrected log risk ratio,1,,
V33-OD-0333,SONG20_TEAS_vs_SHAM_RESPDEP24,Song 2020,Other adverse events,Respiratory depression,0-24 h,0-24h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,participants with respiratory depression,42,43,,,,,0,0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,Table 3,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
V33-OD-0334,SONG20_TEAS_vs_SHAM_BRADY24,Song 2020,Other adverse events,Bradycardia,0-24 h,0-24h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,participants with bradycardia,42,43,,,,,2,4,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,Table 3,,-0.669617,0.838412,logRR,Uncorrected log risk ratio,1,,
AUDIT-0172,V34_B2_022,Huang 2025,Adverse events,Serious adverse events or fatalities,Study follow-up,study follow-up,Events/total,EA,Usual care,Postoperative EA + ERAS,ERAS/standard care,participants,43.0,45.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis,https://drive.google.com/file/d/1Pds-8nLj18yvRm3C7eQHq5fZ8rRhecQ0/view?usp=drivesdk,p. 2748; Results text,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0183,V34_B2_033,Jiang 2026,Adverse events,Any postoperative complication/adverse event,Study follow-up,study follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,294.0,293.0,,,,,8.0,7.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol for secondary outcomes,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,PDF p. 5; Table 5,,0.130124,0.510923,logRR,Uncorrected log risk ratio,1,,
AUDIT-0184,V34_B2_034,Jiang 2026,Adverse events,Severe adverse events,Study follow-up,study follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,294.0,293.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol for secondary outcomes,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,PDF p. 5; Table 5,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0185,V34_B2_035,Jiang 2026,Adverse events,Subcutaneous hematoma,Study follow-up,study follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,294.0,293.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol for secondary outcomes,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,PDF p. 5; Table 5,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0186,V34_B2_036,Jiang 2026,Adverse events,Rubefaction,Study follow-up,study follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,294.0,293.0,,,,,6.0,6.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol for secondary outcomes,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,PDF p. 5; Table 5,,-0.003407,0.571418,logRR,Uncorrected log risk ratio,1,,
AUDIT-0187,V34_B2_037,Jiang 2026,Adverse events,Hydroderma,Study follow-up,study follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,participants,294.0,293.0,,,,,2.0,1.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol for secondary outcomes,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,PDF p. 5; Table 5,,0.68974,1.22196,logRR,Uncorrected log risk ratio,1,,
AUDIT-0196,V34_B2_046,Wang 2023,Adverse events,Dizziness,Within 72 h after surgery,within 72h after surgery,Events/total,TEAS,Sham,Nighttime TEAS,Sham/no-current TEAS,participants,40.0,43.0,,,,,10.0,16.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis after protocol breaches,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,p. 715; Table 2,,-0.397683,0.338,logRR,Uncorrected log risk ratio,1,,
AUDIT-0198,V34_B2_048,Wang 2023,Adverse events,Postoperative pulmonary complications,Within 72 h after surgery,within 72h after surgery,Events/total,TEAS,Sham,Nighttime TEAS,Sham/no-current TEAS,participants,40.0,43.0,,,,,7.0,13.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis after protocol breaches,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,p. 715; Table 2,,-0.546719,0.414155,logRR,Uncorrected log risk ratio,1,,
AUDIT-0208,V34_B3_010,Tu 2024,Adverse events,TEAS-related adverse events,0–24 h testing period,0-24h testing period,Events/total,TEAS,Sham,Postoperative TEAS at bilateral P6,Sham TEAS / no current at bilateral P6,participants,57.0,58.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis (115 analyzed),https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk,PDF p. 4; Results §3.3,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0257,V34_B3_059,Sun 2017,Adverse events,TEAS-related side effects,0–48 h postoperative,0-48h postoperative,Events/total,TEAS,Sham,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),participants,91.0,90.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Clin J Pain 2017;33:344; Results text,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0258,V34_B3_060,Sun 2017,Adverse events,TEAS-related side effects,0–48 h postoperative,0-48h postoperative,Events/total,TEAS,Sham,Preoperative + intraoperative true TEAS (TTS),All-period sham TEAS (SSS),participants,91.0,90.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Clin J Pain 2017;33:344; Results text,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0259,V34_B3_061,Sun 2017,Adverse events,TEAS-related side effects,0–48 h postoperative,0-48h postoperative,Events/total,TEAS,Sham,Preoperative + postoperative true TEAS (TST),All-period sham TEAS (SSS),participants,89.0,90.0,,,,,0.0,0.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Clin J Pain 2017;33:344; Results text,,,,logRR,Double-zero: retained as safety evidence; no logRR estimated.,1,,
AUDIT-0310,V34_B3_112,Long 2025,Neurocognitive,Perioperative neurocognitive disorder (PND),POD7,pod7,Published event count + percentage; denominator inconsistent,EA,Sham,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),participants,,,,,,,1.0,2.0,HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Available-case analysis; source denominator inconsistencies noted,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,"Injury 56 (2025), Table 2; Table 2",,,,,,1,,
