record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0047,ZHANG14_TEAS_vs_SHAM_RR,Zhang 2014,Functional recovery — PACU,Recovery-room stay,Recovery-room discharge,recovery-room discharge,Mean/SD,TEAS,Sham,Preoperative TEAS,Sham/no current,minutes,33,32,35.6,12.9,48.3,16.3,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,Primary outcome / recovery-room stay,,-12.7,3.653155,MD,Native MD; no pooled interpretation without compatible model.,1,-0.85526,0.25919
V33-OD-0080,WANG23_TEAS_vs_SHAM_SLEEPD1,Wang 2023,Sleep quality,PSQI and AIS postoperative sleep quality,POD1,pod1,Graph-only continuous data,TEAS,Sham,Nighttime TEAS,Sham/no current,PSQI/AIS points,40,43,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,"Figure 3, p8",,,,,,1,,
V33-OD-0122,MA26_T_vs_S_AISPOD1,Ma 2026,Sleep quality,Athens Insomnia Scale,POD1,pod1,Graph-only continuous data,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",AIS points,17,16,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,Figure 4 / POD1 AIS,,,,,,1,,
V33-OD-0133,LU22_TEAS_vs_CTRL_DISCHARGE,Lu 2022,Recovery,Time to meet discharge criteria,Postoperative,postoperative,Mean/SD,TEAS,Sham,TEAS + ERAS,No-current control + ERAS,days,47,47,6,1.8,7,2.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,Primary outcome / time to discharge,,-1,0.437595,MD,Native MD; no pooled interpretation without compatible model.,1,-0.467551,0.209084
V33-OD-0173,LIU25_EA_vs_CTRL_TSTN1,Liu 2025,Sleep quality,Total sleep time measured by ambulatory sleep recorder,First postoperative night,first postoperative night,Median/IQR,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,minutes,38,39,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Objective sleep monitoring / first night,,,,,,1,,
V33-OD-0235,GRECH16_EA_vs_CTRL_PACU_MME_WOMEN,Grech 2016,Functional recovery — PACU,PACU analgesic requirement in women-only subgroup,PACU,pacu,Graph-only morphine-equivalent outcome,EA,Sham,Intraoperative low-frequency EA,Sham/control,mg morphine-equivalent,9,9,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk,Figure 1D / women-only PACU analgesic requirement,,,,,,1,,
V33-OD-0283,LIU15_TEAS_vs_SHAM_PROPINTRA,Liu 2015,Intraoperative anesthetic,Total intraoperative propofol consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,mg propofol,44,44,216.3,67.72,234.1,71.3,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 2 / intraoperative anesthetics consumption,,-17.8,14.824495,MD,Native MD; no pooled interpretation without compatible model.,1,-0.253754,0.214057
V33-OD-0284,LIU15_TEAS_vs_SHAM_RESP,Liu 2015,Recovery,Time to spontaneous respiration after anesthesia,Immediate postoperative recovery,immediate postoperative recovery,Mean/SD,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,minutes,44,44,16,9.99,23.4,14.13,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 2 / clinical recovery from anesthesia,,-7.4,2.608801,MD,Native MD; no pooled interpretation without compatible model.,1,-0.599466,0.217937
V33-OD-0285,LIU15_TEAS_vs_SHAM_EXTUB,Liu 2015,Recovery,Extubation time,Immediate postoperative recovery,immediate postoperative recovery,Mean/SD,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,minutes,44,44,26.6,14.17,33.7,17.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 2 / clinical recovery from anesthesia,,-7.1,3.382941,MD,Native MD; no pooled interpretation without compatible model.,1,-0.443545,0.215806
V33-OD-0286,LIU15_TEAS_vs_SHAM_EYEOPEN,Liu 2015,Recovery,Eye-opening time,Immediate postoperative recovery,immediate postoperative recovery,Mean/SD,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,minutes,44,44,22.2,12.04,28.2,17.74,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 2 / clinical recovery from anesthesia,,-6.0,3.232186,MD,Native MD; no pooled interpretation without compatible model.,1,-0.392309,0.215242
V33-OD-0287,LIU15_TEAS_vs_SHAM_MOVE,Liu 2015,Recovery,Time to spontaneous movement,Immediate postoperative recovery,immediate postoperative recovery,Mean/SD,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,minutes,44,44,27.5,13.79,34.3,22.59,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 2 / clinical recovery from anesthesia,,-6.8,3.989965,MD,Native MD; no pooled interpretation without compatible model.,1,-0.360175,0.214922
