record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0034,ZHENG25_TEAS_vs_SHAM_REMI,Zheng 2025,Intraoperative opioid,Total intraoperative remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham/no current,µg remifentanil,42,43,233.1,29.6,289.5,37.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,"Table 3, p9",intraop_remifentanil,-56.4,7.366535,MD,Native MD; no pooled interpretation without compatible model.,1,-1.641193,0.250818
V33-OD-0048,ZHANG14_TEAS_vs_SHAM_REMI,Zhang 2014,Intraoperative opioid,Remifentanil consumption rate,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Preoperative TEAS,Sham/no current,µg/kg/min,33,32,0.06,0.02,0.09,0.03,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,Table 2 / intraoperative remifentanil,,-0.03,0.006344,MD,Native MD; no pooled interpretation without compatible model.,1,-1.166198,0.268356
V33-OD-0061,XING22_NTG_vs_NG_REMI,Xing 2022,Intraoperative opioid,Total remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,TEAS + active TAPB,Sham TEAS + active TAPB,µg remifentanil,29,29,1182.61,253.61,1415.41,295.67,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,"Table 3, p10",intraop_remifentanil,-232.8,72.335135,MD,Native MD; no pooled interpretation without compatible model.,1,-0.833811,0.273786
V33-OD-0072,WU22_PTEAS_vs_CTRL_REMI,Wu 2022,Intraoperative opioid,Cumulative remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative pTEAS,No-current control,µg remifentanil,44,40,1383,494,1637,630,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,Table 2 / cumulative remifentanil,intraop_remifentanil,-254,124.373521,MD,Native MD; no pooled interpretation without compatible model.,1,-0.447177,0.221173
V33-OD-0073,WU22_PTEAS_vs_CTRL_REMIINDEX,Wu 2022,Intraoperative opioid,Remifentanil dose index,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative pTEAS,No-current control,µg/min/kg,44,40,0.084,0.018,0.114,0.09,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,Table 2 / remifentanil index,,-0.03,0.014487,MD,Native MD; no pooled interpretation without compatible model.,1,-0.468683,0.221438
V33-OD-0077,WU25_TEAS_vs_SHAM_INTRAOPSUF,Wu 2025,Intraoperative opioid,Sufentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,PACU TEAS,Sham/no current,µg sufentanil,50,50,24.2,9.5,24.3,10.9,,,EXCLUDE,Intraoperative dose precedes PACU randomization/intervention; baseline covariate.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,Table 1 / sufentanil,,,,,,1,,
V33-OD-0078,WU25_TEAS_vs_SHAM_INTRAOPREMI,Wu 2025,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,PACU TEAS,Sham/no current,µg remifentanil,50,50,489.4,226,533.8,263.6,,,EXCLUDE,Intraoperative dose precedes PACU randomization/intervention; baseline covariate.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,Table 1 / remifentanil,,,,,,1,,
V33-OD-0091,WANG24_SNVP_ODT_vs_OD_INTRAOPSUF,Wang 2024,Intraoperative opioid,Total sufentanil,Intraoperative,intraoperative,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,µg sufentanil,33,35,21.2,3.1,21.9,3.2,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 1 / SNVP sufentanil,intraop_sufentanil,-0.7,0.764057,MD,Native MD; no pooled interpretation without compatible model.,1,-0.219554,0.24337
V33-OD-0092,WANG24_MNVP_ODT_vs_OD_INTRAOPSUF,Wang 2024,Intraoperative opioid,Total sufentanil,Intraoperative,intraoperative,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,µg sufentanil,35,35,21,3.4,20.9,3.1,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 1 / MNVP sufentanil,intraop_sufentanil,0.1,0.777726,MD,Native MD; no pooled interpretation without compatible model.,1,0.030396,0.23906
V33-OD-0105,SUN17_INTRAOP_MORPH_EQUIV,Sun 2017,Intraoperative opioid,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,intraoperative,Study-defined converted metric,TEAS,Sham,Pre/intraoperative TEAS timing arms,All-period sham TEAS,mg/kg morphine-equivalent,91,90,,,,,,,EXCLUDE,Historical aggregate placeholder superseded by arm-specific rows; not an independent result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Table 2 / intraoperative anesthetic consumption,,,,,,1,,
V33-OD-0110,SIM02_PREOP_vs_PLACEBO_ALFENT,Sim 2002,Intraoperative opioid,Alfentanil requirement rate,Intraoperative,intraoperative,Mean/SD,EA,Sham,Preoperative EA,Placebo EA,µg/kg/min,30,30,0.44,0.15,0.51,0.21,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,Figure 2 / alfentanil requirement,,-0.07,0.047117,MD,Native MD; no pooled interpretation without compatible model.,1,-0.378616,0.260502
V33-OD-0112,NTRI14_EA_vs_SHAM_REMI,Ntritsou 2014,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Mean/SD,EA,Sham,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,µg remifentanil,35,35,1003.6,522.7,1041.9,631.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,Table 1 / remifentanil,intraop_remifentanil,-38.3,138.616934,MD,Native MD; no pooled interpretation without compatible model.,1,-0.065317,0.239109
V33-OD-0128,LU21_COMB_vs_SHAM_REMI,Lu 2021,Intraoperative opioid,Total remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Combined PC6+CV17 TEAS,Sham/no current,mg remifentanil,190,188,1.2,0.5,1.4,0.7,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,Table 3 / intraoperative remifentanil,intraop_remifentanil,-0.2,0.062627,MD,Native MD; no pooled interpretation without compatible model.,1,-0.328425,0.103561
V33-OD-0129,LU21_SINGLE_vs_SHAM_REMI,Lu 2021,Intraoperative opioid,Total remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Single PC6 TEAS,Sham/no current,mg remifentanil,198,188,1.3,0.6,1.4,0.7,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,Table 3 / intraoperative remifentanil,,-0.1,0.066517,MD,Native MD; no pooled interpretation without compatible model.,1,-0.153399,0.101981
V33-OD-0167,LIU26BURN_TEAS_vs_SHAM_REMI,Liu 2026 (burn),Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Median/IQR,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,mg remifentanil,43,43,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Results / Figure 4,,,,,,1,,
V33-OD-0196,JIANG26_TEAS_vs_SHAM_INTRAOP_REMI,Jiang 2026,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Median/IQR,TEAS,Sham,Perioperative TEAS,Sham/no current,µg remifentanil,294,293,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,Perioperative characteristics table,,,,,,1,,
V33-OD-0209,HUANG17_2100_vs_CTRL_REMI,Huang 2017,Intraoperative opioid,Total opioid as remifentanil-equivalent rate,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,2/100-Hz TEAS,Placebo TEAS/no current,µg/kg/min remifentanil-equivalent,20,20,0.1128,0.034,0.1617,0.037,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk,Table 2 / intraoperative anesthetic consumption,,-0.0489,0.011236,MD,Native MD; no pooled interpretation without compatible model.,1,-1.348894,0.350348
V33-OD-0210,HUANG17_2HZ_vs_CTRL_REMI,Huang 2017,Intraoperative opioid,Total opioid as remifentanil-equivalent rate,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,2-Hz TEAS,Placebo TEAS/no current,µg/kg/min remifentanil-equivalent,20,20,0.1718,0.066,0.1617,0.037,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk,Table 2 / intraoperative anesthetic consumption,,0.0101,0.016919,MD,Native MD; no pooled interpretation without compatible model.,1,0.185026,0.316904
V33-OD-0211,HUANG17_100HZ_vs_CTRL_REMI,Huang 2017,Intraoperative opioid,Total opioid as remifentanil-equivalent rate,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,100-Hz TEAS,Placebo TEAS/no current,µg/kg/min remifentanil-equivalent,20,20,0.1451,0.036,0.1617,0.037,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk,Table 2 / intraoperative anesthetic consumption,,-0.0166,0.011543,MD,Native MD; no pooled interpretation without compatible model.,1,-0.445717,0.32013
V33-OD-0232,GUO23_TEAS_vs_SHAM_REMI,Guo 2023,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,mg remifentanil,55,55,0.87,0.3,1.01,0.39,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,Perioperative anesthetic table,intraop_remifentanil,-0.14,0.066346,MD,Native MD; no pooled interpretation without compatible model.,1,-0.399588,0.192586
V33-OD-0279,GAO22_TEAS_vs_SHAM_SUFINTRA,Gao 2022,Intraoperative opioid,Intraoperative sufentanil dose,Intraoperative,intraoperative,Median/IQR,TEAS,Sham,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,µg sufentanil,827,828,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1_DV8ZFHIZwC_SnRMP3IokKfeEs6QzD0S/view?usp=drivesdk,Table 2 / intraoperative sufentanil,,,,,,1,,
V33-OD-0280,GAO22_TEAS_vs_SHAM_REMIINTRA,Gao 2022,Intraoperative opioid,Intraoperative remifentanil dose,Intraoperative,intraoperative,Median/IQR,TEAS,Sham,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,µg remifentanil,827,828,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1_DV8ZFHIZwC_SnRMP3IokKfeEs6QzD0S/view?usp=drivesdk,Table 2 / intraoperative remifentanil,,,,,,1,,
V33-OD-0282,LIU15_TEAS_vs_SHAM_SUFINTRA,Liu 2015,Intraoperative opioid,Total intraoperative sufentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,µg sufentanil,44,44,95.6,21.76,117.7,37.95,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 2 / intraoperative anesthetics consumption,intraop_sufentanil,-22.1,6.594936,MD,Native MD; no pooled interpretation without compatible model.,1,-0.708199,0.219782
V33-OD-0324,SONG20_TEAS_vs_SHAM_SUFINTRA,Song 2020,Intraoperative opioid,Total intraoperative sufentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,µg sufentanil,42,43,18.54,2.3,19.09,2.7,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,Table 1,intraop_sufentanil,-0.55,0.543587,MD,Native MD; no pooled interpretation without compatible model.,1,-0.217104,0.217584
V33-OD-0373,ZHU22_PRE_vs_USUAL_INTRAOPSUF,Zhu 2022,Intraoperative opioid,Intraoperative sufentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA day before surgery,Usual care alone,ug sufentanil,101,101,38.1,4.97,37.8,4.87,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative sufentanil),,0.3,0.692376,MD,Native MD; no pooled interpretation without compatible model.,1,0.060744,0.140752
V33-OD-0374,ZHU22_30MIN_vs_USUAL_INTRAOPSUF,Zhu 2022,Intraoperative opioid,Intraoperative sufentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA 30 min before surgery,Usual care alone,ug sufentanil,98,101,39.1,4.83,37.8,4.87,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative sufentanil),,1.3,0.687656,MD,Native MD; no pooled interpretation without compatible model.,1,0.267,0.142423
V33-OD-0375,ZHU22_COMB_vs_USUAL_INTRAOPSUF,Zhu 2022,Intraoperative opioid,Intraoperative sufentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA day before + 30 min before,Usual care alone,ug sufentanil,100,101,39,5.12,37.8,4.87,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative sufentanil),intraop_sufentanil,1.2,0.704957,MD,Native MD; no pooled interpretation without compatible model.,1,0.239289,0.141575
V33-OD-0376,ZHU22_PRE_vs_USUAL_INTRAOPREMI,Zhu 2022,Intraoperative opioid,Intraoperative remifentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA day before surgery,Usual care alone,mg remifentanil,101,101,0.58,0.23,0.57,0.26,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative remifentanil),,0.01,0.034541,MD,Native MD; no pooled interpretation without compatible model.,1,0.040587,0.140734
V33-OD-0377,ZHU22_30MIN_vs_USUAL_INTRAOPREMI,Zhu 2022,Intraoperative opioid,Intraoperative remifentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA 30 min before surgery,Usual care alone,mg remifentanil,98,101,0.58,0.23,0.57,0.26,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative remifentanil),,0.01,0.034772,MD,Native MD; no pooled interpretation without compatible model.,1,0.040547,0.141807
V33-OD-0378,ZHU22_COMB_vs_USUAL_INTRAOPREMI,Zhu 2022,Intraoperative opioid,Intraoperative remifentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA day before + 30 min before,Usual care alone,mg remifentanil,100,101,0.5,0.25,0.57,0.26,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative remifentanil),intraop_remifentanil,-0.07,0.035976,MD,Native MD; no pooled interpretation without compatible model.,1,-0.273394,0.141728
V33-OD-0379,PAN23_TEAS_vs_CTRL_INTRAOPREMI,Pan 2023,Intraoperative opioid,Intraoperative remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Usual care,TEAS,Control/usual care,ug remifentanil,52,53,740.1,276.9,854,287.5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/getfile.php-4.pdf,"Table 2 (Duration Remifentanil, ug)",intraop_remifentanil,-113.9,55.08216,MD,Native MD; no pooled interpretation without compatible model.,1,-0.400525,0.197136
AUDIT-0242,V34_B3_044,Sun 2017,Intraoperative opioid,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),mg/kg; author-defined conversion metric,91.0,90.0,1.6,0.4,1.5,0.4,,,CONDITIONAL,"Author-defined intraoperative morphine-equivalent metric; no review MME conversion, requires conversion-method adjudication.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Clin J Pain 2017;33:344; Table 2,,,,,,1,,
