record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0019,ZHU22_PRE_vs_USUAL_PON,Zhu 2022,Nausea,Postoperative nausea,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before surgery,Usual care alone,participants with nausea,101,101,,,,,11,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.897942,0.328853,logRR,Uncorrected log risk ratio,1,,
V33-OD-0021,ZHU22_30_vs_USUAL_PON,Zhu 2022,Nausea,Postoperative nausea,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA 30 min before surgery,Usual care alone,participants with nausea,98,101,,,,,18,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.375312,0.269235,logRR,Uncorrected log risk ratio,1,,
V33-OD-0023,ZHU22_COMB_vs_USUAL_PON,Zhu 2022,Nausea,Postoperative nausea,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before + 30 min before,Usual care alone,participants with nausea,100,101,,,,,11,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.887991,0.328702,logRR,Uncorrected log risk ratio,1,,
V33-OD-0049,ZHANG14_TEAS_vs_SHAM_NAUSEA,Zhang 2014,Nausea,Postoperative nausea,Postoperative,postoperative,Events/total,TEAS,Sham,Preoperative TEAS,Sham/no current,participants,33,32,,,,,7,15,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,Table 3 / postoperative side effects,,-0.792912,0.38467,logRR,Uncorrected log risk ratio,1,,
V33-OD-0123,MA26_T_vs_S_NAUSEA24,Ma 2026,Nausea,Nausea,24 h,24 h point,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",participants,17,16,,,,,6,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,24-h PONV table,,-0.348307,0.412726,logRR,Uncorrected log risk ratio,1,,
V33-OD-0139,LUO26_TEAS_vs_SHAM_NAUSEA48,Luo 2026,Nausea,Cumulative postoperative nausea,0-48 h,0-48h,Events/total,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,participants,138,139,,,,,24,53,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Primary outcome / cumulative nausea,,-0.785018,0.214695,logRR,Uncorrected log risk ratio,1,,
V33-OD-0278,GAO22_TEAS_vs_SHAM_PERSISTNAUSEA24,Gao 2022,Nausea,Persistent nausea (>5 min),0-24 h,0-24h,Events/total,TEAS,Sham,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,participants with persistent nausea,827,828,,,,,18,42,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1_DV8ZFHIZwC_SnRMP3IokKfeEs6QzD0S/view?usp=drivesdk,Table 3 / persistent nausea,,-0.846089,0.277395,logRR,Uncorrected log risk ratio,1,,
V33-OD-0293,LIU15_TEAS_vs_SHAM_NAUSEAPOD1,Liu 2015,Nausea,Postoperative nausea incidence,Postoperative day 1,postoperative day 1,Events/total,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,participants with nausea,44,44,,,,,11,9,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 3 / Postoperative day 1,,0.200671,0.395684,logRR,Uncorrected log risk ratio,1,,
V33-OD-0294,LIU15_TEAS_vs_SHAM_NAUSEAPOD2,Liu 2015,Nausea,Postoperative nausea incidence,Postoperative day 2,postoperative day 2,Events/total,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,participants with nausea,44,44,,,,,2,5,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 3 / Postoperative day 2,,-0.916291,0.80904,logRR,Uncorrected log risk ratio,1,,
V33-OD-0295,LIU15_TEAS_vs_SHAM_NAUSEAPOD3,Liu 2015,Nausea,Postoperative nausea incidence,Postoperative day 3,postoperative day 3,Events/total,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,participants with nausea,44,44,,,,,2,2,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 3 / Postoperative day 3,,0.0,0.977008,logRR,Uncorrected log risk ratio,1,,
