record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0027,ZHOU25_TEAS_vs_SHAM_PONV,Zhou 2025,PONV composite,PONV incidence,POD1,pod1,Events/total,TEAS,Sham,PACU TEAS,Sham/no current,participants,48,49,,,,,10,19,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 4, p8",,-0.621235,0.333752,logRR,Uncorrected log risk ratio,1,,
V33-OD-0033,ZHENG25_TEAS_vs_SHAM_PONV,Zheng 2025,PONV composite,Any PONV,Within 24 h postoperatively,within 24h postoperatively,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no current,participants,42,43,,,,,18,29,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,Primary outcome / 24-h PONV result,,-0.453394,0.207299,logRR,Uncorrected log risk ratio,1,,
V33-OD-0056,XIONG21_TEAS_vs_CTRL_PONV48,Xiong 2021,PONV composite,Any PONV,Within 48 h,within 48h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,participants,31,31,,,,,13,24,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,Abstract / 48-h PONV result,,-0.613104,0.232537,logRR,Uncorrected log risk ratio,1,,
V33-OD-0057,XIONG21_TEAS_vs_CTRL_CIPONV,Xiong 2021,PONV composite,Clinically important PONV,Within 48 h,within 48h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,participants,31,31,,,,,5,15,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,Abstract / clinically important PONV,,-1.098612,0.449612,logRR,Uncorrected log risk ratio,1,,
V33-OD-0063,XING22_NTG_vs_NG_PONV,Xing 2022,PONV composite,PONV incidence,Postoperative,postoperative,Events/total,TEAS,Sham,TEAS + active TAPB,Sham TEAS + active TAPB,participants,29,29,,,,,5,11,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,Postoperative complications,,-0.788457,0.471109,logRR,Uncorrected log risk ratio,1,,
V33-OD-0085,WANG24_SNVP_ODT_vs_OD_PONV6_12,Wang 2024,PONV composite,PONV incidence,6-12 h,6-12h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,participants,33,35,,,,,7,16,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 3 / SNVP randomized contrast,,-0.767838,0.382731,logRR,Uncorrected log risk ratio,1,,
V33-OD-0086,WANG24_SNVP_ODT_vs_OD_PONV12_24,Wang 2024,PONV composite,PONV incidence,12-24 h,12-24h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,participants,33,35,,,,,2,11,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 3 / SNVP randomized contrast,,-1.645908,0.729407,logRR,Uncorrected log risk ratio,1,,
V33-OD-0087,WANG24_SNVP_ODT_vs_OD_TOTALPONV,Wang 2024,PONV composite,Any PONV over reported follow-up,0-36 h,0-36h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,participants,33,35,,,,,14,20,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 3 / total PONV,,-0.297834,0.250108,logRR,Uncorrected log risk ratio,1,,
V33-OD-0088,WANG24_MNVP_ODT_vs_OD_PONV0_2,Wang 2024,PONV composite,PONV incidence,0-2 h,0-2h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,participants,35,35,,,,,2,9,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 3 / MNVP randomized contrast,,-1.504077,0.74429,logRR,Uncorrected log risk ratio,1,,
V33-OD-0089,WANG24_MNVP_ODT_vs_OD_PONV2_6,Wang 2024,PONV composite,PONV incidence,2-6 h,2-6h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,participants,35,35,,,,,2,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 3 / MNVP randomized contrast,,-1.386294,0.753563,logRR,Uncorrected log risk ratio,1,,
V33-OD-0090,WANG24_MNVP_ODT_vs_OD_TOTALPONV,Wang 2024,PONV composite,Any PONV over reported follow-up,0-36 h,0-36h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,participants,35,35,,,,,5,10,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 3 / total PONV,,-0.693147,0.492805,logRR,Uncorrected log risk ratio,1,,
V33-OD-0130,LU21_COMB_vs_SHAM_PONV24,Lu 2021,PONV composite,Any PONV,24 h,24 h point,Events/total,TEAS,Sham,Combined PC6+CV17 TEAS,Sham/no current,participants,190,188,,,,,35,68,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,24-h PONV table,,-0.674742,0.180818,logRR,Uncorrected log risk ratio,1,,
V33-OD-0131,LU21_SINGLE_vs_SHAM_PONV24,Lu 2021,PONV composite,Any PONV,24 h,24 h point,Events/total,TEAS,Sham,Single PC6 TEAS,Sham/no current,participants,198,188,,,,,59,68,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,24-h PONV table,,-0.193795,0.145895,logRR,Uncorrected log risk ratio,1,,
V33-OD-0150,LONG25_TEAS_vs_CTRL_PONV,Long 2025,PONV composite,PONV incidence,Postoperative,postoperative,Events/total,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,participants,27,26,,,,,1,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Adverse events / PONV,,-2.117182,1.024452,logRR,Uncorrected log risk ratio,1,,
V33-OD-0160,LIU26ESD_TEAS_vs_SHAM_PONV,Liu 2026 (ESD),PONV composite,PONV incidence,Postoperative follow-up,postoperative follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,58,62,,,,,4,14,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Postoperative complication table,,-1.186072,0.53671,logRR,Uncorrected log risk ratio,1,,
V33-OD-0168,LIU26BURN_TEAS_vs_SHAM_PONV24,Liu 2026 (burn),PONV composite,Nausea-vomiting,Through POD1 / approximately 24 h,through pod1 / approximately 24h,Events/total,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,participants,43,43,,,,,7,16,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Secondary postoperative outcomes,,-0.826679,0.398554,logRR,Uncorrected log risk ratio,1,,
