record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0058,XIONG21_TEAS_vs_CTRL_RESCUEAE,Xiong 2021,Rescue antiemetic,Any rescue antiemetic medication,Within 48 h,within 48h,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,participants,31,31,,,,,9,18,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,Abstract / rescue antiemetic result,,-0.693147,0.31961,logRR,Uncorrected log risk ratio,1,,
V33-OD-0141,LUO26_TEAS_vs_SHAM_COMPLETE48,Luo 2026,Rescue antiemetic,Complete response: no vomiting and no rescue antiemetic,0-48 h,0-48h,Events/total,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,participants,138,139,,,,,112,83,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Complete-response result,,0.306879,0.080846,logRR,Uncorrected log risk ratio,1,,
AUDIT-0027,V34_B1_026,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,0-6h after surgery,Events/total,EA,Usual care,Group Pre — EA day before surgery,Group Usual — usual care alone,participants,101.0,101.0,,,,,4.0,18.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-1.504077,0.534559,logRR,Uncorrected log risk ratio,1,,
AUDIT-0032,V34_B1_031,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,0-6h after surgery,Events/total,EA,Usual care,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,participants,98.0,101.0,,,,,11.0,18.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-0.462323,0.355471,logRR,Uncorrected log risk ratio,1,,
AUDIT-0037,V34_B1_036,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,0-6h after surgery,Events/total,EA,Usual care,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,participants,100.0,101.0,,,,,4.0,18.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-1.494127,0.534467,logRR,Uncorrected log risk ratio,1,,
AUDIT-0040,V34_B1_039,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,6–24 h after surgery,6-24h after surgery,Events/total,EA,Usual care,Group Pre — EA day before surgery,Group Usual — usual care alone,participants,101.0,101.0,,,,,8.0,28.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-1.252763,0.375383,logRR,Uncorrected log risk ratio,1,,
AUDIT-0043,V34_B1_042,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,6–24 h after surgery,6-24h after surgery,Events/total,EA,Usual care,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,participants,98.0,101.0,,,,,16.0,28.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-0.529463,0.27948,logRR,Uncorrected log risk ratio,1,,
AUDIT-0046,V34_B1_045,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,6–24 h after surgery,6-24h after surgery,Events/total,EA,Usual care,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,participants,100.0,101.0,,,,,9.0,28.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-1.12503,0.356265,logRR,Uncorrected log risk ratio,1,,
AUDIT-0051,V34_B1_050,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,24–48 h after surgery,24-48h after surgery,Events/total,EA,Usual care,Group Pre — EA day before surgery,Group Usual — usual care alone,participants,101.0,101.0,,,,,1.0,7.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-1.94591,1.059743,logRR,Uncorrected log risk ratio,1,,
AUDIT-0056,V34_B1_055,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,24–48 h after surgery,24-48h after surgery,Events/total,EA,Usual care,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,participants,98.0,101.0,,,,,2.0,7.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-1.22261,0.789146,logRR,Uncorrected log risk ratio,1,,
