record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0020,ZHU22_PRE_vs_USUAL_POV,Zhu 2022,Vomiting,Postoperative vomiting,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before surgery,Usual care alone,participants with vomiting,101,101,,,,,5,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-1.481605,0.475029,logRR,Uncorrected log risk ratio,1,,
V33-OD-0022,ZHU22_30_vs_USUAL_POV,Zhu 2022,Vomiting,Postoperative vomiting,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA 30 min before surgery,Usual care alone,participants with vomiting,98,101,,,,,8,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.981448,0.387749,logRR,Uncorrected log risk ratio,1,,
V33-OD-0024,ZHU22_COMB_vs_USUAL_POV,Zhu 2022,Vomiting,Postoperative vomiting,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before + 30 min before,Usual care alone,participants with vomiting,100,101,,,,,9,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.883868,0.369682,logRR,Uncorrected log risk ratio,1,,
V33-OD-0050,ZHANG14_TEAS_vs_SHAM_VOMIT,Zhang 2014,Vomiting,Postoperative vomiting,Postoperative,postoperative,Events/total,TEAS,Sham,Preoperative TEAS,Sham/no current,participants,33,32,,,,,4,11,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,Table 3 / postoperative side effects,,-1.042373,0.528541,logRR,Uncorrected log risk ratio,1,,
V33-OD-0055,YANG24_EA_vs_UC_VOMIT,Yang 2024,Vomiting,Postoperative vomiting,Within 72 h,within 72h,Events/total,EA,Usual care,Perioperative EA + usual care,Usual care,participants,90,90,,,,,12,25,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,Secondary outcomes / PONV,,-0.733969,0.31798,logRR,Uncorrected log risk ratio,1,,
V33-OD-0094,TU24_TEAS_vs_SHAM_VOMIT2_6,Tu 2024,Vomiting,Vomiting incidence,2-6 h,2-6h,Events/total,TEAS,Sham,Postoperative TEAS,Sham/no current,participants,57,58,,,,,8,17,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk,Table 3 / vomiting 2-6 h,,-0.73638,0.386055,logRR,Uncorrected log risk ratio,1,,
V33-OD-0095,TU24_TEAS_vs_SHAM_VOMIT6_24,Tu 2024,Vomiting,Vomiting incidence,6-24 h,6-24h,Events/total,TEAS,Sham,Postoperative TEAS,Sham/no current,participants,57,58,,,,,11,15,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk,Table 3 / vomiting 6-24 h,,-0.292763,0.350415,logRR,Uncorrected log risk ratio,1,,
V33-OD-0124,MA26_T_vs_S_VOMIT24,Ma 2026,Vomiting,Vomiting,24 h,24 h point,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",participants,17,16,,,,,6,7,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,24-h PONV table,,-0.214775,0.433821,logRR,Uncorrected log risk ratio,1,,
V33-OD-0140,LUO26_TEAS_vs_SHAM_VOMIT48,Luo 2026,Vomiting,Cumulative postoperative vomiting,0-48 h,0-48h,Events/total,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,participants,138,139,,,,,9,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Primary outcome / cumulative vomiting,,-1.091392,0.36566,logRR,Uncorrected log risk ratio,1,,
V33-OD-0277,GAO22_TEAS_vs_SHAM_VOMIT24,Gao 2022,Vomiting,Postoperative vomiting incidence,0-24 h,0-24h,Events/total,TEAS,Sham,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,participants with vomiting,827,828,,,,,86,147,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1_DV8ZFHIZwC_SnRMP3IokKfeEs6QzD0S/view?usp=drivesdk,Table 3 / 24 h vomiting,,-0.534877,0.126545,logRR,Uncorrected log risk ratio,1,,
V33-OD-0296,LIU15_TEAS_vs_SHAM_VOMITPOD1,Liu 2015,Vomiting,Postoperative vomiting incidence,Postoperative day 1,postoperative day 1,Events/total,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,participants with vomiting,44,44,,,,,9,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 3 / Postoperative day 1,,0.117783,0.436642,logRR,Uncorrected log risk ratio,1,,
V33-OD-0297,LIU15_TEAS_vs_SHAM_VOMITPOD2,Liu 2015,Vomiting,Postoperative vomiting incidence,Postoperative day 2,postoperative day 2,Events/total,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,participants with vomiting,44,44,,,,,2,4,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 3 / Postoperative day 2,,-0.693147,0.839372,logRR,Uncorrected log risk ratio,1,,
V33-OD-0298,LIU15_TEAS_vs_SHAM_VOMITPOD3,Liu 2015,Vomiting,Postoperative vomiting incidence,Postoperative day 3,postoperative day 3,Events/total,TEAS,Sham,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,participants with vomiting,44,44,,,,,1,0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,Table 3 / Postoperative day 3,,1.098612,1.619328,logRR,0.5 added to all four cells,1,,
V33-OD-0322,OZT19_TAES_vs_CTRL_VOMIT24,Oztas 2019,Vomiting,Vomiting occurrence,0-24 h,0-24h,Qualitative / exact group values unavailable,MODALITY_REVIEW_REQUIRED,Usual care,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,events/participants,15,16,,,,,,,HOLD,Nonstandard or incomplete statistic; no inferred quantities.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,Results / postoperative 0–6 and 6–24 h vomiting statement,,,,,,1,,
V33-OD-0372,YAO15_TEAS_vs_CTRL_VOMIT24,Yao 2015,Vomiting,Postoperative vomiting,0-24 h postoperative,0-24h postoperative,Events/total,TEAS,Sham,Preoperative TEAS,Control/no current,participants,35,36,,,,,7,19,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/039_yao_2015.pdf,Table 3 (Vomiting),,-0.970358,0.373014,logRR,Uncorrected log risk ratio,1,,
AUDIT-0024,V34_B1_023,Zhu 2022,Vomiting,Postoperative vomiting incidence,0–6 h after surgery,0-6h after surgery,Events/total,EA,Usual care,Group Pre — EA day before surgery,Group Usual — usual care alone,participants,101.0,101.0,,,,,7.0,17.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-0.887303,0.426472,logRR,Uncorrected log risk ratio,1,,
AUDIT-0026,V34_B1_025,Zhu 2022,Vomiting severity,Vomiting severity score,0–6 h after surgery,0-6h after surgery,Mean/SD,EA,Usual care,Group Pre — EA day before surgery,Group Usual — usual care alone,4-point Likert-type severity scale 0-3,101.0,101.0,0.16,0.61,0.36,0.79,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-0.2,0.099314,MD,Native MD; no pooled interpretation without compatible model.,1,-0.282318,0.141419
AUDIT-0029,V34_B1_028,Zhu 2022,Vomiting,Postoperative vomiting incidence,0–6 h after surgery,0-6h after surgery,Events/total,EA,Usual care,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,participants,98.0,101.0,,,,,9.0,17.0,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Per-protocol,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,p. 420; Table 2,,-0.605836,0.387078,logRR,Uncorrected log risk ratio,1,,
