Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,V34 record ID,V34 audit row,V34 disposition,Raw statistic intervention,Raw dispersion intervention,Raw statistic comparator,Raw dispersion comparator,Minimum intervention,Maximum intervention,Minimum comparator,Maximum comparator,IQR width intervention,IQR width comparator,Analysis population,V34 source filename,V34 source quote,V34 eligibility,V34 eligibility reason,V34 RoB2 status,V34 endpoint class,V34 modality,V34 comparator class,V34 time class
Yang 2020,YANG20_EA_vs_UC,EA + usual care,Usual care,GI recovery,Time to first postoperative flatus,From surgery to first flatus,Mean/SD,30,29,29,28,20.8,4.6,,,,,24.1,6.2,,,,,hours,0.026,Yes,No,MD,-3.300000000000001,No,No,Eligible for GI-recovery meta-analysis,No,Open-label; 2/59 excluded after randomization; participant-report contribution unclear,GI recovery results/table,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0002,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,GI — first flatus,EA,Usual care,from surgery to first flatus
Seevaunnamtum 2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,Opioid consumption,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Mean/SD,32,32,32,32,21.38,14.38,,,,,33.94,20.24,,,,,mg morphine,0.006,Yes,No,MD,-12.56,Yes,Yes,Primary continuous 24-h opioid outcome,No,No allocation-concealment method reported,Table 2 / 24-h PCA morphine,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0003,,,,,,,,,,,,,,,,INCLUDE,Locked strict primary result; prespecified source adjudication and conversions retained.,EXISTING_LOCKED_PRIMARY: Some concerns,Postoperative opioid dose (native window/unit),EA,Usual care,cumulative 0–24 h (locked primary source adjudication)
Lin 2002,LIN02_HIGH_vs_CONTROL,100-Hz EA,Untreated control,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,15,10.7,,,,,38.1,16,,,,,mg morphine,,Yes,No,MD,-23.1,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0004,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),EA,CONTROL_TYPE_REVIEW_REQUIRED,postoperative hour 1 through next 23h (published as 24-h test-period value)
Lin 2002,LIN02_LOW_vs_CONTROL,2-Hz EA,Untreated control,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,21.8,14.7,,,,,38.1,16,,,,,mg morphine,,Yes,No,MD,-16.3,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0005,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),EA,CONTROL_TYPE_REVIEW_REQUIRED,postoperative hour 1 through next 23h (published as 24-h test-period value)
Lin 2002,LIN02_HIGH_vs_SHAM,100-Hz EA,Sham EA,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,15,10.7,,,,,30.2,14.4,,,,,mg morphine,,Yes,No,MD,-15.2,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0006,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),EA,Sham,postoperative hour 1 through next 23h (published as 24-h test-period value)
Lin 2002,LIN02_LOW_vs_SHAM,2-Hz EA,Sham EA,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Mean/SD,25,25,25,25,21.8,14.7,,,,,30.2,14.4,,,,,mg morphine,,Yes,No,MD,-8.399999999999999,No,No,Usable as published PCA-morphine endpoint; not complete all-opioid 0-24 h exposure,Yes,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,Table 2,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0007,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),EA,Sham,postoperative hour 1 through next 23h (published as 24-h test-period value)
Yao 2015,YAO15_TEAS_vs_CONTROL,Preoperative TEAS,Control/no current,Quality of recovery,Global QoR-40,24 h postoperatively,Mean/SD,37,37,35,36,176.5,10.2,,,,,164.8,14.7,,,,,QoR-40 points,<0.001,Yes,No,MD,11.69999999999999,No,No,Eligible for QoR meta-analysis,No,3 post-randomization exclusions; active sensory stimulation vs zero-current control,24-h QoR-40 result,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0008,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,QoR-40,TEAS,Sham,24 h point
Yu 2020,YU20_TEAS_vs_CONTROL,Preoperative TEAS,Control/no current,Quality of recovery,Global QoR-40,Postoperative day 1 (~24 h),Mean/SD,30,30,30,30,175.33,9.66,,,,,166.07,8.44,,,,,QoR-40 points,0.040,Yes,No,MD,9.26000000000002,No,No,Eligible for QoR meta-analysis,No,Retrospective registration; article has internal intervention-parameter discrepancy,POD1 QoR-40 result,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0009,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,QoR-40,TEAS,Sham,postoperative day 1 (~24h)
Pan 2023,PAN23_TEAS_vs_CONTROL,TEAS,Control/usual care,GI recovery,Time to first postoperative flatus,Postoperative recovery endpoint,Median/IQR,60,60,52,53,,,1020,675.8,1278,,,,1210,896.5,1427,,minutes,0.01,Yes,No,,,No,No,Eligible for GI analysis using nonparametric/prespecified conversion method only,No,15/120 excluded after randomization; do not relabel median/IQR as mean/SD,Postoperative recovery table,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0010,,,,,,,,,,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,GI — first flatus,TEAS,Usual care,postoperative recovery endpoint
Chen 1998,CHEN98_NONACU_vs_SHAM,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,25,25,10.5,6.2,,,,,10.7,5,,,,,mg hydromorphone,,Yes,No,MD,-0.1999999999999993,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,Yes,Four-arm RCT; shared sham control must be handled correctly,Table 2 / first-24-h hydromorphone,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0011,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,Postoperative opioid dose (native window/unit),TEAS,Sham,first 24h postoperatively
