record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0034,ZHENG25_TEAS_vs_SHAM_REMI,Zheng 2025,Intraoperative opioid,Total intraoperative remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham/no current,ug remifentanil,42,43,233.1,29.6,289.5,37.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,"Table 3, p9",intraop_remifentanil,-56.4,7.366535,MD,Native MD; no pooled interpretation without compatible model.,1,-1.641193,0.250818
V33-OD-0061,XING22_NTG_vs_NG_REMI,Xing 2022,Intraoperative opioid,Total remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,TEAS + active TAPB,Sham TEAS + active TAPB,ug remifentanil,29,29,1182.61,253.61,1415.41,295.67,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,"Table 3, p10",intraop_remifentanil,-232.8,72.335135,MD,Native MD; no pooled interpretation without compatible model.,1,-0.833811,0.273786
V33-OD-0072,WU22_PTEAS_vs_CTRL_REMI,Wu 2022,Intraoperative opioid,Cumulative remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative pTEAS,No-current control,ug remifentanil,44,40,1383,494,1637,630,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,Table 2 / cumulative remifentanil,intraop_remifentanil,-254,124.373521,MD,Native MD; no pooled interpretation without compatible model.,1,-0.447177,0.221173
V33-OD-0112,NTRI14_EA_vs_SHAM_REMI,Ntritsou 2014,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Mean/SD,EA,Sham,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,ug remifentanil,35,35,1003.6,522.7,1041.9,631.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,Table 1 / remifentanil,intraop_remifentanil,-38.3,138.616934,MD,Native MD; no pooled interpretation without compatible model.,1,-0.065317,0.239109
V33-OD-0128,LU21_COMB_vs_SHAM_REMI,Lu 2021,Intraoperative opioid,Total remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Combined PC6+CV17 TEAS,Sham/no current,ug remifentanil,190,188,1200.0,500.0,1400.0,700.0,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,Table 3 / intraoperative remifentanil,intraop_remifentanil,-200.0,62.62725,MD,Native MD; no pooled interpretation without compatible model.,1000,-0.328425,0.103561
V33-OD-0232,GUO23_TEAS_vs_SHAM_REMI,Guo 2023,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,ug remifentanil,55,55,870.0,300.0,1010.0,390.0,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,Perioperative anesthetic table,intraop_remifentanil,-140.0,66.346199,MD,Native MD; no pooled interpretation without compatible model.,1000,-0.399588,0.192586
V33-OD-0378,ZHU22_COMB_vs_USUAL_INTRAOPREMI,Zhu 2022,Intraoperative opioid,Intraoperative remifentanil,Intraoperative,intraoperative,Mean/SD,EA,Usual care,EA day before + 30 min before,Usual care alone,ug remifentanil,100,101,500.0,250.0,570.0,260.0,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,Table 1 (Intraoperative remifentanil),intraop_remifentanil,-70.0,35.976477,MD,Native MD; no pooled interpretation without compatible model.,1000,-0.273394,0.141728
V33-OD-0379,PAN23_TEAS_vs_CTRL_INTRAOPREMI,Pan 2023,Intraoperative opioid,Intraoperative remifentanil,Intraoperative,intraoperative,Mean/SD,TEAS,Usual care,TEAS,Control/usual care,ug remifentanil,52,53,740.1,276.9,854,287.5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/getfile.php-4.pdf,"Table 2 (Duration Remifentanil, ug)",intraop_remifentanil,-113.9,55.08216,MD,Native MD; no pooled interpretation without compatible model.,1,-0.400525,0.197136
AUDIT-0364,V34_B4_045,Liang 2021,Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Mean/SD,TEAS,Sham,Preoperative TEAS,Control/no stimulation,ug remifentanil,35.0,35.0,521.5,206.8,464.7,156.0,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,"Available-case analysis; 75 randomized, 70 analyzed",https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,"Evidence-Based Complementary and Alternative Medicine 2021, Table 1; Table 1",intraop_remifentanil,56.8,43.785921,MD,Native MD; no pooled interpretation without compatible model.,1,0.306662,0.240447
V33-OD-0091,WANG24_SNVP_ODT_vs_OD_INTRAOPSUF,Wang 2024,Intraoperative opioid,Total sufentanil,Intraoperative,intraoperative,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,ug sufentanil,33,35,21.2,3.1,21.9,3.2,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,Table 1 / SNVP sufentanil,intraop_sufentanil,-0.7,0.764057,MD,Native MD; no pooled interpretation without compatible model.,1,-0.219554,0.24337
