lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,v34_record_id
A-001,A,A_0-48h_cumulative_opioid,Chen 2020,CHEN20_TEAS_vs_SHAM_SUF48,Perioperative TEAS,Sham low/zero-current protocol,Cumulative postoperative PCIA sufentanil consumption,0-48 h,Mean/SD,40,40,118.52,9.77,,,,,140.15,7.87,,,,,µg sufentanil,<0.001,MD,-21.63,Some concerns,1,0,0,,,STRICT_MODEL,,,No,48-h cumulative pump result; preserve native µg. Registration retrospective.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,AF-HIST-CHEN20_TEAS_vs_SHAM_SUF48
A-002,A,A_0-48h_cumulative_opioid,Zhang 2023,ZHANG23_TEAS_vs_SHAM_MME48,TEAS,Sham/no current,Postoperative IV morphine-equivalent consumption,Within 48 h,Median/IQR,922,916,,,110,80,110,,,,110,90,110,,mg IV morphine-equivalent,NR,,,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported,SOURCE-VERIFIED / 48H ONLY,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,V33-OD-0045
A-003,A,A_0-48h_cumulative_opioid,An 2014,AN14_EA_vs_CTRL_FENT48,Intraoperative electroacupuncture,No acupuncture control,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,Mean/SD,41,40,0.67,0.09,,,,,0.73,0.12,,,,,mg fentanyl,NS,MD,-0.05999999999999994,Some concerns,1,0,0,P1,RESOLVED_BY_MANDATORY_SENSITIVITY,STRICT_MODEL,,,No,Seven of 88 randomized patients were excluded from analysis; total fentanyl is not isolated to 0-24 h.,SOURCE-VERIFIED / ATTRITION + 48H WINDOW,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk,V33-OD-0254
A-004,A,A_0-48h_cumulative_opioid,Xie 2014,XIE14_EAS_vs_SHAM_TOTALSUF,Active EAS PC4/PC6,Sham needling PC4/PC6,Total postoperative/perioperative sufentanil,Through postoperative 48 h; published total may include 30-min pre-end-of-surgery sufentanil exposure,Mean/SD,20,20,115,6,,,,,133.5,7,,,,,µg sufentanil,<0.05,MD,-18.5,Some concerns,0,0,1,P1,RESOLVED_BY_SENSITIVITY,V34_HOLD,,"Unresolved source statistic, denominator or timepoint.",Yes,Sufentanil began 30 min before surgery ended; continuous infusion reported inconsistently as 2.25 vs 2.5 µg/h.,SOURCE-VERIFIED / AF-CORRECTED / WINDOW-QC,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,V33-OD-0067
A-004,A,A_0-48h_cumulative_opioid,Xie 2014,XIE14_EAS_vs_CONTROL_TOTALSUF,Active EAS PC4/PC6,General-anesthesia control,Total postoperative/perioperative sufentanil,Through postoperative 48 h; published total may include 30-min pre-end-of-surgery sufentanil exposure,Mean/SD,20,20,115,6,,,,,134.3,5.9,,,,,µg sufentanil,<0.05,MD,-19.30000000000001,Some concerns,0,0,1,P1,RESOLVED_BY_SENSITIVITY,V34_HOLD,,"Unresolved source statistic, denominator or timepoint.",Yes,Sufentanil began 30 min before surgery ended; continuous infusion reported inconsistently as 2.25 vs 2.5 µg/h.,SOURCE-VERIFIED / AF-CORRECTED / WINDOW-QC,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,V33-OD-0068
B-001,B,B_0-72h_cumulative_opioid,Yang 2024,YANG24_EA_vs_UC_MORPH72,Perioperative EA + usual care,Usual care,Cumulative morphine use via IV PCA,0-72 h / POD1-3,Mean/SD,90,90,127,12,,,,,127.5,12.5,,,,,mg morphine,0.785,MD,-0.5,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Extracted from PCA device records; full ITT.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,AF-HIST-YANG24_EA_vs_UC_MORPH72
B-002,B,B_0-72h_cumulative_opioid,Wong 2006,WONG06_EA_vs_SHAM_MORPHTOTAL,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,IV PCA morphine consumption,First 3 postoperative days total,Mean/SD,13,12,33.9,12.8,,,,,42.3,21.3,,,,,mg IV morphine,0.25,MD,-8.399999999999999,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,SOURCE-VERIFIED / DAY-LABEL WINDOW QC,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,V33-OD-0250
C-001,C,C_rest_pain_~24h,Xing 2022,XING22_NTG_vs_NG_RESTVAS24,TEAS + active TAPB,Sham TEAS + active TAPB,Rest pain VAS,24 h,Mean/SD,29,29,1.18,0.42,,,,,1.4,0.52,,,,,VAS 0-10,NS for NTG vs NG at 24 h,MD,-0.22,High,1,0,0,,,STRICT_MODEL,,,Yes,"At 24 h both TAPB groups improved versus G, but incremental NTG-vs-NG difference was not reported significant",SOURCE-VERIFIED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,V33-OD-0064
C-002,C,C_rest_pain_~24h,Liu 2021,LIU21_TEAS_vs_CTRL_VASREST24,Perioperative TEAS,Electrodes/no current,VAS at rest,24 h,Mean/SD,50,50,2.52,0.505,,,,,2.66,0.626,,,,,VAS,0.221,MD,-0.1400000000000001,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding is unclear because active stimulation was maximum tolerated and control received no current,SOURCE-VERIFIED,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,V33-OD-0163
D-001,D,D_PONV_0-24h,Zheng 2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,Any PONV,Within 24 h postoperatively,Events/total,42,43,,,,,,18,,,,,,29,participants,0.023,RR,0.6354679802955665,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,SOURCE-VERIFIED / COUNTS DERIVED,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,V33-OD-0033
