analysis_id,phase,measure,k,estimate,ci_low,ci_high,p_value,tau2,i2,model
intraop_remifentanil_TEAS_Sham,v34,MD,6,-117.7771252634045,-242.5055793719464,6.951328845137397,.0595772273874773,10748.9226077577,83.85842342712216,REML + Hartung-Knapp
intraop_remifentanil_TEAS_Sham,v33_matched,MD,5,-149.8947682272583,-254.7142816759445,-45.07525477857213,.016533265924952,5394.2467938335,65.99605523862169,REML + Hartung-Knapp
intraop_sufentanil_TEAS_Sham,v34,MD,2,-9.435567813534453,-32.39529882689917,13.52416319983026,.4205485479522038,254.1209904294991,92.03113904752112,REML normal CI
qor40_24h_TEAS_Sham,v34,MD,2,6.716283377959146,-2.160944951348622,15.59351170726691,.138112008061293,36.37674988058702,87.85593682656476,REML normal CI
qor40_24h_TEAS_Sham,v33_matched,MD,2,6.716283377959146,-2.160944951348622,15.59351170726691,.138112008061293,36.37674988058702,87.85593682656476,REML normal CI
gi_first_defecation_EA_Usual_care,v34,MD,3,-4.081050795980021,-6.06708656525938,-2.095015026700666,.0125522070421815,4.21632304444e-08,1.68081446194e-06,REML + Hartung-Knapp
gi_first_defecation_TEAS_Sham,v34,MD,3,-10.39820470921882,-23.12487137635768,2.328461957920014,.0722564538049564,6.446362178059716,20.81359282219331,REML + Hartung-Knapp
gi_first_defecation_EA_Usual_care,v33_matched,MD,3,-4.081050795980021,-6.06708656525938,-2.095015026700666,.0125522070421815,4.21632304444e-08,1.68081446194e-06,REML + Hartung-Knapp
gi_first_defecation_TEAS_Sham,v33_matched,MD,3,-10.39820470921882,-23.12487137635768,2.328461957920014,.0722564538049564,6.446362178059716,20.81359282219331,REML + Hartung-Knapp
primary_24h_mme_EA_Usual_care,v34,MD,3,-3.935834094322342,-19.77322385887222,11.90155567022751,.3968946950095942,28.47128330690678,77.15261368034402,REML + Hartung-Knapp
primary_24h_mme_TEAS_Sham,v34,MD,4,-13.99527470276522,-34.18084071886819,6.190291313337747,.1144761362330204,156.8822817670505,98.59067722827419,REML + Hartung-Knapp
primary_24h_mme_EA_Usual_care,v33_matched,MD,3,-3.935834094322342,-19.77322385887222,11.90155567022751,.3968946950095942,28.47128330690678,77.15261368034402,REML + Hartung-Knapp
primary_24h_mme_TEAS_Sham,v33_matched,MD,4,-13.99527470276522,-34.18084071886819,6.190291313337747,.1144761362330204,156.8822817670505,98.59067722827419,REML + Hartung-Knapp
primary_24h_mme_ALL_AUDIT,v34,MD,7,-9.907002486039646,-20.07936147308629,.2653565010069983,.0545383795798817,113.9105337843258,98.56915272688788,REML + Hartung-Knapp
primary_24h_mme_ALL_AUDIT,v33_matched,MD,7,-9.907002486039646,-20.07936147308629,.2653565010069983,.0545383795798817,113.9105337843258,98.56915272688788,REML + Hartung-Knapp
