trial_id,report_id,randomized_n,counted_randomized_n,itt_n,mitt_n,pp_n,outcome_n,source_page,source_excerpt,status,notes
Zhou_2025,Zhou 2025,100,100,,,,48 vs 49,5,"ly, 127 patients were assessed for study eligibility. Out of these, 18 patients did not meet the inclusion criteria and 9 declined participation. Consequently, 100 patients were successfully enrolled and subsequently randomized into two distinct groups: the TEAS group (n=50) and the Sham group (n=50). Each participant received the intervention assigned to their respective group. During the postoperative assessment period, two patients from the TEAS group and ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
An_2014,An 2014,88,88,,,,41 vs 40,2,"hods Patients Following approval from the Human Research Committee of Beijing Tiantan Hospital, Capital Medical University and the receipt of informed consent, 88 ASA I–II adult patients aged 18–60 years who were undergoing supratentorial tumor resections under general 1100 L.-X. AN et al. Am. J. Chin. Med. 2014.42:1099-1109. Downloaded from www.worldscientific.com by LUND UNIVERSITY on 08/09/26. Re-use and distribution is strictly not permitted, except for ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Ao_2021,Ao 2021,70,70,,,,32 vs 33,2,"C‑reactive protein or leukocytosis (>10,000/ml) prior to surgery; and vi) puncture site infection or systemic infection. Randomization and blinding. A total of 70 patients were enrolled and randomly allocated to the TEAS group or the sham TEAS group using sequentially‑numbered sealed envelopes and a random number generator. The allocation ratio between the two groups was 1:1. The envelopes were prepared and distributed by an assistant who was not involved in",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Chen_1998,Chen 1998,100,100,,,,25 vs 25,2,"and the recovery profiles in the early postoperative period were compared with a sham (control) treatment. Methods After we obtained written, informed consent, 100 ASA physical status I or II female patients scheduled for elective abdominal hysterectomy or myomectomy procedures were enrolled in this study. The study protocol was approved by the institutional review board at Cedars Sinai Medical Center. The patients were randomly assigned to one of four treatm",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Chen_2015,Chen 2015,84,84,,,,41 vs 42,3,"1 patients for eligibility to participate in this study. Of these, 3 patients did not meet the inclusion criteria, 4 declined to participate, and the remaining 84 patients enrolled to the study. One patient from the TEAS group was later Figure 2. Consolidated Standards of Reporting Trials (CONSORT) flow diagram TEAS, transcutaneous electric acu- point stimulation. ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Chen_2015_Hyperalgesia,Chen 2015 (Hyperalgesia),60,60,,,,29 vs 30,4,"alyzed with the inde­ ticipate in this study (Figure 2). Of these, 7 patients did not meet the inclusion criteria, 6 declined to participate, and the remaining 60 patients enrolled to the study. One patient from the TEAS group was later excluded because of protocol breach. A total of 59 patients random­ ized to treatment allocation completed the study and their data were included in the analy­ sis. Patients demographic characteristics, durations of procedure",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Chen_2020,Chen 2020,80,80,,,,40 vs 40,4,ered to ana- lyze the primary endpoint (difference in the intensity of Figure 1 Study ﬂow chart. Table 1 Characteristics of patients enrolled in the study (n = 80) Characteristics TEAS group (n = 40) Sham-TEAS group (n = 40) P- value Age (years) 56.0  3.7 55.8  3.2 0.85 Gender (female/male) 17/23 18/22 0.82 BMI (kg/m2) 23.5  0.9 23.4  1.0 0.71 Histology type (ADC/SQCC) 23/17 25/15 0.65 Type of procedure (single/bilobectomy) 19/1 19/1 1.00 Duration of sur,SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Coura_2011,Coura 2011,32,32,,,,13 vs 9,3, Original paper Randomised-32 Excluded-10 lnstability(4) Late extubation(3) Preoperative heat attack(i) Analgesia by epidural catheter(i) Mental confusion(i) Included - 22 Control-9 Treatment-13 Figure 1 Flow of participants through the study. Q. ñ e Extuti 2 6 8 10 12 14 16 18 20 22 Unw (hours altar extubation) Figure 2 Pain s,SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
El_Rakshy_2009,El-Rakshy 2009,107,107,,,,42 EA vs 53 control for this outcome,3,"into SPSS V.15.0 and Mann–Whitney U tests for non-parametric data were con- ducted to compare all outcomes. RESULTS The trial was conducted in 1999. A total of 107 patients were included (see fig 1). Five patients were withdrawn: two patients in the PCA + acupuncture group scheduled for laparoscopic cholecystectomy withdrew their consent because they did not want to have acupuncture. Three patients, all in the PCA alone group (one with abdominal hysterectomy,",SOURCE VERIFIED,"107 randomized in flow; allocation labels conflict across flow, baseline and abstract. Outcome Table 2: EA42/control53, not trial total."
Gao_2021,Gao 2021,610,610,,,,303 vs 307,3,"ntraoperative enterostomy, 18 patients whose surgeries were canceled, 4 patients who withdrew from the study, and 13 pa- tients with other reasons). A total of 610 patients were enrolled and randomly divided into 2 groups: 307 patients allocated to the sham group and 303 patients to the TEAS group. All 610 patients were included in the intention-to-treat analysis (Fig 1). No TEAS- related adverse events (eg, skin allergy) occurred in the study. Patients had g",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
