report,result_id,modality,comparator,reported,window,unit,systemic_capture,decision,models,source_location,rationale,src,E2_disposition,E2_basis
Chen 1998,V33-OD-0013,TEAS,Sham,Cumulative IV PCA hydromorphone,First 24 h postoperatively,mg hydromorphone,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,Table 2 / first-24-h hydromorphone,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table,ADMIT,A3: hydromorphone PCA 0-24 h with unquantified rescue
Chen 2020,V33-OD-0014,TEAS,Sham,Cumulative sufentanil,24 h postoperatively,µg sufentanil,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf1,Cumulative sufentanil result,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table,ADMIT,"A1/DP3: 'sufentanil consumption during postoperative PCIA', 24 h; A4 sufentanil 0.5"
Coura 2011,V33-OD-0016,EA,Sham,Cumulative fentanyl,First 24 h postoperatively,µg/kg fentanyl,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_EA_sham_fentanyl_per_kg,Published cumulative first-24-h fentanyl result,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,NOT ADMITTED,X1: ug/kg; never multiplied by mean weight
El-Rakshy 2009,V33-OD-0252,EA,Usual care,Total IV morphine analgesia,First 24 h,mg IV morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_EA_usual;opioid24_EA_usual_expanded,Table 2 / total analgesia in 24 h,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,ADMIT,All systemic opioid; meets E1
He 2026 (hepatectomy/JIS),V33-OD-0214,TEAS,Sham,Total postoperative opioid consumption in morphine equivalents,0-24 h,mg MME,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,"Supplemental Material 2, eTable 1",Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table,ADMIT,DP2: author-reported morphine equivalents of unstated route (IV vs oral)
Jin 2023,V33-OD-0190,EA,Sham,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h 'fentanyl consumption',General anaesthesia unverified from available main report.,primary_evidence_table,HOLD,GA unverified (source question); also X3 mL without verified concentration
Jin 2023,V33-OD-0191,EA,Sham,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h 'fentanyl consumption',General anaesthesia unverified from available main report.,primary_evidence_table,HOLD,GA unverified (source question); also X3 mL without verified concentration
Lee 2011,V33-OD-0184,TEAS,Sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,primary_evidence_table,ADMIT,DP1: canonical construct is PCA_partial_1_to_24h (PCA after recovery-room treatment; start time not precisely documented) - admitted on the same boundary reading as Lin 2002; A3: recovery-room doses unquantified
Lee 2011,V33-OD-0185,TEAS,Sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,primary_evidence_table,ADMIT,DP1: canonical construct is PCA_partial_1_to_24h (PCA after recovery-room treatment; start time not precisely documented) - admitted on the same boundary reading as Lin 2002; A3: recovery-room doses unquantified
Lin 2002,V33-OD-0006,EA,Sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid_partial_EA_sham,Table 2,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,ADMIT,"DP1: PCA connected at 1 h (boundary of 'within the first hour'), ends 24 h; DP4: IM pethidine 1 mg/kg first-hour rescue unfactored and unquantified"
