model_id,body,role,note,k,N,status,effect,ci_low,ci_high,tau2,I2,hk_scale,pi_low,pi_high,reaches10mg,reaches8mg,relative_reduction_descriptive_percent,studies,contrast_ids
E2_opioid24_TEAS_sham,TEAS vs sham,E2 POST-HOC SENSITIVITY (main),,7,581,REML + safeguarded Hartung-Knapp,-6.167033094971615,-12.471818145450623,0.13775195550739294,35.85381510910368,97.96479515866021,1.1527649511454128,-22.1176018701697,9.78353568022647,False,False,20.160497927575204,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_suf0.25,TEAS vs sham,SENSITIVITY,sufentanil 0.25 mg/ug,7,581,REML + safeguarded Hartung-Knapp,-4.269165030087958,-9.140471041860053,0.6021409816841379,15.878990052949632,98.2961149624283,1.4572414908208613,-15.168849967253811,6.630519907077895,False,False,19.573721356481155,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_suf1.0,TEAS vs sham,SENSITIVITY,sufentanil 1.0 mg/ug,7,581,REML + safeguarded Hartung-Knapp,-9.237498651569648,-18.969205719867524,0.49420841672822924,103.76335646796132,98.3755524678581,1.0051658191966348,-35.99523621353468,17.52023891039538,False,True,19.1857664429585,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_excl_E2.1,TEAS vs sham,SENSITIVITY,without Amendment E2.1 admissions,5,371,REML + safeguarded Hartung-Knapp,-8.434328741629592,-17.783431377526114,0.914773894266931,44.90195905907334,96.777318764505,1.0976820324831613,-29.255930290212273,12.387272806953089,False,True,26.391641434043056,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185
E2_TEAS_sham_leaveout_Gu2019,TEAS vs sham,SENSITIVITY,source contradiction (figure vs text),6,464,REML + safeguarded Hartung-Knapp,-7.111358792797805,-14.682229425962465,0.45951184036685433,40.8345063790709,97.9599205106873,1.1257151901897846,-25.19859319339123,10.975875607795619,False,False,23.019791476886354,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Zhang 2025,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1
E2_TEAS_sham_leaveout_Lee2011,TEAS vs sham,SENSITIVITY,source contradiction (Table 8),6,547,REML + safeguarded Hartung-Knapp,-6.6725494911613366,-14.529128845001669,1.1840298626789947,44.774825724082184,98.60005742763121,1.1384963708457203,-25.582679207651758,12.237580225329083,False,False,21.92599105813192,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_excl_unquantified_rescue,TEAS vs sham,SENSITIVITY,known unquantified rescue removed,5,497,REML + safeguarded Hartung-Knapp,-5.066231027658591,-12.231265152431764,2.0988030971145824,32.4934968456641,98.45236875401365,0.9971420880258957,-22.439158953198437,12.306696897881253,False,False,18.013035309267476,Szmit 2021;Chen 2020;He 2026 (hepatectomy/JIS);Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0014;V33-OD-0214;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_excl_unstated_route,TEAS vs sham,SENSITIVITY,author equivalents of unstated route removed,6,422,REML + safeguarded Hartung-Knapp,-7.249231062708609,-14.582220051556028,0.08375792613881128,37.64863405776453,97.47266693503887,1.136466076202133,-24.643218434013697,10.144756308596477,False,False,21.08324656372892,Szmit 2021;Chen 1998;Chen 2020;Lee 2011;Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_E1_restriction,TEAS vs sham,SENSITIVITY,restricted to E1-eligible = registered primary,1,48,SINGLE STUDY - NOT POOLED,-7.699999999999999,-10.622954073275604,-4.777045926724394,0.0,,,,,False,False,50.6578947368421,Szmit 2021,V33-OD-0350
E2_TEAS_sham_LOO_Szmit_2021,TEAS vs sham,LEAVE-ONE-OUT,without Szmit 2021,6,533,REML + safeguarded Hartung-Knapp,-6.047586138153688,-14.023846078376172,1.9286738020687952,45.233260308571346,98.54808180943286,1.1452392520546035,-25.087469938696728,12.99229766238935,False,False,18.902210418452324,Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Zhang 2025;Gu 2019,V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
