model_id,status,old_k,new_k,old_N,new_N,old_effect,new_effect,old_low,new_low,old_high,new_high,old_grade,new_grade
bowelsounds_TEAS_sham,CURRENT,3,2,812,727,-7.190782053283836,-6.086399155810704,-11.61807355210826,-20.323190371265927,-2.763490554459411,8.150392059644517,Very low,Very low
bowelsounds_TEAS_sham_with_Zheng2025_as_printed,NEW,,3,,812,,-7.190782053283836,,-11.61807355210826,,-2.763490554459411,,
bowelsounds_TEAS_sham_without_Zheng2025,SUPERSEDED DIAGNOSTIC,2,,727,,-6.086399155810704,,-20.323190371265927,,8.150392059644517,,,
defecation_EA_sham,CURRENT,1,1,110,110,-21.599999999999994,-21.599999999999994,-37.0952138739437,-37.0952138739437,-6.1047861260562915,-6.1047861260562915,Low,Low
defecation_EA_usual,CURRENT,4,4,435,435,-10.105891783757349,-10.105891783757349,-32.89027908472029,-32.89027908472029,12.678495517205596,12.678495517205596,Very low,Very low
defecation_TEAS_sham,CURRENT,4,4,1182,1182,-7.769201853841989,-7.769201853841989,-17.468498903068642,-17.468498903068642,1.9300951953846637,1.9300951953846637,Very low,Very low
flatus_EA_sham,CURRENT,1,1,110,110,-7.199999999999996,-7.199999999999996,-16.21474969859147,-16.21474969859147,1.8147496985914788,1.8147496985914788,Very low,Very low
flatus_EA_sham_SMD_sensitivity,CURRENT,1,1,110,110,-0.29643254795551516,-0.29643254795551516,-0.6722300527641636,-0.6722300527641636,0.07936495685313333,0.07936495685313333,,
flatus_EA_usual,CURRENT,4,4,725,725,-2.887636773277873,-2.887636773277873,-5.386843778448147,-5.386843778448147,-0.3884297681075992,-0.3884297681075992,Low,Low
flatus_EA_usual_SMD_sensitivity,CURRENT,4,4,725,725,-0.48711874385508164,-0.48711874385508164,-0.7448720679248819,-0.7448720679248819,-0.2293654197852814,-0.2293654197852814,,
flatus_TEAS_sham,CURRENT,8,7,1505,1420,-5.33482085980253,-4.983317505222142,-9.091500767291889,-9.507183448526703,-1.5781409523131722,-0.4594515619175814,Very low,Very low
flatus_TEAS_sham_SMD_sensitivity,CURRENT,8,7,1505,1420,-0.5835279620445861,-0.3691823545638453,-1.099406695955487,-0.64586973789944,-0.06764922813368535,-0.09249497122825062,,
flatus_TEAS_sham_with_Zheng2025_as_printed,NEW,,8,,1505,,-5.33482085980253,,-9.091500767291889,,-1.5781409523131722,,
flatus_TEAS_sham_without_Zheng2025,SUPERSEDED DIAGNOSTIC,7,,1420,,-4.983317505222142,,-9.507183448526703,,-0.4594515619175814,,,
flatus_TEAS_usual,CURRENT,0,0,0,0,,,,,,,Not rated — insufficient evidence,Not rated — insufficient evidence
flatus_TEAS_usual_SMD_sensitivity,CURRENT,0,0,0,0,,,,,,,,
intraop_remifentanil_EA_sham,CURRENT,1,1,70,70,-38.30000000000007,-38.30000000000007,-309.9841975390644,-309.9841975390644,233.38419753906425,233.38419753906425,Very low,Very low
intraop_remifentanil_EA_usual,CURRENT,1,1,400,400,-16.755852842809418,-16.755852842809418,-74.24963639776908,-74.24963639776908,40.73793071215025,40.73793071215025,Very low,Low
intraop_remifentanil_TEAS_sham,CURRENT,6,4,1013,828,-114.81171008142734,-175.70245667514897,-199.68648281851054,-289.86648331487766,-29.93693734434413,-61.538430035420305,Very low,Low
intraop_remifentanil_TEAS_sham_with_Zheng2025_as_printed,NEW,,5,,913,,-135.93335185812427,,-246.4589820975777,,-25.407721618670834,,
intraop_remifentanil_TEAS_sham_without_Zheng2025,SUPERSEDED DIAGNOSTIC,5,,928,,-141.16187122020128,,-247.76332121722675,,-34.56042122317581,,,
intraop_remifentanil_TEAS_usual,CURRENT,2,2,175,175,-25.27865396767271,-25.27865396767271,-1108.956344600597,-1108.956344600597,1058.3990366652517,1058.3990366652517,Very low,Very low
intraop_remifentanil_Wu2025_preintervention_diagnostic,NEW,,1,,100,,-44.39999999999998,,-140.64239847627982,,51.842398476279854,,
nausea24_EA_usual,CURRENT,2,2,237,237,0.6601942348063465,0.6601942348063465,0.058572980742594365,0.058572980742594365,7.4412540073205085,7.4412540073205085,Very low,Very low
nausea24_TEAS_sham,CURRENT,3,3,735,735,0.6681115511451108,0.6681115511451108,0.28736863599027485,0.28736863599027485,1.5533116313661737,1.5533116313661737,Very low,Very low
nausea48_TEAS_sham,CURRENT,1,1,277,277,0.45611156685808035,0.45611156685808035,0.29944862111391346,0.29944862111391346,0.6947360807602228,0.6947360807602228,Low,Low
nausea6to24_EA_usual,CURRENT,1,1,400,400,0.5004335439118047,0.5004335439118047,0.3245832442229887,0.3245832442229887,0.7715547130956651,0.7715547130956651,Low,Moderate
opioid24_EA_sham,CURRENT,0,0,0,0,,,,,,,Not rated — insufficient evidence,Not rated — insufficient evidence
opioid24_EA_sham_fentanyl_per_kg,CURRENT,1,1,22,22,-3.200000000000001,-3.200000000000001,-4.788359621979926,-4.788359621979926,-1.611640378020076,-1.611640378020076,,
opioid24_EA_sham_weight_normalized,CURRENT,1,1,90,90,-0.13,-0.13,-0.27825317638016644,-0.27825317638016644,0.018253176380166436,0.018253176380166436,,
opioid24_EA_usual,CURRENT,2,2,159,159,-6.831992733060185,-6.831992733060185,-76.39065081844696,-76.39065081844696,62.726665352326584,62.726665352326584,Very low,Very low
opioid24_EA_usual_expanded,CURRENT,3,3,339,339,-3.9358338798840333,-3.9358338798840333,-19.77322298046189,-19.77322298046189,11.901555220693826,11.901555220693826,,
opioid24_EA_usual_without_ElRakshy,CURRENT,1,1,64,64,-12.559999999999999,-12.559999999999999,-21.162391670246286,-21.162391670246286,-3.9576083297537092,-3.9576083297537092,,
opioid24_TEAS_sham,CURRENT,1,1,48,48,-7.699999999999999,-7.699999999999999,-10.622954073275604,-10.622954073275604,-4.777045926724394,-4.777045926724394,Low,Low
opioid24_TEAS_sham_expanded_suf0.25,CURRENT,4,4,337,337,-7.356085539645688,-7.356085539645688,-18.971867801321736,-18.971867801321736,4.259696722030357,4.259696722030357,,
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,CURRENT,3,3,257,257,-8.409139976491769,-8.409139976491769,-32.66507517569147,-32.66507517569147,15.846795222707929,15.846795222707929,,
opioid24_TEAS_sham_expanded_suf0.5,CURRENT,4,4,337,337,-9.763694016283118,-9.763694016283118,-22.946285711716115,-22.946285711716115,3.418897679149877,3.418897679149877,,
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,CURRENT,3,3,257,257,-8.409139976491769,-8.409139976491769,-32.66507517569147,-32.66507517569147,15.846795222707929,15.846795222707929,,
opioid24_TEAS_sham_expanded_suf1,CURRENT,4,4,337,337,-13.995274618644093,-13.995274618644093,-34.51875206756655,-34.51875206756655,6.528202830278364,6.528202830278364,,
opioid24_TEAS_sham_expanded_suf1_without_Chen2020,CURRENT,3,3,257,257,-8.409139976491769,-8.409139976491769,-32.66507517569147,-32.66507517569147,15.846795222707929,15.846795222707929,,
opioid24_TEAS_usual,CURRENT,1,1,47,47,-8.0,-8.0,-10.919946920043666,-10.919946920043666,-5.080053079956334,-5.080053079956334,Very low,Low
opioid48_EA_usual_PCA,CURRENT,1,1,81,81,-6.0,-6.0,-10.628009861518144,-10.628009861518144,-1.3719901384818556,-1.3719901384818556,Very low,Very low
opioid48_TEAS_sham_uncertain_suf0.25,CURRENT,2,2,239,239,-3.2194382643248862,-3.2194382643248862,-31.843881195112207,-31.843881195112207,25.405004666462435,25.405004666462435,,
opioid48_TEAS_sham_uncertain_suf0.5,CURRENT,2,2,239,239,-5.850158346839758,-5.850158346839758,-68.84109968773008,-68.84109968773008,57.14078299405056,57.14078299405056,,
opioid48_TEAS_sham_uncertain_suf1,CURRENT,2,2,239,239,-11.19031008835016,-11.19031008835016,-142.88670280896582,-142.88670280896582,120.50608263226552,120.50608263226552,,
opioid72_EA_sham_PCA,CURRENT,1,1,25,25,-8.399999999999999,-8.399999999999999,-22.31582392017927,-22.31582392017927,5.5158239201792725,5.5158239201792725,Very low,Very low
opioid72_EA_usual_PCA,CURRENT,1,1,180,180,-0.5,-0.5,-4.079878972059454,-4.079878972059454,3.0798789720594546,3.0798789720594546,,
opioid_partial_EA_sham,CURRENT,1,1,75,75,-11.8,-11.8,-18.523748664973265,-18.523748664973265,-5.076251335026737,-5.076251335026737,,
opioid_partial_EA_usual,CURRENT,1,1,75,75,-19.700000000000003,-19.700000000000003,-26.958287566035963,-26.958287566035963,-12.441712433964042,-12.441712433964042,,
opioid_partial_TEAS_sham,CURRENT,1,1,34,34,-3.9009090909090958,-3.9009090909090958,-8.926531590365482,-8.926531590365482,1.12471340854729,1.12471340854729,,
pain24_Lee_low_arm_only,CURRENT,1,1,22,22,-1.33,-1.33,-2.2765699446958125,-2.2765699446958125,-0.3834300553041876,-0.3834300553041876,,
pain24_Ng_unspecified,CURRENT,1,1,110,110,-0.20000000000000018,-0.20000000000000018,-0.9290529551221952,-0.9290529551221952,0.5290529551221949,0.5290529551221949,,
pain24_TEAS_active_unspecified,CURRENT,1,1,85,85,-0.4700000000000002,-0.4700000000000002,-0.9377258426123072,-0.9377258426123072,-0.0022741573876932653,-0.0022741573876932653,,
pain24_movement_EA_sham,CURRENT,1,1,114,114,-0.3380000000000001,-0.3380000000000001,-0.7276331517808177,-0.7276331517808177,0.05163315178081751,0.05163315178081751,Low,Moderate
pain24_movement_EA_sham_with_He,CURRENT,2,2,244,244,-0.7400991044932704,-0.7400991044932704,-5.519710499669599,-5.519710499669599,4.039512290683057,4.039512290683057,,
pain24_movement_TEAS_sham,CURRENT,1,1,100,100,0.040000000000000036,0.040000000000000036,-0.20633277733593883,-0.20633277733593883,0.28633277733593887,0.28633277733593887,Low,Moderate
pain24_rest_EA_sham,CURRENT,0,0,0,0,,,,,,,Not rated — insufficient evidence,Not rated — insufficient evidence
pain24_rest_EA_sham_He_reported_SD,CURRENT,1,1,130,130,-0.9030000000000002,-0.9030000000000002,-0.9628212741307449,-0.9628212741307449,-0.8431787258692556,-0.8431787258692556,,
pain24_rest_TEAS_sham,CURRENT,3,3,218,218,-0.21331777218990347,-0.21331777218990347,-0.7539370255093347,-0.7539370255093347,0.32730148112952784,0.32730148112952784,Low,Moderate
pain24_rest_TEAS_usual,CURRENT,0,0,0,0,,,,,,,Not rated — insufficient evidence,Not rated — insufficient evidence
pain24_unclassified_TEAS_sham,CURRENT,7,7,863,863,-1.2875932187452237,-1.2875932187452237,-2.276962012570455,-2.276962012570455,-0.29822442491999235,-0.29822442491999235,,
pain6to24_movement_EA_usual,CURRENT,1,1,400,400,-0.2931438127090302,-0.2931438127090302,-0.5742988084648368,-0.5742988084648368,-0.011988816953223624,-0.011988816953223624,,
persistent_nausea24_TEAS_sham,CURRENT,1,1,1655,1655,0.4290896527897737,0.4290896527897737,0.24913154587609151,0.24913154587609151,0.7390390064164003,0.7390390064164003,Low,Low
pethidine24_TEAS_active_rescue,CURRENT,1,1,31,31,-13.09,-13.09,-44.186526498617916,-44.186526498617916,18.006526498617916,18.006526498617916,Very low,Very low
pethidine24_TEAS_usual_rescue,CURRENT,1,1,31,31,-12.459999999999997,-12.459999999999997,-37.69403682234021,-37.69403682234021,12.774036822340214,12.774036822340214,Very low,Very low
ponv24_TEAS_active,CURRENT,1,1,85,85,0.3071428571428571,0.3071428571428571,0.09084786516306913,0.09084786516306913,1.038403428903321,1.038403428903321,Very low,Very low
ponv24_TEAS_broad_sham_sensitivity,CURRENT,11,11,3532,3532,0.6270298572093899,0.6270298572093899,0.5064876844145406,0.5064876844145406,0.7762606158657083,0.7762606158657083,,
ponv24_TEAS_sham,CURRENT,10,10,3447,3447,0.6402044411346373,0.6402044411346373,0.5171262127862204,0.5171262127862204,0.7925758089891102,0.7925758089891102,Low,Low
ponv24_TEAS_sham_point_window_sensitivity,CURRENT,11,11,3541,3541,0.6692305429509418,0.6692305429509418,0.5170403453444984,0.5170403453444984,0.8662177403583499,0.8662177403583499,,
ponv48_TEAS_sham,CURRENT,1,1,62,62,0.5416666666666667,0.5416666666666667,0.34339658178086596,0.34339658178086596,0.8544137983441226,0.8544137983441226,Very low,Low
tramadol24_TEAS_active_PCA,CURRENT,1,1,31,31,-29.28,-29.28,-84.14243307535592,-84.14243307535592,25.582433075355922,25.582433075355922,,
tramadol24_TEAS_usual_PCA,CURRENT,1,1,31,31,-129.41,-129.41,-204.59020316412594,-204.59020316412594,-54.229796835874055,-54.229796835874055,,
