result_id,study,trial_id,comparison_id,intervention,comparator,modality,comparator_class,family,outcome,window,population,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,unit,data_type,source_location,source_quote,source_pdf,source_sha256,source_qc,legacy_eligibility,decision,rationale,models,factor,model_id,measure,construct,role,analysis_unit,yi,vi,comparator_class_v34,comparator_adjudication,continuity_correction
V33-OD-0350,Szmit 2021,Szmit_2021,SZMIT21_TEAS_vs_SHAM_MORPH24,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,Sham TEAS: identical devices/placement with no electrical stimulation + PCA,TEAS,sham,Postoperative opioid consumption,Total IV PCA morphine dose,0–24 h postoperative,Outcome-specific analyzed population,24.0,24.0,7.5,3.8,15.2,6.24,,,mg IV morphine,Mean/SD,Table 2 / primary outcome,,TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,Source reports both mean/SD and median/IQR; mean/SD used for the strict primary dataset. Participants were blinded; personnel were not.,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,opioid24_TEAS_sham,1,opioid24_TEAS_sham,MD,systemic_opioid_0_24h,PRINCIPAL,mg IVMME,-7.699999999999999,2.224066666666667,,,
V33-OD-0351,Szmit 2021,Szmit_2021,SZMIT21_TEAS_vs_CTRL_MORPH24,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,PCA only / no TEAS,TEAS,usual_care,Postoperative opioid consumption,Total IV PCA morphine dose,0–24 h postoperative,Outcome-specific analyzed population,24.0,23.0,7.5,3.8,15.5,6.1,,,mg IV morphine,Mean/SD,Table 2 / primary outcome,,TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,Do not count this alternative comparator as a second independent study in a simple pairwise meta-analysis.,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,opioid24_TEAS_usual,1,opioid24_TEAS_usual,MD,systemic_opioid_0_24h,SUPPORTIVE,mg IVMME,-8.0,2.219492753623188,CONTROL_TYPE_REVIEW_REQUIRED,"Szmit 2021: third arm ""PCA only"" without TEAS or sham-TEAS.",
V33-OD-0252,El-Rakshy 2009,El_Rakshy_2009,ELR09_EA_vs_CTRL_MORPH24,Intraoperative EA + PCA,PCA alone/no acupuncture,EA,usual_care,Opioid consumption,Total IV morphine analgesia,First 24 h,Outcome-specific analyzed population,42.0,53.0,35.3,18.0,36.9,18.0,,,mg IV morphine,Mean/SD,Table 2 / total analgesia in 24 h,,TEAS EA Verification/Source PDFs/covidence_868_full_article.pdf,afb7b0095736da9d64b2c771296a6b74cb30c9287b7aa3e2644a14b5e0307529,Publication has irreconcilable allocation/analyzed group labels. Use Table 2 n=42 EA and n=53 control for this result; do not substitute overall study denominators.,INCLUDE,INCLUDE,El-Rakshy outcome Table2 retained with High RoB/source caveat; Seeva includes rescue.,opioid24_EA_usual,1,opioid24_EA_usual,MD,systemic_opioid_0_24h,SUPPORTIVE,mg IVMME,-1.6000000000000014,13.827493261455526,,,
V33-OD-0003,Seevaunnamtum 2016,Seevaunnamtum_2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,EA,usual_care,Opioid consumption,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Outcome-specific analyzed population,32.0,32.0,21.38,14.38,33.94,20.24,,,mg morphine,Mean/SD,Table 2 / 24-h PCA morphine,,TEAS EA Verification/Source PDFs/covidence_596_verified.pdf,7c25e5c670ee6ebcd32888161b0b53f2ac88a1eb1061a51def0b529c6320d6a3,No allocation-concealment method reported,INCLUDE,INCLUDE,El-Rakshy outcome Table2 retained with High RoB/source caveat; Seeva includes rescue.,opioid24_EA_usual,1,opioid24_EA_usual,MD,systemic_opioid_0_24h,SUPPORTIVE,mg IVMME,-12.559999999999999,19.2638125,,,
V33-OD-0003,Seevaunnamtum 2016,Seevaunnamtum_2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,EA,usual_care,Opioid consumption,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Outcome-specific analyzed population,32.0,32.0,21.38,14.38,33.94,20.24,,,mg morphine,Mean/SD,Table 2 / 24-h PCA morphine,,TEAS EA Verification/Source PDFs/covidence_596_verified.pdf,7c25e5c670ee6ebcd32888161b0b53f2ac88a1eb1061a51def0b529c6320d6a3,No allocation-concealment method reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,opioid24_EA_usual_without_ElRakshy,1,opioid24_EA_usual_without_ElRakshy,MD,systemic_opioid_0_24h,SENSITIVITY,mg IVMME,-12.559999999999999,19.2638125,,,
V33-OD-0013,Chen 1998,Chen_1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),TEAS,sham,Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Outcome-specific analyzed population,25.0,25.0,32.5,17.5,53.5,25.0,,,mg hydromorphone,Mean/SD,Table 2 / first-24-h hydromorphone,,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,Four-arm RCT; shared sham control must be handled correctly,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,opioid24_TEAS_sham_expanded_suf0.25,5,opioid24_TEAS_sham_expanded_suf0.25,MD,device_or_equivalence_uncertain_opioid_0_24h,SENSITIVITY,assumed mg IVMME,-21.0,37.25,,,
V33-OD-0214,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,HEJIS26_TEAS_vs_CTRL_MME24,Intraoperative PC6 TEAS,No-current PC6 control,TEAS,sham,Opioid consumption,Total postoperative opioid consumption in morphine equivalents,0-24 h,Outcome-specific analyzed population,80.0,79.0,20.0,2.5,20.6,4.5,,,mg MME,Mean/SD,"Supplemental Material 2, eTable 1",,TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,4fc22447f980bacde9572ec5b1998318f5c4c38aedd82b7809644644e00d7e96,Supplemental eTable 1 directly reports MME; mITT excludes one canceled surgery and one consent withdrawal after randomization,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,opioid24_TEAS_sham_expanded_suf0.25,1,opioid24_TEAS_sham_expanded_suf0.25,MD,device_or_equivalence_uncertain_opioid_0_24h,SENSITIVITY,assumed mg IVMME,-0.6000000000000014,0.3344541139240506,,,
V33-OD-0350,Szmit 2021,Szmit_2021,SZMIT21_TEAS_vs_SHAM_MORPH24,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,Sham TEAS: identical devices/placement with no electrical stimulation + PCA,TEAS,sham,Postoperative opioid consumption,Total IV PCA morphine dose,0–24 h postoperative,Outcome-specific analyzed population,24.0,24.0,7.5,3.8,15.2,6.24,,,mg IV morphine,Mean/SD,Table 2 / primary outcome,,TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,Source reports both mean/SD and median/IQR; mean/SD used for the strict primary dataset. Participants were blinded; personnel were not.,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,opioid24_TEAS_sham_expanded_suf0.25,1,opioid24_TEAS_sham_expanded_suf0.25,MD,device_or_equivalence_uncertain_opioid_0_24h,SENSITIVITY,assumed mg IVMME,-7.699999999999999,2.224066666666667,,,
V33-OD-0014,Chen 2020,Chen_2020,CHEN20_TEAS_vs_SHAM,Perioperative TEAS,Sham low/zero-current protocol,TEAS,sham,Opioid consumption,Cumulative sufentanil,24 h postoperatively,Outcome-specific analyzed population,40.0,40.0,18.1075,1.195,25.155,2.55,,,µg sufentanil,Mean/SD,Cumulative sufentanil result,,TEAS EA Verification/Source PDFs/Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,debc925a549725290efc12e4fde6fbbb63880cb0bbd6425faac2e22b1e5c3663,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,opioid24_TEAS_sham_expanded_suf0.25,0.25,opioid24_TEAS_sham_expanded_suf0.25,MD,device_or_equivalence_uncertain_opioid_0_24h,SENSITIVITY,assumed mg IVMME,-7.047499999999999,0.19826312499999998,,,
V33-OD-0013,Chen 1998,Chen_1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),TEAS,sham,Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Outcome-specific analyzed population,25.0,25.0,32.5,17.5,53.5,25.0,,,mg hydromorphone,Mean/SD,Table 2 / first-24-h hydromorphone,,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,Four-arm RCT; shared sham control must be handled correctly,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,5,opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,MD,device_or_equivalence_uncertain_opioid_0_24h,SENSITIVITY,assumed mg IVMME,-21.0,37.25,,,
