result_id,study,modality,comparator_class,outcome,window,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,systemic_capture,decision,model_roles,models,source_location,source_pdf,source_sha256,source_text,literal_source_check,rob2,rob2_assessment,caveat
V33-OD-0013,Chen 1998,TEAS,Sham,Cumulative IV PCA hydromorphone,First 24 h postoperatively,mg hydromorphone,25.0,25.0,6.5,3.5,10.7,5.0,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,Table 2 / first-24-h hydromorphone,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_1998.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-058,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
V33-OD-0014,Chen 2020,TEAS,Sham,Cumulative sufentanil,24 h postoperatively,µg sufentanil,40.0,40.0,72.43,4.78,100.62,10.2,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf1,Cumulative sufentanil result,TEAS EA Verification/Source PDFs/Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,debc925a549725290efc12e4fde6fbbb63880cb0bbd6425faac2e22b1e5c3663,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2020.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-059,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
V33-OD-0214,He 2026 (hepatectomy/JIS),TEAS,Sham,Total postoperative opioid consumption in morphine equivalents,0-24 h,mg MME,80.0,79.0,20.0,2.5,20.6,4.5,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,"Supplemental Material 2, eTable 1",TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,4fc22447f980bacde9572ec5b1998318f5c4c38aedd82b7809644644e00d7e96,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/He_2026_hepatectomy_JIS.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-047,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
V33-OD-0350,Szmit 2021,TEAS,Sham,Total IV PCA morphine dose,0–24 h postoperative,mg IV morphine,24.0,24.0,7.5,3.8,15.2,6.24,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,PRINCIPAL;SENSITIVITY,opioid24_TEAS_sham;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,Table 2 / primary outcome,TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Szmit_2021.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,V38-V33-OD-0350,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
V33-OD-0351,Szmit 2021,TEAS,Usual care,Total IV PCA morphine dose,0–24 h postoperative,mg IV morphine,24.0,23.0,7.5,3.8,15.5,6.1,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,SUPPORTIVE,opioid24_TEAS_usual,Table 2 / primary outcome,TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Szmit_2021.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,V38-V33-OD-0351,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0252,El-Rakshy 2009,EA,Usual care,Total IV morphine analgesia,First 24 h,mg IV morphine,42.0,53.0,35.3,18.0,36.9,18.0,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,SENSITIVITY;SUPPORTIVE,opioid24_EA_usual;opioid24_EA_usual_expanded,Table 2 / total analgesia in 24 h,TEAS EA Verification/Source PDFs/covidence_868_full_article.pdf,afb7b0095736da9d64b2c771296a6b74cb30c9287b7aa3e2644a14b5e0307529,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/El_Rakshy_2009.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,High,V38-V33-OD-0252,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0003,Seevaunnamtum 2016,EA,Usual care,Cumulative IV PCA morphine requirement,First 24 h postoperatively,mg morphine,32.0,32.0,21.38,14.38,33.94,20.24,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,SENSITIVITY;SUPPORTIVE,opioid24_EA_usual;opioid24_EA_usual_without_ElRakshy;opioid24_EA_usual_expanded,Table 2 / 24-h PCA morphine,TEAS EA Verification/Source PDFs/covidence_596_verified.pdf,7c25e5c670ee6ebcd32888161b0b53f2ac88a1eb1061a51def0b529c6320d6a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Seevaunnamtum_2016.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,V38-V33-OD-0003,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0052,Yang 2024,EA,Usual care,Morphine use via IV PCA,First 24 h / POD1,mg morphine,90.0,90.0,43.7,4.7,44.0,4.9,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,SENSITIVITY,opioid24_EA_usual_expanded,Table 3 / Morphine use on POD1,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-015,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0006,Lin 2002,EA,Sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,25.0,25.0,15.0,10.7,30.2,14.4,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,SENSITIVITY,opioid_partial_EA_sham,Table 2,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lin_2002.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,High,AF26-F-postop-dose-005,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0007,Lin 2002,EA,Sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,25.0,25.0,21.8,14.7,30.2,14.4,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,SENSITIVITY,opioid_partial_EA_sham,Table 2,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lin_2002.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,High,AF26-F-postop-dose-005,Source construct/window/contrast reviewed; direct data admitted.
