assessment_id,result_id,study,domain,source_text,source_text_sha256,line_start,line_end,excerpt
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,1,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,100,112,"Randomization and blinding
Patients were assigned by the nurse to either TEAS
stimulus (TEAS group) or control (Con group) on the
basis of random numbers generated by a computer be-
fore the start of surgery (Fig. 1). Only the acupuncturist
was informed by the nurse of the randomization alloca-
tion, just before the onset of TEAS. None of the anesthe-
siologists, surgeons, physicians in the post-anesthesia
care unit (PACU), or participants were aware of the allo-
cation. Blinding of the patients was ensured by using gel
electrodes in the same therapeutic setting, which has
previously been proved to be a successful strategy [9].
TEAS protocol"
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,113,174,"An experienced acupuncturist performed TEAS for
30 min before anesthesia. According to the theory of
traditional Chinese medicine, bilateral Baihui (GV20),
Yingtang
(EX-HN3),
Zusanli
(ST36)
and
Neiguan
(PC6) were chosen as the acupuncture points. These
acupoints were identified according to traditional ana-
tomic localization (Fig. 2). Gel electrodes were applied
to the skin after it had been cleaned with ethyl alco-
hol. The acupoints were then stimulated electrically
with an intensity of 12–15 mA and dense-disperse fre-
quency of 2/100 Hz for 30 min, using the Hwato elec-
tronic
acupuncture
treatment
instrument
(model
SDZ-V, Suzhou Medical Appliances Co., Ltd., Suzhou,
China). The intensity was adjusted to maintain slight
twitching of local muscles according to individual
maximum tolerance, indicating a satisfactory De-Qi
phenomenon and thus adequate stimulation. The pa-
tients in the control group had the electrodes applied
but received no stimulation.
Anesthesia and perioperative management
One surgeon conducted all surgery according to a
standard protocol; surgery commenced between 8:30
and 1:00 p.m. Anesthesia was induced intravenously
(i.v.) with propofol and remifentanil using a target-
controlled infusion (TCI) system. After loss of con-
sciousness,
vecuronium
(0.1 mg·kg−1)
was
adminis-
tered i.v., and patients were orotracheally intubated 5
min later. Anesthesia was maintained with TCI of
propofol and remifentanil. The depth of anesthesia
was monitored using the bispectral index (BIS). Con-
centrations at the affected sites of propofol and remi-
fentanil were adjusted to the hemodynamic index and
BIS. Patients’ lungs were mechanically ventilated in a
volume-controlled mode with a tidal volume of 8
ml·kg−1 body weight during the operation. In both
groups,
remifentanil
and
propofol
infusions
were
stopped 5 min before the end of surgery. Patients
were extubated and transferred to the Post Anasthesia
Care Unit (PACU) after surgery.
Yu et al. Trials (2020) 21:43 
Page 2 of 9


=== PDF PAGE 3 ==="
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,221,238,"All statistical analysis was based on the intention-to-
treat principle. Normally distributed numeric data were
analyzed using the t test and are reported as mean and
standard deviation (SD). Variables measured at multiple
time points were analyzed using repeated-measures ana-
lysis of variance. Dichotomous variables were presented
as the number of patients (percent) and analyzed using
the chi-square (X2) test and are reported as counts with
percentages. Statistical significance was assessed at P <
0.05.
Results
Patient characteristics
Complete datasets were collected for all 60 participants
and all the data were analyzed (Fig. 3). The characteris-
tics of patients such as age, height, BMI, ASA physical
status, anesthesia duration, surgery duration, estimated
Fig. 1 Consolidated standards of reporting trials (Consort) flowchart. TEAS, Transcutaneous electrical acupoint stimulation
Yu et al. Trials (2020) 21:43 "
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,4,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,100,140,"Randomization and blinding
Patients were assigned by the nurse to either TEAS
stimulus (TEAS group) or control (Con group) on the
basis of random numbers generated by a computer be-
fore the start of surgery (Fig. 1). Only the acupuncturist
was informed by the nurse of the randomization alloca-
tion, just before the onset of TEAS. None of the anesthe-
siologists, surgeons, physicians in the post-anesthesia
care unit (PACU), or participants were aware of the allo-
cation. Blinding of the patients was ensured by using gel
electrodes in the same therapeutic setting, which has
previously been proved to be a successful strategy [9].
TEAS protocol
An experienced acupuncturist performed TEAS for
30 min before anesthesia. According to the theory of
traditional Chinese medicine, bilateral Baihui (GV20),
Yingtang
(EX-HN3),
Zusanli
(ST36)
and
Neiguan
(PC6) were chosen as the acupuncture points. These
acupoints were identified according to traditional ana-
tomic localization (Fig. 2). Gel electrodes were applied
to the skin after it had been cleaned with ethyl alco-
hol. The acupoints were then stimulated electrically
with an intensity of 12–15 mA and dense-disperse fre-
quency of 2/100 Hz for 30 min, using the Hwato elec-
tronic
acupuncture
treatment
instrument
(model
SDZ-V, Suzhou Medical Appliances Co., Ltd., Suzhou,
China). The intensity was adjusted to maintain slight
twitching of local muscles according to individual
maximum tolerance, indicating a satisfactory De-Qi
phenomenon and thus adequate stimulation. The pa-
tients in the control group had the electrodes applied
but received no stimulation."
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,5,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,176,232,"The primary end points were postoperative quality of re-
covery and cognitive functioning, and the secondary
endpoint was anesthesia-related side effects, including
pain scores, the incidence of nausea and vomiting and
use of postoperative pain medications and antiemetics.
The Quality of Recovery-40 (QoR-40) is a validated
scale with five domains [10–12]. These measure physical
comfort, emotional state, physical independence, psy-
chological support and pain. Each domain is scored to a
maximum global score of 200. QoR-40 scores have been
found to be associated with quality-of-life scales, patient
satisfaction indices [13] and postoperative pain [14]. In
the present study, QoR-40 evaluation was performed on
preoperative day 1 (T0), postoperative day 1 (T1) and
postoperative day 2 (T2).
The Mini-Mental State Examination (MMSE) is one of
the most widely used assessment instruments of postop-
erative cognitive functioning, and screens domains of
orientation to time and place, attention and memory,
concentration, language and praxis [15]. Patient cogni-
tive function was assessed using the MMSE on days T0,
T1 and T2.
The visual analog scale (VAS) is widely used in behav-
ioral science, and previous studies have reported their
usefulness and validity [16, 17]. We used VAS scores to
determine participants’ levels of pain at rest on postop-
erative day 1 (T1) and postoperative day 2 (T2).
Data collection
Baseline data included demographics, body mass index
(BMI) and ASA physical status. Surgical information re-
corded included anesthesia duration, surgery duration,
estimated blood loss and all other intraoperative medica-
tions. BN, who was blinded to grouping, conducted the
data collection and administered the questionnaires; FZ an-
alyzed the data.
Sample size
Sample size calculation was based on the primary out-
come of QoR-40 scores and MMSE. We calculated that
16 patients in each group were required to detect a 30%
difference between the groups, assuming two-sided type
I error (α) of 0.05 and power of 80%. To account for po-
tential loss to follow up and enable greater statistical
power for secondary analysis, the sample size was in-
creased to 60 patients (30 per group).
Statistical analysis
All statistical analysis was based on the intention-to-
treat principle. Normally distributed numeric data were
analyzed using the t test and are reported as mean and
standard deviation (SD). Variables measured at multiple
time points were analyzed using repeated-measures ana-
lysis of variance. Dichotomous variables were presented
as the number of patients (percent) and analyzed using
the chi-square (X2) test and are reported as counts with
percentages. Statistical significance was assessed at P <
0.05.
Results
Patient characteristics"
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,1,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8,143,162,"2.2. Randomization. Eligible patients were randomly dis-
tributed into two groups, with the help of a computer-
generated table of random numbers by an independent
statistician. An anesthesiologist (RYL) performed the pre-
operative evaluation and recorded the data as participants
had signed the consent. Clinical trial consent and QoR-40
(quality of recovery 40 items) questionnaire were explained
to the patients one day before the surgery. )e independent
statistician created identical sealed envelopes before surgery
containing either TEAS stimulus (Tgroup) or control group
(C group). )e acupuncturist (DZH) opened the envelope
and performed TEAS. One preoperative nurse (RY), who
was not involved in patient care, prepared the items of
arterial puncture and TEAS device. An anesthesiologist
(HLD) performed the arterial puncture. An anesthesiologist
(LDD), who was not aware of the allocation, performed
general anesthesia and all intraoperative data recording, and
another investigator (WL), in charge of all postoperative
assessments, was also blinded to the group identity. Two
investigators (YKN and JSH) performed data recording and"
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8,163,209,"analysis.
2.3. TEAS Protocol. According to the theory of traditional
Chinese medicine [17], we selected Yinjiao (1 cun below the
umbilicus, RN7), Qihai (1.5 cun below the umbilicus, RN6),
Shimen (2 cun below the umbilicus, RN5), GuanYuan (3 cun
below the umbilicus, RN4), Zhongji point (4 cun below the
umbilicus RN3), bilateral ciliao (second posterior sacral
hole, BL32), zhongliao (a third sacral posterior hole, BL33),
and xialiao (fourth sacral posterior hole, BL34) as the
acupuncture points (Figure 1). TEAS was applied to the
patients through self-adhesive cutaneous electrode pads
(5 cm × 5 cm). We used HANS-200A Acupoint Stimulator
for TEAS. )e frequency was set 2/100 HZ for 30 minutes,
the highest tolerable level that caused no discomfort to the
patient;
in
control
group,
the
patients
received
no
stimulation.
2.4. Anesthesia and Perioperative Procedures. Considering
the comfort of general anesthesia and the patient’s active
choice of general anesthesia due to fear of surgery, we chose
laryngeal mask general anesthesia. All patients were induced
with propofol 2 mg／kg and sufentanil 0.3–0.5 μg／kg and
intubation was performed with Cisatracurium 2 mg／kg.
Anesthesia was maintained by a target-controlled infusion
(TCI) of propofol and remifentanil. )e bispectrum index
(BIS) was maintained within the range of 45–55 by adjusting
to control the depth of anesthesia. Mechanical ventilation
was performed to maintain PetCO2 at 35–40 mmHg.
2
Evidence-Based Complementary and Alternative Medicine
 4747, 2021, 1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1155/2021/6691459 by John Ryan Nual Mendoza - Statens Beredning , Wiley Online Library on [17/08/2026]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License


=== PDF PAGE 3 ===
Sufentanil 0.1 mg／kg per 30 minutes during the surgery
was administered to provide analgesia. Intravenous pro-
phylactic ondansetron (8 mg) was administered to prevent
postoperative nausea and vomiting. After spontaneous
breath recovery and consciousness, the neuromuscular
blockade was reversed with neostigmine, the trachea was
extubated, and patients were moved to the postanesthesia"
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8,440,479,"Enrollment
Assessed for eligibility
(n = 80)
Randomized (n = 75)
Allocation
Lost to follow-up (surgical procedure
change) (n = 3)
Discontinued intervention (n = 0)
Lost to follow-up (n = 0)
Discontinued intervention (blood sample
loss, failure to arterial puncture) (n = 2)
Follow-up
Analysis
Excluded (n = 5)
Not meeting inclusion criteria
(n = 3)
(i)
Other reasons (n = 2)
(ii)
Control group (n = 38)
Received allocated intervention
(n = 38) (no TEAS stimulation)
(i)
TEAS group (n = 37)
Received allocated intervention
(n = 37) (Acupoints: RN7, RN6, RN5,
RN4, RN3, BL32, BL33, and BL34, 3
minutes, 2/100HZ, dense-disperse)
(i)
Analysed (n = 35)
Excluded from analysis (n = 0)
(i)
Analysed (n = 35)
Excluded from analysis (n = 0)
(i)
Figure 2: )e ﬂow diagram of study procedures. TEAS, transcutaneous electrical acupoint stimulation; Yinjiao (RN7); Qihai (RN6); Shimen
(RN5); GuanYuan (RN4); Zhongji point (RN3); bilateral ciliao (BL32); bilateral zhongliao (BL33); and bilateral xialiao (BL34).
Table 2: )e incidence of postoperative catheter-related bladder discomfort between two groups.
Time (hours)
T5"
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,4,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8,143,185,"2.2. Randomization. Eligible patients were randomly dis-
tributed into two groups, with the help of a computer-
generated table of random numbers by an independent
statistician. An anesthesiologist (RYL) performed the pre-
operative evaluation and recorded the data as participants
had signed the consent. Clinical trial consent and QoR-40
(quality of recovery 40 items) questionnaire were explained
to the patients one day before the surgery. )e independent
statistician created identical sealed envelopes before surgery
containing either TEAS stimulus (Tgroup) or control group
(C group). )e acupuncturist (DZH) opened the envelope
and performed TEAS. One preoperative nurse (RY), who
was not involved in patient care, prepared the items of
arterial puncture and TEAS device. An anesthesiologist
(HLD) performed the arterial puncture. An anesthesiologist
(LDD), who was not aware of the allocation, performed
general anesthesia and all intraoperative data recording, and
another investigator (WL), in charge of all postoperative
assessments, was also blinded to the group identity. Two
investigators (YKN and JSH) performed data recording and
analysis.
2.3. TEAS Protocol. According to the theory of traditional
Chinese medicine [17], we selected Yinjiao (1 cun below the
umbilicus, RN7), Qihai (1.5 cun below the umbilicus, RN6),
Shimen (2 cun below the umbilicus, RN5), GuanYuan (3 cun
below the umbilicus, RN4), Zhongji point (4 cun below the
umbilicus RN3), bilateral ciliao (second posterior sacral
hole, BL32), zhongliao (a third sacral posterior hole, BL33),
and xialiao (fourth sacral posterior hole, BL34) as the
acupuncture points (Figure 1). TEAS was applied to the
patients through self-adhesive cutaneous electrode pads
(5 cm × 5 cm). We used HANS-200A Acupoint Stimulator
for TEAS. )e frequency was set 2/100 HZ for 30 minutes,
the highest tolerable level that caused no discomfort to the
patient;
in
control
group,
the
patients
received
no
stimulation."
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,5,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8,238,248,"(QoR-40) [18] Chinese version with ﬁve domains was used
to measure at diﬀerent time points, including before an-
esthesia (T0), postoperative 24 hours (T11), and postoper-
ative 48 hours (T12). QoR-40 was comprised of ﬁve
subscales: physical comfort (PC), emotional state (ES),
physical independence (PI), psychological support (PS), and
pain (P). Each item was rated on a scale of 1–5, providing a
minimum score of 40 and a maximum of 200. A qoR-40
questionnaire was used to measure physical condition after
anesthesia in patients.
Patient cognitive function was assessed using the min-"
