study_id,study_key,author,year,modality,comparator,stratum,arm1_n,arm1_mean,arm1_sd,arm2_n,arm2_mean,arm2_sd,md_mme,se_mme,ci_low,ci_upp,pain_rest_md,pain_rest_se,pain_mov_md,pain_mov_se,ponv_rr,ponv_arm1_ev,ponv_arm1_tot,ponv_arm2_ev,ponv_arm2_tot,timing_cat,frequency_cat,intensity_cat,sessions_cat,duration_min,duration_30min,rob2_overall,inquiry_cat,is_converted,surgery_cat,reaches_5mg,reaches_8mg,pct_reduction
1879897506,"#969 - Chen 1998","Chen",1998,TEAS,"Sham","TEAS vs Sham",25,0.5,3.5,25,7,5,-6.5,1.221,-8.89,-4.11,,,,,,,,,,"Preoperative only","2/100 Hz (Dense-Disperse)","Sub-sensory (Sham)","Single session",30,1.0,"Some concerns",A,0,"Abdominal & Gastrointestinal",1,0,92.9
1879897477,"#951 - Lin 2002","Lin",2002,EA,"Sham","EA vs Sham",,,,,,,,,,,,,,,4.33,6,25,1,25,"Preoperative only","100 Hz (High Frequency)","Sub-sensory (Sham)","Single session",20,0.7,"Some concerns",C,2,"Abdominal & Gastrointestinal",0,0,0.0
1879897479,"#952 - Sim 2002","Sim",2002,EA,"Sham","EA vs Sham",30,0.52,0.19,30,2,22.42,-1.48,4.093,-9.5,6.54,-4.3,0.505,,,0.78,3,30,4,30,"Multi-phase (Perioperative)","2/100 Hz (Dense-Disperse)","Sub-sensory (Sham)","Single session",142,4.7,"Some concerns",B,1,"Abdominal & Gastrointestinal",0,0,74.0
1879897414,"#912 - Wong 2006","Wong",2006,EA,"Sham","EA vs Sham",13,0,8.8,12,8,9.8,-8,3.736,-15.32,-0.68,0.5,0.679,,,,,,,,"Postoperative only","2/100 Hz (Dense-Disperse)","Sub-sensory (Sham)","Single session",60,2.0,"Some concerns",B,1,"Thoracic & Cardiac",1,1,100.0
1879897344,"#837 - El-Rakshy 2009","El",2009,EA,"Usual Care","EA vs Usual Care",42,0.4,7.5,40,2,8.6,-1.6,1.786,-5.1,1.9,,,,,,,,,,"Intraoperative only","2–10 Hz (Low Frequency)","Tolerable twitching/tingling (5–15 mA)","Single session",2,0.1,"Some concerns",B,1,"Abdominal & Gastrointestinal",0,0,80.0
1879897280,"#828 - Yeh 2010","Yeh",2010,EA,"Sham","EA vs Sham",30,0.3,9.7,30,6,13.1,-5.7,2.976,-11.53,0.13,0.2,0.413,0.2,0.413,,,,,,"Postoperative only","2/100 Hz (Dense-Disperse)","Tolerable twitching/tingling (5–15 mA)","Single session",40,1.3,"Some concerns",A,0,"Abdominal & Gastrointestinal",1,0,95.0
1879897273,"#823 - Yeh 2010 (ATHM)","Yeh",2010,EA,"Sham","EA vs Sham",33,0.6,9.7,30,6,13.1,-5.4,2.928,-11.14,0.34,-4.7,0.392,-4.7,0.392,,,,,,"Postoperative only","2/100 Hz (Dense-Disperse)","Tolerable twitching/tingling (5–15 mA)","Single session",60,2.0,"Some concerns",A,0,"Orthopedic & Spine",1,0,90.0
1879897266,"#838 - Coura 2011","Coura",2011,EA,"Sham","EA vs Sham",13,0.1,2.2,9,0.9,1.7,-0.8,0.833,-2.43,0.83,0.2,4.208,,,,,,,,"Preoperative only","100 Hz (High Frequency)","Tolerable twitching/tingling (5–15 mA)","Single session",30,1.0,"Some concerns",B,1,"Thoracic & Cardiac",0,0,88.9
1879897255,"#812 - Lee 2011","Lee",2011,TEAS,"Sham","TEAS vs Sham",,,,,,,,,,,0.06,12.316,-0.24,0.914,,,,,,"Preoperative only","100 Hz (High Frequency)","Sub-sensory (Sham)","Single session",60,2.0,"Some concerns",None,0,"Abdominal & Gastrointestinal",0,0,0.0
1879897195,"#775 - Ng 2012 / 2013","Ng",2012,EA,"Sham","EA vs Sham",55,14.8,4,55,15,5,-0.2,0.372,-0.93,0.53,0.1,0.411,,,,,,,,"Postoperative only","100 Hz (High Frequency)","Sub-sensory (Sham)","Multiple sessions (≥ 2)",20,0.7,"Low",B,1,"Abdominal & Gastrointestinal",0,0,1.3
